date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,140.64,1,NA
2020-02-16,135.57,3,NA
2020-02-17,127.49,-21,NA
2020-02-18,100.2,3,0
2020-02-19,110.27,4,-1
2020-02-20,130.94,1,1
2020-02-21,155.54,5,-1
2020-02-22,137.92,8,NA
2020-02-23,128.62,7,NA
2020-02-24,122.53,6,1
2020-02-25,99.55,3,1
2020-02-26,96.47,0,2
2020-02-27,130.69,4,-1
2020-02-28,159.64,5,-1
2020-02-29,156.6,8,NA
2020-03-01,158.79,4,NA
2020-03-02,129.96,3,-1
2020-03-03,119.29,5,-1
2020-03-04,119.29,5,-2
2020-03-05,144.58,4,-1
2020-03-06,189.4,2,-1
2020-03-07,163.78,8,NA
2020-03-08,156.8,7,NA
2020-03-09,122.61,3,0
2020-03-10,106.21,1,-1
2020-03-11,125.94,0,0
2020-03-12,130.13,2,0
2020-03-13,175.6,1,-1
2020-03-14,119.77,9,NA
2020-03-15,97.16,3,NA
2020-03-16,105.72,4,3
2020-03-17,95.57,-15,NA
2020-03-18,103.98,-21,NA
2020-03-19,104.1,-24,NA
2020-03-20,140.84,-25,NA
2020-03-21,116.32,-11,NA
2020-03-22,67.88,-24,NA
2020-03-23,82.83,-30,NA
2020-03-24,72.72,-32,NA
2020-03-25,79.98,-31,NA
2020-03-26,75.64,-32,NA
2020-03-27,89.52,-31,NA
2020-03-28,67.28,-15,NA
2020-03-29,59.28,-24,NA
2020-03-30,75.15,-31,NA
2020-03-31,71.82,-34,NA
2020-04-01,80.06,-34,NA
2020-04-02,79.78,-34,NA
2020-04-03,84.37,-34,NA
2020-04-04,65.69,-16,NA
2020-04-05,62.97,-22,NA
2020-04-06,74.1,-31,NA
2020-04-07,73.93,-33,NA
2020-04-08,81,-34,NA
2020-04-09,83.64,-33,NA
2020-04-10,89.32,-38,NA
2020-04-11,79.46,-18,NA
2020-04-12,53.19,-40,NA
2020-04-13,78.93,-33,NA
2020-04-14,85.26,-32,NA
2020-04-15,84.17,-34,NA
2020-04-16,94.64,-33,NA
2020-04-17,81.04,-35,NA
2020-04-18,93.42,-12,NA
2020-04-19,79.74,-22,NA
2020-04-20,92.2,-29,NA
2020-04-21,88.71,-32,NA
2020-04-22,96.43,-33,NA
2020-04-23,89.04,-30,NA
2020-04-24,113.2,-31,NA
2020-04-25,90.26,-21,NA
2020-04-26,82.26,-21,NA
2020-04-27,88.35,-25,NA
2020-04-28,93.46,-29,NA
2020-04-29,91.8,-30,NA
2020-04-30,95.9,-30,NA
2020-05-01,122.7,-30,NA
2020-05-02,106.46,-12,NA
2020-05-03,86.68,-24,NA
2020-05-04,104.3,-25,NA
2020-05-05,92.98,-27,NA
2020-05-06,96.95,-27,NA
2020-05-07,111.9,-30,NA
2020-05-08,130.78,-29,NA
2020-05-09,132.4,-3,NA
2020-05-10,101.75,-12,NA
2020-05-11,NA,-25,NA
2020-05-12,NA,-26,NA
2020-05-13,114.45,-27,NA
2020-05-14,119.12,-28,NA
2020-05-15,135.81,-28,NA
2020-05-16,133.25,-5,NA
2020-05-17,113.15,-17,NA
2020-05-18,124.69,-19,NA
2020-05-19,123.51,-24,NA
2020-05-20,129.56,-25,NA
2020-05-21,140.6,-23,NA
2020-05-22,191.43,-27,NA
2020-05-23,145.76,-9,NA
2020-05-24,132.52,-14,NA
2020-05-25,144.38,-67,NA
2020-05-26,155.42,-22,NA
2020-05-27,139.91,-25,NA
2020-05-28,146.41,-22,NA
2020-05-29,187.66,-25,NA
2020-05-30,160.74,1,NA
2020-05-31,142.1,-7,NA
2020-06-01,140.93,-22,NA
2020-06-02,147.26,-23,NA
2020-06-03,142.71,-22,NA
2020-06-04,162.32,-21,NA
2020-06-05,188.14,-25,NA
2020-06-06,155.87,4,NA
2020-06-07,147.02,-8,NA
2020-06-08,145.35,-19,NA
2020-06-09,161.14,-21,NA
2020-06-10,147.1,-20,NA
2020-06-11,162.65,-19,NA
2020-06-12,186.85,-24,NA
2020-06-13,163.54,2,NA
2020-06-14,161.92,0,NA
2020-06-15,182.38,-18,NA
2020-06-16,166.22,-19,NA
2020-06-17,158.63,-23,NA
2020-06-18,177.55,-22,NA
2020-06-19,209.46,-24,NA
2020-06-20,190.95,-3,NA
2020-06-21,172.96,-6,NA
2020-06-22,171.21,-21,NA
2020-06-23,180.39,-22,NA
2020-06-24,184.37,-20,NA
2020-06-25,210.96,-20,NA
2020-06-26,217.3,-23,NA
2020-06-27,193.59,-2,NA
2020-06-28,188.02,5,NA
2020-06-29,180.43,-20,NA
2020-06-30,179.05,-24,NA
2020-07-01,187.66,-22,NA
2020-07-02,234.71,-25,NA
2020-07-03,237.64,-49,NA
2020-07-04,168.29,-25,NA
2020-07-05,216.4,-10,NA
2020-07-06,205.03,-29,NA
2020-07-07,170.24,-25,NA
2020-07-08,171.5,-26,NA
2020-07-09,198.62,-26,NA
2020-07-10,237.8,-26,NA
2020-07-11,200.2,1,NA
2020-07-12,186.97,-3,NA
2020-07-13,181.85,-26,NA
2020-07-14,171.9,-25,NA
2020-07-15,182.14,-24,NA
2020-07-16,187.13,-22,NA
2020-07-17,235.24,-24,NA
2020-07-18,208.4,-3,NA
2020-07-19,178.44,-6,NA
2020-07-20,175.4,-23,NA
2020-07-21,168.05,-23,NA
