date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,135.83,3,-1
2020-02-16,98.61,2,-1
2020-02-17,103.35,-17,4
2020-02-18,103.26,2,0
2020-02-19,105.19,4,-2
2020-02-20,111.51,1,0
2020-02-21,132.99,20,-3
2020-02-22,149.61,5,-2
2020-02-23,101.94,3,-1
2020-02-24,100.22,6,1
2020-02-25,102.87,2,0
2020-02-26,109.81,4,-2
2020-02-27,114.89,2,-1
2020-02-28,138.13,19,-4
2020-02-29,146.63,5,-4
2020-03-01,100.43,6,-3
2020-03-02,103.43,8,-1
2020-03-03,110.8,3,-2
2020-03-04,113.14,4,-3
2020-03-05,118.06,3,-1
2020-03-06,142.09,19,-4
2020-03-07,148.36,7,-4
2020-03-08,102.76,5,-2
2020-03-09,101.98,4,1
2020-03-10,115.76,2,-1
2020-03-11,116.58,4,-3
2020-03-12,106.71,0,0
2020-03-13,118.25,12,-1
2020-03-14,101.98,-1,3
2020-03-15,71.74,-6,3
2020-03-16,80.52,-16,7
2020-03-17,73.75,-26,9
2020-03-18,70.11,-30,10
2020-03-19,70.62,-34,14
2020-03-20,79.19,-25,12
2020-03-21,67.6,-22,9
2020-03-22,46.4,-28,9
2020-03-23,65.14,-36,13
2020-03-24,47.61,-49,21
2020-03-25,54.96,-48,18
2020-03-26,58.72,-49,20
2020-03-27,64.34,-40,19
2020-03-28,60.84,-34,12
2020-03-29,49.22,-36,10
2020-03-30,59.91,-47,17
2020-03-31,61.66,-50,18
2020-04-01,64.21,-50,16
2020-04-02,62.42,-52,20
2020-04-03,62.62,-44,20
2020-04-04,59.21,-37,13
2020-04-05,48.67,-38,10
2020-04-06,58.56,-49,19
2020-04-07,64.13,-52,19
2020-04-08,66.66,-52,17
2020-04-09,65.19,-53,21
2020-04-10,74.63,-47,19
2020-04-11,66.09,-37,12
2020-04-12,40.64,-45,12
2020-04-13,63.82,-48,19
2020-04-14,66.96,-50,20
2020-04-15,74.43,-49,16
2020-04-16,71.06,-51,21
2020-04-17,78.68,-42,19
2020-04-18,79.58,-33,10
2020-04-19,63.32,-35,9
2020-04-20,74.94,-47,17
2020-04-21,77.53,-50,17
2020-04-22,72.2,-50,18
2020-04-23,82.74,-50,18
2020-04-24,82.68,-42,19
2020-04-25,84.57,-31,9
2020-04-26,69.47,-35,7
2020-04-27,80.08,-46,16
2020-04-28,80.06,-50,12
2020-04-29,83.41,-49,16
2020-04-30,91.34,-49,17
2020-05-01,104.06,-39,14
2020-05-02,103.68,-29,7
2020-05-03,74.77,-31,6
2020-05-04,76.31,-45,17
2020-05-05,93.79,-46,15
2020-05-06,89.92,-46,14
2020-05-07,90,-47,18
2020-05-08,109.62,-37,13
2020-05-09,104.47,-27,6
2020-05-10,76.83,-27,4
2020-05-11,NA,-42,14
2020-05-12,NA,-44,16
2020-05-13,96.76,-44,15
2020-05-14,102.99,-45,16
2020-05-15,121.55,-34,13
2020-05-16,117.88,-22,6
2020-05-17,94.72,-22,5
2020-05-18,108.69,-37,12
2020-05-19,117.77,-40,12
2020-05-20,118.32,-39,10
2020-05-21,122.59,-41,12
2020-05-22,135.06,-31,11
2020-05-23,128.77,-19,3
2020-05-24,98.28,-21,3
2020-05-25,90.16,-72,19
2020-05-26,110.85,-40,13
2020-05-27,118.5,-38,11
2020-05-28,118.15,-41,16
2020-05-29,149.98,-27,8
2020-05-30,141.78,-10,3
2020-05-31,107.2,-12,2
2020-06-01,122.47,-34,9
2020-06-02,126.06,-37,10
2020-06-03,129.32,-36,9
2020-06-04,132.14,-37,11
2020-06-05,150.93,-27,8
2020-06-06,143.4,-12,2
2020-06-07,111.22,-15,2
2020-06-08,124.84,-34,9
2020-06-09,127.33,-36,11
2020-06-10,134.07,-35,8
2020-06-11,142.31,-36,10
2020-06-12,160.59,-25,6
2020-06-13,155.09,-10,1
2020-06-14,117.16,-11,1
2020-06-15,129.67,-33,8
2020-06-16,134.99,-36,9
2020-06-17,139.14,-35,7
2020-06-18,146.23,-37,9
2020-06-19,158.71,-26,6
2020-06-20,156.7,-9,1
2020-06-21,110.36,-10,-1
2020-06-22,131.78,-35,9
2020-06-23,140.47,-37,9
2020-06-24,144.97,-35,7
2020-06-25,151.36,-37,9
2020-06-26,168.33,-26,6
2020-06-27,157.71,-12,3
2020-06-28,122.9,-10,1
2020-06-29,133.23,-34,8
2020-06-30,140.43,-37,9
2020-07-01,146.6,-36,7
2020-07-02,156.96,-39,8
2020-07-03,151.65,-52,10
2020-07-04,118.29,-30,1
2020-07-05,108.94,-18,1
2020-07-06,133.85,-38,9
2020-07-07,140.37,-39,10
2020-07-08,143.33,-37,8
2020-07-09,148.64,-39,10
2020-07-10,173.2,-27,6
2020-07-11,171.34,-11,2
2020-07-12,130.79,-13,1
2020-07-13,137.64,-36,8
2020-07-14,138.96,-39,10
2020-07-15,139.51,-38,9
2020-07-16,148.99,-38,9
2020-07-17,170.67,-27,6
2020-07-18,163.53,-14,2
2020-07-19,121.56,-16,2
2020-07-20,125.7,-37,10
2020-07-21,132.55,-39,11
2020-07-22,141.79,-36,7
2020-07-23,150.16,-37,10
2020-07-24,173.3,-27,6
2020-07-25,166.54,-13,1
2020-07-26,124.81,-14,1
2020-07-27,128.95,-37,10
2020-07-28,138.4,-38,9
2020-07-29,134.33,-38,9
2020-07-30,141.92,-39,11
2020-07-31,163.21,-27,6
2020-08-01,165.18,-13,1
2020-08-02,123.97,-15,1
2020-08-03,140.28,-35,7
2020-08-04,147.34,-38,8
2020-08-05,144.62,-37,7
2020-08-06,149.11,-39,9
2020-08-07,169.23,-27,6
2020-08-08,168.24,-13,2
2020-08-09,122.77,-15,2
2020-08-10,132.39,-36,9
2020-08-11,138.42,-39,9
2020-08-12,142.41,-37,7
2020-08-13,146.85,-39,9
2020-08-14,167.77,-27,6
2020-08-15,161.4,-14,1
2020-08-16,123.28,-15,1
2020-08-17,133.8,-36,8
2020-08-18,134.76,-38,9
2020-08-19,139.83,-36,7
2020-08-20,143.26,-37,9
2020-08-21,170.03,-26,5
2020-08-22,164.99,-12,1
2020-08-23,121.73,-15,1
2020-08-24,127.55,-35,8
2020-08-25,132.12,-37,9
2020-08-26,133.52,-35,7
2020-08-27,139.67,-36,9
2020-08-28,161.3,-24,5
2020-08-29,152.04,-13,3
2020-08-30,119.18,-15,1
2020-08-31,121.3,-36,9
2020-09-01,131.29,-37,8
2020-09-02,138.63,-35,6
2020-09-03,144.4,-36,7
2020-09-04,173.11,-27,4
2020-09-05,159.68,-17,1
2020-09-06,127.65,-19,0
2020-09-07,110.06,-72,15
2020-09-08,122.46,-39,10
2020-09-09,125.41,-36,7
2020-09-10,131.06,-36,10
2020-09-11,152.38,-25,7
2020-09-12,165.32,-10,1
2020-09-13,119.32,-16,1
2020-09-14,127.81,-30,7
2020-09-15,129.53,-33,8
2020-09-16,134.12,-33,6
2020-09-17,139.3,-33,8
2020-09-18,165.15,-21,4
2020-09-19,166.56,-10,0
2020-09-20,112.38,-16,1
2020-09-21,120.57,-32,7
2020-09-22,122.69,-34,8
2020-09-23,124.16,-32,6
2020-09-24,133.32,-32,9
2020-09-25,157.68,-21,5
2020-09-26,160.26,-9,0
2020-09-27,100.71,-18,4
2020-09-28,116.95,-30,7
2020-09-29,117.74,-33,8
2020-09-30,118.8,-32,6
2020-10-01,123.71,-31,8
2020-10-02,146.36,-19,4
2020-10-03,151.14,-10,1
