date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,146.43,-8,NA
2020-02-16,104.54,1,NA
2020-02-17,123.15,-26,NA
2020-02-18,118.3,3,1
2020-02-19,131.92,4,0
2020-02-20,128.09,-1,2
2020-02-21,152.51,0,0
2020-02-22,157.58,5,NA
2020-02-23,101.46,11,NA
2020-02-24,115.7,-1,2
2020-02-25,120.99,4,0
2020-02-26,122.31,0,0
2020-02-27,126.01,-11,NA
2020-02-28,135.8,0,1
2020-02-29,133.82,-6,NA
2020-03-01,118.03,1,NA
2020-03-02,130.64,1,1
2020-03-03,120.19,2,-3
2020-03-04,128.44,4,-2
2020-03-05,124.56,2,-1
2020-03-06,150.44,2,0
2020-03-07,146.38,1,NA
2020-03-08,110.41,4,NA
2020-03-09,128.57,0,0
2020-03-10,123.32,1,1
2020-03-11,118.96,2,-1
2020-03-12,120.77,3,0
2020-03-13,137.61,4,-1
2020-03-14,108.02,2,NA
2020-03-15,91.14,1,NA
2020-03-16,101.37,-11,NA
2020-03-17,97.27,-12,NA
2020-03-18,98.28,-14,NA
2020-03-19,93.69,-19,NA
2020-03-20,108.77,-21,NA
2020-03-21,87.83,-7,NA
2020-03-22,76.01,-8,NA
2020-03-23,87.26,-21,NA
2020-03-24,79.59,-28,NA
2020-03-25,82.72,-31,NA
2020-03-26,83.73,-29,NA
2020-03-27,88.32,-29,NA
2020-03-28,85.32,-11,NA
2020-03-29,71.3,-22,NA
2020-03-30,84.26,-31,NA
2020-03-31,81,-33,NA
2020-04-01,78.35,-32,NA
2020-04-02,86.73,-34,NA
2020-04-03,97,-33,NA
2020-04-04,83.47,-7,NA
2020-04-05,77.29,-16,NA
2020-04-06,89.99,-30,NA
2020-04-07,85.89,-33,NA
2020-04-08,96.25,-34,NA
2020-04-09,102.73,-36,NA
2020-04-10,104.76,-41,NA
2020-04-11,88.49,-28,NA
2020-04-12,52.69,-28,NA
2020-04-13,86.9,-35,NA
2020-04-14,99.56,-33,NA
2020-04-15,102.12,-31,NA
2020-04-16,100.66,-32,NA
2020-04-17,120.68,-32,NA
2020-04-18,107.5,-22,NA
2020-04-19,86.77,-17,NA
2020-04-20,115.04,-31,NA
2020-04-21,108.02,-32,NA
2020-04-22,125.4,-32,NA
2020-04-23,114.11,-34,NA
2020-04-24,129.06,-33,NA
2020-04-25,119.89,-12,NA
2020-04-26,91.62,-24,NA
2020-04-27,126.72,-30,NA
2020-04-28,111.33,-33,NA
2020-04-29,110.23,-34,NA
2020-04-30,122.22,-33,NA
2020-05-01,143.56,-34,NA
2020-05-02,160.76,-10,NA
2020-05-03,99.34,-14,NA
2020-05-04,141.58,-27,NA
2020-05-05,142.81,-31,NA
2020-05-06,121.87,-29,NA
2020-05-07,143.74,-30,NA
2020-05-08,153.09,-32,NA
2020-05-09,156.53,-15,NA
2020-05-10,104.5,-12,NA
2020-05-11,NA,-31,NA
2020-05-12,NA,-29,NA
2020-05-13,155.69,-25,NA
2020-05-14,146.56,-28,NA
2020-05-15,163.36,-29,NA
2020-05-16,153.97,-15,NA
2020-05-17,129.41,-8,NA
2020-05-18,140.61,-27,NA
2020-05-19,154.76,-24,NA
2020-05-20,153.53,-26,NA
2020-05-21,149.38,-29,NA
2020-05-22,188.93,-26,NA
2020-05-23,171.78,-18,NA
2020-05-24,142.15,-20,NA
2020-05-25,155.11,-65,NA
2020-05-26,162.61,-25,NA
2020-05-27,162.3,-27,NA
2020-05-28,167.9,-26,NA
2020-05-29,177.2,-25,NA
2020-05-30,209.96,-5,NA
2020-05-31,142.06,7,NA
2020-06-01,164.73,-21,NA
2020-06-02,164.55,-22,NA
