date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,169.66,-2,NA
2020-02-16,128.75,1,NA
2020-02-17,114.7,-2,2
2020-02-18,99,-1,1
2020-02-19,107.73,4,0
2020-02-20,125.81,5,1
2020-02-21,161.34,1,-5
2020-02-22,159.87,2,NA
2020-02-23,134.78,-4,NA
2020-02-24,105.47,1,0
2020-02-25,101.63,2,1
2020-02-26,106.41,4,-1
2020-02-27,118.49,4,0
2020-02-28,162.15,7,-6
2020-02-29,168.06,1,NA
2020-03-01,123.87,10,NA
2020-03-02,109.7,7,-2
2020-03-03,115.73,4,-1
2020-03-04,112.82,5,-2
2020-03-05,132.78,6,0
2020-03-06,170.47,9,-7
2020-03-07,170.25,7,NA
2020-03-08,132.91,5,NA
2020-03-09,108.48,8,-1
2020-03-10,122.43,4,-1
2020-03-11,112.36,6,-2
2020-03-12,131.72,3,0
2020-03-13,172.57,-1,-6
2020-03-14,135.31,2,NA
2020-03-15,123.55,-5,NA
2020-03-16,108.91,-13,2
2020-03-17,109.76,-22,5
2020-03-18,96.53,-25,9
2020-03-19,90.08,-27,12
2020-03-20,102.1,-26,8
2020-03-21,104.82,-17,NA
2020-03-22,72.01,-25,NA
2020-03-23,81.64,-27,11
2020-03-24,81.08,-33,14
2020-03-25,79.29,-32,13
2020-03-26,80.45,-32,15
2020-03-27,91.18,-31,11
2020-03-28,75.13,-24,NA
2020-03-29,75.48,-22,NA
2020-03-30,76.07,-30,11
2020-03-31,82.11,-36,13
2020-04-01,90.3,-35,13
2020-04-02,85.39,-34,15
2020-04-03,76.01,-34,12
2020-04-04,83.14,-22,NA
2020-04-05,73.01,-21,NA
2020-04-06,74.79,-33,12
2020-04-07,84.24,-39,14
2020-04-08,83.42,-37,14
2020-04-09,77.76,-38,17
2020-04-10,99.09,-42,12
2020-04-11,80.83,-28,NA
2020-04-12,48.76,-32,NA
2020-04-13,84.83,-34,14
2020-04-14,87.02,-36,16
2020-04-15,80.54,-34,15
2020-04-16,83.45,-35,17
2020-04-17,97.69,-35,11
2020-04-18,99.97,-21,NA
2020-04-19,85.24,-22,NA
2020-04-20,93.62,-33,12
2020-04-21,95.15,-39,14
2020-04-22,98.06,-35,13
2020-04-23,103.22,-34,13
2020-04-24,111.82,-36,11
2020-04-25,126.96,-21,NA
2020-04-26,104.91,-26,NA
2020-04-27,108.91,-34,11
2020-04-28,94.18,-39,9
2020-04-29,97.4,-39,14
2020-04-30,118.49,-38,13
2020-05-01,150.33,-35,7
2020-05-02,135.41,-21,NA
2020-05-03,110.04,-19,NA
2020-05-04,100.31,-35,12
2020-05-05,95.75,-38,16
2020-05-06,114.14,-34,13
2020-05-07,112.26,-33,13
2020-05-08,141.32,-31,7
2020-05-09,145.23,-19,NA
2020-05-10,109.82,-16,NA
2020-05-11,NA,-28,10
2020-05-12,NA,-33,12
2020-05-13,122.61,-32,12
2020-05-14,123.68,-32,15
2020-05-15,170.32,-29,5
2020-05-16,152.71,-13,NA
2020-05-17,127.37,-13,NA
2020-05-18,129.84,-27,9
2020-05-19,128.71,-31,11
2020-05-20,137.22,-30,10
2020-05-21,155.18,-30,10
2020-05-22,179.86,-30,3
2020-05-23,170,-17,NA
2020-05-24,141.35,-21,NA
2020-05-25,139.91,-73,NA
2020-05-26,135.28,-28,10
2020-05-27,151.95,-25,8
2020-05-28,149.11,-27,10
2020-05-29,188.52,-22,2
2020-05-30,195.96,3,NA
2020-05-31,155.05,-4,NA
2020-06-01,137.41,-23,6
2020-06-02,153.83,-28,8
2020-06-03,158.9,-25,7
2020-06-04,162.9,-27,8
2020-06-05,201.94,-24,2
2020-06-06,214.95,-3,NA
2020-06-07,165.78,-2,NA
2020-06-08,152.24,-23,5
2020-06-09,137.82,-28,11
2020-06-10,159.24,-26,8
2020-06-11,192.34,-25,6
2020-06-12,218.36,-25,-1
2020-06-13,241.01,0,NA
2020-06-14,189.4,0,NA
2020-06-15,177.76,-22,5
2020-06-16,161.37,-25,7
2020-06-17,171.25,-25,6
2020-06-18,189.58,-26,6
2020-06-19,214.7,-25,1
2020-06-20,229.84,-4,NA
2020-06-21,196.78,-3,NA
2020-06-22,174.04,-24,8
2020-06-23,179.07,-27,7
2020-06-24,198.75,-25,5
2020-06-25,203.94,-26,5
2020-06-26,255.36,-22,1
2020-06-27,276.76,-4,NA
2020-06-28,219.33,-3,NA
2020-06-29,192.31,-24,5
2020-06-30,190.52,-28,7
2020-07-01,208.76,-24,4
2020-07-02,239.07,-29,4
2020-07-03,239.88,-57,NA
2020-07-04,185.39,-26,NA
2020-07-05,217.89,-11,NA
2020-07-06,202.63,-28,5
2020-07-07,188.71,-27,7
2020-07-08,199.31,-26,6
2020-07-09,209.7,-25,6
2020-07-10,247.23,-25,0
2020-07-11,260.87,-5,NA
2020-07-12,222.58,-7,NA
2020-07-13,190.24,-24,4
2020-07-14,171.63,-27,8
2020-07-15,183.17,-24,7
2020-07-16,221.83,-26,6
2020-07-17,278.67,-22,0
2020-07-18,273.04,-5,NA
2020-07-19,219.64,-10,NA
2020-07-20,181.7,-25,6
2020-07-21,178.17,-29,8
2020-07-22,192.49,-26,5
2020-07-23,201.94,-27,6
2020-07-24,260.96,-24,1
2020-07-25,251.27,-5,NA
2020-07-26,215.7,-8,NA
2020-07-27,189.37,-24,5
2020-07-28,191.49,-29,7
2020-07-29,204.07,-25,6
2020-07-30,214.08,-26,6
2020-07-31,273.48,-26,-1
2020-08-01,269.16,-8,NA
2020-08-02,230.87,-8,NA
2020-08-03,200.38,-25,4
2020-08-04,188.55,-29,6
2020-08-05,202.97,-28,5
2020-08-06,209.35,-27,6
2020-08-07,269,-26,-1
2020-08-08,278.98,-10,NA
2020-08-09,249.26,-10,NA
2020-08-10,216.52,-35,-15
2020-08-11,201.94,-53,-17
2020-08-12,218.08,-43,-14
2020-08-13,235.97,-39,-11
2020-08-14,305.51,-31,-11
2020-08-15,289.62,-7,NA
2020-08-16,242.66,-9,NA
2020-08-17,223.02,NA,0
2020-08-18,212.32,NA,4
2020-08-19,208.04,NA,4
2020-08-20,223.62,NA,4
2020-08-21,255.65,NA,-2
2020-08-24,174.48,NA,3
2020-08-25,168.06,NA,6
2020-08-26,171.32,NA,5
2020-08-27,184.58,NA,5
2020-08-28,234.28,NA,-1
2020-08-31,162.46,NA,3
2020-09-01,169.97,NA,5
2020-09-02,172.6,NA,4
2020-09-03,187.33,NA,4
2020-09-04,266.03,NA,-3
2020-09-07,186.21,-73,NA
2020-09-08,164.12,NA,7
2020-09-09,153.27,NA,6
2020-09-10,162.81,NA,6
2020-09-11,208.35,-21,-1
2020-09-12,215.3,-5,NA
2020-09-13,185.64,-6,NA
2020-09-14,172.07,-21,2
2020-09-15,184.67,-23,4
2020-09-16,172.47,-22,3
2020-09-17,188.15,-22,3
2020-09-18,243.85,-17,-4
2020-09-19,237.13,-5,NA
2020-09-20,181.42,2,NA
2020-09-21,161.12,-22,2
2020-09-22,167.5,-23,4
2020-09-23,164.75,-19,4
2020-09-24,182.64,-19,3
2020-09-25,230.28,-16,-3
2020-09-26,237.38,0,-1
2020-09-27,170.22,-5,NA
2020-09-28,172.47,-20,5
2020-09-29,157.99,-21,6
2020-09-30,149.95,-17,3
2020-10-01,158.3,-17,3
2020-10-02,214.01,-14,-4
2020-10-03,197.09,-6,NA
2020-10-04,166.97,-7,NA
2020-10-05,151.39,-21,3
2020-10-06,154.86,-23,3
2020-10-07,158.15,-17,3
2020-10-08,166.59,-18,4
2020-10-09,212.07,-18,-4
2020-10-10,234.31,-5,-2
2020-10-11,172.44,-8,NA
2020-10-12,155.24,-24,3
2020-10-13,144.79,-21,5
2020-10-14,154.08,-17,4
2020-10-15,160.03,-18,5
2020-10-16,204.47,-15,-2
2020-10-17,209.51,-2,0
2020-10-18,153.21,-7,NA
2020-10-19,134.56,-20,6
2020-10-20,129.65,-20,8
2020-10-21,135.97,-17,5
2020-10-22,150.48,-18,7
2020-10-23,176.54,-19,1
2020-10-24,177.79,-3,NA
2020-10-25,130.09,-6,NA
2020-10-26,116.42,-22,7
2020-10-27,135.03,-20,7
2020-10-28,141.23,-19,6
2020-10-29,144.23,-18,6
2020-10-30,192.9,-14,-1
2020-10-31,160.15,-3,NA
2020-11-01,136.35,-6,NA
2020-11-02,132.59,-22,6
2020-11-03,130.5,-23,6
