date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,126.37,-1,NA
2020-02-16,60.37,3,NA
2020-02-17,116.1,-10,NA
2020-02-18,78.91,4,0
2020-02-19,85.03,3,0
2020-02-20,95.55,2,0
2020-02-21,102.64,20,0
2020-02-22,111.15,-5,NA
2020-02-23,66.98,-3,NA
2020-02-24,92.07,38,-3
2020-02-25,86.45,2,0
2020-02-26,93.59,4,0
2020-02-27,103.42,1,0
2020-02-28,119.03,20,-1
2020-02-29,125.59,1,NA
2020-03-01,69.37,2,NA
2020-03-02,96.72,41,-4
2020-03-03,85.57,4,0
2020-03-04,86.74,4,0
2020-03-05,94.42,1,0
2020-03-06,117.17,2,NA
2020-03-07,110.67,-2,NA
2020-03-08,72.06,-3,NA
2020-03-09,95.45,42,-4
2020-03-10,88.06,3,0
2020-03-11,92.51,5,0
2020-03-12,97.55,4,-1
2020-03-13,121.82,21,0
2020-03-14,97.6,-6,NA
2020-03-15,60.37,-25,NA
2020-03-16,98.92,36,-2
2020-03-17,101.47,-15,7
2020-03-18,94.81,-22,10
2020-03-19,105.72,-26,9
2020-03-20,101.08,-13,NA
2020-03-21,92.86,-13,NA
2020-03-22,73.87,-36,NA
2020-03-23,87.13,-7,NA
2020-03-24,82.29,-35,NA
2020-03-25,67.86,-33,NA
2020-03-26,82.09,-43,NA
2020-03-27,86.55,-27,NA
2020-03-28,73.09,-26,NA
2020-03-29,51.52,-45,NA
2020-03-30,74.51,-16,NA
2020-03-31,81.31,-42,NA
2020-04-01,74.8,-42,NA
2020-04-02,75.54,-44,NA
2020-04-03,81.31,-29,NA
2020-04-04,68.05,-32,NA
2020-04-05,47.55,-45,NA
2020-04-06,75.73,-23,NA
2020-04-07,77.84,-44,NA
2020-04-08,93.25,-43,NA
2020-04-09,100.29,-45,NA
2020-04-10,104.21,-33,NA
2020-04-11,80.38,-26,NA
2020-04-12,45.55,-40,NA
2020-04-13,83.86,-18,NA
2020-04-14,90.36,-41,NA
2020-04-15,83.56,-42,NA
2020-04-16,84.93,-42,NA
2020-04-17,113.5,-29,NA
2020-04-18,109.74,-25,NA
2020-04-19,68.4,-40,NA
2020-04-20,95.94,-18,NA
2020-04-21,97.5,-42,NA
2020-04-22,101.61,-38,NA
2020-04-23,101.03,-41,NA
2020-04-24,117.86,-28,NA
2020-04-25,115.9,-21,NA
2020-04-26,77.15,-37,NA
2020-04-27,98.63,-15,NA
2020-04-28,104.65,-39,2
2020-04-29,112.77,-38,NA
2020-04-30,100.44,-39,NA
2020-05-01,133.22,-23,NA
2020-05-02,120.45,-19,NA
2020-05-03,91.78,-36,NA
2020-05-04,108.32,-9,NA
2020-05-05,113.16,-37,NA
2020-05-06,128.57,-35,NA
2020-05-07,127.01,-37,NA
2020-05-08,156.41,-23,NA
2020-05-09,141.14,-17,NA
2020-05-10,83.22,-29,NA
2020-05-11,NA,-7,NA
2020-05-12,NA,-32,9
2020-05-13,120.99,-33,NA
2020-05-14,125.83,-35,6
2020-05-15,160.32,-21,NA
2020-05-16,158.61,-11,NA
2020-05-17,90.56,-30,NA
2020-05-18,137.62,-4,NA
2020-05-19,136.35,-30,7
2020-05-20,139.04,-30,8
2020-05-21,146.62,-31,9
2020-05-22,176.22,-20,NA
2020-05-23,131.02,-17,NA
2020-05-24,110.91,-32,NA
2020-05-25,156.95,-69,NA
2020-05-26,154.7,-28,7
2020-05-27,159.44,-26,6
2020-05-28,151.42,-28,6
2020-05-29,173.87,-16,NA
2020-05-30,179.16,-16,NA
2020-05-31,114.82,-29,NA
2020-06-01,153.13,-4,NA
2020-06-02,156.07,-28,4
2020-06-03,161.74,-28,4
2020-06-04,156.6,-29,5
2020-06-05,188.7,-17,NA
2020-06-06,162.38,-10,NA
2020-06-07,100.44,-30,NA
2020-06-08,129.55,-5,NA
2020-06-09,155.77,-31,6
2020-06-10,166.78,-28,5
2020-06-11,178.91,-32,4
2020-06-12,206.65,-19,NA
2020-06-13,198.92,-5,NA
2020-06-14,135.96,-17,NA
2020-06-15,168.3,-3,NA
2020-06-16,164.77,-30,7
2020-06-17,151.22,-26,8
2020-06-18,168.54,-30,3
2020-06-19,215.7,-19,NA
2020-06-20,205.14,-5,NA
2020-06-21,140.51,-16,NA
2020-06-22,192.61,-5,NA
2020-06-23,194.67,-33,3
2020-06-24,210.18,-31,3
2020-06-25,210.13,-33,4
2020-06-26,244.03,-21,NA
2020-06-27,287.57,-10,NA
2020-06-28,155.68,-23,NA
2020-06-29,190.9,-6,NA
2020-06-30,183.56,-31,6
2020-07-01,213.41,-32,2
2020-07-02,252.1,-38,2
2020-07-03,246.48,-49,NA
2020-07-04,183.27,-26,NA
2020-07-05,187.13,-21,NA
2020-07-06,216.68,-11,NA
2020-07-07,192.91,-35,5
2020-07-08,200.2,-34,5
2020-07-09,232.93,-34,3
2020-07-10,270.5,-21,NA
2020-07-11,249.02,-12,NA
2020-07-12,173.19,-21,NA
2020-07-13,213.06,-7,NA
2020-07-14,202.3,-33,3
2020-07-15,219.37,-32,3
2020-07-16,220.5,-34,3
2020-07-17,240.61,-25,NA
2020-07-18,244.72,-9,NA
2020-07-19,176.61,-16,NA
2020-07-20,224.8,-7,NA
2020-07-21,216.1,-32,5
2020-07-22,208.02,-31,4
2020-07-23,219.03,-34,4
2020-07-24,255.72,-21,NA
2020-07-25,229.65,-17,NA
2020-07-26,203.38,-20,NA
2020-07-27,217.17,-7,NA
2020-07-28,201.22,-33,5
2020-07-29,206.46,-32,3
2020-07-30,240.31,-34,4
2020-07-31,248.19,-24,NA
2020-08-01,218.44,-11,NA
2020-08-02,188.55,-21,NA
2020-08-03,216.05,-6,NA
2020-08-04,191.63,-32,4
2020-08-05,217.51,-30,3
2020-08-06,242.56,-33,4
2020-08-07,236.06,-23,NA
2020-08-08,242.07,-15,NA
2020-08-09,165.22,-20,NA
2020-08-10,212.52,-7,NA
2020-08-11,203.03,-33,4
2020-08-12,203.28,-31,3
2020-08-13,211.89,-33,3
2020-08-14,237.43,-23,NA
2020-08-15,222.26,-14,NA
2020-08-16,169.42,-20,NA
2020-08-18,202.74,NA,3
2020-08-19,195.3,NA,4
2020-08-20,204.55,NA,3
2020-08-25,167.56,NA,4
2020-08-26,186.35,NA,2
2020-08-27,194.81,NA,3
2020-09-01,181.41,NA,2
2020-09-02,202.98,NA,1
2020-09-03,219.03,NA,0
2020-09-08,172.9,NA,0
2020-09-09,194.62,NA,0
2020-09-10,231.51,NA,-2
2020-09-11,304.79,-11,NA
2020-09-12,284.98,-5,NA
2020-09-13,165.17,-22,NA
2020-09-14,183.86,11,-5
2020-09-15,191.73,-21,-1
2020-09-16,200.24,-20,1
2020-09-17,242.51,-21,0
2020-09-18,266.78,-4,NA
2020-09-19,252.01,-11,NA
2020-09-20,138.8,-15,NA
2020-09-21,168.15,9,-3
2020-09-22,156.46,-23,2
2020-09-23,156.31,-20,2
2020-09-24,186.35,-19,3
2020-09-25,219.91,-8,2
2020-09-26,224.46,-12,NA
2020-09-27,124.8,-21,NA
2020-09-28,163.7,9,-2
2020-09-29,153.13,-19,2
2020-09-30,141.59,-20,2
2020-10-01,154.89,-19,0
2020-10-02,189.58,-12,0
2020-10-03,181.02,-10,NA
2020-10-04,110.52,-30,NA
2020-10-05,143.05,10,-4
2020-10-06,137.13,-18,0
2020-10-07,142.51,-19,1
2020-10-08,173.63,-19,2
2020-10-09,199.12,-16,2
2020-10-10,192.76,-15,NA
2020-10-11,106.36,-24,NA
2020-10-12,152.84,4,-1
2020-10-13,135.03,-18,2
2020-10-14,170.21,-18,3
2020-10-15,152.54,-18,1
2020-10-16,197.16,-13,2
2020-10-17,183.95,-15,NA
2020-10-18,120.84,-24,NA
2020-10-19,126.08,14,-2
2020-10-20,136.64,-16,3
2020-10-21,149.85,-16,4
2020-10-22,142.32,-17,2
2020-10-23,177.05,-14,4
2020-10-24,153.47,-17,NA
2020-10-25,84.15,-29,NA
2020-10-26,109.2,18,0
2020-10-27,126.37,-14,3
2020-10-28,119.28,-12,3
2020-10-29,146.77,-13,3
2020-10-30,162.57,-12,4
2020-10-31,153.38,-16,NA
2020-11-01,78.13,-31,NA
2020-11-02,116.14,19,-2
2020-11-03,125.2,-16,2
