date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,141.81,2,-1
2020-02-16,103.48,-2,-1
2020-02-17,105.85,-18,5
2020-02-18,108.4,2,0
2020-02-19,104.96,2,0
2020-02-20,113.66,2,0
2020-02-21,130.19,0,-1
2020-02-22,135.96,5,-3
2020-02-23,103.05,3,-3
2020-02-24,99.02,1,0
2020-02-25,98.89,0,2
2020-02-26,103.63,-1,1
2020-02-27,111.4,2,-1
2020-02-28,141.29,1,-1
2020-02-29,146,5,-4
2020-03-01,113.21,3,-3
2020-03-02,110.87,0,-1
2020-03-03,114.69,4,-1
2020-03-04,117.18,3,-1
2020-03-05,124.08,4,-1
2020-03-06,146.73,2,-1
2020-03-07,144.59,6,-4
2020-03-08,112.85,4,-3
2020-03-09,103.18,1,0
2020-03-10,105.45,1,0
2020-03-11,110.53,-1,0
2020-03-12,103.54,2,-1
2020-03-13,131.1,1,-1
2020-03-14,108.19,2,1
2020-03-15,85.79,0,1
2020-03-16,93.44,-5,3
2020-03-17,88.65,-18,7
2020-03-18,83.92,-21,10
2020-03-19,79.55,-24,12
2020-03-20,93.95,-28,13
2020-03-21,73.07,-20,10
2020-03-22,47.83,-29,11
2020-03-23,61.26,-35,16
2020-03-24,65.72,-36,17
2020-03-25,73.34,-36,15
2020-03-26,66.11,-37,17
2020-03-27,81.6,-37,18
2020-03-28,66.55,-27,12
2020-03-29,55.48,-29,11
2020-03-30,70.56,-36,14
2020-03-31,66.91,-37,16
2020-04-01,70.91,-38,15
2020-04-02,79.37,-39,16
2020-04-03,84.75,-40,17
2020-04-04,68.9,-29,13
2020-04-05,62.99,-31,9
2020-04-06,73.19,-37,14
2020-04-07,82.35,-39,15
2020-04-08,77.83,-39,16
2020-04-09,80.46,-40,17
2020-04-10,90.6,-47,20
2020-04-11,82.3,-33,11
2020-04-12,50.84,-38,10
2020-04-13,76.21,-39,16
2020-04-14,86.57,-39,16
2020-04-15,86.04,-38,16
2020-04-16,92.97,-37,15
2020-04-17,91.7,-40,20
2020-04-18,95.14,-24,10
2020-04-19,78.23,-28,8
2020-04-20,96.26,-36,13
2020-04-21,97.14,-36,15
2020-04-22,100.62,-36,15
2020-04-23,96.48,-36,15
2020-04-24,109.36,-38,17
2020-04-25,89.44,-27,11
2020-04-26,82.71,-25,7
2020-04-27,94.04,-35,14
2020-04-28,97,-37,8
2020-04-29,94.18,-37,17
2020-04-30,103.92,-36,15
2020-05-01,125.44,-35,14
2020-05-02,126.56,-23,5
2020-05-03,97.42,-23,6
2020-05-04,106.48,-32,12
2020-05-05,103.2,-35,15
2020-05-06,115.04,-34,12
2020-05-07,119.57,-33,12
2020-05-08,131.39,-35,15
2020-05-09,145.56,-20,6
2020-05-10,92.34,-26,6
2020-05-11,NA,-33,13
2020-05-12,NA,-34,12
2020-05-13,129.07,-33,12
2020-05-14,113.65,-34,15
2020-05-15,145.48,-34,13
2020-05-16,150.27,-18,5
2020-05-17,100.3,-23,8
2020-05-18,126.32,-31,12
2020-05-19,126.64,-32,13
2020-05-20,132.19,-31,11
2020-05-21,146.17,-31,11
2020-05-22,165.05,-33,11
2020-05-23,141.81,-18,5
2020-05-24,134.46,-21,2
2020-05-25,119.4,-70,19
2020-05-26,143.59,-31,10
2020-05-27,142.17,-30,11
2020-05-28,141.78,-29,11
2020-05-29,171.72,-29,9
2020-05-30,163.87,-7,2
2020-05-31,123.87,-14,3
2020-06-01,137.03,-29,9
2020-06-02,151.96,-28,9
2020-06-03,141.06,-27,8
2020-06-04,152.89,-27,8
2020-06-05,179.16,-30,8
2020-06-06,175.34,-10,0
2020-06-07,138.33,-13,1
2020-06-08,144.73,-26,7
2020-06-09,142.44,-27,10
2020-06-10,148.77,-27,9
2020-06-11,161.82,-25,6
2020-06-12,190.95,-28,7
2020-06-13,175.82,-6,0
2020-06-14,150.16,-9,0
2020-06-15,151.12,-26,6
2020-06-16,164.12,-26,7
2020-06-17,167.01,-26,6
2020-06-18,173.82,-25,5
2020-06-19,193.32,-28,5
2020-06-20,181.9,-9,0
2020-06-21,138.6,-10,-1
2020-06-22,155.34,-27,7
2020-06-23,164.27,-26,6
2020-06-24,173.23,-25,6
2020-06-25,184,-26,6
2020-06-26,197.99,-29,7
2020-06-27,189.71,-10,0
2020-06-28,159.99,-6,0
2020-06-29,160.14,-26,6
2020-06-30,168.81,-26,7
2020-07-01,186.08,-26,5
2020-07-02,197.48,-28,4
2020-07-03,196.09,-53,9
2020-07-04,171.96,-32,-1
2020-07-05,158.54,-16,-1
2020-07-06,167.02,-31,6
2020-07-07,168.2,-28,7
2020-07-08,172.47,-27,6
2020-07-09,185.14,-26,6
2020-07-10,207.41,-29,5
2020-07-11,199.23,-7,-1
2020-07-12,163.39,-8,0
2020-07-13,163.74,-26,5
2020-07-14,172.72,-26,6
2020-07-15,163.12,-26,7
2020-07-16,183.78,-25,5
2020-07-17,218.4,-27,5
2020-07-18,211.41,-8,-1
2020-07-19,148.88,-12,1
2020-07-20,162.67,-26,5
2020-07-21,157.59,-27,8
2020-07-22,166.1,-23,5
2020-07-23,188.18,-24,5
2020-07-24,210.78,-26,5
2020-07-25,217.55,-7,-2
2020-07-26,165.6,-11,0
2020-07-27,160.76,-27,6
2020-07-28,163.32,-26,6
2020-07-29,166.75,-25,6
2020-07-30,183.14,-27,6
2020-07-31,199.31,-27,4
2020-08-01,197.59,-11,-1
2020-08-02,161.3,-8,0
2020-08-03,160.01,-25,5
2020-08-04,163.39,-25,6
2020-08-05,170.25,-27,5
2020-08-06,177.32,-27,5
2020-08-07,201.84,-28,4
2020-08-08,201.24,-7,-2
2020-08-09,172.31,-11,-1
2020-08-10,162.04,-29,0
