date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,146.15,-5,0
2020-02-16,117.38,-2,-1
2020-02-17,139.72,-36,7
2020-02-18,117,1,0
2020-02-19,118.06,2,0
2020-02-20,126.42,1,0
2020-02-21,153.78,3,0
2020-02-22,142.95,-2,1
2020-02-23,118.63,-1,-1
2020-02-24,118.35,4,0
2020-02-25,116.88,1,0
2020-02-26,119.91,2,-1
2020-02-27,131.17,2,-1
2020-02-28,158.72,5,-2
2020-02-29,147.9,0,-1
2020-03-01,118.2,0,-2
2020-03-02,120.62,4,-1
2020-03-03,119.78,2,-1
2020-03-04,118.29,2,-1
2020-03-05,126.51,3,-1
2020-03-06,153.36,4,-1
2020-03-07,140.96,2,-1
2020-03-08,114.6,1,-1
2020-03-09,117.33,3,0
2020-03-10,112.71,0,2
2020-03-11,113.44,1,1
2020-03-12,117.54,1,0
2020-03-13,139.08,3,0
2020-03-14,123.5,-1,2
2020-03-15,98.58,0,1
2020-03-16,111.2,-4,5
2020-03-17,101.4,-10,6
2020-03-18,97.56,-26,9
2020-03-19,92.47,-29,11
2020-03-20,93.21,-33,14
2020-03-21,75.16,-21,11
2020-03-22,59.38,-25,9
2020-03-23,72.58,-39,15
2020-03-24,71.73,-42,16
2020-03-25,71.05,-43,16
2020-03-26,72.41,-43,16
2020-03-27,81.86,-39,17
2020-03-28,68.84,-25,12
2020-03-29,55.98,-30,11
2020-03-30,71.81,-41,15
2020-03-31,72.82,-44,15
2020-04-01,80.83,-43,15
2020-04-02,74.14,-44,16
2020-04-03,84.52,-42,16
2020-04-04,71.99,-27,12
2020-04-05,56.44,-32,11
2020-04-06,68.16,-46,19
2020-04-07,68.47,-46,18
2020-04-08,64.82,-49,20
2020-04-09,68.83,-49,21
2020-04-10,83.64,-47,20
2020-04-11,76.21,-29,13
2020-04-12,51.55,-32,10
2020-04-13,76.01,-44,15
2020-04-14,79.05,-44,15
2020-04-15,85.84,-43,14
2020-04-16,87.9,-43,15
2020-04-17,91.88,-40,17
2020-04-18,81.74,-24,12
2020-04-19,69.31,-26,9
2020-04-20,86.41,-41,14
2020-04-21,84.45,-43,15
2020-04-22,86.62,-43,14
2020-04-23,89.73,-43,14
2020-04-24,103.77,-40,15
2020-04-25,94.21,-22,10
