date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,133.84,5,NA
2020-02-16,103.91,2,NA
2020-02-17,93.99,2,NA
2020-02-18,93.71,0,NA
2020-02-19,91.52,5,NA
2020-02-20,104,1,NA
2020-02-21,139.47,3,NA
2020-02-22,146.04,4,NA
2020-02-23,113.54,4,NA
2020-02-24,106.29,6,NA
2020-02-25,106.39,4,NA
2020-02-26,86.75,7,NA
2020-02-27,100.95,4,NA
2020-02-28,130.22,6,NA
2020-02-29,176.17,4,NA
2020-03-01,109.72,2,NA
2020-03-02,84.27,5,NA
2020-03-03,99.81,4,NA
2020-03-04,113.16,5,NA
2020-03-05,109.63,-2,NA
2020-03-06,124.79,-4,NA
2020-03-07,143.09,4,NA
2020-03-08,129.27,2,NA
2020-03-09,102.29,-2,NA
2020-03-10,101.05,0,NA
2020-03-11,103.72,5,NA
2020-03-12,105.72,4,NA
2020-03-13,108.48,-2,NA
2020-03-14,123.07,4,NA
2020-03-15,99.71,4,NA
2020-03-16,84.56,-2,NA
2020-03-17,84.08,-4,NA
2020-03-18,69.4,-12,NA
2020-03-19,76.07,-21,NA
2020-03-20,90.18,-25,NA
2020-03-21,77.88,-13,NA
2020-03-22,67.4,-12,NA
2020-03-23,82.27,-24,NA
2020-03-24,84.75,-30,NA
2020-03-25,68.64,-33,NA
2020-03-26,78.46,-31,NA
2020-03-27,92.47,-31,NA
2020-03-28,72.93,-20,NA
2020-03-29,63.39,-23,NA
2020-03-30,95.61,-31,NA
2020-03-31,84.18,-33,NA
2020-04-01,95.14,-31,NA
2020-04-02,89.8,-34,NA
2020-04-03,89.9,-36,NA
2020-04-04,91.61,-20,NA
2020-04-05,78.36,-15,NA
2020-04-06,80.08,-33,NA
2020-04-07,75.98,-35,NA
2020-04-08,103.43,-34,NA
2020-04-09,84.75,-38,NA
2020-04-10,87.04,-44,NA
2020-04-11,87.61,-29,NA
2020-04-12,59.39,-33,NA
2020-04-13,71.21,-35,NA
2020-04-14,78.93,-34,NA
2020-04-15,85.22,-34,NA
2020-04-16,86.08,-34,NA
2020-04-17,96.57,-36,NA
2020-04-18,115.35,-27,NA
2020-04-19,99.33,-19,NA
2020-04-20,85.13,-34,NA
2020-04-21,90.37,-32,NA
2020-04-22,91.04,-34,NA
2020-04-23,82.27,-35,NA
2020-04-24,105.72,-38,NA
2020-04-25,104.39,-28,NA
2020-04-26,105.72,-23,NA
2020-04-27,90.85,-33,NA
2020-04-28,92.56,-32,NA
2020-04-29,83.89,-34,NA
2020-04-30,107.15,-35,NA
2020-05-01,117.06,-37,NA
2020-05-02,146.62,-20,NA
2020-05-03,110.2,-17,NA
2020-05-04,99.62,-30,NA
2020-05-05,115.92,-29,NA
2020-05-06,123.93,-30,NA
2020-05-07,99.71,-30,NA
2020-05-08,133.65,-33,NA
2020-05-09,139.66,-20,NA
2020-05-10,84.75,-10,NA
2020-05-11,NA,-30,NA
2020-05-12,NA,-29,NA
2020-05-13,135.46,-30,NA
2020-05-14,125.26,-31,NA
2020-05-15,168.54,-33,NA
2020-05-16,173.69,-19,NA
2020-05-17,108.39,-20,NA
2020-05-18,114.2,-29,NA
2020-05-19,133.84,-27,NA
2020-05-20,148.05,-26,NA
2020-05-21,155.2,-29,NA
2020-05-22,180.84,-33,NA
2020-05-23,173.69,-13,NA
2020-05-24,164.63,-16,NA
2020-05-25,149.09,-70,NA
2020-05-26,151.57,-25,NA
2020-05-27,167.49,-22,NA
2020-05-28,138.8,-25,NA
2020-05-29,192.85,-25,NA
2020-05-30,172.83,-5,NA
2020-05-31,170.83,0,NA
2020-06-01,133.46,-21,NA
2020-06-02,176.36,-23,NA
2020-06-03,170.16,-20,NA
2020-06-04,158.34,-20,NA
2020-06-05,196.85,-25,NA
2020-06-06,214.39,2,NA
2020-06-07,169.21,-9,NA
2020-06-08,181.41,-17,NA
2020-06-09,161.39,-20,NA
2020-06-10,147.66,-19,NA
2020-06-11,182.65,-22,NA
2020-06-12,228.12,-26,NA
2020-06-13,227.36,2,NA
2020-06-14,192.66,-5,NA
2020-06-15,163.58,-19,NA
2020-06-16,184.08,-22,NA
2020-06-17,191.04,-20,NA
2020-06-18,218.49,-21,NA
2020-06-19,255.58,-26,NA
2020-06-20,190.94,0,NA
2020-06-21,184.94,3,NA
2020-06-22,164.44,-21,NA
2020-06-23,198.38,-21,NA
2020-06-24,192.66,-19,NA
2020-06-25,209.44,-24,NA
2020-06-26,237.94,-29,NA
2020-06-27,311.15,4,NA
2020-06-28,266.44,3,NA
2020-06-29,207.15,-22,NA
2020-06-30,213.06,-25,NA
2020-07-01,224.88,-22,NA
2020-07-02,253.29,-29,NA
2020-07-03,255.67,-52,NA
2020-07-04,253.67,-14,NA
2020-07-05,236.8,1,NA
2020-07-06,251.67,-30,NA
2020-07-07,231.55,-25,NA
2020-07-08,229.74,-21,NA
2020-07-09,235.37,-24,NA
2020-07-10,293.04,-27,NA
2020-07-11,339.94,0,NA
2020-07-12,259.68,1,NA
2020-07-13,227.07,-19,NA
2020-07-14,210.77,-22,NA
2020-07-15,201.72,-23,NA
2020-07-16,254.72,-22,NA
2020-07-17,307.15,-23,NA
2020-07-18,326.41,6,NA
2020-07-19,299.43,7,NA
2020-07-20,237.18,-21,NA
2020-07-21,228.88,-22,NA
2020-07-22,234.13,-18,NA
2020-07-23,257.96,-21,NA
2020-07-24,295.04,-27,NA
2020-07-25,325.07,-8,NA
2020-07-26,223.55,-4,NA
2020-07-27,213.82,-19,NA
2020-07-28,213.82,-21,NA
2020-07-29,213.44,-24,NA
2020-07-30,241.09,-24,NA
2020-07-31,257.58,-24,NA
2020-08-01,315.73,5,NA
2020-08-02,215.06,-3,NA
2020-08-03,202.57,-20,NA
2020-08-04,197.14,-22,NA
2020-08-05,219.45,-21,NA
2020-08-06,221.26,-20,NA
2020-08-07,282.65,-25,NA
2020-08-08,253.57,-3,NA
2020-08-09,228.12,-7,NA
2020-08-10,187.04,-21,NA
2020-08-11,211.44,-23,NA
2020-08-12,210.96,-20,NA
2020-08-13,222.78,-22,NA
2020-08-14,277.03,-26,NA
2020-08-15,270.26,1,NA
2020-08-16,255.1,-12,NA
2020-09-11,227.36,-23,NA
2020-09-12,213.25,-9,NA
2020-09-13,184.08,-4,NA
2020-09-14,171.4,-19,NA
2020-09-15,168.83,-19,NA
2020-09-16,186.94,-19,NA
2020-09-17,190.09,-21,NA
2020-09-18,252.91,-21,NA
2020-09-19,265.49,-8,NA
2020-09-20,184.75,-6,NA
2020-09-21,158.15,-21,NA
2020-09-22,165.4,-22,NA
2020-09-23,174.17,-17,5
2020-09-24,194.57,-21,5
2020-09-25,243.57,-26,NA
2020-09-26,281.89,-3,NA
2020-09-27,202.38,-12,NA
2020-09-28,154.05,-18,NA
2020-09-29,148.05,-21,NA
2020-09-30,155.1,-19,NA
2020-10-01,180.55,-20,NA
2020-10-02,216.02,-25,NA
2020-10-03,233.65,-6,NA
2020-10-04,210.87,-2,NA
2020-10-05,176.45,-22,NA
2020-10-06,153.19,-21,6
2020-10-07,158.72,-21,6
2020-10-08,172.83,-20,5
2020-10-09,225.07,-24,NA
2020-10-10,269.78,-3,NA
2020-10-11,201.91,-1,NA
2020-10-12,163.49,-23,NA
2020-10-13,156.63,-20,NA
2020-10-14,157.77,-19,NA
2020-10-15,166.35,-20,NA
2020-10-16,205.34,-25,NA
2020-10-17,183.6,0,NA
2020-10-18,150.71,-2,NA
2020-10-19,126.88,-19,4
2020-10-20,142.33,-18,NA
2020-10-21,156.05,-18,6
2020-10-22,131.74,-20,NA
2020-10-23,189.51,-26,NA
2020-10-24,185.41,3,NA
2020-10-25,124.4,-1,NA
2020-10-26,124.79,-18,NA
2020-10-27,132.22,-19,6
2020-10-28,146.81,-17,NA
2020-10-29,154.05,-21,6
2020-10-30,174.26,-24,NA
2020-10-31,157.29,-8,NA
2020-11-01,102.29,-9,NA
2020-11-02,116.68,-20,NA
2020-11-03,122.69,-22,6
