date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,145.43,-3,0
2020-02-16,118.07,-2,-1
2020-02-17,132.54,-40,7
2020-02-18,136.04,-8,1
2020-02-19,138.36,-7,0
2020-02-20,142.81,-6,0
2020-02-21,154.73,-7,1
2020-02-22,144.79,-1,-1
2020-02-23,108.54,1,0
2020-02-24,124.71,4,-1
2020-02-25,135.08,1,0
2020-02-26,140.98,1,-1
2020-02-27,154.27,2,-1
2020-02-28,165.56,1,0
2020-02-29,153.3,1,-1
2020-03-01,114.72,1,0
2020-03-02,122.29,0,1
2020-03-03,123.11,-5,3
2020-03-04,124.73,-8,3
2020-03-05,121.87,-16,7
2020-03-06,131.37,-22,9
2020-03-07,123.78,-5,4
2020-03-08,94.41,-6,3
2020-03-09,108.15,-25,9
2020-03-10,108.27,-27,10
2020-03-11,104.55,-27,10
2020-03-12,100.02,-32,12
2020-03-13,102.23,-37,15
2020-03-14,90.17,-13,7
2020-03-15,72.15,-15,6
2020-03-16,80.45,-45,16
2020-03-17,74.32,-51,20
2020-03-18,73.59,-53,21
2020-03-19,74.08,-55,22
2020-03-20,79.99,-55,23
2020-03-21,66.42,-36,13
2020-03-22,51.06,-38,12
2020-03-23,59.28,-58,23
2020-03-24,57.95,-62,27
2020-03-25,54.65,-65,27
2020-03-26,48.8,-68,30
2020-03-27,52.18,-68,31
2020-03-28,46.64,-48,18
2020-03-29,42.02,-47,15
2020-03-30,46.95,-69,28
2020-03-31,50.11,-70,30
2020-04-01,51.79,-70,29
2020-04-02,50.96,-70,30
2020-04-03,56.97,-69,31
2020-04-04,52.87,-48,17
2020-04-05,43.02,-48,15
2020-04-06,52.25,-69,27
2020-04-07,54.22,-70,29
2020-04-08,56.05,-70,28
2020-04-09,57.83,-70,29
2020-04-10,64.8,-70,30
2020-04-11,57.4,-48,17
2020-04-12,43.94,-49,14
2020-04-13,55.29,-68,27
2020-04-14,57.23,-68,29
2020-04-15,61.16,-68,28
2020-04-16,63.21,-68,28
2020-04-17,69.11,-67,29
2020-04-18,60.84,-45,17
2020-04-19,54.81,-44,13
2020-04-20,62.61,-67,26
2020-04-21,58.74,-67,29
2020-04-22,58.37,-67,29
2020-04-23,62.96,-67,29
2020-04-24,71.65,-66,29
2020-04-25,67.24,-45,16
2020-04-26,56.39,-44,13
2020-04-27,62.91,-65,26
2020-04-28,64.28,-66,19
2020-04-29,66.31,-66,27
2020-04-30,69.4,-66,27
2020-05-01,81.3,-64,27
2020-05-02,69.04,-44,16
2020-05-03,61.54,-40,12
2020-05-04,69.34,-63,25
2020-05-05,77.38,-64,25
2020-05-06,73.99,-64,26
2020-05-07,82.17,-63,25
2020-05-08,96.93,-62,24
2020-05-09,95.6,-38,11
2020-05-10,74.61,-35,8
2020-05-11,NA,-62,24
2020-05-12,NA,-62,26
2020-05-13,83.26,-62,25
2020-05-14,86.44,-62,26
2020-05-15,105.5,-61,24
2020-05-16,87.2,-38,14
2020-05-17,78.85,-33,11
2020-05-18,89.18,-60,23
2020-05-19,91.9,-61,25
2020-05-20,90.66,-61,25
2020-05-21,93.1,-61,26
2020-05-22,111.4,-60,24
2020-05-23,103.49,-32,11
2020-05-24,90.24,-32,8
2020-05-25,76.81,-81,27
2020-05-26,96.21,-60,23
2020-05-27,104.01,-59,22
2020-05-28,105.73,-58,23
2020-05-29,121.46,-57,22
2020-05-30,96.73,-29,15
2020-05-31,84.57,-26,11
2020-06-01,101.16,-58,22
2020-06-02,101.67,-59,24
2020-06-03,109.9,-58,22
2020-06-04,108.16,-58,23
2020-06-05,122.14,-57,22
2020-06-06,111.39,-24,10
2020-06-07,92.47,-24,9
2020-06-08,104.33,-56,21
2020-06-09,104.35,-58,24
2020-06-10,116.12,-57,21
2020-06-11,119.6,-57,22
2020-06-12,137.21,-57,22
2020-06-13,118.1,-21,10
2020-06-14,106.45,-20,7
2020-06-15,109.26,-57,21
2020-06-16,120.72,-57,21
2020-06-17,127,-56,20
2020-06-18,135.45,-56,19
2020-06-19,153.2,-56,17
2020-06-20,130.08,-20,7
2020-06-21,107.2,-18,4
2020-06-22,133.69,-57,18
2020-06-23,133.89,-58,19
2020-06-24,134.24,-56,19
2020-06-25,145.64,-56,19
2020-06-26,156.9,-56,18
2020-06-27,129.61,-22,8
2020-06-28,113.12,-17,6
2020-06-29,130.73,-55,18
2020-06-30,130.29,-56,20
2020-07-01,136,-56,19
2020-07-02,146.23,-57,18
2020-07-03,140.79,-70,19
2020-07-04,105.24,-33,6
2020-07-05,108.22,-22,3
2020-07-06,128.48,-58,17
2020-07-07,130.14,-58,20
2020-07-08,138.31,-56,19
2020-07-09,142.16,-56,20
2020-07-10,158.24,-55,18
2020-07-11,139.55,-19,6
2020-07-12,115.5,-19,6
2020-07-13,135.78,-56,17
2020-07-14,142.52,-57,19
2020-07-15,147.11,-56,18
2020-07-16,143.81,-56,19
2020-07-17,154.3,-56,18
2020-07-18,150.1,-18,4
2020-07-19,129.66,-19,3
2020-07-20,140.49,-57,17
2020-07-21,143.31,-57,18
2020-07-22,139.06,-56,18
2020-07-23,141.39,-56,19
2020-07-24,162.18,-55,18
2020-07-25,153.35,-19,5
2020-07-26,130.59,-18,3
2020-07-27,142.84,-57,16
2020-07-28,142.57,-57,18
2020-07-29,147.38,-56,17
2020-07-30,153.64,-56,18
2020-07-31,168.4,-56,17
2020-08-01,151.27,-20,5
2020-08-02,129.62,-19,3
2020-08-03,140.09,-57,17
2020-08-04,148.46,-57,18
2020-08-05,150.81,-56,17
2020-08-06,147.8,-57,20
2020-08-07,167.98,-56,17
2020-08-08,143.52,-21,6
2020-08-09,132.58,-18,3
2020-08-10,140.78,-57,16
2020-08-11,142.58,-58,18
2020-08-12,145.11,-56,18
2020-08-13,150.46,-57,18
2020-08-14,170.04,-56,16
2020-08-15,157.07,-20,4
2020-08-16,135.86,-20,2
2020-08-17,143.32,-57,16
2020-08-18,142.52,-57,18
2020-08-19,146.9,-56,17
2020-08-20,150.67,-56,18
2020-08-21,161.68,-56,18
2020-08-22,154.39,-19,5
2020-08-23,131.94,-18,3
2020-08-24,138.08,-56,16
2020-08-25,143.66,-57,18
2020-08-26,148.43,-56,17
2020-08-27,151.83,-55,17
2020-08-28,168.9,-55,16
2020-08-29,149.88,-19,5
2020-08-30,129.61,-16,3
2020-08-31,139.79,-56,16
2020-09-01,148.47,-56,17
2020-09-02,149.26,-56,17
2020-09-03,152.95,-56,17
