date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,181.23,3,-1
2020-02-16,138.54,6,-1
2020-02-17,115.39,-3,2
2020-02-18,119,3,-1
2020-02-19,116.63,2,0
2020-02-20,124.6,1,0
2020-02-21,166.79,2,0
2020-02-22,181.11,5,-2
2020-02-23,130.87,6,-2
2020-02-24,115.22,3,0
2020-02-25,116.17,3,-1
2020-02-26,120.43,3,-1
2020-02-27,133.02,2,-1
2020-02-28,178.93,1,0
2020-02-29,179.12,5,-2
2020-03-01,132.5,7,-3
2020-03-02,117.72,4,-1
2020-03-03,124.45,2,-1
2020-03-04,129.9,3,-1
2020-03-05,136.06,2,1
2020-03-06,178.17,-2,0
2020-03-07,200.9,6,-2
2020-03-08,141.11,5,-3
2020-03-09,117.43,0,1
2020-03-10,122.36,3,-1
2020-03-11,124.49,3,0
2020-03-12,126.32,1,1
2020-03-13,142.99,-2,2
2020-03-14,115.74,3,3
2020-03-15,85.91,-1,2
2020-03-16,83.26,-5,3
2020-03-17,82.49,-13,6
2020-03-18,72.6,-26,13
2020-03-19,69.86,-34,18
2020-03-20,84.27,-35,19
2020-03-21,72.51,-26,14
2020-03-22,60.65,-26,11
2020-03-23,68.26,-37,16
2020-03-24,63.48,-43,19
2020-03-25,53.79,-48,22
2020-03-26,55.97,-49,23
2020-03-27,69.52,-48,24
2020-03-28,54.83,-36,18
2020-03-29,50.49,-35,13
2020-03-30,63.19,-47,18
2020-03-31,65.71,-49,20
2020-04-01,64.76,-48,20
2020-04-02,67.93,-49,21
2020-04-03,71.34,-48,26
2020-04-04,72.54,-36,16
2020-04-05,60.8,-33,11
2020-04-06,67.73,-46,19
2020-04-07,73.1,-49,20
2020-04-08,73.84,-49,22
2020-04-09,71.91,-50,22
2020-04-10,82.67,-53,24
2020-04-11,72.15,-36,14
2020-04-12,41.41,-42,14
2020-04-13,66.08,-47,21
2020-04-14,67.65,-47,22
2020-04-15,78.95,-48,21
2020-04-16,83.85,-47,22
2020-04-17,96.71,-46,23
2020-04-18,93.96,-31,12
2020-04-19,78.91,-30,10
2020-04-20,87.86,-45,19
2020-04-21,86.04,-46,19
2020-04-22,95.39,-46,18
2020-04-23,96.03,-46,20
2020-04-24,103.72,-45,21
2020-04-25,99.05,-29,11
2020-04-26,83.6,-30,7
2020-04-27,90.88,-43,17
2020-04-28,88.39,-45,13
2020-04-29,90.73,-46,19
2020-04-30,105.9,-45,17
2020-05-01,119.85,-44,18
2020-05-02,110.81,-27,8
2020-05-03,90.07,-25,6
2020-05-04,103.59,-42,15
2020-05-05,104.23,-43,18
2020-05-06,108.49,-43,16
2020-05-07,111.6,-43,17
2020-05-08,133.15,-41,19
