date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,133.77,-1,-2
2020-02-16,117.26,3,-1
2020-02-17,112.39,-18,5
2020-02-18,110.93,2,0
2020-02-19,107.11,2,0
2020-02-20,117.07,2,0
2020-02-21,137.65,4,-1
2020-02-22,150.05,3,-4
2020-02-23,122.3,5,-2
2020-02-24,102.27,4,0
2020-02-25,102.36,0,2
2020-02-26,104.81,-1,1
2020-02-27,126.5,3,0
2020-02-28,135.72,4,0
2020-02-29,143.33,1,-4
2020-03-01,127.04,4,-3
2020-03-02,108.12,0,0
2020-03-03,109.66,1,0
2020-03-04,118.1,1,-1
2020-03-05,117.44,1,0
2020-03-06,146.49,1,0
2020-03-07,152.55,2,-4
2020-03-08,134.49,0,-2
2020-03-09,102.67,0,2
2020-03-10,110.65,-1,1
2020-03-11,113.26,-1,0
2020-03-12,111.78,1,0
2020-03-13,129.99,0,0
2020-03-14,121.7,-2,1
2020-03-15,98.07,0,2
2020-03-16,95.28,-6,3
2020-03-17,92.61,-19,7
2020-03-18,86.57,-24,10
2020-03-19,84.6,-24,11
2020-03-20,96.59,-25,12
2020-03-21,75.99,-19,9
2020-03-22,51.45,-30,11
2020-03-23,65.49,-37,16
2020-03-24,70.84,-40,17
2020-03-25,78.79,-39,15
2020-03-26,72.48,-38,17
2020-03-27,80.29,-39,19
2020-03-28,65.78,-31,12
2020-03-29,56.28,-32,11
2020-03-30,71.74,-37,14
2020-03-31,69.74,-39,16
2020-04-01,72.77,-38,14
2020-04-02,77.35,-39,15
2020-04-03,85.28,-39,17
2020-04-04,75.51,-33,11
2020-04-05,59.9,-30,9
2020-04-06,79.49,-38,15
2020-04-07,83.64,-39,14
2020-04-08,80.71,-40,15
2020-04-09,85.75,-39,17
2020-04-10,92.05,-47,19
2020-04-11,80.98,-33,10
2020-04-12,49.01,-41,10
2020-04-13,78.95,-39,16
2020-04-14,82.63,-39,17
2020-04-15,86.78,-40,16
2020-04-16,86.55,-38,16
2020-04-17,89.56,-39,20
2020-04-18,95.11,-27,9
2020-04-19,77.32,-27,7
2020-04-20,93.78,-36,13
2020-04-21,91.59,-38,14
2020-04-22,92.97,-39,14
2020-04-23,94.35,-37,14
2020-04-24,104.08,-36,17
2020-04-25,90.54,-32,12
2020-04-26,84.09,-25,6
2020-04-27,92.15,-35,13
2020-04-28,96.86,-36,8
2020-04-29,91.36,-39,16
2020-04-30,105.37,-36,14
2020-05-01,125.97,-34,13
2020-05-02,122.35,-25,5
2020-05-03,95.33,-23,5
2020-05-04,105.86,-34,12
2020-05-05,96.34,-37,15
2020-05-06,112.33,-35,12
2020-05-07,111.7,-34,13
2020-05-08,133.12,-33,14
2020-05-09,135.48,-22,5
2020-05-10,89.54,-23,7
2020-05-11,NA,-32,12
2020-05-12,NA,-34,11
2020-05-13,126.53,-34,11
2020-05-14,121.19,-34,14
2020-05-15,150.54,-33,13
2020-05-16,144.84,-20,5
2020-05-17,110.16,-24,8
2020-05-18,127.98,-32,12
2020-05-19,133.15,-34,13
2020-05-20,140.46,-33,11
2020-05-21,146.66,-32,11
2020-05-22,173.55,-31,11
2020-05-23,150.86,-23,5
2020-05-24,142.52,-18,2
2020-05-25,126.01,-70,19
2020-05-26,139.91,-29,10
2020-05-27,145.37,-28,10
2020-05-28,151.21,-29,11
2020-05-29,184.06,-27,9
2020-05-30,209.83,-9,1
2020-05-31,190.03,-12,1
2020-06-01,147.42,-27,8
2020-06-02,158.27,-27,8
2020-06-03,144.58,-27,9
2020-06-04,178.9,-26,8
2020-06-05,197.74,-25,8
2020-06-06,246.77,-12,0
2020-06-07,233.62,-12,1
2020-06-08,180.07,-25,6
2020-06-09,153.19,-28,9
2020-06-10,165.19,-26,8
2020-06-11,201.23,-27,6
2020-06-12,236.53,-26,6
2020-06-13,285.05,-10,-1
2020-06-14,278.73,-10,-1
2020-06-15,190.32,-24,5
2020-06-16,189.21,-26,6
2020-06-17,200.43,-25,5
2020-06-18,202.87,-26,6
2020-06-19,230.54,-26,5
2020-06-20,218.47,-12,0
2020-06-21,195.9,-9,-1
2020-06-22,167.44,-26,7
2020-06-23,202.83,-27,6
2020-06-24,194.27,-26,5
2020-06-25,214.03,-24,5
2020-06-26,230.34,-27,6
2020-06-27,233.3,-9,0
2020-06-28,238.08,-7,0
2020-06-29,184.87,-26,6
2020-06-30,185.84,-27,6
2020-07-01,209.09,-26,5
2020-07-02,229.68,-28,4
2020-07-03,262.22,-52,10
2020-07-04,215.31,-32,-1
2020-07-05,222.38,-13,0
2020-07-06,196.74,-30,6
2020-07-07,193.64,-28,7
2020-07-08,195.59,-27,5
2020-07-09,195.59,-26,6
2020-07-10,229.76,-25,5
2020-07-11,237.89,-7,-1
2020-07-12,230.49,-10,0
2020-07-13,191.69,-27,5
2020-07-14,191.26,-26,6
2020-07-15,180.79,-26,7
2020-07-16,205.78,-25,5
2020-07-17,249.85,-27,6
2020-07-18,253.41,-12,0
2020-07-19,200.52,-11,2
2020-07-20,189.82,-25,5
2020-07-21,180.01,-27,7
2020-07-22,205.78,-25,5
2020-07-23,210.6,-25,5
2020-07-24,240.96,-25,5
2020-07-25,268.87,-9,-2
2020-07-26,234.36,-9,0
2020-07-27,185.55,-26,6
2020-07-28,200.3,-26,6
2020-07-29,203.22,-26,5
2020-07-30,204.99,-27,6
2020-07-31,238.7,-26,5
2020-08-01,258.23,-13,-1
2020-08-02,211.46,-7,0
2020-08-03,185.79,-27,5
2020-08-04,200.3,-26,5
2020-08-05,198.74,-25,5
2020-08-06,208.67,-25,5
2020-08-07,245.39,-26,5
2020-08-08,265.9,-9,-1
2020-08-09,219.7,-11,1
2020-08-10,163.27,-28,-2
2020-08-11,187.41,-33,-4
2020-08-12,206.15,-28,0
2020-08-13,211.32,-25,3
2020-08-14,242.75,-25,4
2020-08-15,229.03,-9,-1
2020-08-16,206.95,-8,-1
2020-08-17,168.97,-25,5
2020-08-18,173.78,-23,5
2020-08-19,175.65,-22,4
2020-08-20,183.51,-20,4
2020-08-21,197.54,-20,5
2020-08-22,217.52,NA,-1
2020-08-23,177.73,NA,1
2020-08-24,161.03,-21,5
2020-08-25,157.25,-20,6
2020-08-26,159.09,-19,6
2020-08-27,164.8,-16,5
2020-08-28,189.04,-17,6
2020-08-29,214.19,NA,-2
2020-08-30,174.43,NA,0
2020-08-31,150.51,-16,4
2020-09-01,147.64,-16,6
2020-09-02,170.62,-15,4
2020-09-03,170.91,-15,4
2020-09-04,225.36,-15,3
2020-09-05,253.9,NA,-2
2020-09-06,180.09,NA,1
2020-09-07,213.31,-63,14
2020-09-08,141.38,-18,7
2020-09-09,148.53,-9,4
2020-09-10,161.61,-10,4
2020-09-11,186.13,-11,4
2020-09-12,178.19,1,0
2020-09-13,174.52,3,-1
2020-09-14,155.06,-9,3
2020-09-15,164.53,-8,4
2020-09-16,165,-11,3
2020-09-17,163.53,-9,4
2020-09-18,192.76,-9,3
2020-09-19,228.75,5,-3
2020-09-20,171.53,4,0
2020-09-21,147.88,-10,3
2020-09-22,152.53,-9,4
2020-09-23,153.61,-8,4
2020-09-24,161.57,-6,4
2020-09-25,231.97,-7,4
2020-09-26,228.98,4,-2
2020-09-27,170.14,5,0
2020-09-28,140.64,-7,4
2020-09-29,141.29,-7,4
2020-09-30,144.67,-8,4
2020-10-01,147.04,-6,4
2020-10-02,203.98,-4,4
2020-10-03,196.62,6,-1
2020-10-04,152.08,6,0
2020-10-05,134.65,-9,4
2020-10-06,143.34,-9,3
2020-10-07,149.08,-9,3
2020-10-08,159.04,-7,3
2020-10-09,211.73,-12,3
2020-10-10,257.93,4,-3
2020-10-11,215.91,8,-2
2020-10-12,153.32,-20,6
2020-10-13,145.71,-8,4
2020-10-14,147.59,-9,4
2020-10-15,154.39,-7,5
2020-10-16,183.92,-7,5
2020-10-17,203.75,2,0
2020-10-18,133.38,-2,3
2020-10-19,131.45,-9,5
2020-10-20,136.33,-8,6
2020-10-21,142.29,-7,5
2020-10-22,148.15,-5,4
2020-10-23,164.18,-8,7
2020-10-24,192.6,10,0
2020-10-25,131.97,7,2
2020-10-26,125.19,-9,6
2020-10-27,128.14,-9,6
2020-10-28,133.46,-8,5
2020-10-29,132.85,-7,5
2020-10-30,162.13,-8,5
2020-10-31,161.36,3,-1
2020-11-01,113.7,4,3
2020-11-02,122.75,-9,5
2020-11-03,144.07,-17,6
