date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,132.82,5,NA
2020-02-16,89.6,-3,NA
2020-02-17,112.26,-16,4
2020-02-18,102.06,2,1
2020-02-19,107.39,3,0
2020-02-20,107.47,0,2
2020-02-21,127.46,3,1
2020-02-22,123.91,6,NA
2020-02-23,81.75,2,NA
2020-02-24,107.56,3,1
2020-02-25,104.46,6,-2
2020-02-26,104.09,4,0
2020-02-27,119.12,4,-2
2020-02-28,151.9,2,-2
2020-02-29,152.06,13,NA
2020-03-01,101.36,4,NA
2020-03-02,108.55,3,0
2020-03-03,114,2,-2
2020-03-04,116.56,2,-1
2020-03-05,121.18,4,-2
2020-03-06,140.26,1,0
2020-03-07,141.95,8,NA
2020-03-08,92.94,5,NA
2020-03-09,123.45,3,0
2020-03-10,119.36,1,0
2020-03-11,114,1,0
2020-03-12,101.9,2,0
2020-03-13,126.84,-1,1
2020-03-14,129.89,6,NA
2020-03-15,78.82,0,NA
2020-03-16,100.99,-11,4
2020-03-17,103.43,-13,4
2020-03-18,95.83,-15,7
2020-03-19,101.11,-18,6
2020-03-20,105.74,-20,11
2020-03-21,95.5,-7,NA
2020-03-22,63.67,-18,NA
2020-03-23,90.01,-24,11
2020-03-24,79.64,-25,13
2020-03-25,91.45,-26,11
2020-03-26,95.25,-27,10
2020-03-27,118.21,-30,12
2020-03-28,96.78,-13,NA
2020-03-29,74.65,-28,NA
2020-03-30,80.06,-27,11
2020-03-31,75.72,-34,14
2020-04-01,84.35,-33,13
2020-04-02,93.06,-34,13
2020-04-03,86.29,-36,15
2020-04-04,79.27,-22,NA
2020-04-05,66.18,-32,NA
2020-04-06,89.39,-36,13
2020-04-07,79.48,-38,14
2020-04-08,83.65,-38,15
2020-04-09,100.5,-40,13
2020-04-10,100.99,-49,NA
2020-04-11,94.34,-26,NA
2020-04-12,44.76,-49,NA
2020-04-13,82.2,-37,15
2020-04-14,89.97,-36,13
2020-04-15,93.44,-37,13
2020-04-16,108.26,-36,13
2020-04-17,128.12,-37,14
2020-04-18,106.52,-24,NA
2020-04-19,78.61,-33,NA
2020-04-20,107.89,-33,12
2020-04-21,110.86,-35,10
2020-04-22,99.75,-38,13
2020-04-23,102.93,-37,16
2020-04-24,126.26,-37,14
2020-04-25,107.06,-21,NA
2020-04-26,89.22,-31,NA
2020-04-27,115.28,-32,11
2020-04-28,127.25,-33,4
2020-04-29,122.83,-36,13
2020-04-30,125.19,-36,10
2020-05-01,135.92,-35,10
2020-05-02,151.78,-19,NA
2020-05-03,99.3,-26,NA
2020-05-04,119.03,-31,9
2020-05-05,112.92,-31,8
2020-05-06,124.36,-32,10
2020-05-07,132,-31,9
2020-05-08,146.66,-33,14
2020-05-09,157.43,-14,NA
2020-05-10,98.02,-22,NA
2020-05-11,NA,-29,9
2020-05-12,NA,-29,9
2020-05-13,135.76,-30,9
2020-05-14,136.42,-31,8
2020-05-15,162.72,-31,9
2020-05-16,173.49,-11,NA
2020-05-17,108.79,-21,NA
2020-05-18,148.64,-28,8
2020-05-19,147.23,-29,7
2020-05-20,144.34,-29,8
2020-05-21,164.62,-30,7
2020-05-22,166.39,-33,10
2020-05-23,183.15,-12,NA
2020-05-24,130.35,-21,NA
2020-05-25,134.19,-69,NA
2020-05-26,140.21,-26,8
2020-05-27,149.05,-26,10
2020-05-28,158.22,-24,8
2020-05-29,178.61,-27,7
2020-05-30,234.81,-5,NA
2020-05-31,174.32,-14,NA
2020-06-01,156.73,-22,5
2020-06-02,151.53,-23,4
2020-06-03,151.45,-26,5
2020-06-04,156.28,-25,5
2020-06-05,194.63,-27,7
2020-06-06,246.66,-15,NA
2020-06-07,180.31,-14,NA
2020-06-08,152.85,-26,7
2020-06-09,148.72,-26,6
2020-06-10,167.63,-24,6
2020-06-11,182.04,-24,5
2020-06-12,206.19,-28,5
2020-06-13,268.54,-7,NA
2020-06-14,170.6,-16,NA
2020-06-15,157.8,-24,5
2020-06-16,153.26,-22,4
2020-06-17,157.8,-24,5
2020-06-18,173.62,-24,4
2020-06-19,206.44,-27,5
2020-06-20,229.27,-11,NA
2020-06-21,119.98,-13,NA
2020-06-22,165.61,-26,6
2020-06-23,165.61,-30,5
2020-06-24,159.91,-29,6
2020-06-25,169.32,-26,5
2020-06-26,188.32,-27,7
2020-06-27,222.05,-11,NA
2020-06-28,127.17,-16,NA
2020-06-29,160.28,-26,7
2020-06-30,153.22,-28,7
2020-07-01,159.5,-29,8
2020-07-02,171.14,-33,5
2020-07-03,200.17,-54,NA
2020-07-04,174.11,-36,NA
2020-07-05,131.13,-25,NA
2020-07-06,149.92,-32,6
2020-07-07,165.77,-29,5
2020-07-08,172.05,-30,8
2020-07-09,175.23,-29,6
2020-07-10,199.88,-32,7
2020-07-11,234.6,-17,NA
2020-07-12,121.68,-23,NA
2020-07-13,162.68,-25,6
2020-07-14,163.13,-28,5
2020-07-15,165.15,-28,6
2020-07-16,170.81,-28,6
2020-07-17,209.79,-28,7
2020-07-18,222.21,-12,NA
2020-07-19,141.25,-18,NA
2020-07-20,164.86,-28,6
2020-07-21,151.94,-28,5
2020-07-22,161.07,-27,7
2020-07-23,160.12,-28,6
2020-07-24,192.4,-26,8
2020-07-25,234.15,-9,NA
2020-07-26,144.51,-19,NA
2020-07-27,158.88,-27,6
2020-07-28,167.51,-29,6
2020-07-29,150.7,-28,6
2020-07-30,163.17,-29,6
2020-07-31,192.61,-31,5
2020-08-01,191.95,-11,NA
2020-08-02,131.21,-10,NA
2020-08-03,160.16,-26,6
2020-08-04,171.35,-25,4
2020-08-05,165.65,-24,6
2020-08-06,170.15,-25,4
2020-08-07,192.32,-24,5
2020-08-08,215.77,-11,NA
2020-08-09,142.11,-18,NA
2020-08-10,162.22,-26,5
2020-08-11,152.56,-27,4
2020-08-12,149.09,-27,7
2020-08-13,175.93,-24,5
2020-08-14,178.94,-24,7
2020-08-15,205.2,-7,NA
2020-08-16,126.96,-19,NA
2020-08-17,149.34,NA,3
2020-08-18,156.94,NA,3
2020-08-19,156.56,NA,5
2020-08-20,161.81,NA,4
2020-08-21,185.51,NA,6
2020-08-24,149.75,NA,4
2020-08-25,147.44,NA,4
2020-08-26,150.99,NA,5
2020-08-27,155.08,NA,3
2020-08-28,140.96,NA,10
2020-08-31,165.44,NA,4
2020-09-01,161.97,NA,2
2020-09-02,158.67,NA,5
2020-09-03,169.12,NA,2
2020-09-04,190.71,NA,3
2020-09-07,156.65,-67,NA
2020-09-08,167.71,NA,1
2020-09-09,161.64,NA,1
2020-09-10,171.88,NA,-1
2020-09-11,190.83,-22,0
2020-09-12,202.39,-11,NA
2020-09-13,129.52,-21,NA
2020-09-14,153.22,-20,1
2020-09-15,152.85,-17,1
2020-09-16,154.54,-22,3
2020-09-17,171.51,-19,2
2020-09-18,185.22,-21,3
2020-09-19,211.31,-6,NA
2020-09-20,139.8,-20,NA
2020-09-21,148.55,-20,3
2020-09-22,158.88,-18,1
2020-09-23,149.22,-19,6
2020-09-24,139.93,-17,5
2020-09-25,185.76,-16,5
2020-09-26,197.19,-7,0
2020-09-27,132.2,-14,NA
2020-09-28,133.9,-16,5
2020-09-29,144.18,-16,2
2020-09-30,153.88,-19,2
2020-10-01,159.87,-19,-1
2020-10-02,191.74,-27,2
2020-10-03,198.51,-11,-3
2020-10-04,130.06,-21,NA
2020-10-05,160.4,-29,3
2020-10-06,163.34,-27,1
2020-10-07,158.05,-27,3
2020-10-08,175.31,-26,3
2020-10-09,190.92,-31,7
2020-10-10,172.3,-6,NA
2020-10-11,132.45,-12,NA
2020-10-12,153.3,-17,4
2020-10-13,161.52,-15,1
2020-10-14,157.89,-18,4
2020-10-15,158.59,-16,2
