date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,121.6,-5,NA
2020-02-16,90.19,-4,NA
2020-02-17,115.3,-11,2
2020-02-18,110.97,2,0
2020-02-19,108.83,0,1
2020-02-20,93.17,-4,5
2020-02-21,90.84,-38,19
2020-02-22,113.54,-2,NA
2020-02-23,87.82,-4,NA
2020-02-24,106.3,3,0
2020-02-25,114.6,-1,0
2020-02-26,119.54,2,-1
2020-02-27,125.56,1,-2
2020-02-28,144.4,2,-2
2020-02-29,135.31,0,NA
2020-03-01,95.61,3,NA
2020-03-02,109.79,2,-2
2020-03-03,122.21,0,-1
2020-03-04,116.07,1,-2
2020-03-05,120.38,1,0
2020-03-06,150.6,-1,1
2020-03-07,134.8,2,NA
2020-03-08,101.14,-8,NA
2020-03-09,119.01,1,-2
2020-03-10,119.07,1,-1
2020-03-11,122.84,-1,-1
2020-03-12,121.07,0,-1
2020-03-13,141.12,-4,0
2020-03-14,128.41,4,NA
2020-03-15,85.19,-11,NA
2020-03-16,107.93,-8,2
2020-03-17,98.08,-12,6
2020-03-18,98.06,-14,6
2020-03-19,102.92,-14,6
2020-03-20,109.59,-17,8
2020-03-21,83.87,-7,NA
2020-03-22,68.49,-21,NA
2020-03-23,85.05,-20,9
2020-03-24,81.48,-18,9
2020-03-25,79.3,-22,11
2020-03-26,80.15,-22,9
2020-03-27,100.73,-26,12
2020-03-28,87.25,-14,NA
2020-03-29,60.86,-25,NA
2020-03-30,83.64,-23,9
2020-03-31,72.12,-27,13
2020-04-01,78.93,-27,13
2020-04-02,82.28,-29,12
2020-04-03,90.76,-29,12
2020-04-04,77.93,-17,NA
2020-04-05,59.66,-31,NA
2020-04-06,82.24,-28,11
2020-04-07,82.6,-28,12
2020-04-08,87.35,-28,11
2020-04-09,88.52,-31,11
2020-04-10,93.74,-48,18
2020-04-11,82.95,-28,NA
2020-04-12,59.09,-35,NA
2020-04-13,73.59,-37,16
2020-04-14,89.7,-28,11
2020-04-15,92.05,-29,12
2020-04-16,103.43,-27,10
2020-04-17,115.09,-31,12
2020-04-18,97.96,-20,NA
2020-04-19,70.94,-31,NA
2020-04-20,93.86,-26,12
2020-04-21,97.45,-26,10
2020-04-22,102.06,-25,11
2020-04-23,99.94,-26,12
2020-04-24,115.07,-27,13
2020-04-25,97.92,-17,NA
