date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,129.2,2,-1
2020-02-16,90.54,-2,2
2020-02-17,98.53,-12,4
2020-02-18,100.33,1,0
2020-02-19,101.56,1,0
2020-02-20,106.68,2,1
2020-02-21,129.48,1,-1
2020-02-22,123.52,4,0
2020-02-23,90.7,3,0
2020-02-24,96.76,2,0
2020-02-25,97.57,2,1
2020-02-26,97.58,-1,1
2020-02-27,110.68,1,-1
2020-02-28,135.07,1,-2
2020-02-29,135.43,3,-2
2020-03-01,96.77,5,-2
2020-03-02,99.06,2,-1
2020-03-03,102.8,1,0
2020-03-04,101.18,1,0
2020-03-05,105.06,1,1
2020-03-06,132.41,2,-2
2020-03-07,127.38,5,-1
2020-03-08,94.76,4,-1
2020-03-09,100.18,1,0
2020-03-10,102.02,1,0
2020-03-11,104.95,0,-1
2020-03-12,110.47,-1,0
2020-03-13,122.69,-3,0
2020-03-14,89.04,-1,1
2020-03-15,62.75,-8,1
2020-03-16,69.46,-21,6
2020-03-17,67.11,-25,8
2020-03-18,61.45,-28,10
2020-03-19,60.38,-31,13
2020-03-20,63.36,-35,15
2020-03-21,53.17,-22,10
2020-03-22,42.29,-27,8
2020-03-23,52.33,-38,16
2020-03-24,51.54,-42,18
2020-03-25,50.31,-43,18
2020-03-26,50.14,-44,20
2020-03-27,57.05,-43,21
2020-03-28,49.59,-28,12
2020-03-29,39.86,-36,11
2020-03-30,49.81,-44,18
2020-03-31,47.6,-47,21
2020-04-01,53.06,-47,19
2020-04-02,52.38,-48,21
2020-04-03,51.34,-50,24
2020-04-04,44.54,-34,14
2020-04-05,36.84,-40,13
2020-04-06,46.48,-53,21
2020-04-07,46.88,-54,23
2020-04-08,48.96,-55,23
2020-04-09,50.63,-54,24
2020-04-10,55.98,-55,25
2020-04-11,48.78,-34,14
2020-04-12,30.94,-49,13
2020-04-13,47.66,-54,23
2020-04-14,49,-54,24
2020-04-15,51.36,-54,23
2020-04-16,55.66,-52,23
2020-04-17,62.87,-51,24
2020-04-18,54.21,-31,14
2020-04-19,43,-36,12
