date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,130.28,-2,NA
2020-02-16,95.91,2,NA
2020-02-17,131.97,-11,NA
2020-02-18,118.83,1,NA
2020-02-19,106.39,2,NA
2020-02-20,116.16,3,NA
2020-02-21,140.23,4,NA
2020-02-22,140.5,10,NA
2020-02-23,106.13,-6,NA
2020-02-24,116.25,1,NA
2020-02-25,133.57,0,NA
2020-02-26,124.69,-2,NA
2020-02-27,142.01,-8,NA
2020-02-28,146.63,3,NA
2020-02-29,141.39,5,NA
2020-03-01,100.62,10,NA
2020-03-02,108.97,3,NA
2020-03-03,127.89,1,NA
2020-03-04,131.79,1,NA
2020-03-05,146.98,6,NA
2020-03-06,154.26,5,NA
2020-03-07,156.84,7,NA
2020-03-08,99.11,6,NA
2020-03-09,141.39,-1,NA
2020-03-10,157.19,0,NA
2020-03-11,109.95,-1,NA
2020-03-12,114.21,1,NA
2020-03-13,143.61,-5,NA
2020-03-14,108.7,7,NA
2020-03-15,83.04,-8,NA
2020-03-16,97.42,-9,NA
2020-03-17,99.73,-12,NA
2020-03-18,96.71,-13,NA
2020-03-19,96.63,-16,NA
2020-03-20,90.41,-18,NA
2020-03-21,90.59,-9,NA
2020-03-22,72.56,-27,NA
2020-03-23,93.78,-26,NA
2020-03-24,89.7,-31,NA
2020-03-25,99.11,-34,NA
2020-03-26,104.97,-33,NA
2020-03-27,105.33,-34,NA
2020-03-28,90.76,-14,NA
2020-03-29,75.75,-29,NA
2020-03-30,86.86,-36,NA
2020-03-31,91.92,-40,NA
2020-04-01,106.57,-39,NA
2020-04-02,106.48,-36,NA
2020-04-03,101.6,-40,NA
2020-04-04,95.91,-26,NA
2020-04-05,76.91,-31,NA
2020-04-06,107.55,-39,NA
2020-04-07,114.12,-42,NA
2020-04-08,110.12,-41,NA
2020-04-09,111.28,-46,NA
2020-04-10,116.07,-46,NA
2020-04-11,102.13,-22,NA
2020-04-12,61.99,-34,NA
2020-04-13,100.27,-39,NA
2020-04-14,95.65,-40,NA
2020-04-15,118.21,-39,NA
2020-04-16,122.65,-36,NA
2020-04-17,113.94,-37,NA
2020-04-18,113.5,-21,NA
2020-04-19,86.59,-25,NA
2020-04-20,112.88,-36,NA
2020-04-21,134.37,-38,NA
2020-04-22,132.77,-38,NA
2020-04-23,112.7,-40,NA
2020-04-24,121.31,-36,NA
2020-04-25,111.28,-17,NA
2020-04-26,81.97,-23,NA
2020-04-27,106.66,-36,NA
2020-04-28,130.55,-34,NA
2020-04-29,108.61,-37,NA
2020-04-30,135.08,-33,NA
2020-05-01,139.96,-34,NA
2020-05-02,135.17,-10,NA
2020-05-03,110.92,-19,NA
2020-05-04,140.14,-33,NA
2020-05-05,119.27,-38,NA
2020-05-06,136.94,-38,NA
2020-05-07,134.01,-36,NA
2020-05-08,153.55,-35,NA
2020-05-09,142.36,-15,NA
2020-05-10,88.9,-19,NA
2020-05-11,NA,-29,NA
2020-05-12,NA,-31,NA
2020-05-13,139.61,-33,NA
2020-05-14,155.06,-32,NA
2020-05-15,168.12,-32,NA
2020-05-16,162.43,-18,NA
2020-05-17,139.52,-17,NA
2020-05-18,147.34,-28,NA
2020-05-19,141.83,-29,NA
2020-05-20,147.42,-28,NA
2020-05-21,155.6,-28,NA
2020-05-22,188.72,-29,NA
2020-05-23,169.09,-3,NA
2020-05-24,156.93,0,NA
2020-05-25,159.68,-63,NA
2020-05-26,153.2,-27,NA
2020-05-27,162.52,-28,NA
2020-05-28,175.75,-25,NA
2020-05-29,197.34,-22,NA
2020-05-30,180.46,1,NA
2020-05-31,149.29,-5,NA
2020-06-01,154.53,-23,NA
2020-06-02,157.46,-25,NA
2020-06-03,160.83,-27,NA
2020-06-04,161.46,-24,NA
2020-06-05,181.62,-19,NA
2020-06-06,195.91,6,NA
2020-06-07,177.98,0,NA
2020-06-08,147.87,-21,NA
2020-06-09,170.96,-24,NA
2020-06-10,172.29,-26,NA
2020-06-11,177.44,-23,NA
2020-06-12,211.63,-24,NA
2020-06-13,191.21,-6,NA
2020-06-14,162.61,-12,NA
2020-06-15,197.96,-23,NA
2020-06-16,195.83,-24,NA
2020-06-17,164.83,-23,NA
2020-06-18,167.23,-26,NA
2020-06-19,205.77,-24,NA
2020-06-20,207.19,0,NA
2020-06-21,123.71,-7,NA
2020-06-22,172.2,-27,NA
2020-06-23,163.14,-29,NA
2020-06-24,167.41,-27,NA
2020-06-25,185.44,-22,NA
2020-06-26,231.44,-23,NA
2020-06-27,175.67,-3,NA
2020-06-28,139.96,-6,NA
2020-06-29,163.06,-27,NA
2020-06-30,159.77,-27,NA
2020-07-01,172.74,-25,NA
2020-07-02,198.31,-29,NA
2020-07-03,212.34,-47,NA
2020-07-04,179.13,-15,NA
2020-07-05,187.48,-16,NA
2020-07-06,167.23,-28,NA
2020-07-07,186.86,-29,NA
2020-07-08,182.42,-28,NA
2020-07-09,174.87,-27,NA
2020-07-10,205.68,-27,NA
2020-07-11,203.91,-13,NA
2020-07-12,157.64,-11,NA
2020-07-13,166.7,-24,NA
2020-07-14,188.99,-27,NA
2020-07-15,164.12,-28,NA
2020-07-16,214.74,-27,NA
2020-07-17,230.11,-25,NA
2020-07-18,200.53,-8,NA
2020-07-19,152.22,-6,NA
2020-07-20,158.79,-24,NA
2020-07-21,171.58,-27,NA
2020-07-22,156.93,-22,NA
2020-07-23,173.98,-23,NA
2020-07-24,210.83,-26,NA
2020-07-25,212.88,-4,NA
2020-07-26,154.8,-5,NA
2020-07-27,156.31,-23,NA
2020-07-28,154.53,-24,NA
2020-07-29,174.69,-21,NA
2020-07-30,166.16,-22,NA
2020-07-31,191.39,-23,NA
2020-08-01,186.06,-1,NA
2020-08-02,142.18,-1,NA
2020-08-03,171.67,-26,NA
2020-08-04,177.35,-23,NA
2020-08-05,167.94,-23,NA
2020-08-06,206.75,-23,NA
2020-08-07,224.42,-24,NA
2020-08-08,247.6,-9,NA
2020-08-09,158.17,2,NA
2020-08-10,162.52,-24,NA
2020-08-11,161.55,-20,NA
2020-08-12,161.55,-21,NA
2020-08-13,219.45,-20,NA
2020-08-14,196.27,-20,NA
2020-08-15,192.98,3,NA
2020-08-16,171.31,7,NA
2020-09-11,184.81,-21,NA
2020-09-12,189.52,-3,NA
2020-09-13,154.44,-3,NA
2020-09-14,168.38,-19,NA
2020-09-15,164.48,-12,NA
2020-09-16,153.73,-15,NA
2020-09-17,189.88,-17,NA
2020-09-18,208.26,-14,NA
2020-09-19,209.15,-2,NA
2020-09-20,144.4,4,NA
2020-09-21,150.44,-20,NA
2020-09-22,150.8,-19,NA
2020-09-23,141.65,-18,NA
2020-09-24,148.31,-19,NA
2020-09-25,182.95,-16,NA
2020-09-26,210.21,7,NA
2020-09-27,163.14,-4,NA
2020-09-28,135.97,-21,NA
2020-09-29,137.92,-21,NA
2020-09-30,133.75,-16,NA
2020-10-01,153.64,-18,NA
2020-10-02,207.64,-17,NA
2020-10-03,192.01,-10,NA
2020-10-04,131.35,-3,NA
2020-10-05,146.45,-23,NA
2020-10-06,142.01,-23,NA
2020-10-07,155.42,-24,NA
2020-10-08,164.83,-20,NA
2020-10-09,192.45,-21,NA
2020-10-10,181.62,-5,NA
2020-10-11,123.53,1,NA
2020-10-12,140.76,-21,NA
2020-10-13,160.57,-17,NA
2020-10-14,155.86,-20,NA
2020-10-15,178.77,-18,NA
2020-10-16,183.84,-19,NA
2020-10-17,199.91,-4,NA
2020-10-18,150.8,-6,NA
2020-10-19,130.73,-23,NA
2020-10-20,143.34,-17,NA
2020-10-21,136.15,-18,NA
2020-10-22,161.01,-22,NA
2020-10-23,161.19,-17,NA
2020-10-24,174.16,-11,NA
2020-10-25,135.7,-8,NA
2020-10-26,137.57,-20,NA
2020-10-27,148.22,-16,NA
2020-10-28,144.14,-19,NA
2020-10-29,157.28,-19,NA
2020-10-30,180.73,-24,NA
2020-10-31,157.9,-12,NA
2020-11-01,129.57,-10,NA
2020-11-02,139.17,-25,NA
2020-11-03,137.57,-25,NA
