date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,120.33,-4,NA
2020-02-16,104.67,0,NA
2020-02-17,106.98,-12,NA
2020-02-18,95.83,1,NA
2020-02-19,95.58,-1,NA
2020-02-20,110.89,2,NA
2020-02-21,116.37,5,NA
2020-02-22,122.39,-4,NA
2020-02-23,88.65,-1,NA
2020-02-24,92.22,3,NA
2020-02-25,77.21,3,NA
2020-02-26,90.21,2,NA
2020-02-27,96.59,4,NA
2020-02-28,126.81,8,NA
2020-02-29,126.71,-4,NA
2020-03-01,113.35,-1,NA
2020-03-02,101.2,-1,NA
2020-03-03,89.11,3,NA
2020-03-04,106.58,1,NA
2020-03-05,123.59,4,NA
2020-03-06,155.92,8,NA
2020-03-07,147.09,-1,NA
2020-03-08,116.21,4,NA
2020-03-09,117.37,14,NA
2020-03-10,101.81,1,NA
2020-03-11,116.32,-2,NA
2020-03-12,135.39,-5,NA
2020-03-13,155.62,-12,NA
2020-03-14,156.93,-4,NA
2020-03-15,135.44,-12,NA
2020-03-16,129.32,-7,NA
2020-03-17,105.12,-21,NA
2020-03-18,106.63,-28,NA
2020-03-19,83.33,-35,NA
2020-03-20,98.24,-29,NA
2020-03-21,99.85,-19,NA
2020-03-22,82.13,-19,NA
2020-03-23,76.51,-16,NA
2020-03-24,85.74,-28,NA
2020-03-25,79.62,-32,NA
2020-03-26,71.03,-34,NA
2020-03-27,71.08,-32,NA
2020-03-28,60.09,-30,NA
2020-03-29,66.42,-26,NA
2020-03-30,64.86,-21,NA
2020-03-31,59.09,-33,NA
2020-04-01,65.31,-34,NA
2020-04-02,60.44,-34,NA
2020-04-03,74.7,-32,NA
2020-04-04,73.69,-27,NA
2020-04-05,53.31,-29,NA
2020-04-06,60.19,-25,NA
2020-04-07,63.35,-35,NA
2020-04-08,60.24,-35,NA
2020-04-09,74.6,-36,NA
2020-04-10,71.49,-39,NA
2020-04-11,65.51,-28,NA
2020-04-12,37.75,-30,NA
2020-04-13,56.22,-25,NA
2020-04-14,58.79,-36,NA
2020-04-15,73.24,-34,NA
2020-04-16,50.95,-39,NA
2020-04-17,79.97,-29,NA
2020-04-18,76.86,-22,NA
2020-04-19,68.17,-21,NA
2020-04-20,70.78,-19,NA
2020-04-21,80.92,-28,NA
2020-04-22,80.87,-31,NA
2020-04-23,91.62,-31,NA
2020-04-24,94.63,-28,NA
2020-04-25,99.75,-13,NA
2020-04-26,81.63,-23,NA
2020-04-27,83.43,-20,NA
2020-04-28,81.48,-25,NA
2020-04-29,88.05,-30,NA
2020-04-30,95.73,-30,NA
2020-05-01,114.86,-25,NA
2020-05-02,105.12,-18,NA
2020-05-03,96.08,-12,NA
2020-05-04,98.9,-13,NA
2020-05-05,98.95,-24,NA
2020-05-06,113.1,-27,NA
2020-05-07,102.86,-27,NA
2020-05-08,130.62,-22,NA
2020-05-09,124.25,-12,NA
2020-05-10,93.07,-13,NA
2020-05-11,NA,-18,NA
2020-05-12,NA,-24,NA
2020-05-13,113.76,-26,NA
2020-05-14,141.57,-27,NA
2020-05-15,148.85,-23,NA
2020-05-16,149.55,-12,NA
2020-05-17,134.94,-12,NA
2020-05-18,127.71,-17,NA
2020-05-19,125.75,-23,NA
2020-05-20,131.43,-28,NA
2020-05-21,145.53,-26,NA
2020-05-22,217.42,-24,NA
2020-05-23,183.13,-11,NA
2020-05-24,148.64,-12,NA
2020-05-25,172.39,-57,NA
2020-05-26,149.25,-21,NA
2020-05-27,141.77,-24,NA
2020-05-28,160.04,-20,NA
2020-05-29,199.15,-20,NA
2020-05-30,193.72,-2,NA
2020-05-31,164.96,-3,NA
2020-06-01,159.69,-11,NA
2020-06-02,138.81,-20,NA
2020-06-03,142.22,-25,NA
2020-06-04,155.97,-22,NA
2020-06-05,190.36,-21,NA
2020-06-06,198.19,-6,NA
2020-06-07,182.38,2,NA
2020-06-08,151.05,-16,NA
2020-06-09,143.32,-25,NA
2020-06-10,159.94,-24,NA
2020-06-11,175.8,-23,NA
2020-06-12,213.1,-22,NA
2020-06-13,218.07,-3,NA
2020-06-14,216.32,-3,NA
2020-06-15,168.62,-11,NA
2020-06-16,156.07,-20,NA
2020-06-17,171.39,-22,NA
2020-06-18,208.23,-22,NA
2020-06-19,236.45,-19,NA
2020-06-20,228.87,-8,NA
2020-06-21,194.53,1,NA
2020-06-22,186.4,-12,NA
2020-06-23,192.07,-22,NA
2020-06-24,200.8,-20,NA
2020-06-25,204.92,-24,NA
2020-06-26,259.89,-22,NA
2020-06-27,249.65,-9,NA
2020-06-28,244.53,-3,NA
2020-06-29,188.25,-10,NA
2020-06-30,184.59,-19,NA
2020-07-01,222.29,-20,NA
2020-07-02,280.57,-21,NA
2020-07-03,306.58,-40,NA
2020-07-04,177.71,-6,NA
2020-07-05,346.84,-8,NA
2020-07-06,258.68,-19,NA
2020-07-07,192.77,-25,NA
2020-07-08,204.82,-26,NA
2020-07-09,233.79,-27,NA
2020-07-10,272.09,-22,NA
2020-07-11,264.36,1,NA
2020-07-12,254.57,-5,NA
2020-07-13,192.17,-13,NA
2020-07-14,188.76,-21,NA
2020-07-15,189.21,-23,NA
2020-07-16,228.66,-23,NA
2020-07-17,261.55,-22,NA
2020-07-18,261.35,-6,NA
2020-07-19,252.86,-6,NA
2020-07-20,208.63,-14,NA
2020-07-21,198.44,-22,NA
2020-07-22,192.62,-25,NA
2020-07-23,227.21,-23,NA
2020-07-24,302.21,-21,NA
2020-07-25,275.2,-5,NA
2020-07-26,271.94,1,NA
2020-07-27,210.64,-13,NA
2020-07-28,191.06,-21,NA
2020-07-29,216.52,-24,NA
2020-07-30,247.49,-23,NA
2020-07-31,302.66,-23,NA
2020-08-01,314.86,-6,NA
2020-08-02,288.91,-2,NA
2020-08-03,219.13,-15,NA
2020-08-04,186.85,-23,NA
2020-08-05,213.6,-27,NA
2020-08-06,253.16,-23,NA
2020-08-07,286.45,-23,NA
2020-08-08,279.67,-11,NA
2020-08-09,281.93,-1,NA
2020-08-10,215.41,-12,NA
2020-08-11,190.26,-18,NA
2020-08-12,199.65,-22,NA
2020-08-13,233.94,-22,NA
2020-08-14,266.67,-20,NA
2020-08-15,278.21,-8,NA
2020-08-16,250.65,-2,NA
2020-09-11,203.21,-14,NA
2020-09-12,209.14,-9,NA
2020-09-13,181.48,-5,NA
2020-09-14,155.42,-12,NA
2020-09-15,140.16,-13,NA
2020-09-16,155.27,-18,NA
2020-09-17,173.8,-15,NA
2020-09-18,215.56,-12,NA
2020-09-19,198.69,-12,NA
2020-09-20,172.29,-7,NA
2020-09-21,160.94,-14,NA
2020-09-22,144.03,-11,NA
2020-09-23,152.31,-14,1
2020-09-24,155.32,-12,2
2020-09-25,213.55,-10,1
2020-09-26,206.02,-4,NA
2020-09-27,165.36,-6,NA
2020-09-28,149.65,-8,1
2020-09-29,136.14,-10,2
2020-09-30,155.27,-15,1
2020-10-01,166.21,-11,0
2020-10-02,202.96,-8,1
2020-10-03,196.59,-6,NA
2020-10-04,166.06,-2,NA
2020-10-05,144.48,-13,1
2020-10-06,137.65,-12,1
2020-10-07,155.07,-11,0
2020-10-08,157.38,-12,1
2020-10-09,215.46,-19,3
2020-10-10,190.46,-10,NA
2020-10-11,147.64,-9,NA
2020-10-12,146.74,-14,2
2020-10-13,129.67,-11,3
2020-10-14,160.59,-15,2
2020-10-15,177.46,-16,4
2020-10-16,195.48,-19,5
2020-10-17,173.39,-9,NA
2020-10-18,160.34,-7,NA
2020-10-19,139.26,-16,2
2020-10-20,113.7,-13,3
2020-10-21,130.27,-14,2
2020-10-22,149.75,-11,4
2020-10-23,163.1,-13,5
2020-10-24,155.72,-11,NA
2020-10-25,115.26,-21,NA
2020-10-26,99.35,-23,9
2020-10-27,122.64,-14,6
2020-10-28,111.14,-14,5
2020-10-29,123.09,-12,5
2020-10-30,152.66,-12,3
2020-10-31,128.97,-10,NA
2020-11-01,109.64,-11,NA
2020-11-02,103.31,-12,3
2020-11-03,98.95,-14,3
