date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,203.72,NA,NA
2020-02-16,171.99,NA,NA
2020-02-17,134,-7,NA
2020-02-18,94.59,1,NA
2020-02-19,103.38,9,NA
2020-02-20,132.89,-3,NA
2020-02-21,187.34,8,NA
2020-02-22,195.13,NA,NA
2020-02-23,163.55,NA,NA
2020-02-24,105.22,9,NA
2020-02-25,101.23,4,NA
2020-02-26,106.22,12,NA
2020-02-27,127.28,10,NA
2020-02-28,180.7,8,NA
2020-02-29,206.33,NA,NA
2020-03-01,177.74,NA,NA
2020-03-02,228.32,13,NA
2020-03-03,106.6,6,NA
2020-03-04,102.61,12,NA
2020-03-05,134.19,7,NA
2020-03-06,192.75,3,NA
2020-03-07,212.66,NA,NA
2020-03-08,186.45,NA,NA
2020-03-09,137.57,9,NA
2020-03-10,135.5,0,NA
2020-03-11,146.39,7,NA
2020-03-12,157.14,8,NA
2020-03-13,226.63,-1,NA
2020-03-14,186.91,NA,NA
2020-03-15,157.52,NA,NA
2020-03-16,112.01,-3,NA
2020-03-17,83.61,-18,NA
2020-03-18,84.84,-20,NA
2020-03-19,78.89,-22,NA
2020-03-20,98.54,-28,NA
2020-03-21,80.35,-33,NA
2020-03-22,74.02,NA,NA
2020-03-23,61.63,-16,NA
2020-03-24,60.32,-22,NA
2020-03-25,57.6,-23,NA
2020-03-26,66.39,-38,NA
2020-03-27,68.53,-37,NA
2020-03-28,70.68,-36,NA
2020-03-29,62.82,-44,NA
2020-03-30,51.77,-30,NA
2020-03-31,52.8,-32,NA
2020-04-01,49.85,-32,NA
2020-04-02,54.76,-36,NA
2020-04-03,54.83,-42,NA
2020-04-04,53.57,-46,NA
2020-04-05,45.24,-42,NA
2020-04-06,49.12,-28,NA
2020-04-07,49,-39,NA
2020-04-08,51.27,-36,NA
2020-04-09,59.98,-44,NA
2020-04-10,74.14,-51,NA
2020-04-11,52.69,-44,NA
2020-04-12,45.24,-55,NA
2020-04-13,56.41,-42,NA
2020-04-14,52.19,-40,NA
2020-04-15,50.27,-35,NA
2020-04-16,57.25,-39,NA
2020-04-17,68.42,-44,NA
2020-04-18,80.08,-43,NA
2020-04-19,63.81,-47,NA
2020-04-20,57.79,-29,NA
2020-04-21,55.76,-37,NA
2020-04-22,55.07,-37,NA
2020-04-23,66.35,-38,NA
2020-04-24,89.18,-44,NA
2020-04-25,94.17,-41,NA
2020-04-26,83.38,-47,NA
2020-04-27,65.77,-32,NA
2020-04-28,60.36,-34,NA
2020-04-29,64.2,-29,NA
2020-04-30,74.1,-35,NA
2020-05-01,114.24,-44,NA
2020-05-02,118.8,-43,NA
2020-05-03,102.38,-42,NA
2020-05-04,74.14,-27,NA
2020-05-05,75.48,-33,NA
2020-05-06,77.67,-26,NA
2020-05-07,84.73,-35,NA
2020-05-08,113.89,-38,NA
2020-05-09,133.15,-29,NA
2020-05-11,NA,-23,NA
2020-05-12,NA,-28,NA
2020-05-13,84.65,-17,NA
2020-05-14,90.33,-28,NA
2020-05-15,110.48,-37,NA
2020-05-16,100.38,-28,NA
2020-05-18,96.97,-18,NA
2020-05-19,108.83,-26,NA
2020-05-20,96.28,-21,NA
2020-05-21,115.16,-26,NA
2020-05-22,168.69,-30,NA
2020-05-23,168.19,-32,NA
2020-05-25,127.78,-51,NA
2020-05-26,106.52,-18,NA
2020-05-27,128.43,-10,NA
2020-05-28,136.03,-14,NA
2020-05-29,189.87,-23,NA
2020-06-01,138.07,-12,NA
2020-06-02,130.39,-18,NA
2020-06-03,133.54,-13,NA
2020-06-04,149.04,-19,NA
2020-06-05,231.7,-25,NA
2020-06-08,150.12,-11,NA
2020-06-09,138.87,-15,NA
2020-06-10,147.93,-16,NA
2020-06-11,171.14,-13,NA
2020-06-12,231.93,-24,NA
2020-06-15,155.45,-13,NA
2020-06-16,145.78,-16,NA
2020-06-17,148.43,-11,NA
2020-06-18,174.83,-15,NA
2020-06-19,231.24,-23,NA
2020-06-22,152.88,-16,NA
2020-06-23,143.17,-26,NA
2020-06-24,168.73,-14,NA
2020-06-25,173.91,-20,NA
2020-06-26,222.79,-21,NA
2020-06-29,152.76,-17,NA
2020-06-30,154.3,-28,NA
2020-07-01,168.19,-20,NA
2020-07-02,212.2,-23,NA
2020-07-03,260.9,-40,NA
2020-07-06,176.25,-22,NA
2020-07-07,150.42,-25,NA
2020-07-08,163.51,-20,NA
2020-07-09,160.05,-26,NA
2020-07-10,216.04,-19,NA
2020-07-13,146.43,-17,NA
2020-07-14,150.19,-27,NA
2020-07-15,150.31,-14,NA
2020-07-16,176.9,-23,NA
2020-07-17,222.06,-20,NA
2020-07-20,162.55,-18,NA
2020-07-21,153.95,-21,NA
2020-07-22,157.48,-19,NA
2020-07-23,170.41,-23,NA
2020-07-24,222.18,-19,NA
2020-07-27,169.22,-18,NA
2020-07-28,142.98,-24,NA
2020-07-29,156.37,-22,NA
2020-07-30,166.04,-21,NA
2020-07-31,231.54,-17,NA
2020-08-03,165.39,-20,NA
2020-08-04,155.72,-22,NA
2020-08-05,153.53,-13,NA
2020-08-06,170.45,-18,NA
2020-08-07,230.28,-16,NA
2020-08-10,171.95,-17,NA
2020-08-11,159.48,-24,NA
2020-08-12,169.42,-18,NA
2020-08-13,164.01,-17,NA
2020-08-14,229.32,-19,NA
2020-09-11,204.91,-20,NA
2020-09-14,138.53,-11,NA
2020-09-15,133.23,-17,NA
2020-09-16,126.59,-17,NA
2020-09-17,149.5,-18,NA
2020-09-18,217.57,-23,NA
2020-09-21,147.16,-15,NA
2020-09-22,125.59,-18,NA
2020-09-23,124.64,-15,NA
2020-09-24,136.88,-18,NA
2020-09-25,186.68,-17,NA
2020-09-28,128.89,-12,NA
2020-09-29,128.59,-16,NA
2020-09-30,129.62,-14,NA
2020-10-01,133.42,-16,NA
2020-10-02,190.68,-18,NA
2020-10-05,126.32,-11,NA
2020-10-06,119.34,-18,NA
2020-10-07,122.22,-9,NA
2020-10-08,155.83,-20,NA
2020-10-09,227.48,-17,NA
2020-10-12,155.26,-20,NA
2020-10-13,116.81,-20,NA
2020-10-14,131.7,-14,NA
2020-10-15,144.9,-21,NA
2020-10-16,210.74,-23,NA
2020-10-19,140.94,-20,NA
2020-10-20,122.22,-21,NA
2020-10-21,130.7,-12,NA
2020-10-22,144.97,-16,NA
2020-10-23,191.44,-16,NA
2020-10-26,119.92,-11,NA
2020-10-27,101.15,-17,NA
2020-10-28,119.95,-12,NA
2020-10-29,126.9,-13,NA
2020-10-30,165.77,-16,NA
2020-11-02,121.72,-11,NA
2020-11-03,113.74,-17,NA
