date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,122.34,-1,NA
2020-02-16,84.53,1,NA
2020-02-17,108.19,-21,6
2020-02-18,101.76,0,2
2020-02-19,101.48,-2,0
2020-02-20,111.4,-2,3
2020-02-21,129.89,-1,0
2020-02-22,119.2,1,NA
2020-02-23,85.16,-1,NA
2020-02-24,99.95,0,2
2020-02-25,112.66,0,-2
2020-02-26,103.2,-1,-1
2020-02-27,125.94,1,-2
2020-02-28,146.28,1,-4
2020-02-29,135.23,2,NA
2020-03-01,86.97,4,NA
2020-03-02,101.86,3,-1
2020-03-03,112.92,1,-3
2020-03-04,103.86,-2,1
2020-03-05,118.98,1,-1
2020-03-06,157.08,-2,-3
2020-03-07,126.54,6,NA
2020-03-08,96.71,-2,NA
2020-03-09,110.92,-15,0
2020-03-10,113.1,-15,-1
2020-03-11,115.66,-16,0
2020-03-12,112.06,-17,-1
2020-03-13,127.14,-17,1
2020-03-14,120.56,-4,NA
2020-03-15,73.12,-10,NA
2020-03-16,93.11,-13,4
2020-03-17,94.82,-16,4
2020-03-18,88.26,-20,6
2020-03-19,85.93,-20,7
2020-03-20,87.28,-22,11
2020-03-21,68.47,-20,NA
2020-03-22,47.91,-26,NA
2020-03-23,64.98,-31,14
2020-03-24,70.52,-33,13
2020-03-25,70.12,-35,13
2020-03-26,74.61,-35,13
2020-03-27,89.6,-34,13
2020-03-28,73.78,-28,NA
2020-03-29,52.86,-28,NA
2020-03-30,76.29,-33,13
2020-03-31,72.82,-34,14
2020-04-01,74.86,-36,11
2020-04-02,78.36,-35,14
2020-04-03,78.25,-37,15
2020-04-04,51.06,-28,NA
2020-04-05,44.14,-33,NA
2020-04-06,70.14,-36,14
2020-04-07,65.1,-38,16
2020-04-08,71.27,-39,16
2020-04-09,77.14,-39,16
2020-04-10,81.79,-45,17
2020-04-11,70.25,-27,NA
2020-04-12,38.22,-45,NA
2020-04-13,74.58,-37,14
2020-04-14,76.5,-36,13
2020-04-15,84.02,-34,12
2020-04-16,91.22,-34,13
2020-04-17,100.98,-36,14
2020-04-18,85.61,-30,NA
2020-04-19,48.34,-39,NA
2020-04-20,88.35,-32,12
2020-04-21,96.63,-33,11
2020-04-22,88.75,-35,12
2020-04-23,89.71,-36,15
2020-04-24,107.3,-32,13
2020-04-25,88.53,-26,NA
2020-04-26,66.72,-32,NA
2020-04-27,95.84,-32,12
2020-04-28,93.44,-34,5
2020-04-29,96.54,-33,12
2020-04-30,107.89,-32,11
2020-05-01,115.85,-30,10
2020-05-02,102.44,-21,NA
2020-05-03,77.51,-25,NA
2020-05-04,111.41,-31,9
2020-05-05,103.01,-30,9
2020-05-06,111.81,-30,9
2020-05-07,117.36,-29,10
2020-05-08,115.88,-31,14
2020-05-09,111.14,-15,NA
2020-05-10,77.99,-23,NA
2020-05-11,NA,-28,9
2020-05-12,NA,-25,7
2020-05-13,120.35,-28,8
2020-05-14,120.56,-28,10
2020-05-15,133.53,-26,10
2020-05-16,125.74,-15,NA
2020-05-17,92.11,-22,NA
2020-05-18,131.62,-25,8
2020-05-19,124.68,-25,7
2020-05-20,127.8,-26,8
2020-05-21,141.89,-24,8
2020-05-22,151.93,-28,8
2020-05-23,140.96,-17,NA
2020-05-24,113.43,-20,NA
2020-05-25,111.22,-62,NA
2020-05-26,126.79,-27,8
2020-05-27,128.87,-28,9
2020-05-28,143.76,-26,8
2020-05-29,161.17,-25,8
2020-05-30,143.9,-11,NA
2020-05-31,112.23,-17,NA
2020-06-01,130.77,-25,6
2020-06-02,135.51,-24,5
2020-06-03,127.31,-27,7
2020-06-04,132.66,-27,7
2020-06-05,152.2,-26,8
2020-06-06,154.12,-13,NA
2020-06-07,108.77,-22,NA
2020-06-08,116.86,-26,10
2020-06-09,137.12,-24,6
2020-06-10,146.56,-27,6
2020-06-11,147.66,-27,7
2020-06-12,171.73,-25,6
2020-06-13,156.57,-12,NA
2020-06-14,117.09,-19,NA
2020-06-15,138.44,-25,5
2020-06-16,150.65,-26,5
2020-06-17,143.9,-25,5
2020-06-18,156.19,-27,6
2020-06-19,179.52,-27,5
2020-06-20,187.69,-14,NA
2020-06-21,115.21,-16,NA
2020-06-22,143.95,-29,8
2020-06-23,134.85,-29,5
2020-06-24,141.74,-27,7
2020-06-25,145.03,-28,8
2020-06-26,170.99,-26,9
2020-06-27,166.72,-10,NA
2020-06-28,122.3,-16,NA
2020-06-29,151.27,-28,6
2020-06-30,153.31,-29,4
2020-07-01,149.35,-31,7
2020-07-02,164.76,-32,6
2020-07-03,173.68,-54,11
2020-07-04,138.19,-36,NA
2020-07-05,117.98,-27,NA
2020-07-06,150.26,-37,8
2020-07-07,153.72,-33,7
2020-07-08,144.11,-31,7
2020-07-09,143.51,-32,8
2020-07-10,182.86,-29,7
2020-07-11,171.43,-17,NA
2020-07-12,116.29,-21,NA
2020-07-13,143.08,-30,7
2020-07-14,149.88,-31,5
2020-07-15,145.79,-32,6
2020-07-16,157.89,-32,7
2020-07-17,177.74,-31,8
2020-07-18,169.64,-16,NA
2020-07-19,114.37,-25,NA
2020-07-20,149.17,-31,7
2020-07-21,144.86,-33,7
2020-07-22,148.65,-32,7
2020-07-23,152.64,-33,8
2020-07-24,172.82,-31,7
2020-07-25,164.22,-19,NA
2020-07-26,109.81,-24,NA
2020-07-27,140.64,-33,7
2020-07-28,148.37,-32,7
2020-07-29,146.81,-33,8
2020-07-30,152.98,-31,7
2020-07-31,173.16,-32,6
2020-08-01,158.08,-21,NA
2020-08-02,110.07,-24,NA
2020-08-03,142.2,-30,5
2020-08-04,144.23,-29,4
2020-08-05,154.78,-30,5
2020-08-06,156.6,-30,5
2020-08-07,172.47,-28,5
2020-08-08,163.59,-15,NA
2020-08-09,118.02,-24,NA
2020-08-10,143.59,-29,6
2020-08-11,148.91,-30,5
2020-08-12,153.5,-29,6
2020-08-13,163.21,-29,7
2020-08-14,193.18,-29,6
2020-08-15,190.51,-22,NA
2020-08-16,123.34,-25,NA
2020-08-17,148.17,NA,4
2020-08-18,153.06,NA,3
2020-08-19,146.31,-27,5
2020-08-20,155.03,-28,5
2020-08-21,180.15,NA,6
2020-08-24,135.9,NA,4
2020-08-25,142.94,NA,6
2020-08-26,140.86,-24,4
2020-08-27,151.27,NA,5
2020-08-28,169.84,NA,6
2020-08-31,139.45,NA,4
2020-09-01,143.73,NA,2
2020-09-02,150.92,-27,3
2020-09-03,161.94,-29,3
2020-09-04,195.89,NA,4
2020-09-07,122.54,-71,NA
2020-09-08,143.26,NA,1
2020-09-09,139.81,-25,2
2020-09-10,149.83,-28,1
2020-09-11,180.56,-27,1
2020-09-12,158.93,-22,NA
2020-09-13,111.19,-27,NA
2020-09-14,138.22,-23,2
2020-09-15,144.06,-23,2
2020-09-16,148.5,-25,2
