date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,129.49,5,0
2020-02-16,99.37,6,-2
2020-02-17,106.43,-15,4
2020-02-18,107.39,0,1
2020-02-19,109.35,2,0
2020-02-20,118.23,3,0
2020-02-21,141.06,3,0
2020-02-22,144.12,8,-2
2020-02-23,102.5,6,-2
2020-02-24,105.45,2,1
2020-02-25,111.59,0,1
2020-02-26,111.43,-4,2
2020-02-27,120.48,-13,5
2020-02-28,149.61,1,0
2020-02-29,149.04,4,-2
2020-03-01,103.45,6,-3
2020-03-02,112.01,3,0
2020-03-03,116.73,2,-1
2020-03-04,118.51,1,-1
2020-03-05,131.99,4,-2
2020-03-06,144.9,3,0
2020-03-07,144.09,11,-2
2020-03-08,105.12,6,-3
2020-03-09,108.49,2,0
2020-03-10,109.57,0,0
2020-03-11,107.25,0,0
2020-03-12,106.7,2,-1
2020-03-13,119.14,-1,2
2020-03-14,107.3,4,2
2020-03-15,77.81,-1,2
2020-03-16,88.69,-13,6
2020-03-17,83.79,-21,9
2020-03-18,79.4,-25,11
2020-03-19,76.42,-29,13
2020-03-20,84.72,-33,16
2020-03-21,69.31,-24,12
2020-03-22,52.28,-26,8
2020-03-23,64.77,-39,15
2020-03-24,54.42,-48,21
2020-03-25,60.31,-48,19
2020-03-26,61.09,-49,20
2020-03-27,65.58,-50,24
2020-03-28,54.75,-36,15
2020-03-29,47.76,-35,10
2020-03-30,58.38,-49,20
2020-03-31,60.58,-51,21
2020-04-01,62.29,-51,20
2020-04-02,69.81,-50,19
2020-04-03,76.8,-51,21
2020-04-04,65.34,-36,14
2020-04-05,52.16,-36,10
2020-04-06,66.95,-50,19
2020-04-07,67.22,-52,20
2020-04-08,72.21,-52,19
2020-04-09,68.3,-53,21
2020-04-10,76.64,-56,25
2020-04-11,69.84,-38,14
2020-04-12,44.06,-41,10
2020-04-13,64.14,-51,21
2020-04-14,70.87,-51,21
2020-04-15,75.15,-51,20
2020-04-16,79.77,-50,20
2020-04-17,75.18,-51,26
2020-04-18,80.65,-33,13
2020-04-19,66.17,-32,9
2020-04-20,85.09,-48,17
