date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,128.62,3,-1
2020-02-16,88.43,1,-1
2020-02-17,107.42,-30,7
2020-02-18,105.49,2,1
2020-02-19,111.11,3,0
2020-02-20,106.64,0,3
2020-02-21,134.03,1,1
2020-02-22,133.98,7,-2
2020-02-23,87.81,3,0
2020-02-24,100.06,0,3
2020-02-25,114.96,4,-2
2020-02-26,108.86,2,0
2020-02-27,120.26,2,0
2020-02-28,136.87,2,-1
2020-02-29,136.43,8,-3
2020-03-01,89.24,4,-2
2020-03-02,103.01,2,2
2020-03-03,120.54,3,-2
2020-03-04,111.5,4,0
2020-03-05,116.06,2,0
2020-03-06,139.15,1,0
2020-03-07,139.05,6,-2
2020-03-08,91.08,3,-1
2020-03-09,110.82,2,0
2020-03-10,113.64,1,0
2020-03-11,113.46,3,0
2020-03-12,118.88,2,0
2020-03-13,124.23,0,1
2020-03-14,112.75,5,2
2020-03-15,68.31,-10,5
2020-03-16,87.7,-17,9
2020-03-17,82.78,-26,11
2020-03-18,80.33,-30,13
2020-03-19,80.25,-34,15
2020-03-20,75.72,-37,19
2020-03-21,65.66,-20,10
2020-03-22,47.98,-33,10
2020-03-23,63.51,-44,19
2020-03-24,59.03,-46,20
2020-03-25,70.19,-45,18
2020-03-26,74.68,-45,19
2020-03-27,81.14,-45,19
2020-03-28,67.35,-27,10
2020-03-29,49.94,-38,10
2020-03-30,66.57,-50,20
2020-03-31,61.39,-52,22
2020-04-01,69.06,-51,20
2020-04-02,71.16,-52,21
2020-04-03,78.62,-51,21
2020-04-04,60.72,-33,12
2020-04-05,42.14,-43,13
2020-04-06,63.22,-54,22
2020-04-07,63.35,-54,22
2020-04-08,64.15,-54,23
2020-04-09,70.19,-55,23
2020-04-10,78.3,-56,24
2020-04-11,67.95,-36,11
2020-04-12,31.69,-54,16
2020-04-13,69.26,-53,22
2020-04-14,71.33,-52,21
2020-04-15,77.33,-51,21
2020-04-16,80.01,-51,21
