date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.17,-4,0
2020-02-16,110.05,-1,-1
2020-02-17,117.63,-30,5
2020-02-18,118.19,1,-1
2020-02-19,115.08,2,-1
2020-02-20,167.97,1,-1
2020-02-21,150.03,4,-2
2020-02-22,142.09,0,-2
2020-02-23,114.78,0,0
2020-02-24,114.77,2,-1
2020-02-25,115.48,2,-1
2020-02-26,118.13,3,-2
2020-02-27,130.86,2,-2
2020-02-28,147.57,3,-2
2020-02-29,145.69,2,-1
2020-03-01,106.85,1,-1
2020-03-02,109.68,2,-1
2020-03-03,113.77,2,-1
2020-03-04,116.44,3,-2
2020-03-05,122.85,2,-1
2020-03-06,147.04,-5,2
2020-03-07,144.65,3,-1
2020-03-08,105.32,1,0
2020-03-09,108.74,1,-1
2020-03-10,117.39,2,-1
2020-03-11,122.05,1,-1
2020-03-12,109.48,0,0
2020-03-13,117.09,-2,2
2020-03-14,93.18,-4,5
2020-03-15,79.2,-9,3
2020-03-16,92.93,-17,5
2020-03-17,89.06,-23,8
2020-03-18,84.3,-26,9
2020-03-19,87.05,-28,10
2020-03-20,92.77,-29,11
2020-03-21,75.11,-20,8
2020-03-22,59.95,-27,8
2020-03-23,64.47,-35,13
2020-03-24,55.9,-40,17
2020-03-25,58.59,-42,16
2020-03-26,63.54,-42,17
2020-03-27,68.47,-42,19
2020-03-28,52.66,-31,14
2020-03-29,44.39,-34,12
2020-03-30,58.45,-42,16
2020-03-31,63.55,-43,17
2020-04-01,63.67,-43,16
2020-04-02,67.24,-43,17
2020-04-03,71.4,-42,18
2020-04-04,57.88,-32,13
2020-04-05,50.96,-34,10
2020-04-06,65.59,-42,15
2020-04-07,65.85,-43,15
2020-04-08,68.39,-43,15
2020-04-09,71.96,-44,16
2020-04-10,78.18,-43,17
2020-04-11,69.8,-30,11
2020-04-12,44.41,-37,9
2020-04-13,69.87,-40,15
2020-04-14,70.86,-41,15
2020-04-15,78.58,-41,15
2020-04-16,83.73,-41,15
2020-04-17,89.41,-40,16
2020-04-18,75.64,-28,11
2020-04-19,65.28,-31,9
2020-04-20,80.35,-40,13
2020-04-21,76.31,-42,15
2020-04-22,77.28,-43,16
2020-04-23,83,-42,15
2020-04-24,89.72,-41,17
2020-04-25,80.24,-28,11
2020-04-26,73.56,-30,8
2020-04-27,79.8,-40,14
2020-04-28,84.86,-41,6
2020-04-29,87.28,-40,14
2020-04-30,92.13,-41,14
2020-05-01,102.37,-38,14
2020-05-02,86.57,-27,10
