date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,224.87,-6,NA
2020-02-16,233.48,2,NA
2020-02-17,177.85,-40,NA
2020-02-18,123.22,1,NA
2020-02-19,117.21,-2,NA
2020-02-20,120.8,0,NA
2020-02-21,137.17,2,NA
2020-02-22,185.79,-2,NA
2020-02-23,189.08,4,NA
2020-02-24,118.99,5,NA
2020-02-25,105.45,4,NA
2020-02-26,98.83,3,NA
2020-02-27,97.38,4,NA
2020-02-28,113.47,8,NA
2020-02-29,159.42,-2,NA
2020-03-01,147.45,-2,NA
2020-03-02,106.67,3,NA
2020-03-03,106.7,2,NA
2020-03-04,107.71,0,NA
2020-03-05,102.49,2,NA
2020-03-06,107.64,1,NA
2020-03-07,135.06,-4,NA
2020-03-08,152.67,2,NA
2020-03-09,113.52,-3,NA
2020-03-10,110.01,2,NA
2020-03-11,97.02,-1,NA
2020-03-12,100.59,2,NA
2020-03-13,108.25,1,NA
2020-03-14,95.49,-14,NA
2020-03-15,93.76,-13,NA
2020-03-16,65.66,-22,NA
2020-03-17,54.33,-24,NA
2020-03-18,53.64,-29,NA
2020-03-19,48.19,-28,NA
2020-03-20,43.13,-33,NA
2020-03-21,37.3,-35,NA
2020-03-22,33.15,-43,NA
2020-03-23,27.37,-38,NA
2020-03-24,27.01,-38,NA
2020-03-25,27.6,-41,NA
2020-03-26,28.59,-40,NA
2020-03-27,28.9,-40,NA
2020-03-28,32.51,-39,NA
2020-03-29,31.34,-45,NA
2020-03-30,27.34,-40,NA
2020-03-31,29.84,-41,NA
2020-04-01,30.12,-42,NA
2020-04-02,27.55,-43,NA
2020-04-03,29.43,-48,NA
2020-04-04,29.76,-43,NA
2020-04-05,29.81,-53,NA
2020-04-06,26.25,-49,NA
2020-04-07,30.45,-44,NA
2020-04-08,28.97,-47,NA
2020-04-09,31.77,-48,NA
2020-04-10,34.95,-46,NA
2020-04-11,38.42,-51,NA
2020-04-12,32.69,-51,NA
2020-04-13,39.41,-46,NA
2020-04-14,33.86,-42,NA
2020-04-15,36.81,-46,NA
2020-04-16,39.33,-38,NA
2020-04-17,32.61,-46,NA
2020-04-18,38.11,-38,NA
2020-04-19,38.19,-43,NA
2020-04-20,35.95,-46,NA
2020-04-21,40.84,-44,NA
2020-04-22,42.31,-42,NA
2020-04-23,40.78,-40,NA
2020-04-24,40.12,-42,NA
2020-04-25,43.99,-37,NA
2020-04-26,46.46,-50,NA
2020-04-27,37.42,-39,NA
2020-04-28,42.31,-44,NA
2020-04-29,45.29,-41,NA
2020-04-30,42.95,-36,NA
2020-05-01,41.32,-38,NA
2020-05-02,43.28,-34,NA
2020-05-03,46.61,-36,NA
2020-05-04,43.66,-43,NA
2020-05-05,44.88,-35,NA
2020-05-06,40.17,-40,NA
2020-05-07,43.46,-42,NA
2020-05-08,43.02,-40,NA
2020-05-09,53.05,-36,NA
2020-05-10,48.22,-36,NA
2020-05-11,NA,-40,NA
2020-05-12,NA,-34,NA
2020-05-13,44.73,-37,NA
2020-05-14,49.49,-38,NA
2020-05-15,51.99,-36,NA
2020-05-16,58.12,-34,NA
2020-05-17,55.4,-39,NA
2020-05-18,48.12,-39,NA
2020-05-19,53.28,-32,NA
2020-05-20,56.42,-35,NA
2020-05-21,54.05,-30,NA
2020-05-22,64.94,-34,NA
2020-05-23,73.19,-25,NA
2020-05-24,72.23,-33,NA
2020-05-25,79.2,-61,NA
2020-05-26,64.54,-30,NA
2020-05-27,60.18,-33,NA
2020-05-28,63.39,-31,NA
2020-05-29,62.3,-31,NA
2020-05-30,67.21,-16,NA
2020-05-31,66.17,-19,NA
2020-06-01,58.5,-27,NA
2020-06-02,59.22,-22,NA
2020-06-03,66.22,-26,NA
2020-06-04,67.21,-28,NA
2020-06-05,74.03,-24,NA
2020-06-06,83.17,-17,NA
2020-06-07,96.05,-26,NA
2020-06-08,99.82,-31,NA
2020-06-09,131.8,-26,NA
2020-06-10,121.18,-27,NA
2020-06-11,139.46,-24,NA
2020-06-12,151.68,-22,NA
2020-06-13,193.08,-10,NA
2020-06-14,208.81,-10,NA
2020-06-15,190.35,-27,NA
2020-06-16,194.58,-24,NA
2020-06-17,187.88,-27,NA
2020-06-18,195.6,-24,NA
2020-06-19,185.46,-26,NA
2020-06-20,205.7,-15,NA
2020-06-21,198.85,-27,NA
2020-06-22,212.93,-26,NA
2020-06-23,195.98,-20,NA
2020-06-24,196.74,-24,NA
2020-06-25,180.7,-24,NA
2020-06-26,179.56,-29,NA
2020-06-27,208.76,-17,NA
2020-06-28,217.69,-15,NA
2020-06-29,187.09,-26,NA
2020-06-30,187.65,-23,NA
2020-07-01,190.58,-26,NA
2020-07-02,172.1,-28,NA
2020-07-03,191.57,-45,NA
2020-07-04,192.82,-17,NA
2020-07-05,229.66,-17,NA
2020-07-06,186.05,-29,NA
2020-07-07,193.53,-23,NA
2020-07-08,200.56,-23,NA
2020-07-09,199.9,-22,NA
2020-07-10,204.35,-25,NA
2020-07-11,233.96,-10,NA
2020-07-12,242.69,-11,NA
2020-07-13,208.1,-26,NA
2020-07-14,197.45,-23,NA
2020-07-15,213.95,-26,NA
2020-07-16,203.67,-27,NA
2020-07-17,202.24,-26,NA
2020-07-18,218.94,-10,NA
2020-07-19,235.41,-16,NA
2020-07-20,201.5,-32,NA
2020-07-21,200.31,-31,NA
2020-07-22,205.22,-27,NA
2020-07-23,197.05,-26,NA
2020-07-24,207.82,-30,NA
2020-07-25,237.37,-17,NA
2020-07-26,259.73,-14,NA
2020-07-27,200.64,-27,NA
2020-07-28,213.14,-27,NA
2020-07-29,208.22,-25,NA
2020-07-30,195.39,-29,NA
2020-07-31,204.58,-28,NA
2020-08-01,250.36,-19,NA
2020-08-02,251.91,-15,NA
2020-08-03,216.01,-31,NA
