date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,129.59,-2,NA
2020-02-16,120.38,4,NA
2020-02-17,111.92,-12,NA
2020-02-18,115.5,1,NA
2020-02-19,114.56,4,NA
2020-02-20,94.18,-2,NA
2020-02-21,144.28,-5,NA
2020-02-22,131.48,-6,NA
2020-02-23,119.84,3,NA
2020-02-24,95.8,0,NA
2020-02-25,119.84,2,NA
2020-02-26,114.76,7,NA
2020-02-27,125.86,4,NA
2020-02-28,161.41,-1,NA
2020-02-29,137.91,-6,NA
2020-03-01,126.47,0,NA
2020-03-02,116.93,6,NA
2020-03-03,118.28,2,NA
2020-03-04,115.57,6,NA
2020-03-05,133.65,4,NA
2020-03-06,177.79,3,NA
2020-03-07,152.74,0,NA
2020-03-08,144.48,7,NA
2020-03-09,131.75,4,NA
2020-03-10,130.87,2,NA
2020-03-11,131.21,5,NA
2020-03-12,149.02,4,NA
2020-03-13,200.68,-3,NA
2020-03-14,153.55,-4,NA
2020-03-15,137.85,6,NA
2020-03-16,131.48,-3,NA
2020-03-17,123.83,-9,NA
2020-03-18,125.59,-8,NA
2020-03-19,122.27,-12,NA
2020-03-20,136.36,-16,NA
2020-03-21,116.79,-5,NA
2020-03-22,87.68,-10,NA
2020-03-23,102.64,-18,NA
2020-03-24,100,-21,NA
2020-03-25,102.98,-21,NA
2020-03-26,93.43,-25,NA
2020-03-27,105.15,-26,NA
2020-03-28,93.84,-15,NA
2020-03-29,72.92,-22,NA
2020-03-30,89.3,-26,NA
2020-03-31,89.98,-29,NA
2020-04-01,85.51,-29,NA
2020-04-02,73.39,-29,NA
2020-04-03,88.15,-28,NA
2020-04-04,79.76,-20,NA
2020-04-05,61.14,-25,NA
2020-04-06,89.78,-26,NA
2020-04-07,84.16,-31,NA
2020-04-08,90.45,-29,NA
2020-04-09,95.6,-31,NA
2020-04-10,84.77,-50,NA
2020-04-11,75.76,-37,NA
2020-04-12,63.44,-39,NA
2020-04-13,96.07,-42,NA
2020-04-14,97.9,-33,NA
2020-04-15,97.63,-27,NA
2020-04-16,103.39,-30,NA
2020-04-17,109.68,-32,NA
2020-04-18,98.78,-16,NA
2020-04-19,71.43,-20,NA
2020-04-20,92.28,-27,NA
2020-04-21,101.42,-32,NA
2020-04-22,108.12,-29,NA
2020-04-23,91.6,-32,NA
2020-04-24,123.36,-29,NA
2020-04-25,105.15,-19,NA
2020-04-26,83.89,-20,NA
2020-04-27,110.22,-21,NA
2020-04-28,113.54,-28,NA
2020-04-29,108.73,-25,NA
2020-04-30,100.54,-28,NA
2020-05-01,145.77,-28,NA
2020-05-02,126.07,-18,NA
2020-05-03,121.39,-18,NA
2020-05-04,145.5,-20,NA
2020-05-05,120.31,-22,NA
2020-05-06,135.34,-24,NA
2020-05-07,138.46,-23,NA
2020-05-08,163.98,-27,NA
2020-05-09,159.65,-16,NA
2020-05-10,155.45,-12,NA
2020-05-11,NA,-20,NA
2020-05-12,NA,-21,NA
2020-05-13,144.21,-18,NA
2020-05-14,165.88,-19,NA
2020-05-15,218.89,-23,NA
2020-05-16,211.71,-18,NA
2020-05-17,227.83,-16,NA
2020-05-18,166.82,-21,NA
2020-05-19,163.98,-23,NA
2020-05-20,129.99,-21,NA
2020-05-21,191.2,-25,NA
2020-05-22,269.94,-23,NA
2020-05-23,221.94,-11,NA
2020-05-24,198.85,-23,NA
2020-05-25,240.89,-58,NA
2020-05-26,184.02,-20,NA
2020-05-27,164.18,-19,NA
2020-05-28,192.08,-19,NA
2020-05-29,210.02,-23,NA
2020-05-30,238.59,-8,NA
2020-05-31,236.97,-10,NA
2020-06-01,192.42,-15,NA
2020-06-02,176.78,-17,NA
2020-06-03,190.18,-15,NA
2020-06-04,224.1,-16,NA
2020-06-05,256.74,-23,NA
2020-06-06,278.94,-14,NA
2020-06-07,254.03,-15,NA
2020-06-08,214.35,-18,NA
2020-06-09,173.87,-21,NA
2020-06-10,170.28,-19,NA
2020-06-11,213.41,-22,NA
2020-06-12,278.47,-21,NA
2020-06-13,319.16,-12,NA
2020-06-14,245.23,-11,NA
2020-06-15,213.27,-17,NA
2020-06-16,175.69,-18,NA
2020-06-17,188.35,-14,NA
2020-06-18,219.7,-18,NA
2020-06-19,278.33,-23,NA
2020-06-20,319.84,-12,NA
2020-06-21,239.95,-9,NA
2020-06-22,231.42,-18,NA
2020-06-23,181.65,-24,NA
2020-06-24,190.52,-20,NA
2020-06-25,209.95,-23,NA
2020-06-26,259.31,-23,NA
2020-06-27,324.44,-8,NA
2020-06-28,228.44,-13,NA
2020-06-29,191.13,-20,NA
2020-06-30,188.15,-23,NA
2020-07-01,189.3,-21,NA
2020-07-02,238.25,-28,NA
2020-07-03,278.47,-47,NA
2020-07-04,278.33,-32,NA
2020-07-05,255.25,-18,NA
2020-07-06,212.39,-28,NA
2020-07-07,181.99,-28,NA
2020-07-08,174.07,-24,NA
2020-07-09,210.22,-27,NA
2020-07-10,253.35,-28,NA
2020-07-11,328.23,-17,NA
2020-07-12,209.55,-9,NA
2020-07-13,208.26,-19,NA
2020-07-14,200.61,-23,NA
2020-07-15,183.89,-21,NA
2020-07-16,207.58,-18,NA
2020-07-17,251.25,-24,NA
2020-07-18,313.47,-9,NA
2020-07-19,200.81,-13,NA
2020-07-20,203.66,-20,NA
2020-07-21,175.15,-21,NA
2020-07-22,208.46,-19,NA
2020-07-23,197.09,-24,NA
2020-07-24,259.85,-24,NA
2020-07-25,319.43,-8,NA
2020-07-26,208.46,-14,NA
2020-07-27,217.2,-20,NA
2020-07-28,188.08,-24,NA
2020-07-29,187.47,-24,NA
2020-07-30,200.2,-21,NA
2020-07-31,238.05,-24,NA
2020-08-01,297.16,-16,NA
2020-08-02,215.98,-11,NA
2020-08-03,168.38,-22,NA
2020-08-04,183.55,-24,NA
2020-08-05,181.11,-20,NA
2020-08-06,190.66,-23,NA
2020-08-07,238.93,-21,NA
2020-08-08,281.38,-6,NA
2020-08-09,209.48,-8,NA
2020-08-10,196.41,-23,NA
2020-08-11,183.21,-23,NA
2020-08-12,191.27,-21,NA
2020-08-13,201.02,-24,NA
2020-08-14,235.88,-23,NA
2020-08-15,266.08,-17,NA
2020-08-16,207.31,-17,NA
2020-09-11,222.55,-19,NA
2020-09-12,204.87,-11,NA
2020-09-13,210.16,-8,NA
2020-09-14,167.43,-11,NA
2020-09-15,145.5,-14,NA
2020-09-16,167.84,-14,NA
2020-09-17,168.31,-18,NA
2020-09-18,215.23,-14,NA
2020-09-19,214.42,-5,NA
2020-09-20,196.95,-5,NA
2020-09-21,157.55,-11,NA
2020-09-22,155.79,-16,NA
2020-09-23,154.57,-10,4
2020-09-24,179.35,-12,4
2020-09-25,192.21,-18,9
2020-09-26,190.52,-9,NA
2020-09-27,173.39,-12,NA
2020-09-28,169.74,-12,2
2020-09-29,148,-16,5
2020-09-30,168.45,-14,2
2020-10-01,178.94,-15,-1
2020-10-02,220.99,-12,-1
2020-10-03,200,-3,NA
2020-10-04,183.82,-5,NA
2020-10-05,175.15,-14,0
2020-10-06,139.95,-17,2
2020-10-07,171.63,-13,2
2020-10-08,198.58,-15,2
2020-10-09,220.51,-15,4
2020-10-10,182.53,-9,NA
2020-10-11,153.01,-10,NA
2020-10-12,163.57,-18,4
2020-10-13,147.66,-15,3
2020-10-14,141.37,-12,4
2020-10-15,176.1,-13,3
2020-10-16,205.35,-13,4
2020-10-17,189.71,-6,NA
2020-10-18,176.51,-10,NA
2020-10-19,163.57,-13,3
2020-10-20,148.75,-15,4
2020-10-21,152.74,-13,3
2020-10-22,177.05,-13,2
2020-10-23,212.86,-16,5
2020-10-24,171.36,-13,NA
2020-10-25,173.87,-12,NA
2020-10-26,161.54,-12,2
2020-10-27,144.28,-13,4
2020-10-28,160.32,-9,4
2020-10-29,157.08,-17,3
2020-10-30,215.3,-14,1
2020-10-31,166.28,-4,NA
2020-11-01,141.1,-14,NA
2020-11-02,150.1,-10,2
2020-11-03,158.16,-20,4
