date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,147.17,1,NA
2020-02-16,105.37,4,NA
2020-02-17,113.44,-16,4
2020-02-18,119.86,0,1
2020-02-19,114.63,-1,0
2020-02-20,122.65,0,0
2020-02-21,142.04,1,-1
2020-02-22,149.76,7,NA
2020-02-23,109.53,10,NA
2020-02-24,112.18,2,1
2020-02-25,105.55,0,1
2020-02-26,90.32,-4,5
2020-02-27,111.34,-9,4
2020-02-28,152.64,1,-1
2020-02-29,159.52,12,NA
2020-03-01,113.39,10,NA
2020-03-02,106.71,5,-1
2020-03-03,123.1,2,-1
2020-03-04,124.11,2,-1
2020-03-05,128.35,3,-2
2020-03-06,150.16,1,0
2020-03-07,152.96,9,NA
2020-03-08,118.67,9,NA
2020-03-09,111.39,2,-1
2020-03-10,117.85,1,0
2020-03-11,116.59,0,0
2020-03-12,118.32,0,-2
2020-03-13,136.96,-6,1
2020-03-14,116.24,4,NA
2020-03-15,92.52,-1,NA
2020-03-16,94.7,-10,5
2020-03-17,92.57,-17,7
2020-03-18,91.09,-18,9
2020-03-19,86.98,-20,9
2020-03-20,94.4,-24,12
2020-03-21,83.86,-13,NA
2020-03-22,51.84,-18,NA
2020-03-23,73.88,-21,10
2020-03-24,77.25,-28,13
2020-03-25,75.64,-39,17
2020-03-26,68.04,-40,18
2020-03-27,77.2,-42,21
2020-03-28,64.62,-27,NA
2020-03-29,46.6,-25,NA
2020-03-30,68.46,-40,17
2020-03-31,74.5,-42,18
2020-04-01,69.62,-43,18
2020-04-02,82.99,-43,16
2020-04-03,88.59,-44,18
2020-04-04,67.91,-36,NA
2020-04-05,54.84,-27,NA
2020-04-06,76.41,-41,17
2020-04-07,75.44,-42,17
2020-04-08,86.06,-42,16
2020-04-09,82.37,-44,17
2020-04-10,86.18,-55,NA
2020-04-11,76.63,-30,NA
2020-04-12,49.39,-33,NA
2020-04-13,80.66,-40,18
2020-04-14,84.77,-39,18
2020-04-15,79.28,-41,19
2020-04-16,92.92,-39,16
2020-04-17,84.97,-43,23
2020-04-18,87.03,-26,NA
2020-04-19,66.38,-22,NA
2020-04-20,95.05,-35,14
2020-04-21,96.73,-37,15
2020-04-22,101.31,-39,17
2020-04-23,102.01,-39,15
2020-04-24,110.2,-40,17
2020-04-25,86.85,-27,NA
2020-04-26,79.38,-22,NA
2020-04-27,98.29,-34,13
2020-04-28,103.71,-36,8
2020-04-29,100.2,-37,17
2020-04-30,104.93,-36,15
2020-05-01,126.15,-37,14
2020-05-02,118.17,-20,NA
2020-05-03,93.19,-19,NA
2020-05-04,114.21,-27,11
2020-05-05,111.96,-30,13
2020-05-06,126.47,-29,11
2020-05-07,134.49,-30,10
2020-05-08,136.62,-32,14
2020-05-09,134.41,-15,NA
2020-05-10,86.31,-8,NA
2020-05-11,NA,-26,11
2020-05-12,NA,-25,10
2020-05-13,138.35,-26,9
2020-05-14,129.56,-28,9
2020-05-15,160.73,-26,11
2020-05-16,154,-6,NA
2020-05-17,109.53,-10,NA
2020-05-18,131.89,-24,9
2020-05-19,145.68,-25,10
2020-05-20,150.26,-25,9
2020-05-21,154.35,-28,9
2020-05-22,187.99,-30,9
2020-05-23,179.82,-9,NA
2020-05-24,149.39,-12,NA
2020-05-25,148.95,-76,NA
2020-05-26,147.07,-25,8
2020-05-27,155.04,-25,8
2020-05-28,163.68,-23,9
2020-05-29,195.67,-23,9
2020-05-30,197.95,-1,NA
2020-05-31,147.78,3,NA
2020-06-01,159.4,-22,7
2020-06-02,169.94,-23,7
2020-06-03,154.87,-23,8
2020-06-04,185.57,-23,7
2020-06-05,213.84,-23,8
2020-06-06,216.37,7,NA
2020-06-07,162.69,4,NA
2020-06-08,170.36,-22,6
2020-06-09,163.78,-22,8
2020-06-10,160.29,-24,8
2020-06-11,191.41,-24,6
2020-06-12,220.4,-24,6
2020-06-13,205.87,4,NA
2020-06-14,187.5,1,NA
2020-06-15,181.38,-20,5
2020-06-16,182.89,-22,6
2020-06-17,173.95,-23,5
2020-06-18,204.33,-24,4
2020-06-19,254.77,-24,5
2020-06-20,273.98,8,NA
2020-06-21,175.74,7,NA
2020-06-22,172.05,-23,7
2020-06-23,182.87,-22,6
2020-06-24,187.08,-23,7
2020-06-25,223.4,-22,4
2020-06-26,259.67,-26,6
2020-06-27,273.83,5,NA
2020-06-28,233.57,4,NA
2020-06-29,191.8,-29,8
2020-06-30,193.59,-31,8
2020-07-01,208.86,-32,6
2020-07-02,237.76,-36,5
2020-07-03,291.38,-62,NA
2020-07-04,218.17,-24,NA
2020-07-05,220.87,-6,NA
2020-07-06,208.54,-30,7
2020-07-07,196.48,-28,6
2020-07-08,189.11,-27,6
2020-07-09,214.41,-26,6
2020-07-10,265.36,-25,6
2020-07-11,255.81,11,NA
2020-07-12,193.32,3,NA
2020-07-13,186.75,-23,5
2020-07-14,209.41,-24,5
2020-07-15,203.66,-24,5
2020-07-16,211.71,-24,6
2020-07-17,261.15,-25,5
2020-07-18,268.11,5,NA
2020-07-19,194.73,-1,NA
2020-07-20,202.23,-25,5
2020-07-21,186.95,-24,6
2020-07-22,194.8,-24,6
2020-07-23,205.82,-22,4
2020-07-24,255.43,-24,5
2020-07-25,255.58,8,NA
2020-07-26,210.97,1,NA
2020-07-27,186.18,-22,6
2020-07-28,176.8,-22,5
2020-07-29,184.9,-25,5
2020-07-30,200.99,-24,5
2020-07-31,240.26,-24,4
2020-08-01,229.09,1,NA
2020-08-02,204.63,-2,NA
2020-08-03,185.79,-24,6
2020-08-04,190.84,-24,6
2020-08-05,192.97,-25,5
2020-08-06,193.96,-23,4
2020-08-07,242.61,-23,3
2020-08-08,242.61,3,NA
2020-08-09,199.65,5,NA
2020-08-10,184.35,-22,3
2020-08-11,173.61,-27,3
2020-08-12,188.61,-23,5
2020-08-13,195.25,-23,4
2020-08-14,233.25,-24,4
2020-08-15,250.48,6,NA
2020-08-16,188.66,-2,NA
2020-08-17,178.58,-21,4
2020-08-18,167.89,-20,4
2020-08-19,171.97,-21,4
2020-08-20,184.85,-22,3
2020-08-21,241.42,NA,3
2020-08-24,162.56,-20,3
2020-08-25,171.68,-20,3
2020-08-26,159.12,-21,4
2020-08-27,171.35,-19,3
2020-08-28,214.81,NA,4
