date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,94.19,NA,NA
2020-02-16,81.84,NA,NA
2020-02-17,130.07,-15,NA
2020-02-18,138.25,-3,NA
2020-02-19,132.39,-1,NA
2020-02-20,132.63,3,NA
2020-02-21,129.88,0,NA
2020-02-22,91.05,NA,NA
2020-02-23,70.64,NA,NA
2020-02-24,123.97,2,NA
2020-02-25,140.31,1,NA
2020-02-26,124.92,0,NA
2020-02-27,142.5,3,NA
2020-02-28,136.99,5,NA
2020-02-29,87.91,NA,NA
2020-03-01,70.88,NA,NA
2020-03-02,110.69,8,NA
2020-03-03,117.45,-3,NA
2020-03-04,107.95,-6,NA
2020-03-05,127.48,5,NA
2020-03-06,133.47,-3,NA
2020-03-07,89.28,NA,NA
2020-03-08,73.31,NA,NA
2020-03-09,118.69,-14,NA
2020-03-10,128.93,-6,NA
2020-03-11,134.77,-15,NA
2020-03-12,124.47,-11,NA
2020-03-13,113.46,-20,NA
2020-03-14,77.93,NA,NA
2020-03-15,63.49,NA,NA
2020-03-16,95.62,-9,NA
2020-03-17,108.37,-15,NA
2020-03-18,104.38,-12,NA
2020-03-19,99.47,-9,NA
2020-03-20,92.77,-23,NA
2020-03-21,55.23,NA,NA
2020-03-22,49.58,NA,NA
2020-03-23,80.7,-17,NA
2020-03-24,92.98,-21,NA
2020-03-25,89.73,-24,NA
2020-03-26,106.63,-23,NA
2020-03-27,87.78,-32,NA
2020-03-28,55.7,NA,NA
2020-03-29,46.65,NA,NA
2020-03-30,70.22,-23,NA
2020-03-31,69.09,-32,NA
2020-04-01,77.59,-28,NA
2020-04-02,82.29,-27,NA
2020-04-03,70.41,-30,NA
2020-04-04,42.27,NA,NA
2020-04-05,40.87,NA,NA
2020-04-06,70.43,-26,NA
2020-04-07,86.67,-28,NA
2020-04-08,85.96,-29,NA
2020-04-09,75.24,-30,NA
2020-04-10,50.63,-50,NA
2020-04-13,73.71,-34,NA
2020-04-14,78.85,-28,NA
2020-04-15,67.13,-31,NA
2020-04-16,74.23,-29,NA
2020-04-17,80.02,-34,NA
2020-04-20,70.35,-30,NA
2020-04-21,65.47,-31,NA
2020-04-22,68.11,-27,NA
2020-04-23,63.89,-24,NA
2020-04-24,62.65,-35,NA
2020-04-27,67.53,-26,NA
2020-04-28,71.62,-25,NA
2020-04-29,60.98,-30,NA
2020-04-30,68.56,-25,NA
2020-05-01,65.81,-37,NA
2020-05-04,71.67,-26,NA
2020-05-05,76.06,-29,NA
2020-05-06,76.58,-25,NA
2020-05-07,70.99,-21,NA
2020-05-08,73.07,-31,NA
2020-05-11,NA,-26,NA
2020-05-12,NA,-27,NA
2020-05-13,83.45,-28,NA
2020-05-14,78.19,-28,NA
2020-05-15,77.8,-33,NA
2020-05-18,85.06,-24,NA
2020-05-19,103.01,-27,NA
2020-05-20,85.96,-29,NA
2020-05-21,89.6,-28,NA
2020-05-22,90.55,-35,NA
2020-05-25,59.9,-63,NA
2020-05-26,91.34,-33,NA
2020-05-27,93.51,-26,NA
2020-05-28,98.89,-27,NA
2020-05-29,89.81,-28,NA
2020-06-01,76.48,-31,NA
2020-06-02,88.2,-25,NA
2020-06-03,93,-29,NA
2020-06-04,90.39,-25,NA
2020-06-05,83.47,-30,NA
2020-06-08,77.4,-28,NA
2020-06-09,84.82,-25,NA
2020-06-10,89.39,-27,NA
2020-06-11,100.87,-23,NA
2020-06-12,93.03,-29,NA
2020-06-15,94.88,-26,NA
2020-06-16,98.36,-31,NA
2020-06-17,88.28,-32,NA
2020-06-18,93.16,-25,NA
2020-06-19,100.08,-34,NA
2020-06-22,88.28,-34,NA
2020-06-23,106.84,-31,NA
2020-06-24,100.45,-31,NA
2020-06-25,96.22,-31,NA
2020-06-26,93.77,-30,NA
2020-06-29,87.59,-30,NA
2020-06-30,86.43,-33,NA
2020-07-01,102.06,-35,NA
2020-07-02,92.42,-36,NA
2020-07-03,60.56,-56,NA
2020-07-06,83.24,-41,NA
2020-07-07,88.6,-37,NA
2020-07-08,87.65,-38,NA
2020-07-09,98.13,-33,NA
2020-07-10,84.19,-45,NA
2020-07-13,83.76,-34,NA
2020-07-14,96.09,-40,NA
2020-07-15,87.01,-34,NA
2020-07-16,85.67,-30,NA
2020-07-17,119.8,-38,NA
2020-07-20,88.67,-36,NA
2020-07-21,86.77,-40,NA
2020-07-22,95.09,-37,NA
2020-07-23,91.79,-33,NA
2020-07-24,96.59,-40,NA
2020-07-27,89.76,-34,NA
2020-07-28,101.03,-39,NA
2020-07-29,96.75,-38,NA
2020-07-30,97.15,-37,NA
2020-07-31,98.79,-43,NA
2020-08-03,90.31,-33,NA
2020-08-04,100.08,-40,NA
2020-08-05,108.29,-38,NA
2020-08-06,106.63,-36,NA
2020-08-07,99.02,-48,NA
2020-08-10,96.12,-39,NA
2020-08-11,87.33,-38,NA
2020-08-12,95.49,-40,NA
2020-08-13,107.31,-39,NA
2020-08-14,114.31,-43,NA
2020-09-11,112.28,-32,NA
2020-09-14,90.21,-27,NA
2020-09-15,108.87,-25,NA
2020-09-16,106.05,-28,NA
2020-09-17,104.51,-27,NA
2020-09-18,108.05,-31,NA
2020-09-21,98.57,-29,NA
2020-09-22,101.19,-28,NA
2020-09-23,104.12,-25,NA
2020-09-24,102.51,-25,NA
2020-09-25,108.82,-29,NA
2020-09-28,98.34,-25,NA
2020-09-29,97.07,-33,NA
2020-09-30,100.32,-30,NA
2020-10-01,118.24,-25,NA
2020-10-02,104.96,-41,NA
2020-10-05,87.46,-29,NA
2020-10-06,97.57,-30,NA
2020-10-07,99.66,-25,NA
2020-10-08,111.11,-23,NA
2020-10-09,126.5,-27,NA
2020-10-12,100.5,-30,NA
2020-10-13,98.94,-27,NA
2020-10-14,104.88,-25,NA
2020-10-15,102.59,-21,NA
2020-10-16,102.72,-31,NA
2020-10-19,94.06,-25,NA
2020-10-20,103.8,-28,NA
2020-10-21,109.11,-26,NA
2020-10-22,124.47,-23,NA
2020-10-23,115.36,-25,NA
2020-10-26,84.37,-31,NA
2020-10-27,65.13,-67,NA
2020-10-28,95.27,-38,NA
2020-10-29,118.74,-27,NA
2020-10-30,109.29,-29,NA
2020-11-02,107.63,-34,NA
2020-11-03,89.6,-31,NA
