date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,167.43,0,-2
2020-02-16,120.79,-1,NA
2020-02-17,110.94,-7,1
2020-02-18,105.01,-1,0
2020-02-19,109.41,1,0
2020-02-20,118.94,-1,1
2020-02-21,147.82,0,-2
2020-02-22,144.21,4,-1
2020-02-23,104.28,5,NA
2020-02-24,113.05,4,-2
2020-02-25,123.28,0,-1
2020-02-26,111.52,2,-2
2020-02-27,115.83,1,-2
2020-02-28,153.68,1,-4
2020-02-29,166.64,3,-3
2020-03-01,121.49,2,NA
2020-03-02,118.91,2,-2
2020-03-03,111.81,1,-2
2020-03-04,115.42,0,-2
2020-03-05,121.84,1,-2
2020-03-06,154.47,1,-3
2020-03-07,172.03,4,-3
2020-03-08,126.88,3,NA
2020-03-09,129.96,-22,2
2020-03-10,129.64,-22,1
2020-03-11,126.3,-24,1
2020-03-12,133.39,-25,0
2020-03-13,151.19,-23,1
2020-03-14,142.89,1,-1
2020-03-15,106.42,3,NA
2020-03-16,117.41,-24,5
2020-03-17,95.25,-24,6
2020-03-18,99.53,-28,8
2020-03-19,92.55,-32,11
2020-03-20,96.95,-34,14
2020-03-21,78.89,-25,NA
2020-03-22,59.57,-36,NA
2020-03-23,69.8,-36,17
2020-03-24,71.97,-41,18
2020-03-25,68.89,-40,18
2020-03-26,75.46,-41,17
2020-03-27,82.09,-40,19
2020-03-28,69.1,-25,NA
2020-03-29,58.46,-36,NA
2020-03-30,72.3,-40,17
2020-03-31,71.71,-42,18
2020-04-01,71.68,-44,18
2020-04-02,72.71,-46,19
2020-04-03,80.8,-46,22
2020-04-04,63.21,-39,NA
2020-04-05,53.88,-41,NA
2020-04-06,72.76,-45,20
2020-04-07,80.06,-48,21
2020-04-08,73.5,-48,21
2020-04-09,81.44,-48,20
2020-04-10,91.44,-55,27
2020-04-11,80.45,-34,NA
2020-04-12,53.24,-41,NA
2020-04-13,72.74,-49,21
2020-04-14,71.65,-47,21
2020-04-15,81.53,-44,18
2020-04-16,93.58,-43,18
2020-04-17,106.95,-43,21
2020-04-18,80.3,-29,NA
2020-04-19,74.2,-31,NA
2020-04-20,91.7,-41,18
2020-04-21,89.09,-45,19
2020-04-22,95.95,-44,19
2020-04-23,100.97,-45,19
2020-04-24,105.95,-43,21
2020-04-25,91.29,-28,NA
2020-04-26,77.54,-30,NA
2020-04-27,101.99,-41,18
2020-04-28,92.23,-42,11
2020-04-29,94.08,-43,18
2020-04-30,109.79,-42,17
2020-05-01,107.39,-42,18
2020-05-02,99.38,-27,NA
2020-05-03,85.52,-30,NA
2020-05-04,104.13,-38,16
2020-05-05,100.21,-40,15
2020-05-06,106.42,-40,15
2020-05-07,115.63,-40,16
2020-05-08,151.39,-39,16
2020-05-09,133.16,-22,NA
2020-05-10,113.87,-21,NA
2020-05-11,NA,-36,15
2020-05-12,NA,-38,16
2020-05-13,113.1,-37,15
2020-05-14,129.58,-38,15
2020-05-15,140.9,-37,16
2020-05-16,118.15,-20,NA
2020-05-17,109.97,-18,NA
2020-05-18,130.26,-34,14
2020-05-19,126.85,-36,14
2020-05-20,129.99,-37,14
2020-05-21,138.67,-38,13
2020-05-22,154.06,-36,15
2020-05-23,135.74,-17,NA
2020-05-24,99,-16,NA
2020-05-25,126.41,-54,18
2020-05-26,143.36,-36,12
2020-05-27,132.25,-33,12
2020-05-28,126.85,-37,13
2020-05-29,149.37,-35,14
2020-05-30,125.59,-12,NA
2020-05-31,108.65,-14,NA
2020-06-01,132.83,-32,11
2020-06-02,131.11,-33,12
2020-06-03,132.66,-32,11
2020-06-04,155.32,-36,11
2020-06-05,159.6,-36,12
2020-06-06,141.19,-12,NA
2020-06-07,134.65,-16,NA
2020-06-08,140.05,-32,11
2020-06-09,142.48,-35,11
2020-06-10,135.8,-34,11
2020-06-11,147.41,-35,10
2020-06-12,179.39,-35,12
2020-06-13,153.62,-12,NA
2020-06-14,121.69,-16,NA
2020-06-15,153.83,-33,10
2020-06-16,146.09,-33,10
2020-06-17,151.63,-34,9
2020-06-18,152.77,-37,10
2020-06-19,179.68,-35,11
2020-06-20,155.2,-13,NA
2020-06-21,117.62,-12,NA
2020-06-22,145.91,-37,12
2020-06-23,146.5,-38,11
2020-06-24,150.48,-35,12
2020-06-25,159.1,-38,12
2020-06-26,167.17,-37,13
2020-06-27,162.21,-16,NA
2020-06-28,125.3,-21,NA
2020-06-29,141.66,-36,13
2020-06-30,143.3,-39,13
2020-07-01,136.12,-39,13
2020-07-02,163.76,-40,12
2020-07-03,206.1,-49,18
2020-07-04,164.5,-23,NA
2020-07-05,126.12,-26,NA
2020-07-06,154.68,-40,15
2020-07-07,146.82,-41,14
2020-07-08,149.55,-38,13
2020-07-09,159.69,-39,13
2020-07-10,177.72,-40,16
2020-07-11,141.6,-19,NA
2020-07-12,125.36,-27,NA
2020-07-13,141.69,-40,15
2020-07-14,155.2,-41,13
2020-07-15,145.91,-39,13
2020-07-16,156.08,-39,14
2020-07-17,169.31,-39,15
2020-07-18,164.53,-18,NA
2020-07-19,134.39,-24,NA
2020-07-20,145.41,-41,14
2020-07-21,148.81,-40,14
2020-07-22,163.03,-39,14
2020-07-23,163.79,-42,14
2020-07-24,169.6,-44,16
2020-07-25,157.58,-19,NA
2020-07-26,120.79,-27,NA
2020-07-27,148.23,-41,15
2020-07-28,139.43,-42,15
2020-07-29,152.27,-41,14
2020-07-30,167.34,-42,15
2020-07-31,172.47,-41,15
2020-08-01,172.97,-18,NA
2020-08-02,127.82,-23,NA
2020-08-03,152.21,-41,12
2020-08-04,148.26,-42,13
2020-08-05,157.17,-41,13
2020-08-06,162.88,-42,12
2020-08-07,180.42,-44,15
2020-08-08,160.63,-23,NA
2020-08-09,130.2,-25,NA
2020-08-10,149.37,-39,13
2020-08-11,152.18,-43,14
2020-08-12,153.5,-39,13
2020-08-13,165.52,-42,13
2020-08-14,178.69,-42,14
2020-08-15,166.61,-22,NA
2020-08-16,135.27,-26,NA
2020-08-17,151.98,-40,13
2020-08-18,138.73,-40,14
2020-08-19,146.12,-39,12
2020-08-20,151.63,-41,11
2020-08-21,167.66,-41,14
2020-08-24,136.53,-38,12
2020-08-25,144.5,-40,12
2020-08-26,150.69,-39,11
2020-08-27,151.66,-40,10
2020-08-28,158.11,-39,12
2020-08-31,132.37,-39,12
2020-09-01,141.89,-40,12
2020-09-02,132.92,-39,12
2020-09-03,146.06,-39,11
2020-09-04,237.38,-40,12
2020-09-07,146.06,-55,17
2020-09-08,127.65,-38,10
2020-09-09,130.9,-36,11
2020-09-10,136.12,-39,11
2020-09-11,165.11,-39,10
2020-09-12,147.76,-21,NA
2020-09-13,131.43,-23,NA
2020-09-14,126.03,-32,9
2020-09-15,142.77,-34,10
2020-09-16,140.46,-35,10
2020-09-17,144.59,-35,10
2020-09-18,173.35,-35,10
2020-09-19,149.63,-23,NA
2020-09-20,116.01,-24,NA
2020-09-21,133.3,-33,10
2020-09-22,130.43,-34,10
2020-09-23,122.1,-33,10
2020-09-24,133.39,-34,10
2020-09-25,164.82,-32,10
2020-09-26,149.6,-19,6
2020-09-27,117.59,-21,7
2020-09-28,124.63,-32,10
2020-09-29,120.93,-35,10
2020-09-30,125.39,-32,9
2020-10-01,138.64,-33,7
2020-10-02,154.62,-34,8
2020-10-03,155.12,-21,3
2020-10-04,120.2,-24,4
2020-10-05,126.56,-31,8
2020-10-06,130.75,-34,8
2020-10-07,122.75,-33,9
2020-10-08,136.5,-34,8
2020-10-09,158.55,-33,9
2020-10-10,172.47,-14,4
2020-10-11,139.93,-20,6
2020-10-12,134.86,-36,11
2020-10-13,128.03,-33,10
2020-10-14,121.87,-32,9
2020-10-15,135.85,-33,8
2020-10-16,159.69,-33,9
2020-10-17,176.72,-18,4
2020-10-18,132.86,-22,6
2020-10-19,128.97,-32,10
2020-10-20,139.11,-32,10
2020-10-21,141.31,-33,9
2020-10-22,148.37,-34,8
2020-10-23,164.82,-32,9
2020-10-24,151.89,-14,4
2020-10-25,117.82,-16,5
2020-10-26,152.13,-31,10
2020-10-27,129.7,-36,12
2020-10-28,121.87,-32,10
2020-10-29,141.86,-34,8
2020-10-30,158.25,-32,7
2020-10-31,145.97,-14,3
2020-11-01,110.2,-22,4
2020-11-02,125.27,-32,9
2020-11-03,129.05,-35,9
