date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.18,NA,NA
2020-02-16,121.48,NA,NA
2020-02-17,127.96,-12,NA
2020-02-18,96.13,6,NA
2020-02-19,96.68,-2,NA
2020-02-20,112.8,-4,NA
2020-02-21,153.63,8,NA
2020-02-22,132.31,NA,NA
2020-02-23,119.43,NA,NA
2020-02-24,116.9,4,NA
2020-02-25,104.03,6,NA
2020-02-26,111.77,2,NA
2020-02-27,113.43,4,NA
2020-02-28,170.46,8,NA
2020-02-29,109,NA,NA
2020-03-01,114.93,NA,NA
2020-03-02,107.35,2,NA
2020-03-03,105.13,4,NA
2020-03-04,93.68,4,NA
2020-03-05,111.61,6,NA
2020-03-06,182.07,4,NA
2020-03-07,134.99,NA,NA
2020-03-08,148.5,NA,NA
2020-03-09,141.23,-12,NA
2020-03-10,142.34,-13,NA
2020-03-11,146.68,-13,NA
2020-03-12,158.45,-13,NA
2020-03-13,184.83,-14,NA
2020-03-14,134.44,NA,NA
2020-03-15,131.67,NA,NA
2020-03-16,95.1,-6,NA
2020-03-17,85.31,-4,NA
2020-03-18,95.89,-6,NA
2020-03-19,94.94,-15,NA
2020-03-20,99.92,-14,NA
2020-03-21,73.78,NA,NA
2020-03-22,71.41,NA,NA
2020-03-23,74.09,-17,NA
2020-03-24,78.12,-17,NA
2020-03-25,78.91,-22,NA
2020-03-26,84.2,-15,NA
2020-03-27,107.19,-14,NA
2020-03-28,71.48,NA,NA
2020-03-29,61.06,NA,NA
2020-03-30,69.59,-15,NA
2020-03-31,64.77,-21,NA
2020-04-01,78.59,-24,NA
2020-04-02,74.88,-28,NA
2020-04-03,74.41,-24,NA
2020-04-04,63.51,NA,NA
2020-04-05,63.35,NA,NA
2020-04-06,72.59,-23,NA
2020-04-07,58.53,-25,NA
2020-04-08,74.88,-30,NA
2020-04-09,81.36,-33,NA
2020-04-10,72.51,-39,NA
2020-04-13,67.85,-25,NA
2020-04-14,66.67,-25,NA
2020-04-15,72.83,-30,NA
2020-04-16,80.49,-28,NA
2020-04-17,91.07,-27,NA
2020-04-20,68.33,-25,NA
2020-04-21,80.96,-27,NA
2020-04-22,74.88,-23,NA
2020-04-23,98.34,-30,NA
2020-04-24,104.27,-24,NA
2020-04-27,95.18,-20,NA
2020-04-28,82.15,-30,NA
2020-04-29,92.02,-26,NA
2020-04-30,88.78,-29,NA
2020-05-01,126.78,-25,NA
2020-05-04,101.18,-21,NA
2020-05-05,82.39,-21,NA
2020-05-06,105.69,-21,NA
2020-05-07,107.58,-20,NA
2020-05-08,141.86,-14,NA
2020-05-11,NA,-12,NA
2020-05-12,NA,-15,NA
2020-05-13,92.02,-17,NA
2020-05-14,140.28,-15,NA
2020-05-15,147.79,-17,NA
2020-05-18,110.43,-15,NA
2020-05-19,118.8,-17,NA
