date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,123.93,6,NA
2020-02-16,99.31,3,NA
2020-02-17,112.29,-16,NA
2020-02-18,102.49,6,1
2020-02-19,96,6,0
2020-02-20,113.67,8,0
2020-02-21,127.89,9,NA
2020-02-22,119.65,8,NA
2020-02-23,87.39,0,NA
2020-02-24,91.58,9,0
2020-02-25,89.23,4,2
2020-02-26,86.29,3,1
2020-02-27,108.51,3,-1
2020-02-28,127.7,11,-1
2020-02-29,116.57,12,NA
2020-03-01,107.73,1,NA
2020-03-02,95.63,8,-1
2020-03-03,104.05,3,-1
2020-03-04,106.9,2,0
2020-03-05,118.59,6,0
2020-03-06,145.33,8,NA
2020-03-07,122.69,0,NA
2020-03-08,77.73,0,NA
2020-03-09,80.03,-16,NA
2020-03-10,91.07,-16,NA
2020-03-11,77.5,-18,NA
2020-03-12,71.84,-19,NA
2020-03-13,74.18,-14,NA
2020-03-14,65.12,1,NA
2020-03-15,56.14,-1,NA
2020-03-16,66.59,-10,NA
2020-03-17,63.14,-20,NA
2020-03-18,63.6,-24,NA
2020-03-19,67.79,-24,NA
2020-03-20,73.82,-24,NA
2020-03-21,69.08,-18,NA
2020-03-22,34.42,-37,NA
2020-03-23,46.85,-40,NA
2020-03-24,51.91,-40,NA
2020-03-25,56.14,-41,NA
2020-03-26,55.22,-39,NA
2020-03-27,55.27,-37,NA
2020-03-28,55.82,-31,NA
2020-03-29,39.81,-28,NA
2020-03-30,54.95,-34,NA
2020-03-31,58.35,-37,NA
2020-04-01,63.32,-36,NA
2020-04-02,56.79,-36,NA
2020-04-03,69.26,-36,NA
2020-04-04,48.04,-23,NA
2020-04-05,48.37,-25,NA
2020-04-06,61.34,-34,NA
2020-04-07,64.89,-38,NA
2020-04-08,62.86,-39,NA
2020-04-09,63.09,-40,NA
2020-04-10,63.51,-44,NA
2020-04-11,53.34,-24,NA
2020-04-12,33.59,-31,NA
2020-04-13,62.63,-38,NA
2020-04-14,60.06,-40,NA
2020-04-15,63.09,-38,NA
2020-04-16,68.94,-38,NA
2020-04-17,66.91,-37,NA
2020-04-18,58.4,-24,NA
2020-04-19,49.7,-24,NA
2020-04-20,71.93,-34,NA
2020-04-21,65.16,-34,NA
2020-04-22,75.79,-37,NA
2020-04-23,72.94,-38,NA
2020-04-24,66.5,-33,NA
2020-04-25,58.26,-25,NA
2020-04-26,59.83,-25,NA
2020-04-27,68.48,-34,NA
2020-04-28,70.23,-39,NA
2020-04-29,65.72,-38,NA
2020-04-30,80.21,-36,NA
2020-05-01,94.02,-32,NA
2020-05-02,74.46,-24,NA
2020-05-03,57.71,-18,NA
2020-05-04,77.27,-33,NA
2020-05-05,66.64,-35,NA
2020-05-06,83.11,-35,NA
2020-05-07,93.6,-35,NA
2020-05-08,104.19,-31,NA
2020-05-09,94.06,-20,NA
2020-05-10,64.75,-16,NA
2020-05-11,NA,-32,NA
2020-05-12,NA,-34,NA
2020-05-13,92.41,-32,NA
2020-05-14,87.11,-33,NA
2020-05-15,96.87,-30,NA
2020-05-16,85.09,-20,NA
2020-05-17,69.21,-18,NA
2020-05-18,77.5,-30,NA
2020-05-19,83.34,-33,NA
2020-05-20,92.73,-29,NA
2020-05-21,99.22,-33,NA
2020-05-22,108.65,-28,NA
2020-05-23,93.24,-15,NA
2020-05-24,76.44,-12,NA
2020-05-25,82.19,-68,NA
2020-05-26,90.61,-30,NA
2020-05-27,93.93,-28,NA
2020-05-28,100.6,-29,NA
2020-05-29,116.75,-23,NA
2020-05-30,102.67,-6,NA
2020-05-31,104.14,-1,NA
2020-06-01,106.72,-24,NA
2020-06-02,110.58,-27,NA
2020-06-03,92.41,-26,NA
2020-06-04,109.48,-26,NA
2020-06-05,110.4,-24,NA
2020-06-06,109.76,0,NA
2020-06-07,87.21,-2,NA
2020-06-08,109.48,-25,NA
2020-06-09,95.12,-28,NA
2020-06-10,102.9,-25,NA
2020-06-11,117.95,-26,NA
2020-06-12,125.63,-26,NA
2020-06-13,125.59,0,NA
2020-06-14,94.39,1,NA
2020-06-15,108.05,-23,NA
2020-06-16,106.49,-24,NA
2020-06-17,121.63,-24,NA
2020-06-18,115.69,-25,NA
2020-06-19,127.24,-23,NA
2020-06-20,112.56,-6,NA
2020-06-21,102.12,-7,NA
2020-06-22,105.34,-27,NA
2020-06-23,132.77,-27,NA
2020-06-24,122,-25,NA
2020-06-25,128.16,-28,NA
2020-06-26,133.69,-24,NA
2020-06-27,126.05,-10,NA
2020-06-28,104.19,-7,NA
2020-06-29,118.68,-29,NA
2020-06-30,123.42,-34,NA
2020-07-01,127.52,-32,NA
2020-07-02,137.74,-33,NA
2020-07-03,125.26,-52,NA
2020-07-04,103.22,-25,NA
2020-07-05,98.48,-7,NA
2020-07-06,119.83,-25,NA
2020-07-07,121.08,-31,NA
2020-07-08,131.25,-26,NA
2020-07-09,123.38,-24,NA
2020-07-10,147.45,-25,NA
2020-07-11,130.19,-11,NA
2020-07-12,102.81,-6,NA
2020-07-13,114.63,-28,NA
2020-07-14,111.5,-30,NA
2020-07-15,123.56,-33,NA
2020-07-16,130.46,-29,NA
2020-07-17,137.97,-26,NA
2020-07-18,125.13,-9,NA
2020-07-19,108.56,-11,NA
2020-07-20,105.52,-28,NA
2020-07-21,118.13,-34,NA
2020-07-22,119.47,-30,NA
2020-07-23,123.47,-28,NA
2020-07-24,131.06,-30,NA
2020-07-25,136.54,-3,NA
2020-07-26,94.94,-5,NA
2020-07-27,117.63,-25,NA
2020-07-28,126.65,-27,NA
2020-07-29,128.81,-27,NA
2020-07-30,127.52,-28,NA
2020-07-31,143.4,-26,NA
2020-08-01,118.87,-5,NA
2020-08-02,104.42,-8,NA
2020-08-03,115.51,-25,NA
2020-08-04,110.72,-28,NA
2020-08-05,122.18,-24,NA
2020-08-06,131.11,-26,NA
2020-08-07,128.9,-25,NA
2020-08-08,128.9,1,NA
2020-08-09,106.99,-11,NA
2020-08-10,118.55,-27,NA
2020-08-11,117.12,-26,NA
2020-08-12,129.87,-27,NA
2020-08-13,135.34,-27,NA
2020-08-14,147.77,-21,NA
2020-08-15,145.61,-5,NA
2020-08-16,128.81,-6,NA
2020-09-11,173.03,-21,NA
2020-09-12,171.84,-1,NA
2020-09-13,122.83,-10,NA
2020-09-14,133.78,-20,NA
2020-09-15,150.25,-22,NA
2020-09-16,149.06,-28,NA
2020-09-17,146.3,-23,NA
2020-09-18,166.5,-20,NA
2020-09-19,171.38,-4,NA
2020-09-20,124.67,-10,NA
2020-09-21,133.41,-22,NA
2020-09-22,134.51,-23,NA
2020-09-23,129.82,-22,4
2020-09-24,140.22,-21,4
2020-09-25,159.13,-16,3
2020-09-26,159.5,-5,NA
2020-09-27,114.91,-8,NA
2020-09-28,123.61,-18,4
2020-09-29,120.89,-20,5
2020-09-30,125.82,-21,5
2020-10-01,133.04,-18,4
2020-10-02,158.58,-15,2
2020-10-03,149.7,-12,NA
2020-10-04,109.3,-7,NA
2020-10-05,109.94,-19,2
2020-10-06,127.61,-23,4
2020-10-07,125.45,-21,3
2020-10-08,128.67,-18,4
2020-10-09,162.59,-18,2
2020-10-10,176.02,-3,NA
2020-10-11,127.29,-4,NA
2020-10-12,117.76,-30,6
2020-10-13,120.71,-22,5
2020-10-14,125.36,-23,5
2020-10-15,128.9,-24,5
2020-10-16,160.01,-17,5
2020-10-17,143.58,8,NA
2020-10-18,106.67,-8,NA
2020-10-19,118.91,-20,5
2020-10-20,120.8,-24,7
2020-10-21,118.18,-23,7
2020-10-22,134.05,-21,5
2020-10-23,145.93,-20,8
2020-10-24,145.7,-7,NA
2020-10-25,116.15,-12,NA
2020-10-26,116.89,-19,6
2020-10-27,116.43,-19,6
2020-10-28,119.1,-21,6
2020-10-29,135.48,-22,6
2020-10-30,157.57,-22,5
2020-10-31,165.07,-6,NA
2020-11-01,110.45,-6,NA
2020-11-02,122.27,-20,5
2020-11-03,125.82,-32,6
