date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,224.52,NA,NA
2020-02-16,188.13,NA,NA
2020-02-17,179.22,-14,NA
2020-02-18,108.73,-6,NA
2020-02-19,116.57,-7,NA
2020-02-20,141.32,1,NA
2020-02-21,189.57,2,NA
2020-02-22,185.55,NA,NA
2020-02-23,167.31,NA,NA
2020-02-24,121.56,6,NA
2020-02-25,100.23,4,NA
2020-02-26,118.28,-3,NA
2020-02-27,139.24,1,NA
2020-02-28,194.41,2,NA
2020-02-29,202.59,NA,NA
2020-03-01,196.4,NA,NA
2020-03-02,132.59,1,NA
2020-03-03,107.71,5,NA
2020-03-04,132.55,0,NA
2020-03-05,166.9,-2,NA
2020-03-06,243.77,-2,NA
2020-03-07,270.13,NA,NA
2020-03-08,229.59,NA,NA
2020-03-09,160.48,4,NA
2020-03-10,128.44,-2,NA
2020-03-11,153.65,1,NA
2020-03-12,187.49,-2,NA
2020-03-13,281.39,0,NA
2020-03-14,298.61,NA,NA
2020-03-15,312.74,NA,NA
2020-03-16,176.18,2,NA
2020-03-17,153.55,-8,NA
2020-03-18,157.99,-16,NA
2020-03-19,151.71,-21,NA
2020-03-20,171.84,-20,NA
2020-03-21,169.02,-14,NA
2020-03-22,106.37,-27,NA
2020-03-23,83.84,-22,NA
2020-03-24,73.78,-24,NA
2020-03-25,76.5,-32,NA
2020-03-26,79.22,-29,NA
2020-03-27,92.75,-31,NA
2020-03-28,99.72,-25,NA
2020-03-29,93.03,-39,NA
2020-03-30,80.06,-30,NA
2020-03-31,64.87,-37,NA
2020-04-01,67.5,-34,NA
2020-04-02,67.08,-36,NA
2020-04-03,62.28,-41,NA
2020-04-04,64.91,-32,NA
2020-04-05,48.15,-39,NA
2020-04-06,48.94,-38,NA
2020-04-07,52.35,-37,NA
2020-04-08,52.08,-39,NA
2020-04-09,56.65,-40,NA
2020-04-10,63.43,-47,NA
2020-04-11,67.5,-32,NA
2020-04-12,46.08,-46,NA
2020-04-13,63.8,-38,NA
2020-04-14,62.97,-34,NA
2020-04-15,56.79,-38,NA
2020-04-16,65.88,-34,NA
2020-04-17,82.87,-32,NA
2020-04-18,89.2,-22,NA
2020-04-19,70.5,-31,NA
2020-04-20,72.07,-33,NA
2020-04-21,66.34,-31,NA
2020-04-22,83.38,-31,NA
2020-04-23,70.08,-31,NA
2020-04-24,94.46,-30,NA
2020-04-25,102.26,-23,NA
2020-04-26,87.81,-38,NA
2020-04-27,81.53,-29,NA
2020-04-28,76.04,-35,NA
2020-04-29,78.99,-31,NA
2020-04-30,91.55,-30,NA
2020-05-01,130.06,-30,NA
2020-05-02,126.08,-18,NA
2020-05-03,124.28,-26,NA
2020-05-04,110.06,-26,NA
2020-05-05,97.6,-23,NA
2020-05-06,115.84,-31,NA
2020-05-07,122.16,-23,NA
2020-05-08,150.09,-29,NA
2020-05-09,162.79,-9,NA
2020-05-10,138.13,-21,NA
2020-05-11,NA,-25,NA
2020-05-12,NA,-25,NA
2020-05-13,131.3,-26,NA
2020-05-14,181.21,-26,NA
2020-05-15,181.12,-28,NA
2020-05-16,195.15,-5,NA
2020-05-17,174.61,-27,NA
2020-05-18,144.23,-18,NA
2020-05-19,132.55,-24,NA
2020-05-20,137.26,-27,NA
2020-05-21,183.56,-19,NA
2020-05-22,267.96,-22,NA
2020-05-24,231.26,-21,NA
2020-05-25,224.47,-58,NA
2020-05-26,153.42,-17,NA
2020-05-27,142.38,-24,NA
2020-05-28,169.58,-24,NA
2020-05-29,207.85,-22,NA
2020-05-31,217.04,-22,NA
2020-06-01,164.82,-16,NA
2020-06-02,148.34,-24,NA
2020-06-03,150.42,-23,NA
2020-06-04,168.7,-20,NA
2020-06-05,231.81,-24,NA
2020-06-06,242.52,-5,NA
2020-06-07,198.94,-27,NA
2020-06-08,147.69,-21,NA
2020-06-09,146.4,-23,NA
2020-06-10,180.93,-21,NA
2020-06-11,206.14,-25,NA
2020-06-12,251.29,-23,NA
2020-06-13,276.27,-1,NA
2020-06-14,243.81,-27,NA
2020-06-15,206.37,-23,NA
2020-06-16,167.59,-20,NA
2020-06-17,168.05,-21,NA
2020-06-18,199.31,-21,NA
2020-06-19,261.73,-24,NA
2020-06-20,310.94,-3,NA
2020-06-21,254.85,-27,NA
2020-06-22,189.94,-25,NA
2020-06-23,172.3,-25,NA
2020-06-24,176.08,-22,NA
2020-06-25,195.71,-20,NA
2020-06-26,272.99,-26,NA
2020-06-28,268.61,-18,NA
2020-06-29,195.06,-26,NA
2020-06-30,175.9,-30,NA
2020-07-01,211.5,-23,NA
2020-07-02,274.33,-28,NA
2020-07-03,307.11,-47,NA
2020-07-04,198.01,-12,NA
2020-07-05,314.36,-25,NA
2020-07-06,213.3,-27,NA
2020-07-07,165.84,-32,NA
2020-07-08,162.47,-29,NA
2020-07-09,200.05,-28,NA
2020-07-10,238.46,-25,NA
2020-07-11,267.82,-2,NA
2020-07-12,229.46,-19,NA
2020-07-13,172.35,-26,NA
2020-07-14,164.5,-32,NA
2020-07-15,180.24,-29,NA
2020-07-16,194.97,-32,NA
2020-07-17,252.63,-25,NA
2020-07-18,269.81,-12,NA
2020-07-19,238.23,-24,NA
2020-07-20,167.87,-26,NA
2020-07-21,148.2,-30,NA
2020-07-22,164.17,-24,NA
2020-07-23,184.86,-31,NA
2020-07-24,222.95,-28,NA
2020-07-25,289.98,-17,NA
2020-07-26,237.07,-24,NA
2020-07-27,166.11,-25,NA
2020-07-28,155.4,-28,NA
2020-07-29,163.07,-28,NA
2020-07-30,183.75,-27,NA
2020-07-31,236.24,-26,NA
2020-08-01,266.62,-12,NA
2020-08-02,194.14,-23,NA
2020-08-03,138.37,-32,NA
2020-08-04,141.64,-28,NA
2020-08-05,157.8,-29,NA
2020-08-06,179.5,-25,NA
2020-08-07,215,-27,NA
2020-08-08,239.52,-12,NA
2020-08-09,241.51,-16,NA
2020-08-10,159,-26,NA
2020-08-11,131.86,-27,NA
2020-08-12,157.25,-29,NA
2020-08-13,169.9,-28,NA
2020-08-14,236.24,-27,NA
2020-08-15,224.79,-11,NA
2020-08-16,223.55,-16,NA
2020-09-11,177.19,-21,NA
2020-09-12,177.42,-10,NA
2020-09-13,160.16,-19,NA
2020-09-14,133.06,-14,NA
2020-09-15,113.39,-19,NA
2020-09-16,120.64,-21,NA
2020-09-17,135.92,-20,NA
2020-09-18,185,-19,NA
2020-09-19,177.98,-15,NA
2020-09-20,172.21,-29,NA
2020-09-21,129.55,-14,NA
2020-09-22,113.71,-21,NA
2020-09-23,124.56,-19,NA
2020-09-24,151.99,-14,NA
2020-09-25,187.58,-15,NA
2020-09-26,191.04,-17,NA
2020-09-27,177.38,-22,NA
2020-09-28,128.49,-14,NA
2020-09-29,109.79,-15,NA
2020-09-30,133.38,-16,NA
2020-10-01,156.09,-15,NA
2020-10-02,198.34,-12,NA
2020-10-03,186.66,-14,NA
2020-10-04,176.96,-25,NA
2020-10-05,131.67,-15,NA
2020-10-06,117.22,-22,NA
2020-10-07,136.7,-16,NA
2020-10-08,158.4,-18,NA
2020-10-09,228.39,-20,NA
2020-10-10,192.34,-11,NA
2020-10-11,197.6,-17,NA
2020-10-12,175.25,-25,NA
2020-10-13,124.19,-20,NA
2020-10-14,134.72,-15,NA
2020-10-15,162.79,-18,NA
2020-10-16,210.06,-13,NA
2020-10-17,206.09,-11,NA
2020-10-18,207.48,-20,NA
2020-10-19,145.11,-16,NA
2020-10-20,126.13,-15,NA
2020-10-21,143.03,-17,NA
2020-10-22,164.64,-21,NA
2020-10-23,203,-19,NA
2020-10-24,186.93,-6,NA
2020-10-25,227.24,-23,NA
2020-10-26,138.32,-19,NA
2020-10-27,118.1,-20,NA
2020-10-28,130.15,-17,NA
2020-10-29,154.29,-19,NA
2020-10-30,186.43,-21,NA
2020-10-31,160.39,-11,NA
2020-11-01,168.33,-21,NA
2020-11-02,131.86,-18,NA
2020-11-03,113.34,-20,NA
