date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,140.4,5,-1
2020-02-16,117.28,3,-2
2020-02-17,117.31,-5,2
2020-02-18,106.93,-4,3
2020-02-19,116.85,2,0
2020-02-20,120.18,1,0
2020-02-21,146.79,3,1
2020-02-22,139.31,12,-2
2020-02-23,106.69,6,-3
2020-02-24,110.57,4,0
2020-02-25,113.2,2,0
2020-02-26,106.82,0,1
2020-02-27,120.32,0,1
2020-02-28,145.34,1,1
2020-02-29,144.09,5,-3
2020-03-01,104.64,2,-3
2020-03-02,115.38,2,-1
2020-03-03,116.03,0,-1
2020-03-04,125.51,-1,-1
2020-03-05,124.25,0,0
2020-03-06,141.14,0,1
2020-03-07,141.32,11,-3
2020-03-08,102.31,8,-3
2020-03-09,111.73,3,0
2020-03-10,121.56,0,-1
2020-03-11,109.5,0,0
2020-03-12,104.05,1,0
2020-03-13,110.19,-3,4
2020-03-14,98.03,4,3
2020-03-15,73.41,-6,3
2020-03-16,82.82,-24,10
2020-03-17,80.57,-32,13
2020-03-18,76.29,-34,14
2020-03-19,71.35,-36,15
2020-03-20,82.94,-37,18
2020-03-21,70.6,-22,10
2020-03-22,54.08,-30,NA
2020-03-23,70.19,-41,16
2020-03-24,52.47,-56,24
2020-03-25,52.44,-57,23
2020-03-26,51.82,-58,25
2020-03-27,58.14,-56,27
2020-03-28,45.89,-35,NA
2020-03-29,41.73,-40,NA
2020-03-30,53.66,-58,23
2020-03-31,53.71,-61,25
2020-04-01,55.1,-61,24
2020-04-02,59.7,-60,23
2020-04-03,64.9,-59,26
2020-04-04,49.21,-38,NA
2020-04-05,51.59,-38,NA
2020-04-06,60.02,-58,23
2020-04-07,52.95,-60,25
2020-04-08,58.46,-61,23
2020-04-09,59,-60,26
2020-04-10,64.49,-64,30
2020-04-11,59.53,-38,NA
2020-04-12,36.27,-47,NA
2020-04-13,58.85,-59,25
2020-04-14,57.58,-59,26
2020-04-15,64.7,-59,24
2020-04-16,70.07,-58,26
2020-04-17,72.89,-58,28
2020-04-18,71.94,-33,NA
2020-04-19,60.76,-38,NA
2020-04-20,70.91,-57,22
2020-04-21,62.43,-58,25
2020-04-22,63.76,-58,24
2020-04-23,69.05,-57,25
2020-04-24,80.83,-56,26
2020-04-25,79.62,-35,NA
2020-04-26,72.11,-36,NA
2020-04-27,82.87,-54,21
2020-04-28,81.61,-56,14
2020-04-29,77.2,-58,24
2020-04-30,85.82,-55,23
2020-05-01,113.69,-53,21
2020-05-02,99.26,-28,8
2020-05-03,87.65,-31,NA
2020-05-04,96.83,-50,19
2020-05-05,95.76,-51,20
2020-05-06,108.23,-52,18
2020-05-07,109.29,-52,20
2020-05-08,125.6,-50,22
2020-05-09,116.36,-26,10
2020-05-10,90.14,-32,NA
2020-05-11,NA,-48,18
2020-05-12,NA,-49,18
2020-05-13,123.56,-50,17
2020-05-14,123.02,-50,21
