date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,140.5,-1,NA
2020-02-16,99.95,1,NA
2020-02-17,94.7,-11,4
2020-02-18,102.54,0,2
2020-02-19,100.74,0,0
2020-02-20,125.55,2,1
2020-02-21,135.29,3,1
2020-02-22,142.62,1,NA
2020-02-23,101.94,0,NA
2020-02-24,105.26,2,-1
2020-02-25,103.74,1,1
2020-02-26,110.84,1,-1
2020-02-27,114.39,1,0
2020-02-28,127.08,0,-1
2020-02-29,130.49,-1,NA
2020-03-01,118.04,-1,NA
2020-03-02,112.68,2,0
2020-03-03,112.68,1,-1
2020-03-04,111.07,2,-1
2020-03-05,112.32,2,1
2020-03-06,141.05,3,0
2020-03-07,146.82,4,NA
2020-03-08,117.76,1,NA
2020-03-09,107.75,2,0
2020-03-10,112.82,1,0
2020-03-11,108.72,1,0
2020-03-12,113.7,0,1
2020-03-13,129.52,2,1
2020-03-14,113.05,3,NA
2020-03-15,86.44,4,NA
2020-03-16,85.7,-3,3
2020-03-17,91.74,-8,6
2020-03-18,81.09,-21,11
2020-03-19,80.21,-20,12
2020-03-20,94.14,-19,14
2020-03-21,80.07,-8,NA
2020-03-22,58.58,-11,NA
2020-03-23,75.74,-27,12
2020-03-24,76.29,-29,15
2020-03-25,75.6,-30,15
2020-03-26,74.86,-32,16
2020-03-27,84.23,-31,18
2020-03-28,52.21,-14,NA
2020-03-29,49.22,-25,NA
2020-03-30,66.24,-34,14
2020-03-31,73.57,-34,15
2020-04-01,73.11,-35,15
2020-04-02,79.7,-34,17
2020-04-03,74.26,-34,22
2020-04-04,69.42,-18,NA
2020-04-05,59.13,-17,NA
2020-04-06,75.78,-35,15
2020-04-07,79.75,-36,14
2020-04-08,72.09,-36,16
2020-04-09,84.23,-36,18
2020-04-10,101.38,-39,20
2020-04-11,90.41,-17,NA
2020-04-12,41.65,-40,NA
2020-04-13,81.18,-49,20
2020-04-14,80.12,-35,17
2020-04-15,87.87,-35,15
2020-04-16,91.74,-33,16
2020-04-17,97.6,-32,17
2020-04-18,96.13,-17,NA
2020-04-19,85.65,-18,NA
