date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,155.88,-3,NA
2020-02-16,135.37,3,NA
2020-02-17,131.13,-16,4
2020-02-18,101.29,4,0
2020-02-19,97.24,2,1
2020-02-20,115.17,2,0
2020-02-21,173.45,4,-1
2020-02-22,153.66,2,NA
2020-02-23,141.14,-1,NA
2020-02-24,107.14,2,-1
2020-02-25,111.77,3,-2
2020-02-26,102.57,4,-3
2020-02-27,128.95,6,-4
2020-02-28,190.63,5,-3
2020-02-29,156.89,3,NA
2020-03-01,140.47,2,NA
2020-03-02,114.74,3,-2
2020-03-03,109.26,5,-3
2020-03-04,104.65,-1,2
2020-03-05,134.03,3,-3
2020-03-06,199.34,2,-1
2020-03-07,181.85,3,NA
2020-03-08,158.8,8,NA
2020-03-09,130.02,-19,4
2020-03-10,134.39,-18,1
2020-03-11,134.59,-18,0
2020-03-12,144.64,-19,0
2020-03-13,171.23,-21,3
2020-03-14,147.57,-6,NA
2020-03-15,137.98,-8,NA
2020-03-16,108.07,-19,5
2020-03-17,98.82,-19,7
2020-03-18,94.24,-19,6
2020-03-19,89.56,-22,9
2020-03-20,101.59,-28,13
2020-03-21,90.11,-16,NA
2020-03-22,76.21,-22,NA
2020-03-23,77.65,-30,11
2020-03-24,77.12,-32,10
2020-03-25,73.13,-33,9
2020-03-26,64.84,-36,14
2020-03-27,78,-37,16
2020-03-28,69.4,-28,NA
2020-03-29,62.54,-32,NA
2020-03-30,59.14,-38,15
2020-03-31,67.93,-37,14
2020-04-01,71.33,-38,13
2020-04-02,68.6,-39,15
2020-04-03,74.9,-37,18
2020-04-04,66.76,-25,NA
2020-04-05,54.27,-32,NA
2020-04-06,66.47,-38,14
2020-04-07,72.92,-40,15
2020-04-08,71.74,-40,14
2020-04-09,74.55,-41,16
2020-04-10,88.41,-50,19
2020-04-11,68.86,-34,NA
2020-04-12,64.37,-40,NA
2020-04-13,74.55,-38,15
2020-04-14,73.47,-36,15
2020-04-15,78.96,-36,13
2020-04-16,87.24,-36,12
2020-04-17,94.24,-38,17
2020-04-18,93.14,-23,NA
2020-04-19,75.13,-32,NA
2020-04-20,82.52,-36,12
2020-04-21,84.03,-36,13
2020-04-22,84.32,-36,14
2020-04-23,95.42,-36,12
2020-04-24,119.59,-36,14
2020-04-25,111.51,-23,NA
2020-04-26,99.3,-29,NA
2020-04-27,95.46,-35,11
2020-04-28,83.19,-36,6
2020-04-29,92.29,-35,10
2020-04-30,99.75,-32,10
2020-05-01,127.62,-35,11
2020-05-02,125.84,-16,NA
2020-05-03,104.19,-26,NA
2020-05-04,106.62,-30,9
2020-05-05,102.84,-31,11
2020-05-06,103.79,-31,8
2020-05-07,128.06,-31,9
2020-05-08,136.53,-31,12
2020-05-09,144.63,-12,NA
2020-05-10,116.51,-19,NA
2020-05-11,NA,-29,9
2020-05-12,NA,-28,11
2020-05-13,114.55,-28,8
2020-05-14,123.1,-29,8
2020-05-15,149.38,-30,9
2020-05-16,120.13,-19,NA
2020-05-17,127.78,-15,NA
2020-05-18,123.95,-27,8
2020-05-19,118.68,-26,8
2020-05-20,122.81,-27,7
2020-05-21,137.05,-28,6
2020-05-22,196.78,-31,8
2020-05-23,193.67,-12,NA
2020-05-24,127.7,-18,NA
2020-05-25,150.82,-66,NA
2020-05-26,134.8,-27,9
2020-05-27,127.19,-28,8
2020-05-28,139.25,-28,7
2020-05-29,184.58,-27,8
2020-05-30,178.52,-3,NA
2020-05-31,150.76,-14,NA
2020-06-01,138.88,-28,6
2020-06-02,136.04,-29,8
2020-06-03,138.26,-29,6
2020-06-04,141.11,-28,6
2020-06-05,187.9,-29,8
2020-06-06,184.75,-12,NA
2020-06-07,156.2,-13,NA
2020-06-08,138.92,-27,7
2020-06-09,137.13,-28,7
2020-06-10,144.04,-28,7
2020-06-11,154.61,-27,7
2020-06-12,193.55,-32,8
2020-06-13,187.76,-14,NA
2020-06-14,174.62,-16,NA
2020-06-15,150.17,-28,7
2020-06-16,136.09,-28,6
2020-06-17,141.79,-28,6
2020-06-18,153.63,-27,5
2020-06-19,205.75,-32,7
2020-06-20,188.9,-14,NA
2020-06-21,168,-18,NA
2020-06-22,151.03,-32,7
2020-06-23,126.76,-32,9
2020-06-24,137.35,-27,7
2020-06-25,155.35,-29,6
2020-06-26,195.64,-32,8
2020-06-27,191.49,-13,NA
2020-06-28,154.05,-11,NA
2020-06-29,142.74,-31,8
2020-06-30,140.22,-29,7
2020-07-01,152.43,-30,6
2020-07-02,179.63,-35,7
2020-07-03,207.52,-54,13
2020-07-04,167.06,-35,NA
2020-07-05,176.57,-22,NA
2020-07-06,150.8,-37,11
2020-07-07,128.33,-37,12
2020-07-08,147.13,-33,8
2020-07-09,154.01,-33,8
2020-07-10,185.03,-34,9
2020-07-11,168.78,-10,NA
2020-07-12,157.32,-17,NA
2020-07-13,151.66,-33,8
2020-07-14,135.46,-33,9
2020-07-15,144.53,-32,7
2020-07-16,154.69,-31,8
2020-07-17,197.69,-33,9
2020-07-18,182.23,-11,NA
2020-07-19,170.81,-17,NA
2020-07-20,138.3,-33,9
2020-07-21,126.29,-32,8
2020-07-22,142.58,-31,8
2020-07-23,158.36,-29,7
2020-07-24,199.71,-32,9
2020-07-25,186.75,-13,NA
2020-07-26,167.66,-17,NA
2020-07-27,143.34,-32,8
2020-07-28,135.41,-30,9
2020-07-29,143.27,-30,7
2020-07-30,164.65,-30,6
2020-07-31,206.74,-32,7
2020-08-01,197.16,-12,NA
2020-08-02,169.51,-15,NA
2020-08-03,141.01,-29,6
2020-08-04,144.96,-29,7
2020-08-05,136.65,-30,6
2020-08-06,162.38,-30,5
2020-08-07,204.05,-31,7
2020-08-08,193.11,-10,NA
2020-08-09,173.49,-16,NA
2020-08-10,149.83,-31,6
2020-08-11,142.72,-29,6
2020-08-12,152.26,-28,5
2020-08-13,156.77,-29,6
2020-08-14,207.26,-32,7
2020-08-15,192.94,-14,NA
2020-08-16,188.88,-17,NA
2020-08-17,145.81,-30,6
2020-08-18,140.06,-27,6
2020-08-19,143.11,-26,4
2020-08-20,156.75,-28,5
2020-08-21,198.41,-29,5
2020-08-24,151.59,-27,5
2020-08-25,195.56,-26,6
2020-08-26,179.95,-24,4
2020-08-27,164.55,-26,5
2020-08-28,208.56,-26,6
2020-08-31,142.5,-26,5
2020-09-01,145.16,-26,4
2020-09-02,138.03,-27,6
2020-09-03,159.7,-29,6
2020-09-04,228.05,-28,6
2020-09-07,213.7,-68,NA
2020-09-08,139.08,-26,4
2020-09-09,138.3,-24,3
2020-09-10,145.66,-25,2
2020-09-11,200.66,-25,0
2020-09-12,189.4,-12,NA
2020-09-13,167.31,-21,NA
2020-09-14,149.4,-23,2
2020-09-15,127.7,-23,4
2020-09-16,137.01,-22,3
2020-09-17,153.34,-21,3
2020-09-18,192.75,-23,3
2020-09-19,197.43,-12,NA
2020-09-20,154.54,-18,NA
2020-09-21,125.18,-24,5
2020-09-22,123.6,-22,7
2020-09-23,117.94,-21,6
2020-09-24,139.73,-20,4
2020-09-25,201.74,-20,4
2020-09-26,180.5,-4,2
2020-09-27,148.12,-13,4
2020-09-28,133.89,-19,5
2020-09-29,128.75,-18,4
2020-09-30,126.63,-19,2
2020-10-01,145.23,-18,1
2020-10-02,192.46,-19,2
2020-10-03,171.16,-13,0
2020-10-04,154.14,-13,2
2020-10-05,136.01,-21,2
2020-10-06,129,-20,3
2020-10-07,128.92,-16,3
2020-10-08,143.89,-17,3
2020-10-09,206.47,-16,3
2020-10-10,192.63,-5,2
2020-10-11,161.54,-12,3
2020-10-12,146.69,-28,6
2020-10-13,129.43,-17,4
2020-10-14,127,-15,3
2020-10-15,150.24,-16,4
2020-10-16,199.49,-14,3
2020-10-17,176.4,-10,2
2020-10-18,167.35,-13,3
2020-10-19,139.01,-17,3
2020-10-20,129.43,-19,4
2020-10-21,123.57,-16,4
2020-10-22,143.5,-17,3
2020-10-23,179.66,-16,5
2020-10-24,181.31,-11,2
2020-10-25,160.33,-15,2
2020-10-26,118.83,-17,7
2020-10-27,116.54,-19,7
2020-10-28,110.96,-15,6
2020-10-29,135,-17,4
2020-10-30,184.49,-16,2
2020-10-31,167.45,-9,0
2020-11-01,146.49,-13,3
2020-11-02,123.55,-16,4
2020-11-03,122.34,-17,3
