date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,117.4,0,NA
2020-02-16,96.12,1,NA
2020-02-17,112.74,-3,2
2020-02-18,113.15,2,0
2020-02-19,112.39,-1,0
2020-02-20,112.63,1,-1
2020-02-21,132.99,0,-1
2020-02-22,126.64,2,NA
2020-02-23,92.34,3,NA
2020-02-24,104.77,9,-1
2020-02-25,105.22,4,0
2020-02-26,86.03,-15,7
2020-02-27,100.93,-12,5
2020-02-28,126.54,-5,2
2020-02-29,126.33,5,NA
2020-03-01,90.87,6,NA
2020-03-02,102.47,9,-1
2020-03-03,112.22,3,-1
2020-03-04,123.62,2,0
2020-03-05,121.97,4,-2
2020-03-06,130.52,3,-1
2020-03-07,155.51,8,NA
2020-03-08,97.01,6,NA
2020-03-09,107.04,7,0
2020-03-10,108.27,3,1
2020-03-11,107.14,3,0
2020-03-12,103.6,3,0
2020-03-13,110.02,3,0
2020-03-14,104.39,10,NA
2020-03-15,71.1,0,NA
2020-03-16,89.7,2,2
2020-03-17,95.71,-8,6
2020-03-18,85.79,-11,8
2020-03-19,94.64,-12,8
2020-03-20,93.96,-17,11
2020-03-21,79.13,-16,NA
2020-03-22,51.53,-27,NA
2020-03-23,78.78,-18,10
2020-03-24,76.52,-32,15
2020-03-25,70.79,-45,20
2020-03-26,69.89,-46,21
2020-03-27,71.88,-45,23
2020-03-28,54.41,-34,NA
2020-03-29,48.06,-42,NA
2020-03-30,70.55,-44,19
2020-03-31,72.91,-48,22
2020-04-01,72.5,-49,21
2020-04-02,86.06,-49,20
2020-04-03,85.03,-48,21
2020-04-04,61.17,-37,NA
2020-04-05,55.3,-34,NA
2020-04-06,79.03,-44,18
2020-04-07,78,-50,21
2020-04-08,85.79,-50,20
2020-04-09,81.77,-54,22
2020-04-10,83.76,-61,NA
2020-04-11,82.56,-37,NA
2020-04-12,43.87,-42,NA
2020-04-13,75.01,-45,20
2020-04-14,88.53,-49,21
2020-04-15,86.17,-49,21
2020-04-16,91.25,-48,21
2020-04-17,74.67,-50,27
2020-04-18,88.64,-29,NA
2020-04-19,74.63,-32,NA
2020-04-20,98.94,-42,17
2020-04-21,101.65,-45,20
2020-04-22,96.53,-46,20
2020-04-23,104.26,-46,19
2020-04-24,121.28,-46,19
2020-04-25,89.56,-29,NA
2020-04-26,87.13,-29,NA
2020-04-27,101.99,-38,14
2020-04-28,102.37,-42,11
2020-04-29,96.77,-42,18
2020-04-30,101.03,-41,18
2020-05-01,127.6,-42,16
2020-05-02,125.54,-21,NA
2020-05-03,92.24,-23,NA
2020-05-04,116.1,-28,11
2020-05-05,110.68,-32,14
2020-05-06,120.87,-32,12
2020-05-07,126.33,-32,13
2020-05-08,147.03,-32,14
2020-05-09,127.43,-18,NA
2020-05-10,79.88,-23,NA
2020-05-11,NA,-24,12
2020-05-12,NA,-29,12
2020-05-13,139.13,-30,11
2020-05-14,118.98,-31,12
2020-05-15,145.45,-30,13
2020-05-16,150.22,-9,NA
2020-05-17,91.62,-19,NA
2020-05-18,134.84,-24,10
2020-05-19,136.01,-26,11
2020-05-20,139.2,-28,10
2020-05-21,144.32,-30,10
2020-05-22,171.58,-30,10
2020-05-23,172.23,-12,NA
2020-05-24,151.15,-26,NA
2020-05-25,139.65,-76,NA
2020-05-26,154.86,-23,7
2020-05-27,153.35,-23,8
2020-05-28,159.97,-23,9
2020-05-29,182.46,-21,8
2020-05-30,174.84,2,NA
2020-05-31,121.18,3,NA
2020-06-01,146.82,-15,5
2020-06-02,152.63,-20,7
2020-06-03,154.89,-22,7
2020-06-04,171.54,-20,6
2020-06-05,194.1,-20,7
2020-06-06,201.89,9,NA
2020-06-07,155.75,-5,NA
2020-06-08,169.45,-13,4
2020-06-09,168.42,-21,8
2020-06-10,170.55,-22,6
2020-06-11,178.68,-21,4
2020-06-12,203.33,-20,5
2020-06-13,208.48,8,NA
2020-06-14,174.87,-1,NA
2020-06-15,157.91,-14,3
2020-06-16,179.03,-18,5
2020-06-17,176.48,-19,5
2020-06-18,198.56,-19,4
2020-06-19,221.39,-19,4
2020-06-20,227.91,13,NA
2020-06-21,151.29,0,NA
2020-06-22,180.5,-14,4
2020-06-23,180.57,-19,7
2020-06-24,196.4,-18,5
2020-06-25,199,-20,4
2020-06-26,228.94,-22,6
2020-06-27,232.68,10,NA
2020-06-28,185.99,4,NA
2020-06-29,183.63,-21,5
2020-06-30,188.74,-26,6
2020-07-01,178.06,-30,5
2020-07-02,211.67,-36,5
2020-07-03,218.71,-66,NA
2020-07-04,209.58,-28,NA
2020-07-05,176.66,-12,NA
2020-07-06,173.64,-22,5
2020-07-07,176.69,-22,5
2020-07-08,185.2,-22,6
2020-07-09,190.87,-21,4
2020-07-10,219.84,-22,5
2020-07-11,231.27,16,NA
2020-07-12,176.24,-1,NA
2020-07-13,180.09,-15,3
2020-07-14,180.57,-22,4
2020-07-15,180.02,-21,5
2020-07-16,193.86,-21,5
2020-07-17,234.74,-19,4
2020-07-18,230.21,12,NA
2020-07-19,165.05,-2,NA
2020-07-20,171.4,-15,3
2020-07-21,176.42,-21,5
2020-07-22,180.26,-21,5
2020-07-23,180.95,-19,4
2020-07-24,226.54,-17,4
2020-07-25,221.8,22,NA
2020-07-26,172.54,3,NA
2020-07-27,173.4,-15,4
2020-07-28,184.59,-18,4
2020-07-29,178.37,-19,5
2020-07-30,190.56,-20,4
2020-07-31,216.86,-20,3
2020-08-01,190.56,9,NA
2020-08-02,153.79,1,NA
2020-08-03,171.85,-14,3
2020-08-04,177.86,-19,5
2020-08-05,176.24,-19,4
2020-08-06,186.2,-20,3
2020-08-07,221.87,-18,2
2020-08-08,222.35,14,NA
2020-08-09,165.98,-3,NA
2020-08-10,167.15,-14,2
2020-08-11,173.7,-21,2
2020-08-12,179.51,-18,3
2020-08-13,176.93,-17,2
2020-08-14,216.51,-17,3
2020-08-15,220.63,11,NA
2020-08-16,158.84,-4,NA
2020-08-17,165.09,-11,2
2020-08-18,177.96,-15,3
2020-08-19,182.25,-17,3
2020-08-20,183.9,-16,1
2020-08-21,217.82,-14,2
2020-08-24,171.78,-10,2
2020-08-25,175.18,-15,3
2020-08-26,179.68,-13,3
2020-08-27,188.53,-14,3
2020-08-28,208.31,-14,3
2020-08-31,165.16,-9,1
2020-09-01,170.31,-14,3
2020-09-02,175.63,-14,2
2020-09-03,191.31,-15,0
2020-09-04,226.3,-17,0
2020-09-07,165.6,-76,NA
2020-09-08,187.47,-16,3
2020-09-09,169.45,-13,0
2020-09-10,170.65,-14,-1
2020-09-11,212.67,-12,-3
2020-09-12,216.17,17,NA
2020-09-13,143.77,1,NA
2020-09-14,162.1,-7,-1
2020-09-15,164.37,-11,0
2020-09-16,175.52,-13,-1
2020-09-17,174.77,-13,0
2020-09-18,196.43,-12,-1
2020-09-19,236.29,10,NA
2020-09-20,143.94,-2,NA
2020-09-21,151.91,-8,-1
2020-09-22,159.01,-13,1
2020-09-23,174.42,-13,1
2020-09-24,174.18,-13,0
2020-09-25,216.31,-13,1
2020-09-26,239.07,11,-4
2020-09-27,146.48,-5,NA
2020-09-28,142.64,-6,2
2020-09-29,167.77,-12,2
2020-09-30,154.51,-15,1
2020-10-01,168.11,-13,0
2020-10-02,187.85,-13,-1
2020-10-03,215.04,0,-4
2020-10-04,118.47,-12,NA
2020-10-05,152.59,-15,1
2020-10-06,148.06,-17,1
2020-10-07,155.3,-17,0
2020-10-08,159.15,-16,0
2020-10-09,193.79,-17,1
2020-10-10,231.82,4,-5
2020-10-11,146.1,-6,NA
2020-10-12,141.68,-9,2
2020-10-13,145.76,-13,2
2020-10-14,152.25,-13,2
2020-10-15,145.07,-12,2
2020-10-16,182.46,-11,1
2020-10-17,209.3,3,-2
2020-10-18,123.93,-3,NA
2020-10-19,137.14,-10,3
2020-10-20,139.27,-14,3
2020-10-21,148.61,-12,2
2020-10-22,152.76,-14,2
2020-10-23,171.13,-13,3
2020-10-24,176.52,7,-3
2020-10-25,107.59,-4,NA
2020-10-26,140.68,-9,2
2020-10-27,134.71,-13,3
2020-10-28,148.61,-12,2
2020-10-29,144.97,-14,3
2020-10-30,158.19,-17,3
2020-10-31,150.43,3,-1
2020-11-01,96.26,-5,NA
2020-11-02,126.33,-7,3
2020-11-03,124.44,-13,3
