date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,161.46,-2,NA
2020-02-16,144.1,3,NA
2020-02-17,123.3,-4,1
2020-02-18,98.56,2,0
2020-02-19,115.15,4,-1
2020-02-20,117.93,1,-1
2020-02-21,149.86,5,-1
2020-02-22,177.37,7,NA
2020-02-23,127.8,4,NA
2020-02-24,108.53,5,-1
2020-02-25,116.87,3,0
2020-02-26,120.42,5,-1
2020-02-27,124.35,4,-1
2020-02-28,150.81,3,-1
2020-02-29,167.02,11,NA
2020-03-01,127.8,6,NA
2020-03-02,115.15,2,-2
2020-03-03,126.75,3,-1
2020-03-04,134.61,3,-2
2020-03-05,128.67,0,0
2020-03-06,166.44,5,-1
2020-03-07,191.18,8,NA
2020-03-08,135.09,6,NA
2020-03-09,124.16,3,0
2020-03-10,140.08,3,-2
2020-03-11,119.85,3,-1
2020-03-12,112.75,0,-1
2020-03-13,123.59,1,NA
2020-03-14,128.57,-2,NA
2020-03-15,107,-1,NA
2020-03-16,94.82,-11,NA
2020-03-17,101.63,-20,NA
2020-03-18,101.25,-20,NA
2020-03-19,89.07,-19,NA
2020-03-20,91.95,-25,NA
2020-03-21,124.54,-12,NA
2020-03-22,93.77,-28,NA
2020-03-23,87.54,-24,NA
2020-03-24,69.22,-40,NA
2020-03-25,76.8,-40,NA
2020-03-26,74.69,-41,NA
2020-03-27,80.35,-44,NA
2020-03-28,72.96,-28,NA
2020-03-29,56.47,-35,NA
2020-03-30,67.31,-41,NA
2020-03-31,84.95,-43,NA
2020-04-01,80.63,-45,NA
2020-04-02,86.96,-45,NA
2020-04-03,112.37,-47,NA
2020-04-04,83.7,-29,NA
2020-04-05,89.36,-37,NA
2020-04-06,90.41,-42,NA
2020-04-07,78.62,-45,NA
2020-04-08,99.71,-46,NA
2020-04-09,87.15,-47,NA
2020-04-10,98.47,-53,NA
2020-04-11,97.32,-34,NA
2020-04-12,56.57,-46,NA
2020-04-13,76.32,-44,NA
2020-04-14,80.15,-46,NA
2020-04-15,78.33,-45,NA
2020-04-16,84.18,-43,NA
2020-04-17,96.36,-43,NA
2020-04-18,128.86,-27,NA
2020-04-19,91.28,-33,NA
2020-04-20,112.85,-41,NA
2020-04-21,99.81,-45,NA
2020-04-22,101.53,-44,NA
2020-04-23,97.03,-44,NA
2020-04-24,135.09,-45,NA
2020-04-25,156.86,-29,NA
2020-04-26,133.17,-30,NA
2020-04-27,98.47,-40,NA
2020-04-28,123.78,-40,NA
2020-04-29,108.53,-42,NA
2020-04-30,119.85,-42,NA
2020-05-01,164.62,-39,NA
2020-05-02,197.51,-27,NA
2020-05-03,170.37,-28,NA
2020-05-04,146.69,-35,NA
2020-05-05,130.58,-38,NA
2020-05-06,153.31,-35,NA
2020-05-07,152.54,-36,NA
2020-05-08,186.39,-35,NA
2020-05-09,226.94,-20,NA
2020-05-10,132.89,-26,NA
2020-05-11,NA,-31,NA
2020-05-12,NA,-32,NA
2020-05-13,179.67,-32,NA
2020-05-14,165.68,-34,NA
2020-05-15,213.9,-34,NA
2020-05-16,300.38,-13,NA
2020-05-17,170.85,-29,NA
2020-05-18,181.02,-31,NA
2020-05-19,217.83,-28,NA
2020-05-20,211.79,-30,NA
2020-05-21,262.22,-29,NA
2020-05-22,358.1,-28,NA
2020-05-23,426.65,-14,NA
2020-05-24,410.74,-19,NA
2020-05-25,341.42,-67,NA
2020-05-26,269.89,-29,NA
2020-05-27,241.13,-26,NA
2020-05-28,250.14,-24,NA
2020-05-29,307.48,-25,NA
2020-05-30,379.1,0,NA
2020-05-31,292.33,-10,NA
2020-06-01,221.76,-21,NA
2020-06-02,241.23,-23,NA
2020-06-03,235.67,-21,NA
2020-06-04,337.3,-25,NA
2020-06-05,392.52,-23,NA
2020-06-06,502.3,6,NA
2020-06-07,405.66,-10,NA
2020-06-08,311.22,-20,NA
2020-06-09,297.79,-20,NA
2020-06-10,263.85,-21,NA
2020-06-11,314.86,-21,NA
2020-06-12,485.81,-22,NA
2020-06-13,667.59,2,NA
2020-06-14,603.74,6,NA
2020-06-15,377.76,-20,NA
2020-06-16,397.99,-20,NA
2020-06-17,390.99,-20,NA
2020-06-18,464.14,-21,NA
2020-06-19,653.98,-20,NA
2020-06-20,714.96,13,NA
2020-06-21,577.85,6,NA
2020-06-22,432.02,-20,NA
2020-06-23,437.2,-21,NA
2020-06-24,473.06,-17,NA
2020-06-25,544.3,-18,NA
2020-06-26,687.63,-19,NA
2020-06-27,793,7,NA
2020-06-28,832.31,2,NA
2020-06-29,532.02,-18,NA
2020-06-30,531.16,-20,NA
2020-07-01,591.95,-21,NA
2020-07-02,764.62,-28,NA
2020-07-03,1018.6,-50,NA
2020-07-04,1018.79,-21,NA
2020-07-05,1113.9,-13,NA
2020-07-06,705.37,-28,NA
2020-07-07,598.27,-22,NA
2020-07-08,605.85,-23,NA
2020-07-09,598.27,-21,NA
2020-07-10,706.33,-24,NA
2020-07-11,909.49,14,NA
2020-07-12,809.49,-5,NA
2020-07-13,575.07,-19,NA
2020-07-14,525.02,-19,NA
2020-07-15,558.77,-17,NA
2020-07-16,582.74,-20,NA
2020-07-17,810.26,-18,NA
2020-07-18,978.91,17,NA
2020-07-19,799.52,10,NA
2020-07-20,596.45,-19,NA
2020-07-21,565.87,-20,NA
2020-07-22,600.96,-17,NA
2020-07-23,642.57,-17,NA
2020-07-24,860.69,-17,NA
2020-07-25,951.87,17,NA
2020-07-26,898.47,8,NA
2020-07-27,583.6,-19,NA
2020-07-28,586.77,-17,NA
2020-07-29,598.18,-15,NA
2020-07-30,677.28,-18,NA
2020-07-31,824.26,-17,NA
2020-08-01,978.52,16,NA
2020-08-02,797.03,5,NA
2020-08-03,599.71,-18,NA
2020-08-04,655.61,-16,NA
2020-08-05,646.98,-18,NA
