date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,169.15,-3,NA
2020-02-16,138.88,5,NA
2020-02-17,160.88,-35,NA
2020-02-18,138.88,0,-1
2020-02-19,148.14,1,-2
2020-02-20,125.39,0,-2
2020-02-21,163.28,-1,-1
2020-02-22,145.41,2,NA
2020-02-23,125.64,3,NA
2020-02-24,110.75,2,2
2020-02-25,120.93,0,0
2020-02-26,125.31,0,-2
2020-02-27,122,-2,-2
2020-02-28,142.27,3,-3
2020-02-29,136.64,-3,NA
2020-03-01,107.69,4,NA
2020-03-02,103.8,1,-1
2020-03-03,124.81,-1,-2
2020-03-04,116.05,0,-2
2020-03-05,118.69,-7,-1
2020-03-06,151.7,-5,-1
2020-03-07,162.03,-1,NA
2020-03-08,132.34,5,NA
2020-03-09,112.9,2,0
2020-03-10,109.18,-1,-1
2020-03-11,108.44,1,-1
2020-03-12,103.23,-1,-1
2020-03-13,110.17,-10,3
2020-03-14,94.04,0,NA
2020-03-15,96.44,-9,NA
2020-03-16,90.49,-5,3
2020-03-17,91.65,-21,5
2020-03-18,97.6,-23,6
2020-03-19,97.44,-29,7
2020-03-20,121.42,-27,NA
2020-03-21,91.89,-25,NA
2020-03-22,78.49,-33,NA
2020-03-23,86.1,-27,8
2020-03-24,84.95,-31,9
2020-03-25,80.23,-37,NA
2020-03-26,79.65,-40,NA
2020-03-27,75.19,-39,NA
2020-03-28,74.61,-29,NA
2020-03-29,55.33,-37,NA
2020-03-30,69.89,-38,NA
2020-03-31,83.04,-40,NA
2020-04-01,70.06,-38,NA
2020-04-02,68.16,-40,NA
2020-04-03,93.13,-40,NA
2020-04-04,73.45,-31,NA
2020-04-05,60.88,-31,NA
2020-04-06,79.07,-38,NA
2020-04-07,76.34,-42,NA
2020-04-08,87.1,-43,NA
2020-04-09,87.76,-42,NA
2020-04-10,99.92,-43,NA
2020-04-11,74.86,-36,NA
2020-04-12,61.7,-36,NA
2020-04-13,76.59,-35,NA
2020-04-14,87.68,-40,NA
2020-04-15,84.12,-38,NA
2020-04-16,101.57,-35,10
2020-04-17,107.28,-36,NA
2020-04-18,93.96,-28,NA
2020-04-19,87.59,-29,NA
2020-04-20,97.11,-33,NA
2020-04-21,90.41,-36,8
2020-04-22,100.33,-38,NA
2020-04-23,102.15,-36,NA
2020-04-24,112.24,-37,NA
2020-04-25,88.01,-29,NA
2020-04-26,89.74,-30,NA
2020-04-27,99.59,-30,NA
2020-04-28,88.34,-34,2
2020-04-29,123.41,-35,8
2020-04-30,125.56,-35,9
2020-05-01,126.72,-33,NA
2020-05-02,105.13,-25,NA
2020-05-03,113.32,-25,NA
2020-05-04,115.96,-27,6
2020-05-05,118.36,-31,7
2020-05-06,119.27,-35,9
2020-05-07,122.91,-34,6
2020-05-08,150.37,-31,NA
2020-05-09,134.74,-20,NA
2020-05-10,115.72,-19,NA
2020-05-11,NA,-29,6
2020-05-12,NA,-30,8
2020-05-13,144.17,-30,6
2020-05-14,158.4,-29,7
2020-05-15,189.66,-28,NA
2020-05-16,200,-17,NA
2020-05-17,170.39,-19,NA
2020-05-18,139.54,-26,7
2020-05-19,169.31,-27,5
2020-05-20,165.67,-28,5
2020-05-21,175.68,-27,5
2020-05-22,289.33,-27,NA
2020-05-23,322.33,-15,NA
2020-05-24,282.05,-17,NA
2020-05-25,251.03,-60,NA
2020-05-26,184.78,-26,5
2020-05-27,169.15,-25,4
2020-05-28,194.95,-27,5
2020-05-29,197.6,-22,4
2020-05-30,190.49,-10,NA
2020-05-31,184.78,-8,NA
2020-06-01,164.76,-20,4
2020-06-02,154.43,-25,4
2020-06-03,180.81,-22,4
2020-06-04,202.98,-23,2
2020-06-05,236.89,-24,4
2020-06-06,246.65,-4,NA
2020-06-07,231.68,-9,NA
2020-06-08,211.66,-19,4
2020-06-09,217.87,-21,6
2020-06-10,194.04,-23,3
2020-06-11,241.19,-22,3
2020-06-12,254.76,-27,3
2020-06-13,291.4,-9,NA
2020-06-14,274.52,-5,NA
2020-06-15,214.56,-19,3
2020-06-16,249.38,-23,4
2020-06-17,243.26,-23,2
2020-06-18,266.75,-22,1
2020-06-19,349.13,-26,2
2020-06-20,335.32,-3,NA
2020-06-21,313.98,-5,NA
2020-06-22,276.26,-23,2
2020-06-23,263.94,-24,2
2020-06-24,264.43,-24,2
2020-06-25,303.14,-22,1
2020-06-26,364.52,-25,2
2020-06-27,366,-7,NA
2020-06-28,334.16,-7,NA
2020-06-29,283.71,-22,2
2020-06-30,309.59,-23,2
2020-07-01,309.68,-23,1
2020-07-02,362.7,-28,1
2020-07-03,438.79,-40,NA
2020-07-04,347.31,-12,NA
2020-07-05,420.6,-11,NA
2020-07-06,321.09,-27,2
2020-07-07,307.69,-30,3
2020-07-08,303.39,-24,2
2020-07-09,320.76,-24,2
2020-07-10,396.61,-27,2
2020-07-11,417.95,0,NA
2020-07-12,408.44,-1,NA
2020-07-13,312.16,-24,3
2020-07-14,298.76,-29,2
2020-07-15,302.15,-27,2
2020-07-16,318.11,-28,3
2020-07-17,410.42,-27,0
2020-07-18,400.91,2,NA
2020-07-19,364.1,-4,NA
2020-07-20,338.21,-26,2
2020-07-21,296.69,-28,3
2020-07-22,332.59,-26,2
2020-07-23,314.39,-26,2
2020-07-24,389.16,-27,1
2020-07-25,414.72,-1,NA
2020-07-26,397.02,-2,NA
2020-07-27,349.21,-25,3
2020-07-28,340.86,-27,3
2020-07-29,332.92,-25,2
2020-07-30,381.14,-27,4
2020-07-31,386.6,-26,3
2020-08-01,418.53,-2,NA
2020-08-02,391.15,-8,NA
2020-08-03,347.64,-24,3
2020-08-04,310.59,-27,2
2020-08-05,308.93,-29,3
2020-08-06,361.54,-27,2
2020-08-07,391.73,-27,2
2020-08-08,420.84,-2,NA
2020-08-09,394.79,-5,NA
2020-08-10,339.95,-24,3
2020-08-11,326.72,-27,3
2020-08-12,329.2,-27,0
2020-08-13,343.76,-24,1
2020-08-14,407.11,-27,1
2020-08-15,474.94,0,NA
2020-08-16,387.1,-5,NA
2020-08-17,340.61,NA,3
2020-08-18,305.87,NA,3
2020-08-19,323.57,NA,1
2020-08-20,340.78,NA,1
2020-08-21,403.8,NA,1
2020-08-24,301.41,NA,3
2020-08-25,298.35,NA,1
2020-08-26,307.86,NA,0
2020-08-27,313.9,NA,0
2020-08-28,388.01,NA,0
2020-08-31,308.6,NA,0
2020-09-01,272.13,NA,-1
2020-09-02,291.81,NA,-1
2020-09-03,322.5,NA,-1
2020-09-04,434.9,NA,-3
2020-09-08,287.34,NA,-4
2020-09-09,261.46,NA,-3
2020-09-10,230.19,NA,-4
2020-09-11,273.2,-23,-3
2020-09-12,245.16,2,NA
2020-09-13,200.74,-4,NA
2020-09-14,230.02,-16,1
2020-09-15,215.55,-20,2
2020-09-16,201.65,-21,0
2020-09-17,231.68,-20,0
2020-09-18,244.67,-17,1
2020-09-19,277.01,4,NA
2020-09-20,231.02,5,NA
2020-09-21,225.64,-14,1
2020-09-22,215.63,-19,1
2020-09-23,204.05,-16,3
2020-09-24,234,-19,0
2020-09-25,274.94,-20,3
2020-09-26,276.67,4,NA
2020-09-27,234.74,2,NA
2020-09-28,219.85,-16,1
2020-09-29,189.83,-18,1
2020-09-30,212.9,-18,-1
2020-10-01,229.78,-17,-2
2020-10-02,287.92,-17,-1
2020-10-03,311.5,0,NA
2020-10-04,259.72,0,NA
2020-10-05,195.45,-18,0
2020-10-06,221.75,-20,0
2020-10-07,208.19,-19,1
2020-10-08,229.03,-18,0
2020-10-09,258.56,-16,0
2020-10-10,253.52,1,NA
2020-10-11,220.35,-1,NA
2020-10-12,182.71,-20,3
2020-10-13,182.71,-19,5
2020-10-14,184.2,-18,1
2020-10-15,235.73,-17,0
2020-10-16,314.64,-17,0
2020-10-17,290.07,0,NA
2020-10-18,254.09,-1,NA
2020-10-19,231.68,-14,1
2020-10-20,222.58,-18,0
2020-10-21,210.84,-15,0
2020-10-22,235.65,-14,0
2020-10-23,207.44,-17,5
2020-10-24,198.76,2,NA
2020-10-25,184.37,-2,NA
2020-10-26,180.81,-13,4
2020-10-27,163.28,-16,4
2020-10-28,152.19,-13,1
2020-10-29,159.14,-15,1
2020-10-30,158.64,-14,0
2020-10-31,155,8,NA
2020-11-01,132.59,-4,NA
2020-11-02,145.74,-13,2
2020-11-03,138.88,-15,3
