date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,134.09,-1,0
2020-02-16,106.73,0,-1
2020-02-17,119.54,-27,5
2020-02-18,106.25,-13,5
2020-02-19,117.42,-11,2
2020-02-20,120.27,-11,3
2020-02-21,145.41,-11,3
2020-02-22,138.24,1,-1
2020-02-23,104.09,5,-2
2020-02-24,107.33,4,-1
2020-02-25,114.76,4,0
2020-02-26,115.02,4,-1
2020-02-27,103.39,-3,3
2020-02-28,133.29,0,1
2020-02-29,140.98,3,0
2020-03-01,110.52,6,-2
2020-03-02,108.26,5,-1
2020-03-03,114.09,4,-1
2020-03-04,115.35,4,0
2020-03-05,120.96,6,-1
2020-03-06,133.01,4,0
2020-03-07,144.62,6,-1
2020-03-08,105.67,8,-2
2020-03-09,114.77,4,-1
2020-03-10,110.05,2,1
2020-03-11,113.72,2,0
2020-03-12,105.24,3,-1
2020-03-13,119.87,-1,2
2020-03-14,100.62,-2,3
2020-03-15,76.33,-2,2
2020-03-16,87.31,-14,5
2020-03-17,77.21,-25,10
2020-03-18,77.42,-29,11
2020-03-19,74.12,-31,12
2020-03-20,76.93,-34,15
2020-03-21,66.55,-23,10
2020-03-22,49.27,-25,8
2020-03-23,50.76,-46,18
2020-03-24,57.37,-46,18
2020-03-25,59.92,-46,18
2020-03-26,65,-45,17
2020-03-27,70.78,-46,19
2020-03-28,55.76,-34,13
2020-03-29,44.92,-33,10
2020-03-30,53.7,-48,18
2020-03-31,61.79,-49,18
2020-04-01,63.72,-48,17
2020-04-02,65.05,-48,18
2020-04-03,66.92,-49,21
2020-04-04,63.61,-35,12
2020-04-05,49.89,-34,9
2020-04-06,68.26,-48,16
2020-04-07,68.75,-50,17
2020-04-08,65.42,-49,19
2020-04-09,65.32,-50,19
2020-04-10,66.96,-56,23
2020-04-11,66.14,-36,13
2020-04-12,42.62,-41,10
2020-04-13,63.8,-48,19
2020-04-14,70.63,-48,18
2020-04-15,74.49,-48,18
2020-04-16,70.87,-48,18
2020-04-17,81.9,-48,21
2020-04-18,70.65,-34,13
2020-04-19,61.95,-30,8
2020-04-20,78.37,-47,16
2020-04-21,70.1,-47,19
2020-04-22,71.5,-48,20
2020-04-23,79.64,-46,17
2020-04-24,87.38,-47,20
2020-04-25,88,-32,8
2020-04-26,57.83,-34,10
2020-04-27,74.04,-45,18
2020-04-28,86.48,-46,10
2020-04-29,84.52,-46,17
2020-04-30,79.85,-46,18
2020-05-01,96.96,-46,18
2020-05-02,97.47,-30,8
2020-05-03,82.56,-24,4
2020-05-04,85.56,-44,16
2020-05-05,96.1,-44,15
2020-05-06,90.26,-45,16
2020-05-07,98.01,-44,15
2020-05-08,107.78,-44,18
2020-05-09,94.49,-30,12
2020-05-10,73.33,-24,6
2020-05-11,NA,-42,16
2020-05-12,NA,-43,16
2020-05-13,109.45,-42,15
2020-05-14,108.07,-42,14
2020-05-15,114.96,-43,18
2020-05-16,125.76,-25,6
2020-05-17,97.38,-20,4
2020-05-18,108.67,-40,14
2020-05-19,121.36,-40,13
2020-05-20,130.18,-40,12
2020-05-21,130.69,-40,11
2020-05-22,149.8,-43,13
2020-05-23,128.73,-25,5
2020-05-24,113.32,-22,0
2020-05-25,109.6,-71,16
2020-05-26,138.36,-39,11
2020-05-27,134.56,-38,12
2020-05-28,129.28,-37,12
2020-05-29,140.35,-38,15
2020-05-30,130.33,-17,6
2020-05-31,107.19,-12,3
2020-06-01,127.02,-35,10
2020-06-02,124.79,-35,12
2020-06-03,129.08,-34,11
2020-06-04,145.06,-34,9
2020-06-05,164.97,-35,10
2020-06-06,147.55,-16,3
2020-06-07,124.3,-13,1
2020-06-08,139.63,-33,9
2020-06-09,149.12,-32,9
2020-06-10,142.95,-34,10
2020-06-11,152.27,-33,9
2020-06-12,175.38,-34,9
2020-06-13,156.1,-11,3
2020-06-14,129.66,-8,1
2020-06-15,151.68,-32,8
2020-06-16,157.25,-31,8
2020-06-17,166.15,-32,7
2020-06-18,166.86,-33,7
2020-06-19,184.97,-35,7
2020-06-20,168.41,-11,1
2020-06-21,127.9,-5,-3
2020-06-22,160.46,-34,8
2020-06-23,165.64,-34,8
2020-06-24,166.93,-32,8
2020-06-25,171.52,-31,7
2020-06-26,198.37,-33,7
2020-06-27,167.79,-13,4
2020-06-28,151.35,-4,0
2020-06-29,168.34,-33,7
2020-06-30,168.43,-33,8
2020-07-01,167.04,-34,8
2020-07-02,191.66,-36,5
2020-07-03,184.16,-56,12
2020-07-04,155.32,-24,-1
2020-07-05,151.14,-11,-3
2020-07-06,172.81,-39,7
2020-07-07,173.15,-36,8
2020-07-08,177.71,-36,8
2020-07-09,188.77,-34,7
2020-07-10,198.26,-36,9
2020-07-11,185.91,-13,3
2020-07-12,155.99,-9,0
2020-07-13,167.04,-34,8
2020-07-14,176.4,-34,8
2020-07-15,187.5,-33,7
2020-07-16,174.74,-34,8
2020-07-17,201.05,-34,8
2020-07-18,196.14,-12,0
2020-07-19,163.31,-9,-2
2020-07-20,170.72,-35,7
2020-07-21,174.94,-33,7
2020-07-22,170.69,-34,8
2020-07-23,176.81,-33,8
2020-07-24,211.1,-35,7
2020-07-25,202.83,-13,0
2020-07-26,170.79,-8,-2
2020-07-27,173.58,-36,8
2020-07-28,179.45,-34,8
2020-07-29,179.29,-35,8
2020-07-30,183.49,-34,6
2020-07-31,208.66,-35,7
2020-08-01,212.19,-11,0
2020-08-02,155.92,-8,0
2020-08-03,179.66,-34,6
2020-08-04,158.55,-36,11
2020-08-05,184.37,-33,7
2020-08-06,192.62,-33,5
2020-08-07,212.76,-35,7
2020-08-08,214.37,-9,0
2020-08-09,181.96,-7,-2
2020-08-10,181.25,-34,7
2020-08-11,184.9,-34,8
2020-08-12,194.95,-33,6
2020-08-13,197.66,-33,5
2020-08-14,219.53,-35,6
2020-08-15,215.35,-11,0
2020-08-16,179.77,-6,-3
2020-08-17,183.72,-34,7
2020-08-18,189.77,-32,7
2020-08-19,195.77,-32,6
2020-08-20,204.61,-30,5
2020-08-21,231.47,-33,6
2020-08-22,213.6,-9,0
2020-08-23,179.33,-8,-2
2020-08-24,183.72,-32,6
2020-08-25,175.4,-31,8
2020-08-26,184.5,-30,6
2020-08-27,174.05,-31,9
2020-08-28,207.05,-31,6
2020-08-29,183.74,-11,3
2020-08-30,168.64,-4,-2
2020-08-31,173.81,-31,6
2020-09-01,173.78,-30,6
2020-09-02,172.93,-31,7
2020-09-03,188.56,-28,4
2020-09-04,226.57,-32,6
2020-09-05,202.54,-12,0
2020-09-06,177.55,-6,-3
2020-09-07,153.17,-67,12
2020-09-08,165.34,-30,6
2020-09-09,174.15,-30,5
2020-09-10,175.75,-28,4
2020-09-11,201.2,-28,4
2020-09-12,203.75,-10,-1
2020-09-13,142.46,-7,0
2020-09-14,160.56,-26,5
2020-09-15,161.41,-25,5
2020-09-16,164.83,-27,5
2020-09-17,169.04,-24,5
2020-09-18,204.31,-26,5
2020-09-19,202.09,-7,0
2020-09-20,158.52,-4,-1
2020-09-21,149.64,-26,5
2020-09-22,154.69,-25,6
2020-09-23,157.18,-26,6
2020-09-24,164.29,-22,5
2020-09-25,199.45,-24,5
2020-09-26,204.18,-5,-1
