date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,195.06,7,NA
2020-02-16,161.81,9,NA
2020-02-17,157.7,-19,NA
2020-02-18,129.78,-5,NA
2020-02-19,133.44,-4,NA
2020-02-20,139.73,-4,NA
2020-02-21,181.32,-3,NA
2020-02-22,177.98,9,NA
2020-02-23,147.88,17,NA
2020-02-24,112.9,-4,NA
2020-02-25,109.82,-6,NA
2020-02-26,120.73,-8,NA
2020-02-27,115.02,-8,NA
2020-02-28,177.28,-7,NA
2020-02-29,160.46,7,NA
2020-03-01,147.63,6,NA
2020-03-02,108.47,-6,NA
2020-03-03,98.78,-14,NA
2020-03-04,111.62,4,1
2020-03-05,124.39,6,-1
2020-03-06,171.89,3,NA
2020-03-07,154.17,10,NA
2020-03-08,134.21,11,NA
2020-03-09,114.06,3,NA
2020-03-10,98.14,2,0
2020-03-11,106.8,0,NA
2020-03-12,103.79,3,1
2020-03-13,119.64,0,NA
2020-03-14,115.66,7,NA
2020-03-15,105.91,-2,NA
2020-03-16,86.14,-7,NA
2020-03-17,72.66,-20,NA
2020-03-18,73.62,-25,NA
2020-03-19,60.65,-28,NA
2020-03-20,66.82,-31,NA
2020-03-21,69.64,-22,NA
2020-03-22,58.54,-15,NA
2020-03-23,46.79,-35,NA
2020-03-24,49.1,-44,NA
2020-03-25,53.4,-38,NA
2020-03-26,49.55,-48,NA
2020-03-27,54.04,-45,NA
2020-03-28,63.8,-27,NA
2020-03-29,40.63,-31,NA
2020-03-30,46.92,-47,NA
2020-03-31,50.51,-48,NA
2020-04-01,49.04,-50,NA
2020-04-02,46.08,-49,NA
2020-04-03,47.3,-49,NA
2020-04-04,54.43,-30,NA
2020-04-05,46.34,-26,NA
2020-04-06,50.51,-48,NA
2020-04-07,49.94,-49,NA
2020-04-08,50.13,-50,NA
2020-04-09,44.42,-51,NA
2020-04-10,59.31,-51,NA
2020-04-11,57.64,-28,NA
2020-04-12,45.44,-36,NA
2020-04-13,45.83,-49,NA
2020-04-14,62.9,-51,NA
2020-04-15,59.56,-49,NA
2020-04-16,60.01,-49,NA
2020-04-17,70.15,-47,NA
2020-04-18,73.17,-29,NA
2020-04-19,70.92,-30,NA
2020-04-20,74.45,-46,NA
2020-04-21,62.26,-47,NA
2020-04-22,63.35,-48,NA
2020-04-23,76.44,-47,NA
2020-04-24,79.59,-46,NA
2020-04-25,88.51,-27,NA
2020-04-26,69,-28,NA
2020-04-27,64.06,-44,NA
2020-04-28,74.84,-44,NA
2020-04-29,80.04,-46,NA
2020-04-30,75.67,-47,NA
2020-05-01,85.94,-44,NA
2020-05-02,93.97,-25,NA
2020-05-03,82.35,-22,NA
2020-05-04,71.57,-43,NA
2020-05-05,75.1,-45,NA
2020-05-06,91.46,-46,NA
2020-05-07,84.98,-41,NA
2020-05-08,104.24,-40,NA
2020-05-09,97.56,-16,NA
2020-05-10,70.35,-22,NA
2020-05-11,NA,-38,NA
2020-05-12,NA,-39,NA
2020-05-13,98.72,-38,NA
2020-05-14,105.2,-38,NA
2020-05-15,103.98,-38,NA
2020-05-16,125.1,-14,NA
2020-05-17,99.81,-20,NA
2020-05-18,96.34,-34,NA
2020-05-19,101.16,-36,NA
2020-05-20,114.18,-36,NA
2020-05-21,114.76,-35,NA
2020-05-22,143.77,-35,NA
2020-05-23,143.39,-14,NA
2020-05-24,131.19,-16,NA
2020-05-25,117.33,-73,NA
2020-05-26,109.18,-36,NA
2020-05-27,115.53,-34,NA
2020-05-28,112.77,-33,NA
2020-05-29,121.76,-32,NA
2020-05-30,127.34,-2,NA
2020-05-31,122.66,-7,NA
2020-06-01,110.72,-30,NA
2020-06-02,111.62,-34,NA
2020-06-03,115.6,-31,NA
2020-06-04,114.63,-31,NA
2020-06-05,146.92,-32,NA
2020-06-06,152.12,-4,NA
2020-06-07,139.02,-14,NA
2020-06-08,132.48,-27,NA
2020-06-09,122.27,-31,NA
2020-06-10,125.74,-32,NA
2020-06-11,132.99,-31,NA
2020-06-12,164.76,-30,NA
2020-06-13,164.83,-5,NA
2020-06-14,146.66,-3,NA
2020-06-15,136.07,-27,NA
2020-06-16,136.33,-32,NA
2020-06-17,145.83,-30,NA
2020-06-18,158.99,-29,NA
2020-06-19,179.14,-31,NA
2020-06-20,199.17,-1,NA
2020-06-21,153.72,-2,NA
2020-06-22,145.89,-28,NA
2020-06-23,144.35,-31,NA
2020-06-24,138.32,-32,NA
2020-06-25,166.17,-28,NA
2020-06-26,198.27,-31,NA
2020-06-27,188.83,1,NA
2020-06-28,172.27,-4,NA
2020-06-29,146.98,-29,NA
2020-06-30,143.2,-32,NA
2020-07-01,165.34,-30,NA
2020-07-02,191.66,-32,NA
2020-07-03,214.44,-59,NA
2020-07-04,170.15,-21,NA
2020-07-05,197.37,-1,NA
2020-07-06,174.78,-31,NA
2020-07-07,167.39,-32,NA
2020-07-08,157.19,-29,NA
2020-07-09,185.43,-28,NA
2020-07-10,194.42,-29,NA
2020-07-11,199.17,-3,NA
2020-07-12,178.11,-4,NA
2020-07-13,158.73,-28,NA
2020-07-14,150,-32,NA
2020-07-15,183.89,-28,NA
2020-07-16,182.61,-28,NA
2020-07-17,214.25,-28,NA
2020-07-18,244.42,-1,NA
2020-07-19,201.16,-3,NA
2020-07-20,175.99,-30,NA
2020-07-21,167.07,-30,NA
2020-07-22,150.06,-27,NA
2020-07-23,182.99,-29,NA
2020-07-24,212.32,-29,NA
2020-07-25,227.6,3,NA
2020-07-26,188.51,3,NA
2020-07-27,168.04,-30,NA
2020-07-28,163.61,-29,NA
2020-07-29,170.35,-28,NA
2020-07-30,188.19,-29,NA
2020-07-31,222.91,-30,NA
2020-08-01,228.31,-2,NA
2020-08-02,208.22,-5,NA
2020-08-03,182.22,-27,NA
2020-08-04,148.91,-33,NA
2020-08-05,202.63,-29,NA
2020-08-06,196.85,-28,NA
2020-08-07,235.94,-28,NA
2020-08-08,240.12,0,NA
2020-08-09,216.5,-6,NA
2020-08-10,197.43,-29,NA
2020-08-11,179.27,-30,NA
2020-08-12,180.68,-28,NA
2020-08-13,208.6,-25,NA
2020-08-14,251.8,-26,NA
2020-08-15,246.28,-1,NA
2020-08-16,235.04,-3,NA
2020-09-11,196.15,-23,NA
2020-09-12,220.28,-5,NA
2020-09-13,170.28,4,NA
2020-09-14,156.48,-20,NA
2020-09-15,149.74,-24,NA
2020-09-16,165.15,-23,NA
2020-09-17,165.53,-25,NA
2020-09-18,195.83,-22,NA
2020-09-19,205.26,3,NA
2020-09-20,194.22,-2,NA
2020-09-21,149.74,-21,NA
2020-09-22,133.44,-23,NA
2020-09-23,156.42,-22,6
2020-09-24,156.68,-20,7
2020-09-25,207.45,-21,6
2020-09-26,243.84,3,NA
2020-09-27,221.18,-7,NA
2020-09-28,146.73,-18,4
2020-09-29,137.87,-20,6
2020-09-30,147.18,-22,7
2020-10-01,190.63,-18,3
2020-10-02,217.01,-20,6
2020-10-03,247.37,1,NA
2020-10-04,212.71,-4,NA
2020-10-05,160.46,-19,4
2020-10-06,152.05,-19,4
2020-10-07,150.13,-21,8
2020-10-08,165.79,-17,5
2020-10-09,252.5,-19,6
2020-10-10,275.42,0,NA
2020-10-11,231.71,5,NA
2020-10-12,192.68,-33,8
2020-10-13,143.58,-23,9
2020-10-14,157.45,-21,7
2020-10-15,145.76,-17,6
2020-10-16,166.94,-21,10
2020-10-17,186.46,-3,NA
2020-10-18,162.58,3,NA
2020-10-19,142.94,-19,6
2020-10-20,131.77,-19,7
2020-10-21,137.68,-24,8
2020-10-22,144.8,-16,5
2020-10-23,164.31,-16,7
2020-10-24,171.69,-2,NA
2020-10-25,146.21,-2,NA
2020-10-26,117.72,-16,7
2020-10-27,111.68,-19,7
2020-10-28,120.09,-21,9
2020-10-29,124.13,-17,7
2020-10-30,126.64,-18,7
2020-10-31,135.62,0,NA
2020-11-01,116.75,1,NA
2020-11-02,104.24,-16,7
2020-11-03,90.24,-18,8
