date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,152.66,0,NA
2020-02-16,101.08,0,NA
2020-02-17,116.45,-21,6
2020-02-18,106.07,0,1
2020-02-19,106.86,3,-1
2020-02-20,110.35,2,1
2020-02-21,139.52,4,0
2020-02-22,156.99,4,NA
2020-02-23,90.9,-3,NA
2020-02-24,109.59,3,2
2020-02-25,104.71,2,1
2020-02-26,114.94,2,-2
2020-02-27,118.28,1,-2
2020-02-28,145.13,2,-4
2020-02-29,168.03,4,NA
2020-03-01,112.41,1,NA
2020-03-02,116.88,3,0
2020-03-03,112.38,0,-2
2020-03-04,115.63,3,-2
2020-03-05,130.37,2,-2
2020-03-06,155.71,4,-2
2020-03-07,168.53,8,NA
2020-03-08,98.05,-3,NA
2020-03-09,121.56,2,3
2020-03-10,123.77,2,0
2020-03-11,109.97,2,-2
2020-03-12,113.72,0,-2
2020-03-13,142.23,-7,3
2020-03-14,130.11,-1,NA
2020-03-15,95.55,-8,NA
2020-03-16,102.24,-18,6
2020-03-17,82.13,-19,7
2020-03-18,88.17,-25,7
2020-03-19,78.09,-30,10
2020-03-20,90.44,-31,13
2020-03-21,89.51,-17,NA
2020-03-22,62.19,-33,NA
2020-03-23,78.81,-30,13
2020-03-24,82.53,-35,14
2020-03-25,85.67,-35,11
2020-03-26,87.47,-39,13
2020-03-27,88.06,-38,15
2020-03-28,91.25,-23,NA
2020-03-29,85.06,-39,NA
2020-03-30,64.92,-38,16
2020-03-31,81.87,-40,15
2020-04-01,81.63,-40,12
2020-04-02,85,-42,15
2020-04-03,68.99,-43,19
2020-04-04,75.56,-33,NA
2020-04-05,77.42,-39,NA
2020-04-06,77.22,-39,16
2020-04-07,83.64,-42,15
2020-04-08,97.38,-43,13
2020-04-09,88.72,-42,14
2020-04-10,104.88,-49,17
2020-04-11,104.82,-28,NA
2020-04-12,55.48,-44,NA
2020-04-13,78.32,-40,18
2020-04-14,80.44,-41,17
2020-04-15,187.53,-40,13
2020-04-16,90.12,-39,14
2020-04-17,95.5,-40,16
2020-04-18,131.36,-25,NA
2020-04-19,97.36,-32,NA
2020-04-20,97.88,-39,13
2020-04-21,112.93,-39,14
2020-04-22,80.47,-42,16
2020-04-23,107.18,-38,12
2020-04-24,110.11,-37,16
2020-04-25,147.4,-19,NA
2020-04-26,133.91,-34,NA
2020-04-27,96.98,-37,15
2020-04-28,88.78,-39,9
2020-04-29,131.27,-37,10
2020-04-30,124.7,-38,11
2020-05-01,134.15,-37,10
2020-05-02,163.03,-19,NA
2020-05-03,117.06,-27,NA
2020-05-04,95.5,-33,12
2020-05-05,113.92,-33,10
2020-05-06,134.32,-34,8
2020-05-07,108.72,-34,11
2020-05-08,141.82,-32,10
2020-05-09,182.53,-15,NA
2020-05-10,145.8,-24,NA
2020-05-11,NA,-32,13
2020-05-12,NA,-31,13
2020-05-13,112.12,-33,10
2020-05-14,127.4,-30,9
2020-05-15,142.6,-32,11
2020-05-16,164.25,-14,NA
2020-05-17,159.34,-21,NA
2020-05-18,146.03,-28,8
2020-05-19,146.06,-29,9
2020-05-20,162.45,-30,6
2020-05-21,145.22,-31,9
2020-05-22,192.3,-32,8
2020-05-23,286.89,-17,NA
2020-05-24,201.08,-23,NA
2020-05-25,142.6,-72,NA
2020-05-26,145.98,-29,10
2020-05-27,156.41,-29,8
2020-05-28,158.91,-28,8
2020-05-29,218.54,-25,6
2020-05-30,264.49,-2,NA
2020-05-31,189.6,-13,NA
2020-06-01,156.67,-26,6
2020-06-02,153.79,-27,7
2020-06-03,147.92,-29,4
2020-06-04,166.84,-28,5
2020-06-05,213.86,-30,5
2020-06-06,249,-10,NA
2020-06-07,197.88,-20,NA
2020-06-08,169.54,-26,7
2020-06-09,165.21,-28,8
2020-06-10,181.43,-27,4
2020-06-11,181.6,-27,6
2020-06-12,214.41,-30,6
2020-06-13,247.95,-5,NA
2020-06-14,180.15,-15,NA
2020-06-15,171.46,-29,7
2020-06-16,167.39,-28,8
2020-06-17,171.37,-30,5
2020-06-18,183.29,-29,6
2020-06-19,203.72,-32,7
2020-06-20,240.22,-8,NA
2020-06-21,165.18,-19,NA
2020-06-22,172.3,-31,8
2020-06-23,182.07,-33,8
2020-06-24,193.03,-29,5
2020-06-25,197.88,-30,6
2020-06-26,215.02,-28,6
2020-06-27,236.04,-6,NA
2020-06-28,175.09,-14,NA
2020-06-29,163.56,-29,8
2020-06-30,170.47,-29,6
2020-07-01,169.98,-28,4
2020-07-02,190.53,-36,6
2020-07-03,249.64,-54,9
2020-07-04,220.28,-24,NA
2020-07-05,176.63,-23,NA
2020-07-06,170.44,-33,8
2020-07-07,174.6,-32,8
2020-07-08,178.58,-32,5
2020-07-09,172.8,-32,7
2020-07-10,204.74,-29,7
2020-07-11,221.62,-8,NA
2020-07-12,174.02,-17,NA
2020-07-13,171.14,-30,8
2020-07-14,185.7,-31,8
2020-07-15,181.55,-28,5
2020-07-16,181.92,-30,6
2020-07-17,248.91,-29,6
2020-07-18,273.29,-10,NA
2020-07-19,189.28,-17,NA
2020-07-20,180.24,-31,8
2020-07-21,167.39,-33,9
2020-07-22,173.12,-30,6
2020-07-23,177.94,-31,7
2020-07-24,203.31,-29,6
2020-07-25,243.39,-12,NA
2020-07-26,174.72,-21,NA
2020-07-27,155.39,-32,9
2020-07-28,144.12,-32,10
2020-07-29,155.27,-31,7
2020-07-30,181.14,-33,6
2020-07-31,198.84,-31,6
2020-08-01,255.39,-13,NA
2020-08-02,173.15,-15,NA
2020-08-03,167.97,-30,6
2020-08-04,186.46,-33,7
2020-08-05,172.94,-30,4
2020-08-06,178.93,-31,6
2020-08-07,200.76,-29,5
2020-08-08,234.03,-10,NA
2020-08-09,174.54,-16,NA
2020-08-10,157.89,-31,7
2020-08-11,171.11,-32,7
2020-08-12,176.87,-29,4
2020-08-13,163.41,-30,5
2020-08-14,197.04,-28,4
2020-08-15,228.71,-13,NA
2020-08-16,164.25,-21,NA
2020-08-17,153.79,-29,6
2020-08-18,155.62,-28,6
2020-08-19,168.09,-26,3
2020-08-20,161.32,-27,3
2020-08-21,213.6,-26,4
2020-08-24,148.33,-28,5
2020-08-25,146.44,-27,6
2020-08-26,147.4,-25,4
2020-08-27,144.78,-28,5
2020-08-28,199.68,-24,3
2020-08-31,138.83,-27,6
2020-09-01,145.63,-27,5
2020-09-02,135.16,-25,4
2020-09-03,162.13,-26,2
2020-09-04,223.74,-26,3
2020-09-07,201.71,-69,NA
2020-09-08,151.61,-28,5
2020-09-09,129.53,-25,2
2020-09-10,142.34,-27,2
2020-09-11,174.95,-26,2
2020-09-12,207.93,-10,NA
2020-09-13,153.65,-16,NA
2020-09-14,142.69,-24,3
2020-09-15,157.02,-23,3
2020-09-16,150.48,-25,2
2020-09-17,169.75,-25,3
2020-09-18,199.3,-22,2
2020-09-19,217.18,-8,NA
2020-09-20,148.27,-17,NA
2020-09-21,148.3,-25,5
2020-09-22,133.62,-27,7
2020-09-23,136.79,-22,3
2020-09-24,168.96,-23,4
2020-09-25,191.72,-24,3
2020-09-26,226.07,-12,1
2020-09-27,139.81,-17,2
2020-09-28,131.76,-22,6
2020-09-29,125.34,-22,5
2020-09-30,144.55,-22,2
2020-10-01,150.33,-23,1
2020-10-02,178.09,-21,1
2020-10-03,217.67,-9,0
2020-10-04,136.79,-18,-1
2020-10-05,133.48,-26,4
2020-10-06,127.35,-25,4
2020-10-07,139,-23,2
2020-10-08,145.68,-24,4
2020-10-09,184.34,-22,3
2020-10-10,205,-11,2
2020-10-11,137.69,-20,1
2020-10-12,135.72,-31,7
2020-10-13,143.88,-26,6
2020-10-14,147.63,-27,4
2020-10-15,177.36,-33,6
2020-10-16,203.98,-33,7
2020-10-17,228.07,-13,3
2020-10-18,121.56,-21,2
2020-10-19,139.44,-28,7
2020-10-20,131.85,-25,7
2020-10-21,142.37,-21,3
2020-10-22,149.49,-23,3
2020-10-23,163.15,-23,6
2020-10-24,185.29,-11,3
2020-10-25,118.51,-20,2
2020-10-26,102.38,-30,11
2020-10-27,92.24,-37,12
2020-10-28,99.01,-29,7
2020-10-29,130.22,-25,5
2020-10-30,180.94,-19,2
2020-10-31,172.48,-4,-1
2020-11-01,105.81,-19,2
2020-11-02,137.93,-24,6
2020-11-03,128.71,-26,5
