date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,145.74,3,-1
2020-02-16,99.56,0,-2
2020-02-17,99.94,-3,3
2020-02-18,104.41,-2,1
2020-02-19,105.76,2,0
2020-02-20,113.13,3,0
2020-02-21,136.43,-5,1
2020-02-22,157.93,7,-3
2020-02-23,108.93,5,-2
2020-02-24,103.79,0,0
2020-02-25,101.87,3,0
2020-02-26,107.16,3,0
2020-02-27,113.6,3,-1
2020-02-28,134.62,2,0
2020-02-29,148.43,5,-2
2020-03-01,99.15,4,-2
2020-03-02,103.83,4,0
2020-03-03,114.23,-1,0
2020-03-04,110.52,2,-1
2020-03-05,114.54,2,0
2020-03-06,138.74,3,0
2020-03-07,156.46,7,-2
2020-03-08,100.12,5,-1
2020-03-09,100.95,4,1
2020-03-10,111.73,3,0
2020-03-11,109.64,3,0
2020-03-12,104.72,2,1
2020-03-13,115.55,1,1
2020-03-14,108.35,2,3
2020-03-15,74.07,0,3
2020-03-16,80.54,-6,4
2020-03-17,79.18,-19,10
2020-03-18,67.08,-27,14
2020-03-19,67.18,-31,16
2020-03-20,74.34,-34,19
2020-03-21,61.87,-21,12
2020-03-22,50.15,-26,11
2020-03-23,64.8,-37,16
2020-03-24,58.75,-40,19
2020-03-25,53.22,-44,21
2020-03-26,56.2,-45,22
2020-03-27,64.45,-45,24
2020-03-28,51.84,-33,16
2020-03-29,43.33,-33,13
2020-03-30,58.68,-45,20
2020-03-31,61.13,-45,21
2020-04-01,62.97,-46,20
2020-04-02,66.45,-46,21
2020-04-03,73.05,-47,24
2020-04-04,64.45,-33,14
2020-04-05,54.93,-34,11
2020-04-06,66.25,-46,19
2020-04-07,67.5,-47,20
2020-04-08,70.31,-48,21
2020-04-09,69.05,-48,22
2020-04-10,80.21,-54,26
2020-04-11,71.06,-35,13
2020-04-12,37.32,-43,14
2020-04-13,64.41,-47,22
2020-04-14,73.55,-46,22
2020-04-15,76.01,-46,21
2020-04-16,81.79,-46,21
2020-04-17,89.08,-47,23
2020-04-18,83.32,-30,12
2020-04-19,67.33,-28,10
2020-04-20,79.22,-44,19
2020-04-21,83.55,-45,20
2020-04-22,82.76,-45,20
2020-04-23,88.01,-45,21
2020-04-24,97.18,-47,22
2020-04-25,87.32,-29,11
2020-04-26,73.34,-28,7
2020-04-27,82.07,-43,19
2020-04-28,87.32,-44,14
2020-04-29,84.59,-44,21
2020-04-30,98.2,-44,19
2020-05-01,111.93,-46,19
2020-05-02,96.22,-29,8
2020-05-03,80.11,-25,5
2020-05-04,93.64,-41,17
2020-05-05,99.07,-41,18
2020-05-06,106.8,-41,16
2020-05-07,110.19,-42,17
2020-05-08,119.66,-43,21
2020-05-09,109.87,-26,8
2020-05-10,72.89,-24,8
2020-05-11,NA,-39,17
2020-05-12,NA,-40,17
2020-05-13,113.81,-40,17
2020-05-14,114.06,-41,18
2020-05-15,136.24,-42,16
2020-05-16,118.87,-21,6
2020-05-17,86.81,-22,9
2020-05-18,108.83,-38,17
2020-05-19,126.33,-37,16
2020-05-20,136.52,-37,13
2020-05-21,142.82,-38,13
2020-05-22,147.95,-43,13
2020-05-23,111.63,-21,5
2020-05-24,99.47,-21,1
2020-05-25,101.2,-79,17
2020-05-26,143.84,-35,13
2020-05-27,143.96,-34,13
2020-05-28,135.51,-35,16
2020-05-29,167.45,-34,13
2020-05-30,150.75,-5,3
2020-05-31,114.93,-2,1
2020-06-01,139.53,-32,12
2020-06-02,142.84,-33,12
2020-06-03,152.91,-31,10
2020-06-04,159.15,-32,10
