date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,150.19,0,NA
2020-02-16,132.26,0,NA
2020-02-17,125.15,-13,4
2020-02-18,117.47,-2,1
2020-02-19,102.7,-2,1
2020-02-20,119.88,1,1
2020-02-21,169.45,8,1
2020-02-22,167.14,3,NA
2020-02-23,124.21,2,NA
2020-02-24,112.02,2,-1
2020-02-25,124.73,0,-1
2020-02-26,107.71,2,-1
2020-02-27,128.76,4,-2
2020-02-28,171.53,7,-2
2020-02-29,149.13,2,NA
2020-03-01,135.22,1,NA
2020-03-02,111.68,2,-1
2020-03-03,109.45,0,-2
2020-03-04,104.36,-1,3
2020-03-05,139.92,4,-1
2020-03-06,187.1,-3,-1
2020-03-07,173.63,6,NA
2020-03-08,140.33,2,NA
2020-03-09,136.28,-12,1
2020-03-10,139.97,-10,1
2020-03-11,138.98,-11,1
2020-03-12,140.23,-10,1
2020-03-13,156.4,-9,4
2020-03-14,140.64,1,NA
2020-03-15,128.76,-12,NA
2020-03-16,110.67,-12,4
2020-03-17,100.8,-14,6
2020-03-18,112.3,-15,7
2020-03-19,98.36,-17,8
2020-03-20,107.97,-16,NA
2020-03-21,103.43,-13,NA
2020-03-22,85,-21,NA
2020-03-23,80.72,-21,NA
2020-03-24,86.3,-24,NA
2020-03-25,85.52,-24,NA
2020-03-26,87.33,-25,NA
2020-03-27,107.14,-25,NA
2020-03-28,98.62,-20,NA
2020-03-29,86.89,-29,NA
2020-03-30,72.77,-29,NA
2020-03-31,81.62,-28,NA
2020-04-01,88.42,-27,NA
2020-04-02,81.37,-31,NA
2020-04-03,102.44,-29,NA
2020-04-04,73.84,-23,NA
2020-04-05,72.59,-28,NA
2020-04-06,71.84,-30,NA
2020-04-07,81.6,-31,NA
2020-04-08,89.1,-32,NA
2020-04-09,92.5,-32,NA
2020-04-10,113.65,-36,NA
2020-04-11,77.42,-29,NA
2020-04-12,75.53,-35,NA
2020-04-13,83.8,-28,NA
2020-04-14,88.66,-29,NA
2020-04-15,89.67,-26,NA
2020-04-16,110.12,-26,NA
2020-04-17,116.77,-26,NA
2020-04-18,113.83,-15,NA
2020-04-19,93.59,-25,NA
2020-04-20,93.9,-25,NA
2020-04-21,90.27,-26,NA
2020-04-22,90.89,-29,NA
2020-04-23,105.09,-27,NA
2020-04-24,141.5,-26,NA
2020-04-25,151.62,-18,NA
2020-04-26,132.1,-24,NA
2020-04-27,116.04,-26,NA
2020-04-28,104.26,-26,NA
2020-04-29,107.58,-24,NA
2020-04-30,115.78,-25,NA
2020-05-01,159.43,-25,NA
2020-05-02,169.56,-16,NA
2020-05-03,144.56,-19,NA
2020-05-04,113.96,-22,NA
2020-05-05,108.41,-22,NA
2020-05-06,111.21,-21,NA
2020-05-07,121.02,-23,NA
2020-05-08,158.84,-19,NA
2020-05-09,181.47,-10,NA
2020-05-10,139.22,-18,NA
2020-05-11,NA,-22,NA
2020-05-12,NA,-19,8
2020-05-13,122.29,-23,NA
2020-05-14,141.03,-23,NA
2020-05-15,172.36,-21,NA
2020-05-16,151.36,-13,NA
2020-05-17,162.32,-10,NA
2020-05-18,123.28,-16,6
2020-05-19,139.61,-21,7
2020-05-20,141.53,-19,6
2020-05-21,155.88,-21,NA
2020-05-22,229.38,-17,NA
2020-05-23,249.6,-7,NA
2020-05-24,201.95,-10,NA
2020-05-25,189.77,-57,NA
2020-05-26,151.15,-15,7
2020-05-27,142.62,-15,6
2020-05-28,156.63,-18,6
2020-05-29,210.38,-15,NA
2020-05-30,210.25,-5,NA
2020-05-31,196.5,-7,NA
2020-06-01,146.28,-18,5
2020-06-02,154.89,-19,6
2020-06-03,151.75,-19,6
2020-06-04,175.97,-21,NA
2020-06-05,224.63,-22,NA
2020-06-06,240.72,-10,NA
2020-06-07,205.58,-13,NA
2020-06-08,162.96,-19,5
2020-06-09,151.36,-20,6
2020-06-10,150.51,-20,5
2020-06-11,180.66,-20,6
2020-06-12,236.36,-18,NA
2020-06-13,250.95,-10,NA
2020-06-14,220.43,-10,NA
2020-06-15,157.77,-18,5
2020-06-16,155.46,-22,NA
2020-06-17,156.03,-19,6
2020-06-18,173.19,-19,5
2020-06-19,230.86,-20,NA
