date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,142.08,-3,NA
2020-02-16,124.64,-2,NA
2020-02-17,115.75,-12,NA
2020-02-18,114.14,3,NA
2020-02-19,109.85,1,NA
2020-02-20,107.35,6,NA
2020-02-21,145.64,5,NA
2020-02-22,156.38,6,NA
2020-02-23,105.65,6,NA
2020-02-24,108.64,3,NA
2020-02-25,123.02,3,NA
2020-02-26,92.08,-3,NA
2020-02-27,133.76,-9,NA
2020-02-28,145.64,4,NA
2020-02-29,146.93,-3,NA
2020-03-01,107.59,6,NA
2020-03-02,103.8,4,NA
2020-03-03,107.67,2,NA
2020-03-04,108.32,1,NA
2020-03-05,112.68,2,NA
2020-03-06,142.89,6,NA
2020-03-07,154.36,2,NA
2020-03-08,119.14,4,NA
2020-03-09,104.6,2,NA
2020-03-10,122.94,3,NA
2020-03-11,107.11,0,NA
2020-03-12,107.43,3,NA
2020-03-13,123.67,-4,NA
2020-03-14,98.71,2,NA
2020-03-15,86.67,2,NA
2020-03-16,86.27,-5,NA
2020-03-17,86.59,-9,NA
2020-03-18,93.86,-11,NA
2020-03-19,88.93,-13,NA
2020-03-20,84.81,-16,NA
2020-03-21,68.66,-9,NA
2020-03-22,54.52,-17,NA
2020-03-23,76.41,-22,NA
2020-03-24,61.55,-35,NA
2020-03-25,62.68,-36,NA
2020-03-26,67.93,-36,NA
2020-03-27,64.38,-37,NA
2020-03-28,52.99,-28,NA
2020-03-29,43.78,-26,NA
2020-03-30,61.39,-35,NA
2020-03-31,66.07,-38,NA
2020-04-01,61.55,-40,NA
2020-04-02,79.64,-36,NA
2020-04-03,77.87,-36,NA
2020-04-04,60.74,-30,NA
2020-04-05,53.88,-38,NA
2020-04-06,71.41,-35,NA
2020-04-07,83.44,-38,NA
2020-04-08,76.82,-39,NA
2020-04-09,73.67,-39,NA
2020-04-10,77.14,-51,NA
2020-04-11,66.88,-38,NA
2020-04-12,45.56,-37,NA
2020-04-13,73.18,-38,NA
2020-04-14,73.18,-32,NA
2020-04-15,78.11,-37,NA
2020-04-16,81.1,-37,NA
2020-04-17,70.6,-37,NA
2020-04-18,83.52,-27,NA
2020-04-19,67.85,-25,NA
2020-04-20,92.08,-32,NA
2020-04-21,81.34,-34,NA
2020-04-22,87.32,-36,NA
2020-04-23,90.06,-35,NA
2020-04-24,99.84,-37,NA
2020-04-25,84.57,-27,NA
2020-04-26,65.27,-24,NA
2020-04-27,93.46,-29,NA
2020-04-28,96.04,-30,NA
2020-04-29,99.68,-32,NA
2020-04-30,99.6,-33,NA
2020-05-01,101.86,-29,NA
2020-05-02,104.6,-24,NA
2020-05-03,85.14,-20,NA
2020-05-04,110.5,-27,NA
2020-05-05,105.74,-28,NA
2020-05-06,117.53,-29,NA
2020-05-07,116.32,-27,NA
2020-05-08,130.45,-30,NA
2020-05-09,102.91,-18,NA
2020-05-10,77.54,-14,NA
2020-05-11,NA,-23,NA
2020-05-12,NA,-24,NA
2020-05-13,111.71,-28,NA
2020-05-14,109.53,-23,NA
2020-05-15,134.65,-25,NA
2020-05-16,127.06,-15,NA
2020-05-17,92.08,-25,NA
2020-05-18,126.49,-23,NA
2020-05-19,133.68,-24,NA
2020-05-20,145.23,-26,NA
2020-05-21,152.58,-25,NA
2020-05-22,157.43,-31,NA
2020-05-23,129.56,-14,NA
2020-05-24,114.62,-21,NA
2020-05-25,116.88,-73,NA
2020-05-26,152.1,-21,NA
2020-05-27,142,-22,NA
2020-05-28,139.66,-22,NA
2020-05-29,156.38,-19,NA
2020-05-30,152.58,-2,NA
2020-05-31,111.71,-4,NA
2020-06-01,136.91,-18,NA
2020-06-02,149.35,-14,NA
2020-06-03,136.03,-17,NA
2020-06-04,162.84,-17,NA
2020-06-05,167.12,-21,NA
2020-06-06,166.88,-5,NA
2020-06-07,133.28,-3,NA
2020-06-08,148.06,-17,NA
2020-06-09,160.58,-19,NA
2020-06-10,134.17,-19,NA
2020-06-11,158.4,-17,NA
2020-06-12,197.9,-20,NA
2020-06-13,195.15,1,NA
2020-06-14,139.34,4,NA
2020-06-15,159.45,-15,NA
2020-06-16,150.48,-14,NA
2020-06-17,163.97,-19,NA
2020-06-18,184.01,-15,NA
2020-06-19,188.69,-21,NA
2020-06-20,194.35,1,NA
2020-06-21,144.67,0,NA
2020-06-22,155.57,-19,NA
2020-06-23,160.99,-18,NA
2020-06-24,165.91,-16,NA
2020-06-25,167.37,-15,NA
2020-06-26,188.13,-18,NA
2020-06-27,195.72,-9,NA
2020-06-28,154.12,-1,NA
2020-06-29,164.14,-22,NA
2020-06-30,168.42,-20,NA
2020-07-01,183.2,-23,NA
2020-07-02,191.84,-29,NA
2020-07-03,187.64,-60,NA
2020-07-04,166.8,-30,NA
2020-07-05,159.85,-11,NA
2020-07-06,162.6,-27,NA
2020-07-07,152.1,-21,NA
2020-07-08,161.39,-22,NA
2020-07-09,164.38,-20,NA
2020-07-10,197.66,-25,NA
2020-07-11,193.62,-4,NA
2020-07-12,157.19,5,NA
2020-07-13,162.36,-18,NA
2020-07-14,147.25,-18,NA
2020-07-15,162.28,-21,NA
2020-07-16,185.78,-17,NA
2020-07-17,215.02,-18,NA
2020-07-18,212.36,-1,NA
2020-07-19,152.83,-6,NA
2020-07-20,145.96,-18,NA
2020-07-21,163.81,-19,NA
2020-07-22,169.47,-19,NA
2020-07-23,158.89,-20,NA
2020-07-24,192.08,-22,NA
2020-07-25,192.65,-12,NA
2020-07-26,141.76,-9,NA
2020-07-27,158.97,-18,NA
2020-07-28,145.32,-18,NA
2020-07-29,151.78,-22,NA
2020-07-30,169.06,-21,NA
2020-07-31,195.88,-22,NA
2020-08-01,182.55,-4,NA
2020-08-02,133.44,-5,NA
2020-08-03,155.01,-18,NA
2020-08-04,156.22,-19,NA
2020-08-05,158,-20,NA
2020-08-06,177.71,-20,NA
2020-08-07,214.22,-19,NA
2020-08-08,211.47,4,NA
2020-08-09,154.04,4,NA
2020-08-10,155.41,-16,NA
2020-08-11,158.72,-15,NA
2020-08-12,172.37,-18,NA
2020-08-13,175.44,-17,NA
2020-08-14,212.92,-19,NA
2020-08-15,199.27,0,NA
2020-08-16,151.94,3,NA
2020-09-11,174.8,-13,NA
2020-09-12,185.86,-2,NA
2020-09-13,130.29,1,NA
2020-09-14,133.44,-10,NA
2020-09-15,152.99,-11,NA
2020-09-16,141.92,-9,NA
2020-09-17,167.12,-11,NA
2020-09-18,172.29,-11,NA
2020-09-19,207.51,4,NA
2020-09-20,138.05,-6,NA
2020-09-21,141.68,-12,NA
2020-09-22,131.26,-13,NA
2020-09-23,122.54,-12,1
2020-09-24,151.53,-12,1
2020-09-25,174.8,-12,1
2020-09-26,178.27,0,NA
2020-09-27,128.68,-7,NA
2020-09-28,123.42,-13,3
2020-09-29,148.47,-11,0
2020-09-30,123.67,-14,2
2020-10-01,134.33,-12,1
2020-10-02,171.08,-13,1
2020-10-03,176.41,3,NA
2020-10-04,127.46,-5,NA
2020-10-05,145.07,-16,2
2020-10-06,136.75,-13,0
2020-10-07,139.18,-15,1
2020-10-08,148.38,-13,3
2020-10-09,192.57,-14,2
2020-10-10,199.03,7,NA
2020-10-11,127.71,-7,NA
2020-10-12,130.45,-15,3
2020-10-13,142.08,-9,1
2020-10-14,122.46,-13,3
2020-10-15,139.82,-13,4
2020-10-16,165.75,-14,5
2020-10-17,153.23,-3,NA
2020-10-18,113,-3,NA
2020-10-19,134.81,-11,4
2020-10-20,130.05,-12,3
2020-10-21,177.95,-11,3
2020-10-22,137.64,-14,4
2020-10-23,162.52,-15,5
2020-10-24,164.94,1,NA
2020-10-25,117.37,-12,NA
2020-10-26,120.76,-13,5
2020-10-27,113.25,-11,4
2020-10-28,121.16,-13,3
2020-10-29,131.18,-13,5
2020-10-30,158.64,-16,5
2020-10-31,132.47,-4,NA
2020-11-01,91.52,-3,NA
2020-11-02,105.65,-14,4
2020-11-03,115.67,-10,3
