date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,151.4,-4,NA
2020-02-16,122.97,NA,NA
2020-02-17,122.39,-15,NA
2020-02-18,91.95,4,NA
2020-02-19,104.15,-1,NA
2020-02-20,115.18,2,NA
2020-02-21,154.51,2,NA
2020-02-22,181.18,-2,NA
2020-02-23,90.53,-7,NA
2020-02-24,105.78,2,NA
2020-02-25,97.27,4,NA
2020-02-26,103.63,-4,NA
2020-02-27,142.05,0,NA
2020-02-28,178,2,NA
2020-02-29,183.58,2,NA
2020-03-01,114.41,NA,NA
2020-03-02,119.53,-2,NA
2020-03-03,105.06,3,NA
2020-03-04,119.01,-1,NA
2020-03-05,121.22,-3,NA
2020-03-06,164.37,-2,NA
2020-03-07,163.34,-9,NA
2020-03-08,116.81,-7,NA
2020-03-09,118.43,0,NA
2020-03-10,110.06,-1,NA
2020-03-11,107.92,-3,NA
2020-03-12,111.55,-5,NA
2020-03-13,151.46,-20,NA
2020-03-14,117.78,-13,NA
2020-03-15,100.52,-9,NA
2020-03-16,95.91,-23,NA
2020-03-17,92.8,-22,NA
2020-03-18,95.91,-31,NA
2020-03-19,93.71,-35,NA
2020-03-20,94.09,-35,NA
2020-03-21,85.01,-23,NA
2020-03-22,58.21,-21,NA
2020-03-23,69.18,-30,NA
2020-03-24,70.21,-36,NA
2020-03-25,70.86,-36,NA
2020-03-26,78.2,-42,NA
2020-03-27,78.39,-41,NA
2020-03-28,69.82,-23,NA
2020-03-29,64.44,-28,NA
2020-03-30,51.98,-38,NA
2020-03-31,72.55,-36,NA
2020-04-01,70.34,-38,NA
2020-04-02,61.91,-41,NA
2020-04-03,64.57,-43,NA
2020-04-04,62.62,-32,NA
2020-04-05,52.04,-40,NA
2020-04-06,64.89,-38,NA
2020-04-07,72.29,-37,NA
2020-04-08,72.36,-43,NA
2020-04-09,77.22,-43,NA
2020-04-10,87.93,-46,NA
2020-04-11,77.74,-26,NA
2020-04-12,49.45,-28,NA
2020-04-13,63.4,-37,NA
2020-04-14,72.23,-35,NA
2020-04-15,77.94,-39,NA
2020-04-16,90.4,-38,NA
2020-04-17,96.04,-38,NA
2020-04-18,93.38,-29,NA
2020-04-19,66,-29,NA
2020-04-20,83,-33,NA
2020-04-21,79.1,-33,NA
