date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,214.15,4,NA
2020-02-16,131.74,-5,NA
2020-02-17,135.87,-26,NA
2020-02-18,120.86,-8,4
2020-02-19,113.01,0,2
2020-02-20,130.33,-3,3
2020-02-21,153.88,0,-2
2020-02-22,154.45,1,NA
2020-02-23,112.22,6,NA
2020-02-24,101.61,3,1
2020-02-25,107.17,5,0
2020-02-26,109.85,3,-2
2020-02-27,127.68,2,-2
2020-02-28,190.65,1,-3
2020-02-29,190.62,6,NA
2020-03-01,162.3,2,NA
2020-03-02,106.63,5,-1
2020-03-03,122.91,6,1
2020-03-04,103.88,3,3
2020-03-05,117.81,4,3
2020-03-06,178.25,6,-3
2020-03-07,169.67,5,NA
2020-03-08,124.94,7,NA
2020-03-09,114.82,6,-2
2020-03-10,115.14,3,-1
2020-03-11,115.44,4,0
2020-03-12,123.26,3,-1
2020-03-13,166.43,0,-4
2020-03-14,174.76,3,NA
2020-03-15,127.21,-2,NA
2020-03-16,113.95,-2,1
2020-03-17,109.55,-14,7
2020-03-18,106.53,-16,7
2020-03-19,116.4,-18,NA
2020-03-20,124.37,-22,NA
2020-03-21,122.69,-14,NA
2020-03-22,74.34,-27,NA
2020-03-23,85.4,-27,NA
2020-03-24,83.03,-34,NA
2020-03-25,86.37,-35,NA
2020-03-26,88.72,-34,NA
2020-03-27,92.38,-37,NA
2020-03-28,84.74,-20,NA
2020-03-29,61.13,-33,NA
2020-03-30,78.15,-36,NA
2020-03-31,76.6,-39,NA
2020-04-01,79.07,-40,NA
2020-04-02,78.33,-40,NA
2020-04-03,76.94,-42,NA
2020-04-04,56.58,-36,NA
2020-04-05,45.67,-36,NA
2020-04-06,63.81,-43,NA
2020-04-07,61.33,-45,NA
2020-04-08,62.42,-44,NA
2020-04-09,69.62,-45,NA
2020-04-10,80.83,-47,NA
2020-04-11,66.48,-33,NA
2020-04-12,43.17,-45,NA
2020-04-13,71.47,-44,NA
2020-04-14,79.07,-42,NA
2020-04-15,83.99,-40,NA
2020-04-16,79.47,-40,NA
2020-04-17,102.85,-41,NA
2020-04-18,85.5,-26,NA
2020-04-19,47.67,-37,NA
2020-04-20,77.56,-37,NA
2020-04-21,86.76,-38,NA
2020-04-22,82.29,-36,NA
2020-04-23,72.88,-41,NA
2020-04-24,105.59,-37,NA
2020-04-25,88.08,-24,NA
2020-04-26,70.78,-31,NA
2020-04-27,87.53,-33,NA
2020-04-28,96.64,-35,NA
2020-04-29,90.15,-38,NA
2020-04-30,104.92,-35,NA
2020-05-01,121.2,-33,NA
2020-05-02,108.04,-20,NA
2020-05-03,90,-27,NA
2020-05-04,103.04,-32,NA
2020-05-05,96.24,-32,NA
2020-05-06,107.05,-35,NA
2020-05-07,113.58,-31,NA
2020-05-08,129.09,-35,NA
2020-05-09,133.45,-13,NA
2020-05-10,97.18,-31,NA
2020-05-11,NA,-32,NA
2020-05-12,NA,-32,NA
2020-05-13,112.2,-32,NA
2020-05-14,116.06,-32,NA
2020-05-15,148.42,-33,NA
2020-05-16,135.23,-19,NA
2020-05-17,117.47,-21,NA
2020-05-18,120.81,-29,NA
2020-05-19,119.57,-29,NA
2020-05-20,128.9,-29,NA
2020-05-21,145.18,-31,NA
2020-05-22,180.18,-32,NA
2020-05-23,156.14,-18,NA
2020-05-24,122.81,-27,NA
2020-05-25,134.49,-66,NA
2020-05-26,129,-27,NA
2020-05-27,134.44,-29,NA
2020-05-28,144.33,-28,NA
2020-05-29,167.69,-29,NA
2020-05-30,172.56,-8,NA
2020-05-31,135.95,-20,NA
2020-06-01,140.87,-24,NA
2020-06-02,128.15,-27,NA
2020-06-03,137.04,-27,NA
2020-06-04,141.84,-25,NA
2020-06-05,169.35,-27,NA
2020-06-06,163.83,-12,NA
2020-06-07,135.03,-20,NA
2020-06-08,136.49,-25,NA
2020-06-09,137.26,-26,NA
2020-06-10,141.22,-27,NA
2020-06-11,148.47,-26,NA
2020-06-12,186.69,-27,NA
2020-06-13,195.74,-12,NA
2020-06-14,151.19,-19,NA
2020-06-15,147.8,-27,NA
2020-06-16,140.52,-28,NA
2020-06-17,142.87,-28,NA
