date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,121.8,-2,NA
2020-02-16,94.24,4,NA
2020-02-17,120.99,-21,6
2020-02-18,117.44,4,0
2020-02-19,118.03,3,-1
2020-02-20,115.5,6,0
2020-02-21,123.68,8,1
2020-02-22,134.77,4,NA
2020-02-23,112.59,1,NA
2020-02-24,109.1,7,1
2020-02-25,114.85,4,1
2020-02-26,103.98,5,-1
2020-02-27,116.95,0,2
2020-02-28,128.85,-8,4
2020-02-29,130.09,-1,NA
2020-03-01,106.4,4,NA
2020-03-02,104.41,5,1
2020-03-03,115.88,4,-1
2020-03-04,118.03,7,-2
2020-03-05,118.03,5,-1
2020-03-06,128.2,6,2
2020-03-07,123.04,0,NA
2020-03-08,106.4,9,NA
2020-03-09,111.73,4,0
2020-03-10,111.36,3,1
2020-03-11,112.92,5,-2
2020-03-12,112.06,6,-1
2020-03-13,108.13,0,3
2020-03-14,101.29,2,NA
2020-03-15,76.21,6,NA
2020-03-16,88.27,-9,5
2020-03-17,83.96,-14,7
2020-03-18,81.27,-15,7
2020-03-19,77.02,-19,10
2020-03-20,104.14,-22,NA
2020-03-21,92.03,-9,NA
2020-03-22,70.29,-15,NA
2020-03-23,81.32,-26,NA
2020-03-24,62.38,-36,NA
2020-03-25,73.3,-36,NA
2020-03-26,76.32,-37,NA
2020-03-27,80.79,-36,NA
2020-03-28,73.04,-20,NA
2020-03-29,65.12,-20,NA
2020-03-30,74.81,-39,NA
2020-03-31,83.37,-38,NA
2020-04-01,82.4,-38,NA
2020-04-02,77.56,-39,NA
2020-04-03,98.12,-39,NA
2020-04-04,91.07,-22,NA
2020-04-05,59.96,-27,NA
2020-04-06,77.56,-40,NA
2020-04-07,82.13,-40,NA
2020-04-08,89.83,-41,NA
2020-04-09,91.23,-40,NA
2020-04-10,87.41,-45,NA
2020-04-11,95.05,-25,NA
2020-04-12,51.78,-28,NA
2020-04-13,84.93,-38,NA
2020-04-14,84.66,-38,NA
2020-04-15,87.3,-37,NA
2020-04-16,89.94,-36,NA
2020-04-17,100.38,-38,NA
2020-04-18,110.82,-22,NA
2020-04-19,84.61,-22,NA
2020-04-20,104.25,-35,NA
2020-04-21,100.38,-37,NA
2020-04-22,97.85,-37,NA
2020-04-23,105.54,-36,NA
2020-04-24,114.53,-36,NA
2020-04-25,112.76,-25,NA
2020-04-26,72.98,-27,NA
2020-04-27,114.26,-32,NA
2020-04-28,109.04,-35,NA
2020-04-29,113.24,-35,NA
2020-04-30,108.72,-34,NA
2020-05-01,122.23,-34,NA
2020-05-02,140.26,-23,NA
2020-05-03,96.66,-20,NA
2020-05-04,118.78,-31,NA
2020-05-05,110.76,-34,NA
2020-05-06,122.5,-32,NA
2020-05-07,119.64,-32,NA
2020-05-08,131.11,-31,NA
2020-05-09,133.64,-19,NA
2020-05-10,98.92,-17,NA
2020-05-11,NA,-28,NA
2020-05-12,NA,-27,NA
2020-05-13,144.73,-25,6
2020-05-14,138.48,-29,NA
2020-05-15,155.06,-26,NA
2020-05-16,162.65,-11,NA
2020-05-17,125.13,-15,NA
2020-05-18,135.84,-24,NA
2020-05-19,139.29,-27,NA
2020-05-20,137.57,-27,NA
2020-05-21,147.09,-27,NA
2020-05-22,169.7,-26,NA
2020-05-23,178.96,-14,NA
2020-05-24,152.42,-18,NA
2020-05-25,134.34,-68,NA
2020-05-26,159.1,-24,5
2020-05-27,141.33,-22,5
2020-05-28,143.54,-21,5
2020-05-29,166.52,-22,NA
2020-05-30,179.01,0,NA
2020-05-31,142.84,1,NA
2020-06-01,141.28,-19,4
2020-06-02,143.92,-21,4
2020-06-03,151.24,-21,5
2020-06-04,146.5,-19,6
2020-06-05,177.88,-19,NA
2020-06-06,202.1,-5,NA
2020-06-07,150.65,1,NA
2020-06-08,159.63,-21,4
2020-06-09,159.36,-20,4
2020-06-10,161.25,-16,3
2020-06-11,177.66,-20,3
2020-06-12,192.09,-19,NA
2020-06-13,206.67,-2,NA
2020-06-14,155.06,-1,NA
2020-06-15,165.61,-22,4
2020-06-16,175.83,-20,4
2020-06-17,153.34,-18,3
2020-06-18,164.53,-20,5
2020-06-19,194.51,-21,NA
2020-06-20,200.32,-4,NA
2020-06-21,143.92,-3,NA
2020-06-22,163.62,-22,6
2020-06-23,150.81,-22,5
2020-06-24,167.01,-20,2
2020-06-25,188.32,-21,3
2020-06-26,216.68,-20,NA
2020-06-27,200.75,-2,NA
2020-06-28,173.3,6,NA
2020-06-29,170.78,-19,4
2020-06-30,179.71,-21,3
2020-07-01,165.12,-20,1
2020-07-02,206.4,-25,2
2020-07-03,204.2,-54,NA
2020-07-04,198.6,-28,NA
2020-07-05,168.84,-12,NA
2020-07-06,167.22,-23,5
2020-07-07,173.36,-24,5
2020-07-08,175.83,-20,2
2020-07-09,191.82,-24,4
2020-07-10,207.97,-23,NA
2020-07-11,213.62,-9,NA
2020-07-12,146.66,-8,NA
2020-07-13,168.95,-22,5
2020-07-14,177.93,-23,4
2020-07-15,173.25,-20,3
2020-07-16,180.79,-23,4
2020-07-17,193.11,-23,NA
2020-07-18,191.71,-9,NA
2020-07-19,158.29,-8,NA
2020-07-20,168.57,-24,4
2020-07-21,184.77,-30,4
2020-07-22,187.03,-24,3
2020-07-23,175.78,-25,4
2020-07-24,216.85,-25,NA
2020-07-25,217.06,-6,NA
2020-07-26,170.13,-1,NA
2020-07-27,162.65,-24,6
2020-07-28,163.08,-24,5
2020-07-29,178.2,-22,3
2020-07-30,175.57,-25,6
2020-07-31,194.83,-25,NA
2020-08-01,187.46,-12,NA
2020-08-02,139.29,-6,NA
2020-08-03,160.28,-25,4
2020-08-04,163.99,-25,5
2020-08-05,171.31,-20,3
2020-08-06,168.25,-25,3
2020-08-07,194.08,-25,NA
2020-08-08,215.88,-11,NA
2020-08-09,161.73,-6,NA
2020-08-10,172.71,-23,4
2020-08-11,179.28,-25,4
2020-08-12,161.84,-23,3
2020-08-13,171.15,-23,4
2020-08-14,196.29,-24,NA
2020-08-15,189.18,-10,NA
2020-08-16,158.07,-7,NA
2020-08-17,151.56,NA,4
2020-08-18,163.67,NA,4
2020-08-19,163.83,NA,2
2020-08-20,176.43,NA,2
2020-08-24,156.35,NA,4
2020-08-25,166.04,NA,4
2020-08-26,174.43,NA,2
2020-08-27,166.58,NA,4
2020-08-31,159.96,NA,4
2020-09-01,158.77,NA,2
2020-09-02,173.09,NA,3
2020-09-03,166.47,NA,3
2020-09-08,158.5,NA,1
2020-09-09,164.96,NA,0
2020-09-10,178.26,NA,1
2020-09-11,209.15,-21,NA
2020-09-12,220.34,-10,NA
2020-09-13,142.09,-8,NA
2020-09-14,160.82,-15,2
2020-09-15,156.94,-15,2
2020-09-16,169.97,-17,1
2020-09-17,179.66,-16,1
2020-09-18,193.92,-15,1
2020-09-19,202.15,-4,NA
2020-09-20,150.11,-2,NA
2020-09-21,153.28,-17,2
2020-09-22,156.57,-17,2
2020-09-23,158.88,-14,2
2020-09-24,168.89,-14,1
2020-09-25,202.05,-17,3
2020-09-26,212.92,-4,NA
2020-09-27,135.68,0,NA
2020-09-28,142.47,-16,4
2020-09-29,146.34,-13,3
2020-09-30,181.22,-17,2
2020-10-01,180.19,-16,0
2020-10-02,212,-16,1
2020-10-03,238.54,-7,NA
2020-10-04,170.94,-2,NA
2020-10-05,161.14,-17,2
2020-10-06,152.1,-16,1
2020-10-07,164.91,-15,1
2020-10-08,170.83,-16,2
2020-10-09,238.54,-16,3
2020-10-10,239.83,-6,NA
2020-10-11,166.25,0,NA
2020-10-12,163.94,-19,5
2020-10-13,165.29,-13,2
2020-10-14,191.17,-14,2
2020-10-15,187.62,-13,4
2020-10-16,217.49,-12,3
2020-10-17,238.05,-8,NA
2020-10-18,156.19,-8,NA
2020-10-19,148.82,-16,6
2020-10-20,164.48,-15,5
2020-10-21,163.46,-14,3
2020-10-22,180.68,-13,2
2020-10-23,219.48,-12,3
2020-10-24,217.12,-8,NA
2020-10-25,155.54,-2,NA
2020-10-26,140.15,-11,4
2020-10-27,155.87,-11,4
2020-10-28,162.11,-11,2
2020-10-29,154.84,-14,5
2020-10-30,188.97,-13,3
2020-10-31,200.16,-3,NA
2020-11-01,151.51,-7,NA
2020-11-02,151.56,-11,5
2020-11-03,147.52,-17,3
