date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,120.52,-1,NA
2020-02-16,97.47,-1,NA
2020-02-17,104.13,-21,5
2020-02-18,100.95,2,0
2020-02-19,107.09,2,-1
2020-02-20,127.52,1,0
2020-02-21,125.75,2,0
2020-02-22,133,5,NA
2020-02-23,96.91,-1,NA
2020-02-24,103.83,3,0
2020-02-25,103.66,1,0
2020-02-26,103.52,2,-1
2020-02-27,105.45,-9,4
2020-02-28,132.17,-6,3
2020-02-29,123.86,8,NA
2020-03-01,99.04,1,NA
2020-03-02,99.08,3,0
2020-03-03,105.45,2,-1
2020-03-04,108.87,3,-2
2020-03-05,112.1,3,-2
2020-03-06,131.23,3,0
2020-03-07,148.31,9,NA
2020-03-08,110.95,-3,NA
2020-03-09,105.12,3,-1
2020-03-10,101.02,1,0
2020-03-11,101.3,2,-1
2020-03-12,100.43,0,-1
2020-03-13,108.44,-5,3
2020-03-14,92.69,3,NA
2020-03-15,72.08,-8,NA
2020-03-16,87.54,-15,6
2020-03-17,84.67,-21,8
2020-03-18,78.99,-23,10
2020-03-19,77.49,-28,12
2020-03-20,99.38,-31,14
2020-03-21,67.22,-16,NA
2020-03-22,54.48,-28,NA
2020-03-23,68.8,-32,13
2020-03-24,63.39,-41,18
2020-03-25,65.7,-41,16
2020-03-26,74.53,-43,17
2020-03-27,72.22,-41,20
2020-03-28,63.17,-23,NA
2020-03-29,59.11,-28,NA
2020-03-30,65.78,-43,17
2020-03-31,69.38,-44,18
2020-04-01,70.28,-43,17
2020-04-02,75.88,-45,17
2020-04-03,87.9,-43,17
2020-04-04,80.69,-28,NA
2020-04-05,53.15,-35,NA
2020-04-06,79.01,-43,16
2020-04-07,73.57,-44,17
2020-04-08,79.29,-43,15
2020-04-09,71.41,-46,18
2020-04-10,83.25,-48,20
2020-04-11,80.42,-25,NA
2020-04-12,46.93,-40,NA
2020-04-13,68.49,-44,18
2020-04-14,74.98,-43,17
2020-04-15,81.2,-42,15
2020-04-16,89.78,-44,17
2020-04-17,87.28,-43,19
2020-04-18,84.92,-25,NA
2020-04-19,68.07,-34,NA
2020-04-20,89.5,-40,14
2020-04-21,82.22,-42,16
2020-04-22,95.24,-41,14
2020-04-23,86.6,-43,18
2020-04-24,107.73,-41,15
2020-04-25,96.93,-24,NA
2020-04-26,62.61,-32,NA
2020-04-27,99.98,-40,14
2020-04-28,92.12,-40,8
2020-04-29,90.55,-41,15
2020-04-30,95,-41,17
2020-05-01,108.19,-41,15
2020-05-02,134.05,-17,NA
2020-05-03,80.33,-32,NA
2020-05-04,109.09,-35,11
2020-05-05,95.25,-38,14
2020-05-06,104.33,-36,12
2020-05-07,117.7,-38,13
2020-05-08,108.94,-37,16
2020-05-09,116.72,-18,NA
2020-05-10,79.68,-24,NA
2020-05-11,NA,-34,13
2020-05-12,NA,-34,11
2020-05-13,121.44,-33,10
2020-05-14,111.98,-35,10
2020-05-15,132.9,-35,13
2020-05-16,133.71,-12,NA
2020-05-17,112.43,-17,NA
2020-05-18,116.37,-30,12
2020-05-19,133.21,-34,13
2020-05-20,143.41,-33,12
2020-05-21,128.7,-34,12
2020-05-22,147.47,-34,10
2020-05-23,146.51,-6,NA
2020-05-24,121.8,-17,NA
2020-05-25,108.86,-73,NA
2020-05-26,145.21,-30,8
2020-05-27,144.55,-31,8
2020-05-28,142.44,-30,9
2020-05-29,159.71,-28,10
2020-05-30,177.49,0,NA
2020-05-31,134.07,-8,NA
2020-06-01,147.32,-29,7
2020-06-02,149.75,-28,7
2020-06-03,143.87,-29,8
2020-06-04,148.85,-29,9
2020-06-05,175.94,-27,8
2020-06-06,185.85,-1,NA
2020-06-07,152.71,-8,NA
2020-06-08,155.23,-27,7
2020-06-09,150.95,-28,7
2020-06-10,148.74,-26,7
2020-06-11,161.87,-28,6
2020-06-12,188.81,-30,5
2020-06-13,168.45,-1,NA
2020-06-14,136.84,-11,NA
2020-06-15,151.05,-26,7
2020-06-16,153.99,-27,6
2020-06-17,163.87,-27,6
2020-06-18,154.05,-30,7
2020-06-19,181.52,-28,5
2020-06-20,200.34,6,NA
2020-06-21,142.38,-7,NA
2020-06-22,145.75,-30,7
2020-06-23,148.26,-31,8
2020-06-24,160.35,-27,5
2020-06-25,170.73,-30,6
2020-06-26,188.74,-30,5
2020-06-27,178.96,2,NA
2020-06-28,149.72,-6,NA
2020-06-29,147.27,-29,7
2020-06-30,157.56,-28,6
2020-07-01,162.38,-29,5
2020-07-02,169.31,-34,5
2020-07-03,182.84,-56,10
2020-07-04,154.98,-21,NA
2020-07-05,143.58,-11,NA
2020-07-06,155.35,-31,8
2020-07-07,148.31,-30,8
2020-07-08,157.9,-29,6
2020-07-09,167.08,-29,7
2020-07-10,194.91,-29,8
2020-07-11,189.54,0,NA
2020-07-12,138.12,-11,NA
2020-07-13,152.58,-28,7
2020-07-14,152.47,-28,7
2020-07-15,156.25,-27,6
2020-07-16,161.19,-28,7
2020-07-17,191.1,-30,6
2020-07-18,183.94,3,NA
2020-07-19,145.97,-11,NA
2020-07-20,152.99,-29,7
2020-07-21,152.03,-28,7
2020-07-22,145.56,-27,7
2020-07-23,158.89,-28,8
2020-07-24,187.78,-31,6
2020-07-25,190.43,-2,NA
2020-07-26,150.31,-12,NA
2020-07-27,159.96,-29,7
2020-07-28,145.41,-27,6
2020-07-29,159.53,-28,6
2020-07-30,155.86,-30,7
2020-07-31,178.72,-30,6
2020-08-01,173.5,-5,NA
2020-08-02,130.03,-15,NA
2020-08-03,144.68,-29,7
2020-08-04,149.33,-28,7
2020-08-05,156.07,-28,5
2020-08-06,166.24,-29,6
2020-08-07,185.74,-30,6
2020-08-08,190.71,3,NA
2020-08-09,155.27,-7,NA
2020-08-10,152.36,-30,7
2020-08-11,146.85,-29,6
2020-08-12,155.07,-29,6
2020-08-13,165.59,-30,6
2020-08-14,182.36,-28,6
2020-08-15,186.26,-6,NA
2020-08-16,148.7,-8,NA
2020-08-17,156.33,-29,5
2020-08-18,159.17,-26,5
2020-08-19,161.05,-26,5
2020-08-20,160.66,-28,5
2020-08-21,189.25,-29,5
2020-08-24,143.67,-27,6
2020-08-25,157.38,-25,5
2020-08-26,142.32,-23,5
2020-08-27,155.97,-26,5
2020-08-28,172.63,-27,6
2020-08-31,137.31,-26,5
2020-09-01,144.03,-25,4
2020-09-02,144.43,-25,5
2020-09-03,151.82,-26,4
2020-09-04,192.07,-29,3
2020-09-07,133.39,-72,NA
2020-09-08,146.39,-25,4
2020-09-09,146.99,-25,3
2020-09-10,162.1,-26,3
2020-09-11,177.94,-23,2
2020-09-12,194.91,1,NA
2020-09-13,137.54,-7,NA
2020-09-14,145.81,-23,4
2020-09-15,143.47,-21,3
2020-09-16,149.38,-22,4
2020-09-17,155.13,-24,4
2020-09-18,192.32,-24,3
2020-09-19,238.12,3,NA
2020-09-20,169.05,-4,NA
2020-09-21,148.25,-23,5
2020-09-22,136.35,-21,4
2020-09-23,147.07,-22,4
2020-09-24,145.18,-22,5
2020-09-25,181.1,-22,4
2020-09-26,186.72,4,-1
2020-09-27,142.57,-11,-1
2020-09-28,131.93,-22,7
2020-09-29,139.93,-21,5
2020-09-30,150.95,-22,4
2020-10-01,150.9,-22,4
2020-10-02,185.54,-21,3
2020-10-03,206.24,-3,-2
2020-10-04,138.72,-11,-1
2020-10-05,142.65,-21,4
2020-10-06,157.24,-21,3
2020-10-07,146.03,-21,2
2020-10-08,149.84,-21,4
2020-10-09,182.25,-23,4
2020-10-10,199.27,-1,-1
2020-10-11,125.95,-6,0
