date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,107.46,NA,NA
2020-02-16,92.92,NA,NA
2020-02-17,102.17,-23,NA
2020-02-18,91.97,-3,NA
2020-02-19,101.7,-2,NA
2020-02-20,129.37,0,NA
2020-02-21,154.39,1,NA
2020-02-22,115.11,NA,NA
2020-02-23,90.56,NA,NA
2020-02-24,96.88,3,NA
2020-02-25,103.49,-2,NA
2020-02-26,103.4,1,NA
2020-02-27,114.07,-2,NA
2020-02-28,161.19,5,NA
2020-02-29,149.39,NA,NA
2020-03-02,97.17,4,NA
2020-03-03,97.07,2,NA
2020-03-04,99.53,-1,NA
2020-03-05,112.75,5,NA
2020-03-06,153.64,6,NA
2020-03-07,155.43,NA,NA
2020-03-09,110.48,3,NA
2020-03-10,125.4,-2,NA
2020-03-11,121.81,-2,NA
2020-03-12,141.74,0,NA
2020-03-13,163.36,-1,NA
2020-03-14,137.11,NA,NA
2020-03-15,88.2,NA,NA
2020-03-16,100,-13,NA
2020-03-17,85.74,-20,NA
2020-03-18,110.29,-20,NA
2020-03-19,100,-18,NA
2020-03-20,95,-23,NA
2020-03-21,85.36,NA,NA
2020-03-22,59.11,NA,NA
2020-03-23,73.09,-26,NA
2020-03-24,76.68,-32,NA
2020-03-25,73.56,-30,NA
2020-03-26,90.08,-34,NA
2020-03-27,95.56,-36,NA
2020-03-28,76.49,NA,NA
2020-03-29,65.16,NA,NA
2020-03-30,68.08,-32,NA
2020-03-31,68.18,-34,NA
2020-04-01,89.05,-33,NA
2020-04-02,78.47,-31,NA
2020-04-03,94.15,-35,NA
2020-04-04,70.44,NA,NA
2020-04-05,51.65,NA,NA
2020-04-06,72.05,-33,NA
2020-04-07,67.89,-36,NA
2020-04-08,63.64,-30,NA
2020-04-09,75.92,-32,NA
2020-04-10,89.99,-36,NA
2020-04-13,82.72,-31,NA
2020-04-14,90.75,-33,NA
2020-04-15,79.51,-31,NA
2020-04-16,90.84,-31,NA
2020-04-17,99.91,-31,NA
2020-04-20,95.94,-29,NA
2020-04-21,84.32,-34,NA
2020-04-22,89.33,-31,NA
2020-04-23,84.89,-33,NA
2020-04-24,104.91,-29,NA
2020-04-27,89.24,-34,NA
2020-04-28,105.76,-33,NA
2020-04-29,80.08,-28,NA
2020-04-30,88.2,-27,NA
2020-05-01,110.67,-24,NA
2020-05-04,95.56,-20,NA
2020-05-05,108.59,-25,NA
2020-05-06,89.9,-25,NA
2020-05-07,117.66,-23,NA
2020-05-08,124.55,-26,NA
2020-05-11,NA,-25,NA
2020-05-12,NA,-27,NA
2020-05-13,98.96,-24,NA
2020-05-14,133.62,-23,NA
2020-05-15,140.32,-23,NA
2020-05-18,107.55,-20,NA
2020-05-19,107.65,-27,NA
2020-05-20,132.2,-22,NA
2020-05-21,138.05,-27,NA
2020-05-22,160.53,-24,NA
2020-05-25,112.46,-62,NA
2020-05-26,113.98,-24,NA
2020-05-27,126.25,-24,NA
2020-05-28,138.81,-20,NA
2020-05-29,142.78,-20,NA
2020-06-01,124.08,-18,NA
2020-06-02,137.87,-25,NA
2020-06-03,139.57,-22,NA
2020-06-04,139.85,-22,NA
2020-06-05,160.53,-19,NA
2020-06-08,121.53,-18,NA
2020-06-09,147.5,-21,NA
2020-06-10,137.11,-22,NA
2020-06-11,145.14,-20,NA
2020-06-12,181.49,-19,NA
2020-06-15,122,-20,NA
2020-06-16,122.38,-21,NA
2020-06-17,129.27,-21,NA
2020-06-18,150.9,-19,NA
2020-06-19,183.76,-18,NA
2020-06-22,141.08,-19,NA
2020-06-23,132.58,-26,NA
2020-06-24,149.2,-23,NA
2020-06-25,141.27,-22,NA
2020-06-26,188.2,-20,NA
2020-06-29,135.88,-20,NA
2020-06-30,152.5,-24,NA
2020-07-01,134.75,-21,NA
2020-07-02,154.39,-29,NA
2020-07-03,184.8,-48,NA
2020-07-04,116.24,-27,NA
2020-07-06,131.26,-29,NA
2020-07-07,136.26,-28,NA
2020-07-08,130.41,-26,NA
2020-07-09,164.78,-24,NA
2020-07-10,185.36,-22,NA
2020-07-13,140.89,-24,NA
2020-07-14,148.16,-23,NA
2020-07-15,125.4,-26,NA
2020-07-16,151.56,-23,NA
2020-07-17,181.87,-19,NA
2020-07-20,131.92,-22,NA
2020-07-21,126.63,-26,NA
2020-07-22,138.43,-20,NA
2020-07-23,149.95,-22,NA
2020-07-24,175.92,-24,NA
2020-07-27,130.41,-20,NA
2020-07-28,126.35,-22,NA
2020-07-29,127.48,-20,NA
2020-07-30,142.68,-22,NA
2020-07-31,179.79,-20,NA
2020-08-03,134.47,-20,NA
2020-08-04,150.05,-25,NA
2020-08-05,133.33,-20,NA
2020-08-06,134.94,-21,NA
2020-08-07,170.92,-16,NA
2020-08-10,127.67,-19,NA
2020-08-11,147.88,-26,NA
2020-08-12,144.76,-25,NA
2020-08-13,158.17,-22,NA
2020-08-14,190.93,-21,NA
2020-09-11,186.31,-17,NA
2020-09-14,134.94,-20,NA
2020-09-15,133.9,-22,NA
2020-09-16,123.51,-18,NA
2020-09-17,150.99,-12,NA
2020-09-18,201.51,-12,NA
2020-09-21,125.78,-18,NA
2020-09-22,141.55,-18,NA
2020-09-23,125.97,-17,NA
2020-09-24,127.86,-19,NA
2020-09-25,188.48,-15,NA
2020-09-28,117.85,-18,NA
2020-09-29,139.38,-19,NA
2020-09-30,133.81,-21,NA
2020-10-01,144.38,-16,NA
2020-10-02,174.5,-13,NA
2020-10-05,131.16,-14,NA
2020-10-06,120.77,-15,NA
2020-10-07,141.08,-13,NA
2020-10-08,157.13,-10,NA
2020-10-09,160.91,-12,NA
2020-10-12,133.33,-22,NA
2020-10-13,116.81,-19,NA
2020-10-14,128.33,-16,NA
2020-10-15,141.64,-16,NA
2020-10-16,188.39,-15,NA
2020-10-19,129.84,-13,NA
2020-10-20,118.98,-20,NA
2020-10-21,118.04,-16,NA
2020-10-22,133.52,-17,NA
2020-10-23,167.42,-15,NA
2020-10-26,118.79,-12,NA
2020-10-27,114.83,-18,NA
2020-10-28,119.74,-20,NA
2020-10-29,114.64,-16,NA
2020-10-30,173.18,-16,NA
2020-11-02,102.36,-14,NA
2020-11-03,98.96,-20,NA
