date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,125.22,1,-1
2020-02-16,97.88,0,-1
2020-02-17,112.63,-16,3
2020-02-18,115.19,1,0
2020-02-19,117.06,2,0
2020-02-20,123.13,1,-1
2020-02-21,135.13,0,1
2020-02-22,125.3,2,0
2020-02-23,95.57,2,-1
2020-02-24,109.92,3,0
2020-02-25,114.68,2,0
2020-02-26,115.46,1,1
2020-02-27,123.11,1,-1
2020-02-28,132.91,1,0
2020-02-29,130.2,3,-1
2020-03-01,97.13,2,-1
2020-03-02,109.94,3,0
2020-03-03,115.27,2,0
2020-03-04,121.16,2,-1
2020-03-05,123.29,1,0
2020-03-06,133.33,1,1
2020-03-07,126.99,2,0
2020-03-08,91.52,0,0
2020-03-09,112.41,1,0
2020-03-10,117.51,0,0
2020-03-11,118.16,0,0
2020-03-12,112.48,-1,0
2020-03-13,119.1,-3,2
2020-03-14,110.11,-1,2
2020-03-15,86.63,-5,2
2020-03-16,95.55,-17,5
2020-03-17,87.9,-22,7
2020-03-18,78.91,-26,10
2020-03-19,75.95,-29,11
2020-03-20,75.67,-31,14
2020-03-21,57.36,-25,11
2020-03-22,43.4,-31,9
2020-03-23,54.03,-34,13
2020-03-24,54.62,-38,15
2020-03-25,53.82,-39,15
2020-03-26,51.11,-42,17
2020-03-27,54.94,-43,20
2020-03-28,45.3,-36,14
2020-03-29,35.78,-39,12
2020-03-30,48.08,-44,16
2020-03-31,49.36,-46,18
2020-04-01,49.78,-46,18
2020-04-02,49.88,-47,18
2020-04-03,50.77,-48,21
2020-04-04,42.48,-40,15
2020-04-05,31.18,-44,14
2020-04-06,45.11,-47,18
2020-04-07,47.14,-49,19
2020-04-08,48.71,-49,19
2020-04-09,49.39,-50,19
2020-04-10,54.66,-52,22
2020-04-11,47.25,-39,15
2020-04-12,31.92,-49,13
2020-04-13,48.33,-47,18
2020-04-14,50.34,-48,19
2020-04-15,52.7,-47,19
2020-04-16,50.74,-48,20
2020-04-17,59.87,-47,21
2020-04-18,50.45,-38,15
2020-04-19,43.54,-39,11
2020-04-20,51.14,-47,18
2020-04-21,56.38,-47,18
2020-04-22,56.82,-47,18
2020-04-23,58.67,-47,18
2020-04-24,53.3,-50,24
2020-04-25,58.93,-34,13
2020-04-26,47.27,-38,11
2020-04-27,59.21,-44,16
2020-04-28,60.24,-46,12
2020-04-29,62.26,-46,17
2020-04-30,62.17,-47,18
2020-05-01,73.4,-44,18
2020-05-02,68.33,-33,11
2020-05-03,55.79,-34,9
2020-05-04,70.58,-41,14
2020-05-05,75.81,-41,15
2020-05-06,75.18,-41,15
2020-05-07,77.52,-42,15
2020-05-08,91.51,-40,16
2020-05-09,94.38,-27,9
2020-05-10,60.02,-28,7
2020-05-11,NA,-38,13
2020-05-12,NA,-38,13
2020-05-13,86.03,-38,14
2020-05-14,88.55,-39,13
2020-05-15,99.98,-38,15
2020-05-16,105.35,-23,8
2020-05-17,90.32,-24,7
2020-05-18,81.27,-38,14
2020-05-19,93.8,-37,13
2020-05-20,95.79,-37,12
2020-05-21,100.55,-37,12
2020-05-22,116.06,-36,13
2020-05-23,118.5,-19,7
2020-05-24,95.33,-22,6
2020-05-25,81.4,-69,19
2020-05-26,96.88,-35,12
2020-05-27,100.92,-34,12
2020-05-28,101.88,-34,12
2020-05-29,112.99,-34,13
2020-05-30,116.32,-13,6
2020-05-31,91.45,-15,5
2020-06-01,97.98,-33,10
2020-06-02,99.54,-34,11
2020-06-03,97.17,-34,12
2020-06-04,97.9,-34,12
2020-06-05,112.32,-33,12
2020-06-06,95.51,-20,11
2020-06-07,80.79,-18,7
2020-06-08,100.75,-32,10
2020-06-09,103.69,-33,10
2020-06-10,105.43,-33,10
2020-06-11,108.16,-33,10
2020-06-12,127.53,-33,10
2020-06-13,120.82,-13,6
2020-06-14,98.03,-14,4
2020-06-15,108.32,-32,9
2020-06-16,109.32,-33,10
2020-06-17,111.49,-33,10
2020-06-18,112.87,-33,10
2020-06-19,126.29,-34,10
2020-06-20,127.93,-13,5
2020-06-21,94.02,-14,3
2020-06-22,108.42,-35,9
2020-06-23,109.95,-36,11
2020-06-24,111.74,-34,10
2020-06-25,116.43,-35,11
2020-06-26,123.24,-35,12
2020-06-27,117.39,-16,7
2020-06-28,91.51,-15,6
2020-06-29,105.31,-34,10
2020-06-30,106.97,-36,11
2020-07-01,108.95,-36,10
2020-07-02,116.51,-38,10
2020-07-03,119.85,-54,15
2020-07-04,99.37,-29,8
2020-07-05,86.61,-22,6
2020-07-06,102.52,-39,11
2020-07-07,107.15,-38,11
2020-07-08,107.57,-37,11
2020-07-09,110.24,-37,11
2020-07-10,121.98,-37,12
2020-07-11,113.4,-16,7
2020-07-12,91.55,-17,6
2020-07-13,103.78,-36,10
2020-07-14,104.25,-37,11
2020-07-15,105,-36,11
2020-07-16,107.9,-37,11
2020-07-17,118.98,-37,12
2020-07-18,114.22,-16,7
2020-07-19,91.12,-19,5
2020-07-20,102.93,-37,10
2020-07-21,102.98,-38,11
2020-07-22,103.58,-36,11
2020-07-23,103.71,-37,12
2020-07-24,121.46,-36,12
2020-07-25,116.27,-16,6
