date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.85,-1,0
2020-02-16,117.77,1,-2
2020-02-17,139.8,-43,7
2020-02-18,111.61,-2,0
2020-02-19,113.68,-2,0
2020-02-20,117.41,-2,0
2020-02-21,138.24,-2,1
2020-02-22,146.97,1,-1
2020-02-23,125.57,3,-1
2020-02-24,108.2,3,-1
2020-02-25,109.08,2,-1
2020-02-26,110.3,2,-1
2020-02-27,114.07,2,-1
2020-02-28,135.77,3,0
2020-02-29,142.6,1,-1
2020-03-01,113.65,3,0
2020-03-02,107.73,2,0
2020-03-03,112.19,2,-1
2020-03-04,118.16,1,0
2020-03-05,113.3,1,-1
2020-03-06,130.33,1,1
2020-03-07,127.16,-1,2
2020-03-08,103.34,0,1
2020-03-09,101.53,2,0
2020-03-10,103.54,1,0
2020-03-11,102.27,-1,1
2020-03-12,101.71,-2,1
2020-03-13,115.34,-5,3
2020-03-14,98.75,-7,7
2020-03-15,77.09,-13,6
2020-03-16,82.21,-25,10
2020-03-17,79.63,-30,12
2020-03-18,69.07,-38,16
2020-03-19,70.86,-40,15
2020-03-20,63.9,-46,20
2020-03-21,56,-34,13
2020-03-22,45.83,-40,11
2020-03-23,52.99,-50,19
2020-03-24,52.17,-52,21
2020-03-25,54.14,-53,21
2020-03-26,58,-53,21
2020-03-27,63.41,-51,22
2020-03-28,51.14,-41,16
2020-03-29,43.27,-44,13
2020-03-30,56.15,-52,19
2020-03-31,59.37,-55,20
2020-04-01,58.92,-53,20
2020-04-02,59.83,-53,21
2020-04-03,67.63,-53,21
2020-04-04,49.54,-43,17
2020-04-05,37.46,-48,15
2020-04-06,53.49,-55,20
2020-04-07,59.31,-55,21
2020-04-08,59.3,-56,22
2020-04-09,61.36,-56,22
2020-04-10,69.82,-55,22
2020-04-11,63.13,-41,14
2020-04-12,38.82,-50,12
2020-04-13,61.02,-53,19
2020-04-14,62.88,-53,20
2020-04-15,65.53,-52,20
2020-04-16,67.03,-52,21
2020-04-17,74.01,-51,22
2020-04-18,69.65,-37,14
2020-04-19,57.14,-39,11
2020-04-20,66.76,-51,19
2020-04-21,68.89,-51,19
2020-04-22,70.7,-52,20
2020-04-23,74.29,-51,20
2020-04-24,81.97,-50,21
2020-04-25,76.83,-36,13
2020-04-26,64.15,-39,10
2020-04-27,74.35,-50,18
2020-04-28,76.57,-51,11
2020-04-29,76.33,-51,19
2020-04-30,80.54,-50,19
2020-05-01,92.04,-47,19
2020-05-02,83.83,-33,12
2020-05-03,70.98,-33,9
2020-05-04,80.2,-47,16
2020-05-05,83.44,-47,17
2020-05-06,84.72,-48,18
2020-05-07,86.6,-48,18
2020-05-08,101.34,-47,18
2020-05-09,94.87,-31,10
2020-05-10,72.39,-30,7
2020-05-11,NA,-46,16
2020-05-12,NA,-47,18
2020-05-13,86.89,-47,18
2020-05-14,90.86,-47,17
2020-05-15,112.76,-45,17
2020-05-16,106.93,-29,9
2020-05-17,73.35,-32,10
2020-05-18,89.23,-46,17
2020-05-19,100.48,-45,16
2020-05-20,104.82,-44,16
2020-05-21,112.3,-45,15
2020-05-22,132.41,-44,15
2020-05-23,124.57,-23,7
2020-05-24,108.16,-24,5
2020-05-25,106.2,-73,18
2020-05-26,115.58,-42,15
2020-05-27,119.78,-42,15
2020-05-28,120.87,-41,15
2020-05-29,132.01,-40,15
2020-05-30,121.46,-15,9
2020-05-31,106.54,-16,5
2020-06-01,114.26,-40,13
2020-06-02,114.91,-41,14
2020-06-03,118.96,-40,14
2020-06-04,125.19,-41,13
2020-06-05,141.16,-39,13
2020-06-06,140.29,-15,6
2020-06-07,119.29,-17,5
2020-06-08,126.4,-39,12
2020-06-09,128.32,-39,12
2020-06-10,134.14,-40,13
2020-06-11,134.15,-40,12
2020-06-12,150.43,-39,13
2020-06-13,150.64,-11,6
2020-06-14,137.66,-16,3
2020-06-15,133.98,-39,11
2020-06-16,135.23,-40,12
2020-06-17,139.09,-40,12
2020-06-18,143.52,-40,12
2020-06-19,166.77,-40,11
2020-06-20,163.9,-11,4
2020-06-21,129.06,-12,2
2020-06-22,140.22,-41,11
2020-06-23,140.95,-41,12
2020-06-24,144.54,-40,11
2020-06-25,161.76,-40,12
2020-06-26,170.12,-40,12
2020-06-27,168.24,-12,5
2020-06-28,144.73,-12,3
2020-06-29,145.79,-39,10
2020-06-30,146.7,-39,11
2020-07-01,158.14,-40,11
2020-07-02,171.52,-42,11
2020-07-03,175.58,-58,15
2020-07-04,121.68,-28,6
2020-07-05,148.63,-19,4
2020-07-06,149.77,-43,11
2020-07-07,147.93,-41,12
2020-07-08,149.39,-40,12
2020-07-09,153.37,-41,12
2020-07-10,171.9,-40,12
2020-07-11,165.84,-14,6
2020-07-12,145.72,-17,4
2020-07-13,144.81,-40,11
2020-07-14,143.57,-41,12
2020-07-15,148.27,-41,12
2020-07-16,152.45,-41,12
2020-07-17,165.8,-41,13
2020-07-18,162.56,-16,6
2020-07-19,144,-19,4
2020-07-20,146.45,-41,11
2020-07-21,147.39,-42,12
2020-07-22,148.98,-41,12
2020-07-23,154.42,-42,12
2020-07-24,172.4,-41,12
2020-07-25,169,-17,6
2020-07-26,149.69,-19,3
2020-07-27,146.66,-42,11
2020-07-28,145.79,-41,12
2020-07-29,150.88,-42,12
2020-07-30,153.42,-42,12
2020-07-31,178.19,-41,12
2020-08-01,170.97,-17,5
2020-08-02,149.43,-19,3
2020-08-03,146.73,-41,10
2020-08-04,150.05,-42,11
2020-08-05,153.27,-42,11
2020-08-06,157.74,-42,11
2020-08-07,177.94,-40,11
2020-08-08,171.4,-17,5
2020-08-09,151.27,-19,3
2020-08-10,149.24,-41,10
2020-08-11,148.35,-41,11
2020-08-12,147.79,-42,12
2020-08-13,151.22,-42,12
2020-08-14,172.8,-41,13
2020-08-15,166.94,-18,6
2020-08-16,144.9,-18,4
2020-08-17,137.66,-42,12
2020-08-18,140.43,-41,13
2020-08-19,145.22,-42,13
2020-08-20,143.1,-42,14
2020-08-21,163.24,-40,14
2020-08-22,156.14,-18,7
2020-08-23,130.66,-19,5
2020-08-24,129.98,-40,12
2020-08-25,128.97,-40,13
2020-08-26,134.42,-40,13
2020-08-27,137.29,-39,12
2020-08-28,163.53,-38,12
2020-08-29,163.17,-14,6
2020-08-30,139.63,-17,4
2020-08-31,130.39,-39,11
2020-09-01,134.42,-39,11
2020-09-02,136.86,-41,12
2020-09-03,144.42,-40,11
2020-09-04,179.06,-39,12
2020-09-05,171.27,-16,5
2020-09-06,150.09,-19,3
2020-09-07,148.92,-72,17
2020-09-08,133.42,-41,12
2020-09-09,134.76,-42,12
2020-09-10,139.06,-39,12
2020-09-11,157.9,-37,13
2020-09-12,155.58,-14,6
2020-09-13,125.67,-16,5
2020-09-14,129.17,-36,11
2020-09-15,129.64,-37,12
2020-09-16,133.55,-39,12
2020-09-17,138.42,-37,11
2020-09-18,171.78,-36,11
2020-09-19,166.34,-11,4
2020-09-20,131.44,-15,3
2020-09-21,127.8,-37,10
2020-09-22,130.02,-37,11
2020-09-23,130.96,-38,12
2020-09-24,138.43,-37,11
2020-09-25,165.02,-35,11
2020-09-26,162.48,-10,4
2020-09-27,136.27,-13,3
2020-09-28,128.33,-36,10
2020-09-29,125.06,-36,11
2020-09-30,133.97,-39,11
2020-10-01,133.44,-36,11
2020-10-02,160.02,-35,11
2020-10-03,161.81,-13,5
2020-10-04,129.65,-14,3
2020-10-05,132.68,-37,9
2020-10-06,127.54,-37,10
2020-10-07,127.53,-38,11
2020-10-08,134.18,-36,11
2020-10-09,159.59,-34,11
2020-10-10,158.19,-10,4
2020-10-11,128.62,-13,3
2020-10-12,128.5,-38,10
2020-10-13,125.96,-35,10
2020-10-14,127.05,-37,11
2020-10-15,134.67,-35,10
2020-10-16,161.65,-33,10
2020-10-17,162.78,-13,4
2020-10-18,137.67,-13,3
2020-10-19,123.33,-35,10
2020-10-20,124.52,-35,10
2020-10-21,126.85,-36,11
2020-10-22,152.35,-35,10
2020-10-23,157.8,-33,10
2020-10-24,157.15,-12,4
2020-10-25,122.74,-15,2
2020-10-26,120.6,-35,9
2020-10-27,124.16,-35,10
2020-10-28,123.41,-36,11
2020-10-29,129.67,-34,10
2020-10-30,152.73,-31,10
2020-10-31,136.51,-10,4
2020-11-01,108.8,-15,4
2020-11-02,115.38,-33,9
2020-11-03,115.41,-35,11
