date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,130.97,8,-1
2020-02-16,103.14,3,-1
2020-02-17,109.83,-19,3
2020-02-18,99.73,2,0
2020-02-19,93.92,3,-1
2020-02-20,102.74,1,1
2020-02-21,121.27,21,-4
2020-02-22,122.57,11,-2
2020-02-23,95.23,5,-1
2020-02-24,92.99,0,0
2020-02-25,93.1,1,1
2020-02-26,96.61,3,-1
2020-02-27,101.89,1,0
2020-02-28,124.83,22,-5
2020-02-29,130.4,7,-3
2020-03-01,101.37,5,-2
2020-03-02,95.41,3,-1
2020-03-03,97.51,2,-1
2020-03-04,98.31,4,-2
2020-03-05,105.76,0,0
2020-03-06,127.62,22,-5
2020-03-07,133.11,9,-2
2020-03-08,99.5,3,-1
2020-03-09,94.87,0,1
2020-03-10,98.84,1,-1
2020-03-11,100.79,1,-2
2020-03-12,96.46,-3,1
2020-03-13,104.33,11,-2
2020-03-14,91.54,1,4
2020-03-15,75.21,-6,4
2020-03-16,73.08,-25,9
2020-03-17,68.87,-31,13
2020-03-18,63.19,-37,14
2020-03-19,61.35,-40,18
2020-03-20,64.72,-32,15
2020-03-21,57.97,-21,12
2020-03-22,41.95,-26,11
2020-03-23,54.58,-44,18
2020-03-24,41.33,-53,25
2020-03-25,47.03,-53,23
2020-03-26,45.47,-55,25
2020-03-27,51.46,-45,21
2020-03-28,49.18,-34,15
2020-03-29,41.44,-40,NA
2020-03-30,47.04,-55,22
2020-03-31,49.18,-55,23
2020-04-01,51.07,-56,22
2020-04-02,46.88,-57,26
2020-04-03,50.07,-48,23
2020-04-04,46.5,-34,16
2020-04-05,41.47,-40,NA
2020-04-06,47.1,-57,23
2020-04-07,51.69,-58,24
2020-04-08,52.63,-58,23
2020-04-09,53.32,-58,25
2020-04-10,58.94,-51,21
2020-04-11,51.57,-36,14
2020-04-12,31.95,-47,NA
2020-04-13,50.69,-56,23
2020-04-14,52.6,-56,24
2020-04-15,57.59,-55,22
2020-04-16,53.98,-57,27
2020-04-17,59.29,-47,22
2020-04-18,60.81,-34,14
2020-04-19,50.66,-39,NA
2020-04-20,58.37,-55,21
2020-04-21,61.92,-55,22
2020-04-22,57.27,-55,23
2020-04-23,65.57,-55,23
2020-04-24,64.18,-47,21
2020-04-25,64.76,-32,12
2020-04-26,54.67,-38,NA
2020-04-27,64.62,-54,20
2020-04-28,63.78,-55,16
2020-04-29,67.76,-54,22
2020-04-30,72.32,-54,22
2020-05-01,82.94,-44,17
2020-05-02,73.55,-31,10
2020-05-03,58.67,-34,NA
2020-05-04,61.4,-52,22
2020-05-05,73.44,-51,20
2020-05-06,72.37,-50,19
2020-05-07,74.33,-52,23
2020-05-08,92.52,-41,16
2020-05-09,86.25,-26,9
2020-05-10,64.94,-28,6
2020-05-11,NA,-50,19
2020-05-12,NA,-49,20
2020-05-13,81.05,-49,20
2020-05-14,82.8,-50,21
2020-05-15,99.63,-39,15
2020-05-16,95.24,-20,9
2020-05-17,78.39,-24,7
2020-05-18,93.26,-46,16
2020-05-19,97.09,-46,17
2020-05-20,100.03,-44,16
2020-05-21,106.09,-47,17
2020-05-22,114.18,-37,13
2020-05-23,107.16,-21,6
2020-05-24,80.07,-27,5
2020-05-25,84.15,-78,22
2020-05-26,100.67,-44,17
2020-05-27,106.92,-42,15
2020-05-28,99.86,-45,19
2020-05-29,121.17,-31,11
2020-05-30,110.67,-6,6
2020-05-31,92.81,-16,4
2020-06-01,105.86,-42,13
2020-06-02,104.44,-42,14
2020-06-03,109.49,-41,13
2020-06-04,114.31,-43,15
2020-06-05,130.81,-31,9
2020-06-06,126.18,-9,5
2020-06-07,100,-14,3
2020-06-08,113.48,-42,13
2020-06-09,114.68,-42,14
2020-06-10,116.61,-40,12
2020-06-11,128.74,-41,14
2020-06-12,148.2,-31,8
2020-06-13,148.45,-7,3
2020-06-14,115.21,-7,2
2020-06-15,120.84,-41,12
2020-06-16,119.76,-41,13
2020-06-17,122.43,-40,11
2020-06-18,128.36,-42,13
2020-06-19,147.22,-30,8
2020-06-20,140.38,-2,2
2020-06-21,105.22,-6,1
2020-06-22,121.91,-43,11
2020-06-23,127.22,-41,12
2020-06-24,131.39,-39,10
2020-06-25,146.77,-42,13
2020-06-26,166.12,-30,7
2020-06-27,152.31,-6,4
2020-06-28,118.99,-4,2
2020-06-29,122.19,-42,12
2020-06-30,127.17,-41,13
2020-07-01,135.22,-41,12
2020-07-02,150.65,-44,12
2020-07-03,146.58,-58,12
2020-07-04,107.14,-27,4
2020-07-05,109.76,-14,1
2020-07-06,126.74,-46,12
2020-07-07,127.98,-43,13
2020-07-08,132.87,-41,12
2020-07-09,140.55,-43,14
2020-07-10,165.13,-32,7
2020-07-11,151.83,-6,4
2020-07-12,124.7,-9,2
2020-07-13,126.06,-42,11
2020-07-14,126.84,-42,13
2020-07-15,125.01,-40,13
2020-07-16,139.64,-42,13
2020-07-17,164.08,-31,8
2020-07-18,157.25,-4,4
2020-07-19,127.24,-11,3
2020-07-20,122.42,-43,13
2020-07-21,121.98,-42,14
2020-07-22,131.94,-39,11
2020-07-23,145.14,-41,13
2020-07-24,168.02,-30,7
2020-07-25,151.24,-6,3
2020-07-26,125.34,-8,2
2020-07-27,123.16,-42,12
2020-07-28,129.91,-42,12
