date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,149.3,-2,-1
2020-02-16,110.72,-2,0
2020-02-17,127.05,-16,3
2020-02-18,117.89,1,0
2020-02-19,117.52,2,0
2020-02-20,125.56,1,-1
2020-02-21,146.8,0,2
2020-02-22,145.62,0,0
2020-02-23,105.39,-1,0
2020-02-24,117.05,4,0
2020-02-25,116.16,2,0
2020-02-26,115.57,2,0
2020-02-27,129,2,-1
2020-02-28,156.89,1,-1
2020-02-29,160.05,0,-2
2020-03-01,118.94,-1,-1
2020-03-02,122.4,3,-1
2020-03-03,121.88,2,-1
2020-03-04,126.1,3,-1
2020-03-05,132.99,1,-1
2020-03-06,158.19,1,0
2020-03-07,155.32,1,-1
2020-03-08,114.53,-1,0
2020-03-09,120.27,3,0
2020-03-10,123.09,1,0
2020-03-11,120.59,2,0
2020-03-12,119.73,1,-1
2020-03-13,128.53,0,1
2020-03-14,113.77,-1,1
2020-03-15,86.02,-5,2
2020-03-16,95.47,-14,5
2020-03-17,89.95,-19,7
2020-03-18,84.04,-22,8
2020-03-19,83.65,-24,9
2020-03-20,87.49,-27,12
2020-03-21,70.61,-21,10
2020-03-22,52.87,-31,10
2020-03-23,66.18,-32,13
2020-03-24,65.78,-36,15
2020-03-25,64.94,-36,14
2020-03-26,66.5,-38,15
2020-03-27,70.56,-39,18
2020-03-28,58.69,-31,13
2020-03-29,47.25,-38,11
2020-03-30,62.31,-36,15
2020-03-31,63.01,-38,15
2020-04-01,64.71,-38,14
2020-04-02,62.3,-40,15
2020-04-03,59.41,-42,20
2020-04-04,49.25,-36,15
2020-04-05,38.26,-44,14
2020-04-06,54.76,-41,17
2020-04-07,56.28,-43,18
2020-04-08,57.89,-43,17
2020-04-09,60.26,-44,18
2020-04-10,65.18,-49,22
2020-04-11,56.69,-37,14
2020-04-12,38.38,-48,14
2020-04-13,59.57,-41,17
2020-04-14,60.58,-42,18
2020-04-15,66.29,-42,16
2020-04-16,62.68,-43,19
2020-04-17,72.04,-43,19
2020-04-18,61.55,-35,15
2020-04-19,53.33,-38,11
2020-04-20,64.62,-41,17
2020-04-21,67.59,-42,16
2020-04-22,68.04,-41,16
2020-04-23,71.04,-42,17
2020-04-24,67.79,-46,23
2020-04-25,71.07,-32,13
2020-04-26,55.37,-39,11
2020-04-27,70.93,-38,15
2020-04-28,72.9,-40,11
2020-04-29,75.23,-40,15
2020-04-30,74.09,-42,17
2020-05-01,88.43,-39,16
2020-05-02,81.69,-30,10
2020-05-03,65.01,-33,9
2020-05-04,80.44,-36,13
2020-05-05,83.56,-37,14
2020-05-06,85.08,-37,14
2020-05-07,86.51,-38,14
2020-05-08,100.37,-37,15
2020-05-09,93.65,-27,8
2020-05-10,67.18,-31,7
2020-05-11,NA,-34,12
2020-05-12,NA,-34,13
2020-05-13,91.1,-34,13
2020-05-14,95.76,-35,11
2020-05-15,107.84,-35,14
2020-05-16,102.06,-24,8
2020-05-17,82.26,-28,7
2020-05-18,90.74,-32,13
2020-05-19,101.11,-33,12
2020-05-20,101.24,-33,11
2020-05-21,102.29,-34,12
2020-05-22,121.23,-34,13
2020-05-23,112.08,-22,7
2020-05-24,86.61,-29,6
2020-05-25,80.66,-66,21
2020-05-26,101.99,-31,11
2020-05-27,107.46,-31,11
2020-05-28,104.74,-31,12
2020-05-29,122.21,-31,12
2020-05-30,116.27,-14,6
2020-05-31,89.86,-20,6
2020-06-01,98.86,-30,11
2020-06-02,100.58,-31,11
2020-06-03,100.6,-31,11
2020-06-04,105.98,-32,12
2020-06-05,121.04,-32,12
2020-06-06,110.69,-19,9
2020-06-07,88.1,-21,7
2020-06-08,106.97,-28,10
2020-06-09,108.97,-30,10
2020-06-10,113.31,-30,10
2020-06-11,117.92,-31,10
2020-06-12,138.23,-31,10
2020-06-13,131.18,-15,6
2020-06-14,101.33,-19,5
2020-06-15,113.99,-28,9
2020-06-16,114.9,-30,9
2020-06-17,118.1,-30,8
2020-06-18,121.84,-31,9
2020-06-19,139.84,-33,10
2020-06-20,135.72,-16,4
2020-06-21,101.42,-19,3
2020-06-22,116.75,-33,9
2020-06-23,115.54,-33,10
2020-06-24,117.69,-31,9
2020-06-25,119.22,-32,10
2020-06-26,137.44,-33,11
2020-06-27,130.51,-17,6
2020-06-28,101.97,-19,5
2020-06-29,116.4,-31,10
2020-06-30,115.64,-32,10
2020-07-01,114.95,-33,9
2020-07-02,124.97,-35,9
2020-07-03,131.84,-52,15
2020-07-04,104.36,-30,8
2020-07-05,94.11,-25,6
2020-07-06,112.18,-35,11
2020-07-07,110.68,-35,11
2020-07-08,112.1,-34,10
2020-07-09,118.42,-34,10
2020-07-10,140.86,-35,12
2020-07-11,128.4,-18,7
2020-07-12,100.88,-22,6
2020-07-13,114.18,-33,9
2020-07-14,115.11,-35,10
2020-07-15,113.74,-34,10
2020-07-16,121.67,-35,10
2020-07-17,135.73,-36,11
2020-07-18,129.45,-20,6
2020-07-19,102.56,-23,5
2020-07-20,117.92,-34,10
2020-07-21,115.5,-36,10
2020-07-22,112.8,-34,11
2020-07-23,116.64,-35,10
2020-07-24,140.9,-35,11
2020-07-25,132.56,-20,6
2020-07-26,105.72,-24,5
2020-07-27,116.29,-35,10
2020-07-28,117.12,-35,10
2020-07-29,117.32,-35,10
2020-07-30,123.08,-36,9
2020-07-31,151.93,-36,10
2020-08-01,128.21,-20,5
2020-08-02,90.18,-26,7
2020-08-03,122.37,-34,9
2020-08-04,119.96,-35,10
2020-08-05,117.57,-34,9
2020-08-06,125.16,-35,9
2020-08-07,143.47,-35,10
2020-08-08,136.01,-19,5
2020-08-09,105.57,-23,5
2020-08-10,120.17,-34,8
2020-08-11,117.07,-35,10
2020-08-12,120.81,-34,9
2020-08-13,125.09,-35,9
2020-08-14,145.93,-35,10
2020-08-15,135.37,-21,5
2020-08-16,104.09,-25,5
2020-08-17,117.9,-34,9
2020-08-18,119.16,-33,9
2020-08-19,120.5,-33,8
2020-08-20,126.64,-35,8
2020-08-21,144.94,-33,9
2020-08-22,131.9,-20,5
2020-08-23,102.87,-22,4
2020-08-24,113.68,-32,8
2020-08-25,114.45,-33,8
