date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,124.53,0,NA
2020-02-16,86.17,2,NA
2020-02-17,110.43,-15,NA
2020-02-18,105.46,-1,NA
2020-02-19,97.3,1,NA
2020-02-20,106.16,-1,NA
2020-02-21,125.07,1,NA
2020-02-22,125.34,-6,NA
2020-02-23,82.82,0,NA
2020-02-24,99.19,1,NA
2020-02-25,102.7,3,NA
2020-02-26,105.08,1,NA
2020-02-27,120.1,2,NA
2020-02-28,118.1,-1,NA
2020-02-29,117.02,-3,NA
2020-03-01,77.31,4,NA
2020-03-02,100.65,-1,NA
2020-03-03,118.31,1,NA
2020-03-04,108.7,2,NA
2020-03-05,120.15,-1,NA
2020-03-06,146.3,3,NA
2020-03-07,161.8,-2,NA
2020-03-08,87.9,-6,NA
2020-03-09,113.78,-16,NA
2020-03-10,114.64,-15,NA
2020-03-11,110.43,-12,NA
2020-03-12,104.75,-14,NA
2020-03-13,113.45,-13,NA
2020-03-14,100.05,-2,NA
2020-03-15,63.32,-4,NA
2020-03-16,85.31,-13,NA
2020-03-17,85.31,-13,NA
2020-03-18,90.06,-13,NA
2020-03-19,85.95,-14,NA
2020-03-20,85.09,-22,NA
2020-03-21,71.47,-10,NA
2020-03-22,44.25,-10,NA
2020-03-23,67.04,-24,NA
2020-03-24,57.16,-32,NA
2020-03-25,73.69,-30,NA
2020-03-26,75.42,-33,NA
2020-03-27,80.93,-36,NA
2020-03-28,79.69,-6,NA
2020-03-29,53.59,-25,NA
2020-03-30,69.31,-35,NA
2020-03-31,64.51,-41,NA
2020-04-01,76.93,-39,NA
2020-04-02,74.5,-40,NA
2020-04-03,83.52,-41,NA
2020-04-04,58.08,-19,NA
2020-04-05,48.08,-31,NA
2020-04-06,71.04,-41,NA
2020-04-07,69.58,-38,NA
2020-04-08,74.61,-43,NA
2020-04-09,76.82,-44,NA
2020-04-10,80.98,-52,NA
2020-04-11,66.83,-13,NA
2020-04-12,37.12,-42,NA
2020-04-13,83.2,-39,NA
2020-04-14,69.8,-39,NA
2020-04-15,79.09,-37,NA
2020-04-16,87.09,-35,NA
