date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.86,NA,NA
2020-02-16,151.8,NA,NA
2020-02-17,144.96,-16,NA
2020-02-18,124.68,2,NA
2020-02-19,103.35,4,NA
2020-02-20,118.88,8,NA
2020-02-21,206.29,6,NA
2020-02-22,140.31,NA,NA
2020-02-23,148.9,NA,NA
2020-02-24,121.28,6,NA
2020-02-25,120.63,4,NA
2020-02-26,114.74,10,NA
2020-02-27,125.02,2,NA
2020-02-28,206.44,4,NA
2020-02-29,146.65,NA,NA
2020-03-01,166.83,NA,NA
2020-03-02,137.71,2,NA
2020-03-03,115.53,-2,NA
2020-03-04,111.39,8,NA
2020-03-05,133.42,-2,NA
2020-03-06,234.37,8,NA
2020-03-07,196.35,NA,NA
2020-03-08,188.01,NA,NA
2020-03-09,173.58,-6,NA
2020-03-10,162.34,-8,NA
2020-03-11,181.87,6,NA
2020-03-12,189.76,-6,NA
2020-03-13,240.86,-13,NA
2020-03-14,184.02,NA,NA
2020-03-15,208.79,NA,NA
2020-03-16,151.05,-16,NA
2020-03-17,120.33,-17,NA
2020-03-18,119.73,-17,NA
2020-03-19,128.82,-19,NA
2020-03-20,131.32,-15,NA
2020-03-21,99.85,NA,NA
2020-03-22,109.69,NA,NA
2020-03-23,91.61,-18,NA
2020-03-24,82.92,-25,NA
2020-03-25,70.13,-23,NA
2020-03-26,73.13,-23,NA
2020-03-27,89.76,-31,NA
2020-03-28,66.88,NA,NA
2020-03-29,67.13,NA,NA
2020-03-30,53.7,-25,NA
2020-03-31,61.59,-28,NA
2020-04-01,62.89,-23,NA
2020-04-02,71.68,-36,NA
2020-04-03,70.63,-29,NA
2020-04-04,46.15,NA,NA
2020-04-05,51.1,NA,NA
2020-04-06,60.24,-27,NA
2020-04-07,64.59,-30,NA
2020-04-08,58.14,-29,NA
2020-04-09,71.73,-34,NA
2020-04-10,64.14,-44,NA
2020-04-11,48.25,NA,NA
2020-04-12,47.6,NA,NA
2020-04-13,68.93,-34,NA
2020-04-14,57.09,-33,NA
2020-04-15,65.13,-32,NA
2020-04-16,74.58,-36,NA
2020-04-17,84.87,-35,NA
2020-04-18,58.99,NA,NA
2020-04-19,69.13,NA,NA
2020-04-20,68.83,-25,NA
2020-04-21,71.78,-19,NA
2020-04-22,67.43,-29,NA
2020-04-23,76.87,-30,NA
2020-04-24,102.8,-28,NA
2020-04-25,87.66,NA,NA
2020-04-26,90.16,NA,NA
2020-04-27,80.72,-28,NA
2020-04-28,78.37,-31,NA
2020-04-29,75.77,-26,NA
2020-04-30,100.5,-28,NA
2020-05-01,127.67,-29,NA
2020-05-02,110.34,NA,NA
2020-05-03,120.63,NA,NA
2020-05-04,93.81,-15,NA
2020-05-05,97.1,-30,NA
2020-05-06,93.56,-25,NA
2020-05-07,133.52,-27,NA
2020-05-08,145.85,-26,NA
2020-05-09,118.53,NA,NA
2020-05-10,137.41,NA,NA
2020-05-11,NA,-24,NA
2020-05-12,NA,-33,NA
2020-05-13,117.83,-25,NA
2020-05-14,137.46,-23,NA
2020-05-15,173.78,-24,NA
2020-05-16,114.09,NA,NA
2020-05-17,161.84,NA,NA
2020-05-18,127.22,-23,NA
2020-05-19,113.34,-19,NA
2020-05-20,112.04,-19,NA
2020-05-21,148.4,-21,NA
2020-05-22,269.78,-21,NA
2020-05-23,205.09,NA,NA
2020-05-24,158.59,NA,NA
2020-05-25,214.69,-56,NA
2020-05-26,137.11,-20,NA
2020-05-27,132.22,-14,NA
2020-05-28,131.92,-20,NA
2020-05-29,215.33,-21,NA
2020-05-30,149.9,NA,NA
2020-05-31,184.37,NA,NA
2020-06-01,127.77,-22,NA
2020-06-02,117.03,-16,NA
2020-06-03,145.85,-18,NA
2020-06-04,152.3,-23,NA
2020-06-05,219.43,-20,NA
2020-06-06,174.73,NA,NA
2020-06-07,210.89,NA,NA
2020-06-08,157.59,-19,NA
2020-06-09,150.7,-17,NA
2020-06-10,147.4,-23,NA
2020-06-11,200.6,-23,NA
2020-06-12,243.71,-20,NA
2020-06-13,181.22,NA,NA
2020-06-14,209.54,NA,NA
2020-06-15,165.43,-21,NA
2020-06-16,148.6,-23,NA
2020-06-17,154.1,-21,NA
2020-06-18,180.07,-23,NA
2020-06-19,243.71,-25,NA
2020-06-20,203.8,NA,NA
2020-06-21,196.55,NA,NA
2020-06-22,165.83,-29,NA
2020-06-23,126.62,-32,NA
2020-06-24,133.42,-24,NA
2020-06-25,172.93,-30,NA
2020-06-26,192.61,-31,NA
2020-06-27,169.03,NA,NA
2020-06-28,191.51,NA,NA
2020-06-29,168.73,-23,NA
2020-06-30,143.41,-29,NA
2020-07-01,159.34,-30,NA
2020-07-02,198.8,-35,NA
2020-07-03,179.77,-45,NA
2020-07-04,106.99,NA,NA
2020-07-05,197.8,NA,NA
2020-07-06,159.99,-28,NA
2020-07-07,132.67,-28,NA
2020-07-08,124.78,-27,NA
2020-07-09,159.64,-34,NA
2020-07-10,207.79,-30,NA
2020-07-11,155.44,NA,NA
2020-07-12,196.8,NA,NA
2020-07-13,164.89,-25,NA
2020-07-14,130.92,-32,NA
2020-07-15,138.91,-36,NA
2020-07-16,161.79,-31,NA
2020-07-17,197.75,-34,NA
2020-07-18,158.39,NA,NA
2020-07-19,192.71,NA,NA
2020-07-20,155.54,-25,NA
2020-07-21,144.01,-30,NA
2020-07-22,138.01,-26,NA
2020-07-23,164.24,-30,NA
2020-07-24,211.19,-34,NA
2020-07-25,77.07,NA,NA
2020-07-26,125.87,NA,NA
2020-07-27,138.41,-33,NA
2020-07-28,130.07,-29,NA
2020-07-29,148.3,-29,NA
2020-07-30,161.09,-25,NA
2020-07-31,198.6,-30,NA
2020-08-01,161.24,NA,NA
2020-08-02,187.71,NA,NA
2020-08-03,149.95,-30,NA
2020-08-04,152.05,-32,NA
2020-08-05,138.56,-31,NA
2020-08-06,173.08,-34,NA
2020-08-07,211.34,-31,NA
2020-08-08,190.86,NA,NA
2020-08-09,212.14,NA,NA
2020-08-10,160.94,-27,NA
2020-08-11,136.61,-33,NA
2020-08-12,145.5,-30,NA
2020-08-13,168.93,-30,NA
2020-08-14,235.91,-28,NA
2020-08-15,190.41,NA,NA
2020-08-16,200.7,NA,NA
2020-09-11,218.08,-28,NA
2020-09-12,148.65,NA,NA
2020-09-13,194.06,NA,NA
2020-09-14,132.47,-26,NA
2020-09-15,126.97,-31,NA
2020-09-16,138.91,-25,NA
2020-09-17,177.37,-31,NA
2020-09-18,215.08,-27,NA
2020-09-19,159.69,NA,NA
2020-09-20,168.53,NA,NA
2020-09-21,91.11,-43,NA
2020-09-22,90.21,-29,NA
2020-09-23,100.85,-21,NA
2020-09-24,147.5,-20,NA
2020-09-25,201.5,-23,NA
2020-09-26,147.3,NA,NA
2020-09-27,168.73,NA,NA
2020-09-28,117.93,-19,NA
2020-09-29,111.09,-22,NA
2020-09-30,116.98,-23,NA
2020-10-01,155.14,-25,NA
2020-10-02,204.55,-23,NA
2020-10-03,144.36,NA,NA
2020-10-04,176.82,NA,NA
2020-10-05,133.37,-22,NA
2020-10-06,119.93,-25,NA
2020-10-07,126.57,-20,NA
2020-10-08,152.4,-20,NA
2020-10-09,212.54,-24,NA
2020-10-10,168.83,NA,NA
2020-10-11,193.06,NA,NA
2020-10-12,143.61,-19,NA
2020-10-13,115.83,-19,NA
2020-10-14,115.28,-18,NA
2020-10-15,153.15,-13,NA
2020-10-16,205.29,-18,NA
2020-10-17,138.46,NA,NA
2020-10-18,151.55,NA,NA
2020-10-19,131.37,-16,NA
2020-10-20,109.59,-20,NA
2020-10-21,135.56,-12,NA
2020-10-22,121.53,-21,NA
2020-10-23,209.29,-14,NA
2020-10-24,136.81,NA,NA
2020-10-25,165.18,NA,NA
2020-10-26,121.53,-19,NA
2020-10-27,120.03,-19,NA
2020-10-28,118.78,-19,NA
2020-10-29,135.66,-21,NA
2020-10-30,193.21,-20,NA
2020-10-31,117.73,NA,NA
2020-11-01,139.16,NA,NA
2020-11-02,111.74,-25,NA
2020-11-03,104,-25,NA
