date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,132.26,-1,-1
2020-02-16,88.19,-5,0
2020-02-17,111.98,-22,4
2020-02-18,106.13,-1,2
2020-02-19,106.64,-1,2
2020-02-20,110.61,0,3
2020-02-21,139.25,2,1
2020-02-22,138.23,1,0
2020-02-23,88.62,-1,-1
2020-02-24,100.18,1,1
2020-02-25,113.94,1,1
2020-02-26,119.32,1,-1
2020-02-27,129.93,1,-2
2020-02-28,153.45,4,-2
2020-02-29,156.29,4,-3
2020-03-01,104.33,1,-3
2020-03-02,115.36,2,-1
2020-03-03,120.06,1,-1
2020-03-04,117.28,-1,1
2020-03-05,119.82,-2,2
2020-03-06,150.93,1,-1
2020-03-07,148.73,4,-2
2020-03-08,99.55,-2,-2
2020-03-09,115.74,1,-1
2020-03-10,121.03,1,-1
2020-03-11,122.65,0,-1
2020-03-12,122.82,1,-1
2020-03-13,142.93,0,-1
2020-03-14,131.73,1,-1
2020-03-15,85.51,-5,0
2020-03-16,95.66,-4,1
2020-03-17,91.71,-15,5
2020-03-18,86.76,-22,8
2020-03-19,90.1,-23,9
2020-03-20,99.29,-24,10
2020-03-21,86.6,-15,6
2020-03-22,54.42,-28,8
2020-03-23,70.59,-32,12
2020-03-24,70.15,-35,14
2020-03-25,75.59,-36,13
2020-03-26,77.15,-36,13
2020-03-27,89.36,-36,14
2020-03-28,81.38,-23,9
2020-03-29,59.95,-31,8
2020-03-30,72.32,-38,13
2020-03-31,71.77,-41,15
2020-04-01,73.55,-41,13
2020-04-02,77.81,-40,13
2020-04-03,74.51,-41,17
2020-04-04,59.77,-33,13
2020-04-05,49.49,-39,11
2020-04-06,68.04,-46,16
2020-04-07,67.67,-47,17
2020-04-08,69.8,-48,17
2020-04-09,74.25,-48,17
2020-04-10,80.96,-50,19
2020-04-11,71.91,-34,12
2020-04-12,44.85,-43,12
2020-04-13,74.02,-45,16
2020-04-14,78.35,-43,15
2020-04-15,84.36,-43,15
2020-04-16,85.86,-42,16
2020-04-17,94.97,-40,16
2020-04-18,87.49,-28,11
2020-04-19,57.33,-39,12
2020-04-20,86.47,-42,15
2020-04-21,86.44,-42,15
2020-04-22,88.37,-42,16
2020-04-23,79.21,-44,19
2020-04-24,104.98,-40,16
2020-04-25,98.09,-26,10
2020-04-26,74.07,-33,8
2020-04-27,93.84,-39,13
2020-04-28,95.34,-40,9
2020-04-29,95.5,-40,15
2020-04-30,101.94,-40,15
2020-05-01,114.93,-37,13
2020-05-02,109.36,-23,8
2020-05-03,83.3,-30,7
2020-05-04,102.23,-37,12
2020-05-05,107.58,-38,12
2020-05-06,110.41,-38,13
2020-05-07,116.4,-37,13
2020-05-08,126.18,-35,14
2020-05-09,128.17,-21,6
2020-05-10,92.17,-27,4
2020-05-11,NA,-35,11
2020-05-12,NA,-35,12
2020-05-13,120.52,-35,12
2020-05-14,127.55,-34,10
2020-05-15,143.25,-34,12
2020-05-16,134.75,-18,6
2020-05-17,101.3,-24,5
2020-05-18,120.76,-32,11
2020-05-19,127.99,-34,12
2020-05-20,123.65,-36,14
2020-05-21,135.86,-33,11
2020-05-22,157.16,-34,11
2020-05-23,139.99,-19,5
2020-05-24,109.65,-25,4
2020-05-25,99.88,-65,18
2020-05-26,122.36,-33,11
2020-05-27,125.98,-33,12
2020-05-28,135.36,-32,11
2020-05-29,152.5,-30,11
2020-05-30,148.4,-12,5
2020-05-31,109.06,-18,4
2020-06-01,134.19,-30,8
2020-06-02,131.14,-31,9
2020-06-03,135.01,-31,9
2020-06-04,138.82,-31,10
2020-06-05,164.12,-31,10
2020-06-06,161.3,-14,4
