date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,147.85,-9,0
2020-02-16,119.17,-6,0
2020-02-17,129.91,-12,3
2020-02-18,111.42,1,0
2020-02-19,106.38,-2,2
2020-02-20,134.9,-3,5
2020-02-21,140.59,-19,10
2020-02-22,144.6,1,0
2020-02-23,112.8,-1,0
2020-02-24,109.87,2,1
2020-02-25,109.26,-2,1
2020-02-26,120.39,2,-2
2020-02-27,134.15,2,-2
2020-02-28,174.47,0,-1
2020-02-29,157.46,-5,-2
2020-03-01,128.93,-1,-2
2020-03-02,132.3,3,-2
2020-03-03,120.2,0,-1
2020-03-04,124.62,0,0
2020-03-05,133.42,-1,2
2020-03-06,186.5,1,0
2020-03-07,166.06,0,-2
2020-03-08,147.25,-6,-1
2020-03-09,130.6,1,-1
2020-03-10,123.91,0,-1
2020-03-11,130.98,-1,-1
2020-03-12,135.75,-2,-2
2020-03-13,176.76,-1,-1
2020-03-14,164.1,3,-2
2020-03-15,128.49,-6,1
2020-03-16,128.78,-9,2
2020-03-17,117.07,-14,6
2020-03-18,126.44,-14,4
2020-03-19,121.77,-17,6
2020-03-20,133.19,-20,9
2020-03-21,122.81,-11,5
2020-03-22,85.75,-25,8
2020-03-23,88.14,-24,9
2020-03-24,89.47,-25,10
2020-03-25,90.83,-27,9
2020-03-26,89.14,-27,9
2020-03-27,103.82,-27,11
2020-03-28,97.34,-18,6
2020-03-29,75.91,-26,6
2020-03-30,84.12,-26,9
2020-03-31,76.77,-33,13
2020-04-01,78.77,-32,12
2020-04-02,82.84,-30,11
2020-04-03,89.57,-32,13
2020-04-04,81.31,-26,8
2020-04-05,63.84,-32,8
2020-04-06,81.06,-29,10
2020-04-07,79.92,-33,11
2020-04-08,82.95,-35,11
2020-04-09,88.45,-32,11
2020-04-10,95.88,-44,16
2020-04-11,84.85,-23,7
2020-04-12,60.28,-30,8
2020-04-13,85.75,-41,13
2020-04-14,91.18,-32,9
2020-04-15,91.59,-33,11
2020-04-16,94.5,-30,10
2020-04-17,115.01,-31,12
2020-04-18,100.53,-19,6
2020-04-19,74.78,-25,7
2020-04-20,90.98,-31,13
2020-04-21,97.99,-31,10
2020-04-22,96.35,-32,11
2020-04-23,94.06,-33,14
2020-04-24,117.99,-31,13
2020-04-25,102.76,-23,7
2020-04-26,86.15,-26,7
2020-04-27,101.45,-28,9
2020-04-28,105.86,-30,5
2020-04-29,104.06,-31,10
2020-04-30,103.95,-33,13
2020-05-01,136.75,-30,11
2020-05-02,129.3,-17,4
2020-05-03,104.22,-21,4
2020-05-04,118.36,-26,7
2020-05-05,108.98,-29,10
2020-05-06,115.01,-30,10
2020-05-07,133.64,-28,9
2020-05-08,149.63,-30,12
2020-05-09,149.09,-11,3
2020-05-10,112.47,-18,2
2020-05-11,NA,-26,8
2020-05-12,NA,-27,8
2020-05-13,150.53,-28,8
2020-05-14,145.18,-28,6
2020-05-15,180.38,-28,10
2020-05-16,170.76,-18,4
2020-05-17,142.91,-22,4
2020-05-18,137.79,-26,8
2020-05-19,127.85,-28,11
2020-05-20,140.99,-30,12
2020-05-21,162.28,-30,11
2020-05-22,223.04,-28,11
2020-05-23,185.84,-11,2
2020-05-24,143.59,-23,4
2020-05-25,175.73,-65,16
2020-05-26,155.09,-27,7
2020-05-27,138.4,-29,12
2020-05-28,151.18,-26,10
2020-05-29,182.69,-25,12
2020-05-30,183.49,-7,4
2020-05-31,153.55,-14,4
2020-06-01,159.03,-22,4
2020-06-02,149.06,-22,6
2020-06-03,155.25,-25,5
2020-06-04,168.91,-24,6
2020-06-05,210.16,-26,9
2020-06-06,217.19,-9,2
2020-06-07,165.76,-18,3
2020-06-08,160.2,-24,6
2020-06-09,159.31,-25,6
2020-06-10,161.36,-27,7
2020-06-11,170.01,-25,8
2020-06-12,211.26,-26,8
2020-06-13,232.75,-6,1
2020-06-14,176.33,-16,3
2020-06-15,152.09,-29,10
2020-06-16,149.78,-27,9
2020-06-17,162.02,-26,6
2020-06-18,176.09,-23,5
2020-06-19,227.84,-26,7
2020-06-20,244.56,-9,2
2020-06-21,178.82,-14,1
2020-06-22,179.59,-26,5
2020-06-23,164.51,-27,6
2020-06-24,164.62,-26,6
2020-06-25,185.39,-26,8
2020-06-26,223.91,-27,7
2020-06-27,277.97,-9,1
2020-06-28,188.54,-14,3
2020-06-29,176.69,-26,5
2020-06-30,175.36,-28,7
2020-07-01,191.72,-28,6
2020-07-02,233.03,-31,4
2020-07-03,284.29,-50,11
2020-07-04,209.31,-31,2
2020-07-05,218.77,-24,3
2020-07-06,186.88,-32,6
2020-07-07,163.65,-30,8
2020-07-08,165.08,-30,8
2020-07-09,185.27,-28,7
2020-07-10,216.06,-30,9
2020-07-11,241,-15,2
2020-07-12,166.99,-17,3
2020-07-13,165.03,-27,6
2020-07-14,161.5,-28,6
2020-07-15,167.51,-28,6
2020-07-16,172.48,-28,6
2020-07-17,217.07,-27,8
2020-07-18,289.42,-14,2
2020-07-19,173.29,-17,2
2020-07-20,166.69,-28,6
2020-07-21,160.17,-30,6
2020-07-22,167.45,-28,7
2020-07-23,181.31,-28,6
2020-07-24,215.79,-30,9
2020-07-25,238.25,-15,1
2020-07-26,177.32,-16,2
2020-07-27,171.34,-29,5
2020-07-28,165.33,-29,6
2020-07-29,166.85,-30,7
2020-07-30,179.77,-29,6
2020-07-31,225.4,-31,6
2020-08-01,256.73,-15,1
2020-08-02,181.44,-19,1
2020-08-03,162.77,-31,6
2020-08-04,168.19,-35,9
2020-08-05,171.79,-31,7
