date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,186.99,-1,NA
2020-02-16,173.78,6,NA
2020-02-17,137.01,-6,NA
2020-02-18,107.43,-1,NA
2020-02-19,109.92,2,NA
2020-02-20,125.89,0,NA
2020-02-21,164.04,-1,NA
2020-02-22,168.2,6,NA
2020-02-23,150.46,-6,NA
2020-02-24,102.43,2,NA
2020-02-25,96.13,-1,NA
2020-02-26,104.08,2,NA
2020-02-27,125.92,1,NA
2020-02-28,184.63,0,NA
2020-02-29,161.85,1,NA
2020-03-01,190.68,6,NA
2020-03-02,109.62,3,NA
2020-03-03,112.17,2,NA
2020-03-04,125.08,5,NA
2020-03-05,141.83,4,NA
2020-03-06,215.25,1,NA
2020-03-07,183.4,0,NA
2020-03-08,181,-2,NA
2020-03-09,133.14,1,NA
2020-03-10,116.69,-2,NA
2020-03-11,123.7,0,NA
2020-03-12,158.5,-3,NA
2020-03-13,167.28,-3,NA
2020-03-14,171.68,0,NA
2020-03-15,159.01,-13,NA
2020-03-16,142.73,-15,NA
2020-03-17,132.72,-19,NA
2020-03-18,121.67,-20,NA
2020-03-19,113.72,-24,NA
2020-03-20,134.64,-29,NA
2020-03-21,117.89,-18,NA
2020-03-22,97.75,-27,NA
2020-03-23,80.88,-28,NA
2020-03-24,75.79,-32,NA
2020-03-25,75.73,-31,NA
2020-03-26,76.42,-32,NA
2020-03-27,83.85,-34,NA
2020-03-28,88.25,-18,NA
2020-03-29,81.75,-27,NA
2020-03-30,71.71,-29,NA
2020-03-31,62.12,-35,NA
2020-04-01,62.51,-33,NA
2020-04-02,66.44,-33,NA
2020-04-03,68,-37,NA
2020-04-04,77.91,-24,NA
2020-04-05,67.19,-30,NA
2020-04-06,65.06,-33,NA
2020-04-07,67.25,-38,NA
2020-04-08,69.82,-40,NA
2020-04-09,72.22,-40,NA
2020-04-10,83.43,-45,NA
2020-04-11,88.19,-28,NA
2020-04-12,53.76,-34,NA
2020-04-13,64.61,-36,NA
2020-04-14,67.49,-37,NA
2020-04-15,68.5,-33,NA
2020-04-16,85.41,-35,NA
2020-04-17,103.99,-37,NA
2020-04-18,118.61,-28,NA
2020-04-19,98.98,-27,NA
2020-04-20,72.1,-34,NA
2020-04-21,81.06,-35,NA
2020-04-22,90.17,-34,NA
2020-04-23,78.27,-36,NA
2020-04-24,98.47,-35,NA
2020-04-25,109.53,-23,NA
2020-04-26,85.5,-28,NA
2020-04-27,98.32,-36,NA
2020-04-28,93.11,-38,NA
2020-04-29,94.76,-36,NA
2020-04-30,91.94,-39,NA
2020-05-01,115.55,-34,NA
2020-05-02,222,-21,NA
2020-05-03,146.87,-22,NA
2020-05-04,116.3,-32,NA
2020-05-05,97.18,-33,NA
2020-05-06,102.28,-29,NA
2020-05-07,135.57,-34,NA
2020-05-08,128.95,-30,NA
2020-05-09,175.04,-10,NA
2020-05-10,130.57,-23,NA
2020-05-11,NA,-32,NA
2020-05-12,NA,-31,NA
2020-05-13,124.87,-28,NA
2020-05-14,143.12,-33,NA
2020-05-15,171.44,-32,NA
2020-05-16,186.78,-14,NA
2020-05-17,166.47,-20,NA
2020-05-18,113.87,-24,NA
2020-05-19,115.61,-31,NA
2020-05-20,113.66,-32,NA
2020-05-21,157.15,-35,NA
2020-05-22,179.71,-35,NA
2020-05-23,251.57,-18,NA
2020-05-24,197.21,-25,NA
2020-05-25,181.72,-64,NA
2020-05-26,145.37,-31,NA
2020-05-27,134.25,-29,NA
2020-05-28,147.29,-30,NA
2020-05-29,176.57,-30,NA
2020-05-30,229.97,-10,NA
2020-05-31,196.43,-23,NA
2020-06-01,148.46,-27,NA
2020-06-02,130.78,-29,NA
2020-06-03,140.58,-29,NA
2020-06-04,157.81,-28,NA
2020-06-05,179.5,-28,NA
2020-06-06,219.93,-9,NA
2020-06-07,204.32,-16,NA
2020-06-08,154.84,-29,NA
2020-06-09,159.72,-29,NA
2020-06-10,148.88,-26,NA
2020-06-11,173.75,-28,NA
2020-06-12,225.47,-27,NA
2020-06-13,247.71,-7,NA
2020-06-14,214.17,-20,NA
2020-06-15,167.31,-30,NA
2020-06-16,158.5,-30,NA
2020-06-17,213.93,-27,NA
2020-06-18,172.46,-30,NA
2020-06-19,212.26,-31,NA
2020-06-20,248.04,-8,NA
2020-06-21,207.94,-17,NA
2020-06-22,175.13,-34,NA
2020-06-23,170.84,-35,NA
2020-06-24,185.17,-30,NA
2020-06-25,210.67,-30,NA
2020-06-26,255.77,-33,NA
2020-06-27,294.13,-14,NA
2020-06-28,269.37,-17,NA
2020-06-29,190.71,-26,NA
2020-06-30,177.85,-27,NA
2020-07-01,205.6,-27,NA
2020-07-02,249.81,-32,NA
2020-07-03,283.25,-52,NA
2020-07-04,223.7,-18,NA
2020-07-05,278.87,-16,NA
2020-07-06,208.3,-30,NA
2020-07-07,178.93,-24,NA
2020-07-08,177.52,-26,NA
2020-07-09,213.28,-27,NA
2020-07-10,255.89,-27,NA
2020-07-11,292.81,-4,NA
2020-07-12,262.78,-12,NA
2020-07-13,177.85,-27,NA
2020-07-14,175.16,-27,NA
2020-07-15,206.56,-26,NA
2020-07-16,206.08,-28,NA
2020-07-17,312.77,-29,NA
2020-07-18,292.24,-12,NA
2020-07-19,267.46,-18,NA
2020-07-20,191.79,-30,NA
2020-07-21,168.8,-31,NA
2020-07-22,187.83,-30,NA
2020-07-23,199.37,-28,NA
2020-07-24,248.67,-30,NA
2020-07-25,305.6,-5,NA
2020-07-26,273.12,-15,NA
2020-07-27,197.12,-29,NA
2020-07-28,176.09,-29,NA
2020-07-29,197.93,-26,NA
2020-07-30,215.61,-30,NA
