date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.72,-1,-1
2020-02-16,106.54,-1,1
2020-02-17,113.57,-13,4
2020-02-18,114.5,-12,4
2020-02-19,116.44,-8,2
2020-02-20,116.06,-10,5
2020-02-21,137.18,-9,1
2020-02-22,137.87,5,-1
2020-02-23,94.47,4,-1
2020-02-24,109.49,10,1
2020-02-25,118.13,2,0
2020-02-26,120.72,2,-2
2020-02-27,134.42,3,-1
2020-02-28,153.63,2,-3
2020-02-29,157.59,3,-2
2020-03-01,107.97,4,-2
2020-03-02,118.35,11,-1
2020-03-03,120.78,2,1
2020-03-04,116.67,0,1
2020-03-05,124.71,0,2
2020-03-06,162.16,2,-3
2020-03-07,161.71,5,-2
2020-03-08,107.06,2,-1
2020-03-09,124.56,4,-1
2020-03-10,119.77,0,1
2020-03-11,122.42,1,0
2020-03-12,122.06,-1,0
2020-03-13,138.14,-3,0
2020-03-14,121.99,-4,2
2020-03-15,90.41,-9,4
2020-03-16,99.12,-15,7
2020-03-17,96.31,-27,11
2020-03-18,92.53,-30,12
2020-03-19,96.23,-33,14
2020-03-20,103.16,-32,12
2020-03-21,89.14,-16,9
2020-03-22,59.69,-31,9
2020-03-23,74.23,-34,16
2020-03-24,76.96,-41,19
2020-03-25,81.94,-43,16
2020-03-26,82.18,-45,19
2020-03-27,88.37,-44,18
2020-03-28,79.1,-30,13
2020-03-29,61.38,-39,12
2020-03-30,76.59,-40,16
2020-03-31,74.03,-48,21
2020-04-01,78.19,-47,18
2020-04-02,80.84,-47,19
2020-04-03,81.14,-49,20
2020-04-04,68.79,-35,15
2020-04-05,54.02,-42,13
2020-04-06,74.72,-43,18
2020-04-07,75.49,-51,21
2020-04-08,78.18,-50,20
2020-04-09,78.94,-51,22
2020-04-10,87.57,-54,21
2020-04-11,79.58,-36,14
2020-04-12,45.95,-48,15
2020-04-13,81.63,-42,18
2020-04-14,82.9,-47,19
2020-04-15,91.32,-46,18
2020-04-16,92.82,-47,19
2020-04-17,103.41,-44,18
2020-04-18,95.89,-29,12
2020-04-19,59.81,-44,14
2020-04-20,93.73,-40,16
2020-04-21,89.72,-48,18
2020-04-22,94.72,-47,18
2020-04-23,85.05,-49,23
2020-04-24,108.72,-44,18
2020-04-25,98.28,-27,11
2020-04-26,75.24,-39,11
2020-04-27,98.49,-38,15
2020-04-28,99.06,-45,12
2020-04-29,94.29,-45,18
2020-04-30,104.29,-45,18
2020-05-01,124.24,-42,15
2020-05-02,115.07,-25,8
2020-05-03,90.55,-32,8
2020-05-04,107.31,-36,13
2020-05-05,113.44,-42,15
2020-05-06,112.98,-43,15
2020-05-07,120.26,-42,16
2020-05-08,126.12,-41,15
2020-05-09,130.13,-20,7
2020-05-10,99.16,-31,6
2020-05-11,NA,-34,13
2020-05-12,NA,-40,15
2020-05-13,123.06,-41,14
2020-05-14,136.13,-41,13
2020-05-15,154.26,-39,13
2020-05-16,145.43,-18,7
2020-05-17,111.45,-26,7
2020-05-18,129.77,-33,13
2020-05-19,137.21,-38,14
2020-05-20,132.28,-40,14
2020-05-21,141.26,-40,14
2020-05-22,156.12,-39,12
2020-05-23,147.76,-18,6
2020-05-24,112.96,-27,6
2020-05-25,117.8,-68,20
2020-05-26,135.25,-39,14
2020-05-27,133.44,-39,15
2020-05-28,148.36,-38,15
2020-05-29,163.93,-37,13
2020-05-30,159.52,-8,6
2020-05-31,116.94,-18,6
2020-06-01,142,-29,10
2020-06-02,142.77,-37,12
2020-06-03,146.39,-37,11
2020-06-04,154.46,-37,13
2020-06-05,171.24,-36,12
2020-06-06,163.38,-12,5
2020-06-07,124.13,-19,6
2020-06-08,146.36,-30,10
2020-06-09,154.82,-37,12
2020-06-10,145.6,-37,13
2020-06-11,156.62,-37,11
2020-06-12,182.53,-36,9
2020-06-13,180.14,-12,4
2020-06-14,126.73,-20,4
2020-06-15,147.68,-29,10
2020-06-16,150.15,-37,12
2020-06-17,162.78,-37,10
2020-06-18,169.26,-37,11
2020-06-19,190.15,-37,8
2020-06-20,183.47,-12,3
2020-06-21,127.83,-23,3
2020-06-22,159.94,-32,9
2020-06-23,158.8,-39,12
2020-06-24,163.1,-37,11
2020-06-25,171.31,-37,12
2020-06-26,192.25,-36,10
2020-06-27,186.08,-12,5
2020-06-28,139.41,-18,4
2020-06-29,166.18,-30,9
2020-06-30,168.27,-37,11
2020-07-01,168.49,-38,10
2020-07-02,181.36,-40,10
2020-07-03,185.85,-58,13
2020-07-04,163.09,-36,7
2020-07-05,133.82,-26,5
2020-07-06,153.89,-37,11
2020-07-07,157.3,-41,14
2020-07-08,165.41,-37,11
2020-07-09,174.01,-40,12
2020-07-10,196.31,-38,10
2020-07-11,180.4,-15,5
2020-07-12,132.02,-22,5
2020-07-13,158.67,-32,10
2020-07-14,160.75,-39,11
2020-07-15,163.03,-39,11
2020-07-16,173.3,-40,12
2020-07-17,187.96,-40,10
2020-07-18,179.18,-17,5
2020-07-19,134.13,-25,5
2020-07-20,158.11,-34,10
2020-07-21,155.16,-40,12
2020-07-22,168.41,-38,11
2020-07-23,175.55,-39,11
2020-07-24,190.13,-38,10
2020-07-25,174.94,-19,6
2020-07-26,146.75,-24,4
2020-07-27,163.31,-32,9
2020-07-28,162.89,-38,11
2020-07-29,157.21,-40,11
2020-07-30,166.89,-39,12
2020-07-31,186.56,-38,9
2020-08-01,183.94,-16,4
2020-08-02,139.19,-22,4
2020-08-03,162.05,-33,9
2020-08-04,161.88,-39,10
2020-08-05,163.96,-39,10
2020-08-06,172.14,-39,11
2020-08-07,193.77,-37,9
2020-08-08,181.69,-16,4
2020-08-09,136.12,-18,4
2020-08-10,156.31,-33,10
2020-08-11,161.17,-39,10
2020-08-12,156.22,-38,10
2020-08-13,161.65,-39,11
2020-08-14,183.11,-38,10
2020-08-15,175.16,-17,4
2020-08-16,132.02,-20,4
2020-08-17,150.62,-32,8
2020-08-18,155.14,-36,10
2020-08-19,156.03,-38,10
2020-08-20,161.38,-37,11
2020-08-21,180.52,-37,9
2020-08-22,186.2,NA,4
2020-08-23,133.17,NA,4
2020-08-24,138.91,-33,10
2020-08-25,148.62,-40,14
2020-08-26,150.77,-37,10
2020-08-27,154.48,-37,11
2020-08-28,177.23,-36,9
2020-08-29,173.45,NA,3
2020-08-30,126.11,NA,4
2020-08-31,148.27,-30,9
2020-09-01,151.57,-38,11
2020-09-02,157.73,-37,9
2020-09-03,167.78,-38,9
2020-09-04,206.54,-39,7
