date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,123.02,4,0
2020-02-16,95.94,2,1
2020-02-17,107.01,-11,2
2020-02-18,103.42,4,0
2020-02-19,99.36,1,-1
2020-02-20,90.57,-4,6
2020-02-21,113.96,-14,8
2020-02-22,123.57,5,0
2020-02-23,95.62,3,0
2020-02-24,100.4,3,0
2020-02-25,108.03,5,0
2020-02-26,110.94,3,-2
2020-02-27,117.05,3,-1
2020-02-28,135.59,3,-2
2020-02-29,136.37,4,-3
2020-03-01,101.5,5,-2
2020-03-02,111.13,4,-1
2020-03-03,111.69,3,-2
2020-03-04,110.86,2,-2
2020-03-05,117.31,1,0
2020-03-06,141.74,3,-1
2020-03-07,138.69,7,-1
2020-03-08,101.22,3,-1
2020-03-09,111.84,5,-2
2020-03-10,112.18,5,-1
2020-03-11,116.88,0,-1
2020-03-12,123.3,2,-1
2020-03-13,128.91,2,0
2020-03-14,122.11,6,0
2020-03-15,83.29,-8,3
2020-03-16,102.45,-7,3
2020-03-17,97.42,-11,6
2020-03-18,92.03,-15,7
2020-03-19,96.15,-17,7
2020-03-20,107.08,-20,9
2020-03-21,91.47,-8,6
2020-03-22,70.3,-22,7
2020-03-23,75.69,-19,9
2020-03-24,83.53,-19,9
2020-03-25,82.38,-24,10
2020-03-26,84.88,-24,11
2020-03-27,92.77,-25,11
2020-03-28,82.89,-19,7
2020-03-29,72.2,-30,8
2020-03-30,80.61,-27,10
2020-03-31,70.28,-29,14
2020-04-01,78.08,-33,13
2020-04-02,82.73,-32,14
2020-04-03,90.56,-34,14
2020-04-04,78.67,-25,10
2020-04-05,63.81,-34,9
2020-04-06,82.82,-34,13
2020-04-07,85.91,-35,13
2020-04-08,87.69,-38,13
2020-04-09,87.9,-39,15
2020-04-10,93.75,-55,20
2020-04-11,87.39,-30,10
2020-04-12,57.98,-37,10
2020-04-13,83.51,-41,15
2020-04-14,92.33,-34,13
2020-04-15,94.78,-36,13
2020-04-16,103.42,-35,13
2020-04-17,114.66,-35,14
2020-04-18,100.3,-23,9
2020-04-19,79.98,-31,9
2020-04-20,95.49,-32,13
2020-04-21,98.03,-30,12
2020-04-22,101.37,-34,12
2020-04-23,92.84,-35,16
2020-04-24,115.77,-32,13
2020-04-25,96.17,-23,10
2020-04-26,90.23,-28,8
2020-04-27,105.3,-28,10
2020-04-28,108.15,-30,5
2020-04-29,111.68,-33,11
2020-04-30,108.24,-32,13
2020-05-01,124.52,-32,12
2020-05-02,121.97,-17,5
2020-05-03,110.3,-26,5
2020-05-04,113.4,-27,8
2020-05-05,106.43,-29,11
2020-05-06,113.32,-31,11
2020-05-07,119.53,-31,11
2020-05-08,130.3,-31,13
2020-05-09,130.64,-18,5
2020-05-10,97.73,-22,4
2020-05-11,NA,-27,9
2020-05-12,NA,-27,9
2020-05-13,124.78,-30,10
2020-05-14,134.8,-29,8
2020-05-15,151.07,-29,10
2020-05-16,150.97,-19,4
2020-05-17,118.75,-22,4
2020-05-18,123.95,-25,8
2020-05-19,117.63,-28,13
2020-05-20,115.15,-31,13
2020-05-21,124.08,-31,14
2020-05-22,153.89,-30,10
2020-05-23,156.48,-14,4
2020-05-24,119.82,-23,4
2020-05-25,118.01,-67,17
2020-05-26,142.88,-24,7
2020-05-27,127.58,-28,11
2020-05-28,141.93,-25,9
2020-05-29,158.91,-25,9
2020-05-30,168.88,-2,3
2020-05-31,131.96,-12,3
2020-06-01,147.02,-20,5
2020-06-02,139.51,-22,6
2020-06-03,150.88,-25,6
2020-06-04,144.71,-26,7
2020-06-05,168.78,-24,8
2020-06-06,175,-6,2
2020-06-07,141.19,-15,2
2020-06-08,149.3,-23,6
2020-06-09,151.58,-23,7
2020-06-10,154.5,-24,7
2020-06-11,149.38,-24,7
2020-06-12,190.01,-26,7
2020-06-13,177.98,-2,1
2020-06-14,139.97,-14,2
2020-06-15,135.63,-26,8
2020-06-16,126.87,-25,10
2020-06-17,136.97,-28,9
2020-06-18,148.76,-26,8
2020-06-19,166.58,-26,7
2020-06-20,171.29,-3,1
2020-06-21,132.35,-14,1
2020-06-22,152.73,-27,6
2020-06-23,150.06,-25,6
2020-06-24,154.04,-27,6
2020-06-25,157.34,-26,7
2020-06-26,181.42,-27,7
2020-06-27,182.07,-7,2
2020-06-28,134.11,-14,3
2020-06-29,152.82,-27,6
2020-06-30,157.1,-27,7
2020-07-01,153.09,-30,6
2020-07-02,171.61,-33,6
2020-07-03,187.33,-54,11
2020-07-04,154.62,-28,3
2020-07-05,132.82,-22,3
2020-07-06,160.97,-32,6
2020-07-07,158.15,-28,7
2020-07-08,158.48,-28,7
2020-07-09,163.88,-28,7
2020-07-10,193.36,-29,7
2020-07-11,184.33,-5,2
2020-07-12,153.42,-15,3
2020-07-13,156.83,-27,6
2020-07-14,150.42,-25,6
2020-07-15,152.82,-27,6
2020-07-16,156.92,-26,7
2020-07-17,180.05,-26,7
2020-07-18,186.34,-5,2
2020-07-19,147.53,-14,3
2020-07-20,151.93,-27,6
2020-07-21,158.51,-27,6
2020-07-22,160.66,-28,7
2020-07-23,155.11,-27,8
2020-07-24,180.53,-27,7
2020-07-25,189.59,-4,1
2020-07-26,148.46,-15,2
2020-07-27,161.78,-26,5
2020-07-28,156.65,-26,6
2020-07-29,162.05,-29,6
2020-07-30,167.21,-28,6
2020-07-31,183.14,-27,5
2020-08-01,174.49,-7,1
2020-08-02,138.25,-17,2
2020-08-03,148.24,-27,6
2020-08-04,156.43,-26,6
2020-08-05,156.11,-28,6
2020-08-06,159.3,-26,7
2020-08-07,168.02,-27,5
2020-08-08,177.02,-5,1
2020-08-09,147.39,-14,1
2020-08-10,156.32,-26,4
2020-08-11,153.5,-25,5
2020-08-12,160.26,-29,5
2020-08-13,164.68,-28,6
2020-08-14,178.33,-26,6
2020-08-15,152.47,-11,4
2020-08-16,131.76,-14,2
2020-08-17,145.81,-26,5
2020-08-18,147,-22,5
2020-08-19,152.94,-24,5
2020-08-20,152.64,-24,6
2020-08-21,171.27,-24,7
2020-08-22,175.44,NA,2
2020-08-23,132.75,NA,2
2020-08-24,150.88,-23,5
2020-08-25,147.39,-22,5
2020-08-26,150.32,-24,5
2020-08-27,160.79,-23,6
2020-08-28,167.25,-22,5
2020-08-29,159.15,NA,3
