date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,121.89,0,NA
2020-02-16,104.4,0,NA
2020-02-17,114.52,-18,NA
2020-02-18,98.44,-1,NA
2020-02-19,101.23,-4,NA
2020-02-20,110.02,-1,NA
2020-02-21,131.21,-1,NA
2020-02-22,132.96,4,NA
2020-02-23,101.47,7,NA
2020-02-24,95.79,-2,NA
2020-02-25,106.57,-1,NA
2020-02-26,104.26,-3,NA
2020-02-27,113.24,0,NA
2020-02-28,144.11,-1,NA
2020-02-29,144.73,1,NA
2020-03-01,110.35,7,NA
2020-03-02,98.25,1,NA
2020-03-03,110.87,4,NA
2020-03-04,118.58,-2,NA
2020-03-05,130.64,-3,NA
2020-03-06,146.29,-3,NA
2020-03-07,132.53,-5,NA
2020-03-08,105.34,3,NA
2020-03-09,125.11,-2,NA
2020-03-10,121.28,1,NA
2020-03-11,110.21,-4,NA
2020-03-12,112.39,-1,NA
2020-03-13,130.21,-13,NA
2020-03-14,87.19,-11,NA
2020-03-15,75.37,-11,NA
2020-03-16,75.32,-22,NA
2020-03-17,66.67,-21,NA
2020-03-18,74.09,-23,NA
2020-03-19,72.81,-25,NA
2020-03-20,75.22,-27,NA
2020-03-21,72.39,-21,NA
2020-03-22,59.1,-23,NA
2020-03-23,69.6,-31,NA
2020-03-24,71.63,-33,NA
2020-03-25,67.8,-37,NA
2020-03-26,71.02,-34,NA
2020-03-27,67.94,-39,NA
2020-03-28,70.02,-30,NA
2020-03-29,55.56,-28,NA
2020-03-30,62.32,-36,NA
2020-03-31,58.87,-37,NA
2020-04-01,51.87,-41,NA
2020-04-02,57.73,-40,NA
2020-04-03,65.63,-42,NA
2020-04-04,57.59,-30,NA
2020-04-05,48.46,-28,NA
2020-04-06,56.41,-44,NA
2020-04-07,62.13,-43,NA
2020-04-08,64.63,-47,NA
2020-04-09,66.57,-43,NA
2020-04-10,66.34,-49,NA
2020-04-11,63.26,-27,NA
2020-04-12,43.74,-32,NA
2020-04-13,59.81,-40,NA
2020-04-14,65.58,-41,NA
2020-04-15,65.96,-42,NA
2020-04-16,78.44,-38,NA
2020-04-17,74,-41,NA
2020-04-18,75.46,-29,NA
2020-04-19,64.4,-24,NA
2020-04-20,77.45,-38,NA
2020-04-21,81.84,-38,NA
2020-04-22,71.77,-43,NA
2020-04-23,69.03,-40,NA
2020-04-24,87.66,-39,NA
2020-04-25,71.63,-25,NA
2020-04-26,59.91,-28,NA
2020-04-27,75.79,-38,NA
2020-04-28,83.88,-38,NA
2020-04-29,77.73,-40,NA
2020-04-30,84.11,-39,NA
2020-05-01,92.72,-40,NA
2020-05-02,102.7,-23,NA
2020-05-03,74.7,-25,NA
2020-05-04,95.22,-36,NA
2020-05-05,83.17,-36,NA
2020-05-06,82.88,-40,NA
2020-05-07,91.16,-39,NA
2020-05-08,97.16,-40,NA
2020-05-09,101.56,-15,NA
2020-05-10,82.36,-18,NA
2020-05-11,NA,-35,NA
2020-05-12,NA,-34,NA
2020-05-13,98.2,-38,NA
2020-05-14,107.47,-38,NA
2020-05-15,119.15,-38,NA
2020-05-16,113.29,-26,NA
2020-05-17,112.72,-16,NA
2020-05-18,99.76,-35,NA
2020-05-19,101.28,-38,NA
2020-05-20,106.95,-37,NA
2020-05-21,115.6,-36,NA
2020-05-22,139.95,-36,NA
2020-05-23,138.35,-13,NA
2020-05-24,113.14,-10,NA
2020-05-25,122.46,-61,NA
2020-05-26,127.09,-32,NA
2020-05-27,123.4,-34,NA
2020-05-28,121.04,-31,NA
2020-05-29,134.14,-32,NA
2020-05-30,147.57,-13,NA
2020-05-31,115.89,-7,NA
2020-06-01,121.89,-31,NA
2020-06-02,118.91,-30,NA
2020-06-03,120.09,-32,NA
2020-06-04,122.03,-32,NA
2020-06-05,148.42,-31,NA
2020-06-06,157.26,-15,NA
2020-06-07,133.19,-11,NA
2020-06-08,127.57,-32,NA
2020-06-09,126.48,-30,NA
2020-06-10,129.79,-33,NA
2020-06-11,140.8,-30,NA
2020-06-12,172.2,-33,NA
2020-06-13,167.94,-16,NA
2020-06-14,139.86,-16,NA
2020-06-15,141.09,-32,NA
2020-06-16,118.39,-31,NA
2020-06-17,131.21,-33,NA
2020-06-18,144.3,-32,NA
2020-06-19,167.57,-31,NA
2020-06-20,165.44,-15,NA
2020-06-21,128.42,-15,NA
2020-06-22,129.31,-34,NA
2020-06-23,124.02,-31,NA
2020-06-24,126.15,-31,NA
2020-06-25,146.57,-32,NA
2020-06-26,173.43,-34,NA
2020-06-27,154.09,-10,NA
2020-06-28,127.8,-20,NA
2020-06-29,136.31,-32,NA
2020-06-30,133.33,-31,NA
2020-07-01,150.78,-31,NA
2020-07-02,168.18,-33,NA
2020-07-03,186.48,-46,NA
2020-07-04,149.55,-29,NA
2020-07-05,152.48,-23,NA
2020-07-06,149.17,-36,NA
2020-07-07,147.66,-35,NA
2020-07-08,142.7,-32,NA
2020-07-09,148.23,-34,NA
2020-07-10,175.04,-32,NA
2020-07-11,195.13,-10,NA
2020-07-12,143.5,-10,NA
2020-07-13,144.68,-31,NA
2020-07-14,148.94,-31,NA
2020-07-15,144.82,-31,NA
2020-07-16,151.44,-33,NA
2020-07-17,174.52,-31,NA
2020-07-18,182.17,-13,NA
2020-07-19,152.25,-12,NA
2020-07-20,140.24,-33,NA
2020-07-21,137.87,-32,NA
2020-07-22,137.78,-29,NA
2020-07-23,143.03,-31,NA
2020-07-24,167.28,-32,NA
2020-07-25,188.7,-11,NA
2020-07-26,151.82,-15,NA
2020-07-27,146.57,-33,NA
2020-07-28,146,-30,NA
2020-07-29,143.5,-33,NA
2020-07-30,142.51,-32,NA
2020-07-31,165.53,-33,NA
2020-08-01,152.53,-16,NA
2020-08-02,144.87,-14,NA
2020-08-03,152.81,-32,NA
2020-08-04,149.36,-29,NA
2020-08-05,155.6,-32,NA
2020-08-06,154.23,-31,NA
