date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,131.7,3,-1
2020-02-16,97.52,2,0
2020-02-17,116.48,-8,1
2020-02-18,113.43,5,0
2020-02-19,115.56,3,0
2020-02-20,100.16,-1,5
2020-02-21,129.24,-11,6
2020-02-22,136.17,8,-1
2020-02-23,109.13,4,-1
2020-02-24,106.95,5,0
2020-02-25,112.21,4,0
2020-02-26,117.83,5,-1
2020-02-27,131.28,4,-2
2020-02-28,153.75,3,-2
2020-02-29,142.62,8,-3
2020-03-01,114.81,4,-2
2020-03-02,119.58,6,-2
2020-03-03,118.33,3,0
2020-03-04,120.34,4,-1
2020-03-05,125.59,4,0
2020-03-06,189.32,4,-1
2020-03-07,148.46,6,-2
2020-03-08,126.88,2,-2
2020-03-09,121.2,4,-2
2020-03-10,130.71,3,0
2020-03-11,127.78,3,-1
2020-03-12,127.22,2,-1
2020-03-13,142.5,-6,0
2020-03-14,128.13,4,0
2020-03-15,89.38,-4,2
2020-03-16,103.94,-6,2
2020-03-17,96.86,-11,6
2020-03-18,97.69,-16,7
2020-03-19,96.02,-18,8
2020-03-20,112.49,-20,8
2020-03-21,88.76,-13,6
2020-03-22,67,-27,7
2020-03-23,73.7,-23,11
2020-03-24,78.83,-24,12
2020-03-25,82.76,-27,11
2020-03-26,79.44,-27,12
2020-03-27,86.76,-30,13
2020-03-28,77.86,-20,8
2020-03-29,63.29,-30,8
2020-03-30,76.96,-31,11
2020-03-31,68.2,-34,15
2020-04-01,72.58,-37,15
2020-04-02,75.83,-36,15
2020-04-03,87.45,-35,14
2020-04-04,74.79,-26,10
2020-04-05,61.86,-37,9
2020-04-06,83.35,-37,12
2020-04-07,79.5,-38,14
2020-04-08,79.89,-39,14
2020-04-09,91.03,-39,14
2020-04-10,96.41,-51,18
2020-04-11,93.8,-33,10
2020-04-12,48.26,-43,12
2020-04-13,88.07,-41,14
2020-04-14,94.04,-35,13
2020-04-15,96.75,-36,14
2020-04-16,101.17,-35,14
2020-04-17,117.11,-37,14
2020-04-18,109.07,-26,9
2020-04-19,84.61,-36,9
2020-04-20,92.24,-35,14
2020-04-21,99.8,-35,13
2020-04-22,104.33,-36,13
2020-04-23,89.62,-37,17
2020-04-24,115.02,-35,13
2020-04-25,104.44,-23,9
2020-04-26,87.5,-31,9
2020-04-27,102.32,-31,10
2020-04-28,106.64,-32,6
2020-04-29,109.38,-34,12
2020-04-30,106.32,-33,13
2020-05-01,127.26,-34,12
2020-05-02,125.92,-23,6
2020-05-03,99.27,-28,6
2020-05-04,111.28,-31,9
2020-05-05,102.99,-32,11
2020-05-06,113.26,-33,12
2020-05-07,119.65,-32,11
2020-05-08,128.53,-34,12
2020-05-09,135.09,-20,5
