date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,144.12,1,0
2020-02-16,109.82,2,-1
2020-02-17,120.62,-9,3
2020-02-18,115.21,-8,4
2020-02-19,120.51,1,0
2020-02-20,126.89,0,0
2020-02-21,154.84,0,0
2020-02-22,150.92,5,-1
2020-02-23,111.85,6,-2
2020-02-24,107.72,3,0
2020-02-25,111.88,0,0
2020-02-26,110.23,-3,2
2020-02-27,127.09,-12,4
2020-02-28,154.92,-1,0
2020-02-29,152.47,2,-2
2020-03-01,108.53,3,-3
2020-03-02,118.58,1,-1
2020-03-03,119.25,-2,-1
2020-03-04,124.91,-1,-1
2020-03-05,127.79,-1,0
2020-03-06,154.01,-1,1
2020-03-07,154.31,3,-3
2020-03-08,114.96,6,-3
2020-03-09,117.34,2,0
2020-03-10,127.29,1,-1
2020-03-11,119.22,2,0
2020-03-12,117.97,0,0
2020-03-13,125.38,-2,2
2020-03-14,110.19,-1,3
2020-03-15,85.44,-3,2
2020-03-16,87.15,-16,7
2020-03-17,86.37,-24,9
2020-03-18,82.28,-26,11
2020-03-19,81.46,-28,12
2020-03-20,92.72,-31,15
2020-03-21,74.47,-25,10
2020-03-22,56.74,-30,8
2020-03-23,73.26,-37,14
2020-03-24,51.27,-51,21
2020-03-25,59.31,-52,20
2020-03-26,55.96,-53,22
2020-03-27,64.87,-53,23
2020-03-28,48.93,-42,16
2020-03-29,44.07,-43,12
2020-03-30,55.23,-55,21
2020-03-31,56.76,-56,22
2020-04-01,59.26,-57,21
2020-04-02,64.11,-57,21
2020-04-03,69.65,-56,23
2020-04-04,54.78,-44,16
2020-04-05,48.36,-43,11
2020-04-06,58.99,-57,20
2020-04-07,57.58,-58,22
2020-04-08,62.33,-58,20
2020-04-09,61.27,-59,23
2020-04-10,66.65,-62,27
2020-04-11,57.7,-44,15
2020-04-12,37.3,-51,12
2020-04-13,57.5,-57,23
2020-04-14,60.53,-57,23
2020-04-15,70.09,-56,21
2020-04-16,69.11,-56,22
2020-04-17,74.66,-55,25
2020-04-18,66.06,-38,14
2020-04-19,59.21,-39,10
2020-04-20,74.98,-53,19
2020-04-21,70.88,-55,21
2020-04-22,72.89,-55,22
2020-04-23,72.15,-55,23
2020-04-24,84.57,-54,23
2020-04-25,74.55,-38,12
2020-04-26,64.59,-36,9
2020-04-27,82.37,-51,18
2020-04-28,87.02,-52,11
2020-04-29,85.77,-53,20
2020-04-30,91.09,-53,21
2020-05-01,107.26,-50,18
2020-05-02,91.34,-33,9
2020-05-03,81.73,-32,5
2020-05-04,100.67,-48,16
2020-05-05,99.21,-49,17
2020-05-06,104.03,-48,16
2020-05-07,112.69,-49,17
2020-05-08,116.68,-49,20
