date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,135.27,-11,NA
2020-02-16,98.1,-4,NA
2020-02-17,118.55,-2,3
2020-02-18,116.78,3,1
2020-02-19,104.42,-1,1
2020-02-20,98.59,0,5
2020-02-21,111.19,-26,14
2020-02-22,126,-5,1
2020-02-23,99.09,1,NA
2020-02-24,109.87,6,1
2020-02-25,114.17,4,0
2020-02-26,116.45,4,-1
2020-02-27,124.69,5,-2
2020-02-28,144.44,4,-2
2020-02-29,140.04,-5,-2
2020-03-01,116.78,-2,NA
2020-03-02,120.96,6,-2
2020-03-03,118.7,3,-1
2020-03-04,119.77,3,0
2020-03-05,118.61,3,2
2020-03-06,159.66,1,-1
2020-03-07,142.34,-7,-2
2020-03-08,116.66,-1,NA
2020-03-09,127.52,3,-1
2020-03-10,123.99,2,-1
2020-03-11,123.74,1,-2
2020-03-12,121.14,3,-2
2020-03-13,137.15,3,-2
2020-03-14,133.6,2,-2
2020-03-15,87.34,-12,NA
2020-03-16,107.57,-6,3
2020-03-17,98.79,-11,7
2020-03-18,96.85,-12,6
2020-03-19,105.55,-12,7
2020-03-20,122.9,-15,8
2020-03-21,85.73,-4,NA
2020-03-22,69.45,-18,NA
2020-03-23,83.57,-17,9
2020-03-24,79.75,-19,10
2020-03-25,82.19,-21,10
2020-03-26,90.83,-19,10
2020-03-27,98.14,-22,11
2020-03-28,91.76,-11,NA
2020-03-29,71.92,-24,NA
2020-03-30,86.74,-19,9
2020-03-31,77.31,-27,13
2020-04-01,86.19,-29,13
2020-04-02,83.18,-24,12
2020-04-03,95.92,-28,13
2020-04-04,81.08,-23,NA
2020-04-05,66.87,-29,NA
2020-04-06,87.08,-24,11
2020-04-07,88.47,-28,12
2020-04-08,95.42,-29,12
2020-04-09,93.14,-28,12
2020-04-10,94.67,-43,17
2020-04-11,84.9,-27,NA
2020-04-12,65.62,-34,NA
2020-04-13,81.18,-40,17
2020-04-14,94.39,-27,11
2020-04-15,94.27,-30,13
2020-04-16,105.96,-26,12
2020-04-17,117.59,-28,12
2020-04-18,102.89,-17,NA
2020-04-19,74.34,-26,NA
2020-04-20,90.69,-25,14
2020-04-21,99.64,-26,11
2020-04-22,105.03,-26,10
2020-04-23,103.35,-25,13
2020-04-24,115.22,-27,12
2020-04-25,106.3,-12,NA
2020-04-26,82.9,-24,NA
2020-04-27,104.2,-22,9
2020-04-28,108.6,-26,6
2020-04-29,108.78,-26,11
2020-04-30,102.87,-27,15
2020-05-01,135.61,-23,10
2020-05-02,121.3,-24,NA
2020-05-03,103.47,-27,NA
2020-05-04,121.26,-21,8
2020-05-05,110.32,-25,11
2020-05-06,115.93,-26,11
2020-05-07,125.14,-23,10
2020-05-08,141.49,-25,11
2020-05-09,135.96,-14,NA
2020-05-10,111.61,-19,NA
2020-05-11,NA,-22,9
2020-05-12,NA,-25,10
