date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,133.32,-1,0
2020-02-16,109.85,0,-1
2020-02-17,112.53,-38,7
2020-02-18,116.68,1,0
2020-02-19,117.99,1,0
2020-02-20,121.95,0,0
2020-02-21,141.08,2,0
2020-02-22,124.61,-1,2
2020-02-23,101.94,2,0
2020-02-24,112.68,6,-1
2020-02-25,117.98,5,-1
2020-02-26,118.77,3,-1
2020-02-27,121.72,3,-1
2020-02-28,141.5,5,-1
2020-02-29,133.06,2,-1
2020-03-01,95.01,2,0
2020-03-02,110.28,6,-1
2020-03-03,119.54,4,-1
2020-03-04,115.61,3,0
2020-03-05,121.03,3,-1
2020-03-06,139.15,4,0
2020-03-07,128.06,2,0
2020-03-08,99.53,1,0
2020-03-09,110.5,4,0
2020-03-10,111.16,-1,3
2020-03-11,110.48,0,1
2020-03-12,105.07,-4,4
2020-03-13,108.07,-5,5
2020-03-14,89.49,-6,7
2020-03-15,70.46,-7,6
2020-03-16,79.86,-23,10
2020-03-17,71.9,-31,14
2020-03-18,62.34,-39,19
2020-03-19,61.3,-41,19
2020-03-20,57.85,-46,23
2020-03-21,50.35,-36,17
2020-03-22,39.46,-38,15
2020-03-23,46.71,-50,22
2020-03-24,47.99,-52,23
2020-03-25,46.72,-53,24
2020-03-26,46.7,-53,25
2020-03-27,52.5,-51,25
2020-03-28,46.32,-39,18
2020-03-29,38.21,-41,15
2020-03-30,48.38,-51,22
2020-03-31,47.81,-54,23
2020-04-01,48.47,-54,23
2020-04-02,48.26,-55,25
2020-04-03,54.3,-53,25
2020-04-04,45.91,-41,19
2020-04-05,35.66,-43,16
2020-04-06,42.02,-55,25
2020-04-07,42.13,-57,26
2020-04-08,43.52,-57,26
2020-04-09,43.93,-58,27
2020-04-10,49.37,-60,31
2020-04-11,49.78,-42,19
2020-04-12,31.7,-48,17
2020-04-13,46.5,-53,24
2020-04-14,50.09,-54,24
2020-04-15,53.18,-54,24
2020-04-16,53.18,-53,24
2020-04-17,59.07,-51,25
2020-04-18,52.64,-39,18
2020-04-19,43.37,-40,15
2020-04-20,53.08,-51,22
2020-04-21,53.44,-53,23
2020-04-22,54.97,-53,23
2020-04-23,57.12,-53,24
2020-04-24,63.51,-51,24
2020-04-25,59.47,-37,17
2020-04-26,48.33,-39,14
2020-04-27,57.18,-50,21
2020-04-28,59.43,-52,14
2020-04-29,61.11,-52,23
2020-04-30,64.16,-52,23
2020-05-01,73.38,-50,23
2020-05-02,69.03,-35,15
2020-05-03,56.87,-35,13
2020-05-04,64.53,-49,20
2020-05-05,66.92,-50,21
2020-05-06,66.43,-51,21
2020-05-07,68.3,-51,22
2020-05-08,79.2,-48,22
2020-05-09,76.54,-33,14
2020-05-10,59.22,-31,11
2020-05-11,NA,-47,19
2020-05-12,NA,-48,20
2020-05-13,72.22,-49,21
2020-05-14,75.31,-49,21
2020-05-15,87.69,-47,21
2020-05-16,85.92,-32,14
2020-05-17,69.73,-31,12
2020-05-18,76.85,-46,19
2020-05-19,80.07,-47,20
2020-05-20,81.48,-47,20
2020-05-21,85.78,-48,20
2020-05-22,99.86,-46,20
2020-05-23,94.54,-27,12
2020-05-24,82.08,-27,9
2020-05-25,78.28,-74,23
2020-05-26,86.62,-44,18
2020-05-27,88.34,-44,18
2020-05-28,90.15,-44,19
2020-05-29,101.55,-42,19
2020-05-30,104.19,-19,11
2020-05-31,84.29,-20,10
2020-06-01,87.2,-42,17
2020-06-02,87.45,-43,17
2020-06-03,91,-43,17
2020-06-04,93.48,-43,18
2020-06-05,103.47,-41,17
2020-06-06,104.9,-20,11
2020-06-07,88.09,-19,8
2020-06-08,95.23,-40,15
2020-06-09,98.92,-42,16
2020-06-10,99.98,-42,16
2020-06-11,103.46,-43,16
2020-06-12,118.66,-40,15
2020-06-13,117.77,-16,8
2020-06-14,97.56,-17,7
2020-06-15,101.04,-40,14
2020-06-16,103.61,-41,15
2020-06-17,104.71,-42,15
2020-06-18,107.27,-42,15
2020-06-19,124.03,-40,14
2020-06-20,119.6,-16,8
2020-06-21,90.52,-14,5
2020-06-22,104.74,-42,14
2020-06-23,107.44,-43,15
2020-06-24,107.74,-42,15
2020-06-25,111.55,-42,15
2020-06-26,126.38,-40,15
2020-06-27,123.76,-17,8
2020-06-28,99.79,-15,7
2020-06-29,104.75,-41,14
2020-06-30,109.71,-41,14
