date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.1,0,-1
2020-02-16,111.09,1,-2
2020-02-17,128.53,-32,4
2020-02-18,120.11,2,-2
2020-02-19,118.58,1,0
2020-02-20,132.55,1,-2
2020-02-21,144.1,0,-2
2020-02-22,150.8,0,0
2020-02-23,101.86,1,0
2020-02-24,129.76,3,-2
2020-02-25,121.01,2,0
2020-02-26,128.21,1,-2
2020-02-27,131.18,2,-2
2020-02-28,150.4,2,-3
2020-02-29,154.57,4,-4
2020-03-01,114.74,4,-3
2020-03-02,123.89,5,-4
2020-03-03,129.57,4,-3
2020-03-04,122.28,1,-2
2020-03-05,133.23,2,-3
2020-03-06,163.61,1,-4
2020-03-07,174.13,7,-4
2020-03-08,136.21,4,-2
2020-03-09,146.08,4,-3
2020-03-10,134.35,2,-2
2020-03-11,127.03,1,-1
2020-03-12,131.14,0,-2
2020-03-13,149.9,-7,1
2020-03-14,155.47,0,1
2020-03-15,124.93,-4,1
2020-03-16,125.39,-23,2
2020-03-17,125.18,-27,7
2020-03-18,112.38,-28,8
2020-03-19,108.1,-34,12
2020-03-20,112.15,-36,13
2020-03-21,94.53,-21,10
2020-03-22,73.86,-22,7
2020-03-23,84.3,-34,10
2020-03-24,78.79,-40,16
2020-03-25,76.76,-43,17
2020-03-26,72.14,-45,17
2020-03-27,83.2,-45,19
2020-03-28,71.69,-29,14
2020-03-29,64.31,-26,10
2020-03-30,71.98,-42,14
2020-03-31,70.27,-44,16
2020-04-01,75.18,-44,17
2020-04-02,78.24,-44,18
2020-04-03,79.68,-45,18
2020-04-04,71.92,-31,14
2020-04-05,56.1,-30,10
2020-04-06,66.8,-42,14
2020-04-07,73.86,-45,17
2020-04-08,79.44,-46,18
2020-04-09,84.19,-46,18
2020-04-10,82.71,-51,20
2020-04-11,67.39,-34,16
2020-04-12,52.53,-37,13
2020-04-13,78.71,-43,14
2020-04-14,76.89,-44,18
2020-04-15,87.09,-45,17
2020-04-16,88.03,-44,17
2020-04-17,94.01,-44,17
2020-04-18,77.89,-34,15
2020-04-19,67.88,-32,12
2020-04-20,87.47,-42,13
2020-04-21,88.21,-44,16
2020-04-22,92.17,-45,17
2020-04-23,100.33,-45,17
2020-04-24,106.69,-45,17
2020-04-25,85.75,-33,13
2020-04-26,72.01,-30,10
2020-04-27,98.96,-42,12
2020-04-28,101.48,-44,9
2020-04-29,103.62,-45,15
2020-04-30,108.67,-45,15
2020-05-01,129.17,-44,15
2020-05-02,100.84,-32,13
2020-05-03,87.31,-28,9
2020-05-04,110.77,-41,11
2020-05-05,108.37,-42,15
2020-05-06,112.07,-42,15
2020-05-07,115.01,-43,15
2020-05-08,135.62,-43,15
2020-05-09,112.8,-27,11
2020-05-10,78.67,-24,8
2020-05-11,NA,-39,12
2020-05-12,NA,-40,14
2020-05-13,128.59,-41,15
2020-05-14,125.36,-42,14
2020-05-15,146.67,-41,14
2020-05-16,120.45,-25,11
2020-05-17,109.4,-22,8
2020-05-18,148.34,-37,10
2020-05-19,137.38,-39,14
2020-05-20,149.11,-40,13
2020-05-21,153.47,-40,13
2020-05-22,180.33,-41,12
2020-05-23,144.18,-24,10
2020-05-24,124.43,-21,6
2020-05-25,132.16,-68,15
2020-05-26,148.09,-37,13
2020-05-27,161.36,-38,13
2020-05-28,162.23,-37,12
2020-05-29,177.35,-37,12
2020-05-30,150.08,-18,9
