date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,232.09,0,-1
2020-02-16,216.36,0,-1
2020-02-17,198.98,-33,5
2020-02-18,123.36,1,0
2020-02-19,123.2,2,0
2020-02-20,135.38,1,0
2020-02-21,180.23,2,0
2020-02-22,180.51,3,0
2020-02-23,156.69,2,-1
2020-02-24,116.46,3,-1
2020-02-25,116.16,2,-1
2020-02-26,115.44,2,0
2020-02-27,128.77,1,0
2020-02-28,169.11,2,-1
2020-02-29,189.7,3,-1
2020-03-01,147.22,3,-1
2020-03-02,111.39,3,0
2020-03-03,113.77,2,-1
2020-03-04,113.15,3,0
2020-03-05,129.39,1,-1
2020-03-06,165.32,0,0
2020-03-07,171.44,1,1
2020-03-08,139.13,3,0
2020-03-09,109.08,0,0
2020-03-10,102.51,-2,3
2020-03-11,105.54,-1,2
2020-03-12,117.31,0,1
2020-03-13,147.77,-1,2
2020-03-14,143.21,-2,4
2020-03-15,107.11,-10,6
2020-03-16,94.02,-23,11
2020-03-17,86.74,-29,12
2020-03-18,84.09,-32,12
2020-03-19,76.44,-36,15
2020-03-20,67.61,-44,19
2020-03-21,59.97,-37,14
2020-03-22,40.63,-43,13
2020-03-23,50.15,-46,18
2020-03-24,50.95,-48,19
2020-03-25,50.68,-49,20
2020-03-26,54.49,-49,20
2020-03-27,60.45,-47,21
2020-03-28,55.54,-39,15
2020-03-29,46.33,-45,13
2020-03-30,55.5,-47,17
2020-03-31,55.75,-49,18
2020-04-01,55.87,-48,18
2020-04-02,55.63,-49,19
2020-04-03,65.2,-48,20
2020-04-04,59.66,-39,14
2020-04-05,38.13,-48,16
2020-04-06,49.95,-50,19
2020-04-07,52.46,-50,19
2020-04-08,51.23,-51,21
2020-04-09,52.82,-53,23
2020-04-10,69.61,-50,20
2020-04-11,64.86,-39,14
2020-04-12,39.53,-50,13
2020-04-13,55.29,-48,18
2020-04-14,60.27,-48,18
2020-04-15,65.26,-48,18
2020-04-16,63.99,-47,20
2020-04-17,71.9,-46,20
2020-04-18,68.55,-36,14
2020-04-19,62.06,-40,11
2020-04-20,67.02,-46,17
2020-04-21,65.79,-46,18
2020-04-22,72.33,-46,18
2020-04-23,74.14,-46,18
2020-04-24,87.57,-45,18
2020-04-25,93.03,-35,12
2020-04-26,81.2,-40,11
2020-04-27,75.07,-44,16
2020-04-28,76.3,-46,8
2020-04-29,76.69,-46,17
2020-04-30,83.98,-46,17
2020-05-01,95.05,-43,17
2020-05-02,101.85,-32,11
2020-05-03,90.04,-35,10
2020-05-04,84.06,-42,15
2020-05-05,84.48,-43,15
2020-05-06,85.86,-43,16
2020-05-07,91.21,-43,16
2020-05-08,110.64,-41,16
2020-05-09,122.92,-28,10
2020-05-10,92.77,-31,8
2020-05-11,NA,-40,14
2020-05-12,NA,-41,15
2020-05-13,98.12,-40,15
2020-05-14,104.55,-42,16
2020-05-15,125.46,-40,16
2020-05-16,150.87,-28,10
2020-05-17,128.7,-30,9
2020-05-18,105.78,-39,14
2020-05-19,105.76,-39,15
2020-05-20,112.03,-39,15
2020-05-21,122.75,-40,15
2020-05-22,154.44,-38,14
2020-05-23,183.75,-22,8
2020-05-24,186.6,-25,6
2020-05-25,157.82,-67,18
2020-05-26,130.76,-37,13
2020-05-27,134.65,-36,13
2020-05-28,136.75,-37,14
2020-05-29,155.27,-35,14
2020-05-30,174.65,-17,9
2020-05-31,149.99,-19,7
2020-06-01,133.74,-34,11
2020-06-02,120.12,-34,12
2020-06-03,129.24,-35,12
2020-06-04,138.46,-35,12
2020-06-05,160.84,-34,12
2020-06-06,187.38,-17,7
2020-06-07,165.97,-20,6
2020-06-08,141.67,-33,11
2020-06-09,143.71,-35,11
2020-06-10,148.79,-37,12
2020-06-11,166.95,-35,12
2020-06-12,201.14,-34,11
2020-06-13,231.13,-15,6
2020-06-14,212.56,-19,4
2020-06-15,219.93,-34,9
2020-06-16,164.49,-34,10
2020-06-17,164.24,-34,10
2020-06-18,166.97,-35,10
2020-06-19,196.2,-34,9
2020-06-20,221.56,-13,5
2020-06-21,170.34,-15,3
2020-06-22,174.04,-35,9
2020-06-23,167.84,-36,10
2020-06-24,172.66,-34,10
2020-06-25,182.97,-35,11
2020-06-26,218.43,-34,10
2020-06-27,256.6,-15,5
2020-06-28,212.59,-14,5
2020-06-29,172.56,-33,9
2020-06-30,170.83,-35,10
2020-07-01,172.34,-34,10
2020-07-02,193.25,-36,10
2020-07-03,221.62,-50,14
2020-07-04,170.91,-27,7
2020-07-05,195.68,-20,5
2020-07-06,171.23,-36,10
2020-07-07,165.2,-36,10
2020-07-08,164.85,-35,11
2020-07-09,181.04,-35,11
2020-07-10,211.93,-34,10
2020-07-11,227.72,-15,5
2020-07-12,210.02,-17,4
2020-07-13,172.53,-35,9
2020-07-14,165.72,-36,10
2020-07-15,168.74,-35,11
2020-07-16,180.29,-36,11
2020-07-17,212.96,-36,11
2020-07-18,231.69,-16,6
2020-07-19,205.75,-21,5
2020-07-20,174.81,-36,10
2020-07-21,171.51,-38,11
2020-07-22,175.61,-35,11
2020-07-23,179.46,-36,11
2020-07-24,217.37,-34,11
2020-07-25,241.53,-15,7
2020-07-26,216.32,-18,5
2020-07-27,179.61,-37,10
2020-07-28,176.66,-37,10
2020-07-29,181.3,-37,11
2020-07-30,192.37,-37,11
2020-07-31,226.76,-35,10
2020-08-01,267.13,-17,5
2020-08-02,236.77,-19,5
2020-08-03,193.35,-36,9
2020-08-04,178.66,-37,10
2020-08-05,185.2,-37,10
2020-08-06,189.82,-36,10
2020-08-07,232.94,-35,10
2020-08-08,263.31,-17,6
2020-08-09,230.28,-20,4
2020-08-10,180.72,-36,9
2020-08-11,178.1,-37,9
2020-08-12,182.07,-37,10
2020-08-13,188.29,-39,12
2020-08-14,233.11,-35,10
2020-08-15,287.19,-16,6
2020-08-16,253.34,-20,4
